lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1463_translation,version_1464_translation,english_translation
θεός,328,unigram,masculine,accusative,plural,rovilestei,1.2041691637563863,rovilestei,rovilestei,God
θεός,131,unigram,masculine,accusative,singular,Ahi,8.131828435716427,Ahi,Ahi,God
θεός,27,unigram,masculine,nominative,plural,Amutisi,1.097258004808277,,Amutisi,God
θεός,209,unigram,masculine,nominative,singular,Ahi,55.1197182199659,Ahi,Ahi,God
κύριος,132,unigram,masculine,nominative,singular,Asuv,7.99729372630315,Asuv,Asuv,"Lord, lord, master"
γραφή,127,unigram,feminine,accusative,plural,Tus,2.387664471713747,Tus,Tus,Scripture
γραφή,50,unigram,feminine,accusative,singular,Tus,1.6448489613943695,Tus,Tus,Scripture
γραφή,266,unigram,feminine,nominative,plural,Tus,1.831783206595772,Tus,Tus,Scripture
γραφή,323,unigram,feminine,nominative,singular,Tus,2.2764224293121216,Tus,Tus,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,angelo,7.586163771988305,angelo,angelo,angel
ἄγγελος,82,unigram,masculine,accusative,singular,vasak,1.3487381931770148,vasak,vasak,angel
ἄγγελος,46,unigram,masculine,nominative,plural,angelo,24.552641009300125,angelo,angelo,angel
ἄγγελος,105,unigram,masculine,nominative,singular,angelo,25.885538093730492,angelo,angelo,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,amumoni,1.0586733785032514,amumoni,amumoni,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,romaritetei,1.3919823634120165,romaritetei,romaritetei,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,Minandemtei,1.2244862345346408,Minandemtei,Minandemtei,authority
ἐξουσία,200,unigram,feminine,accusative,singular,keihoen,6.348780674361536,keihoen,keihoen,authority
ἀποθήκη,67,unigram,feminine,accusative,singular,lelat,1.7991686032394956,lelat,lelat,barn
φραγμός,235,unigram,masculine,accusative,plural,vahil,1.2015199055051473,vahil,vahil,"barrier, wall"
φραγμός,109,unigram,masculine,accusative,singular,karahiti,1.1227211715751093,karahiti,karahiti,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,Minandemtei,1.2241691758461704,Minandemtei,Minandemtei,beginning
ἀρχή,182,unigram,feminine,accusative,singular,Kena,1.0812394220146055,Kena,Kena,beginning
