lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1521_translation,version_1522_translation,english_translation
θεός,348,unigram,masculine,accusative,plural,dios,1.2591437047102771,dios,,God
θεός,138,unigram,masculine,accusative,singular,Dios,6.180323311687865,Dios,Dios,God
θεός,27,unigram,masculine,nominative,plural,,,dios,wixkꞌu̱n,God
θεός,222,unigram,masculine,nominative,singular,Dios,23.311776222134647,Dios,Dios,God
κύριος,139,unigram,masculine,nominative,singular,,,QaJaaw,camanom,"Lord, lord, master"
γραφή,133,unigram,feminine,accusative,plural,,,santo,riCꞌuhbal,Scripture
γραφή,50,unigram,feminine,accusative,singular,,,santo,nakilow,Scripture
γραφή,282,unigram,feminine,nominative,plural,,,santo,elok,Scripture
γραφή,342,unigram,feminine,nominative,singular,,,huuj,Hu̱j,Scripture
ἄγγελος,104,unigram,masculine,accusative,plural,,,nuánjel,wa̱ch,angel
ἄγγελος,87,unigram,masculine,accusative,singular,,,taqareel,tzꞌeꞌ,angel
ἄγγελος,46,unigram,masculine,nominative,plural,,,ánjel,wa̱ch,angel
ἄγγελος,114,unigram,masculine,nominative,singular,,,ánjel,wa̱ch,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,,,xkik'utjaaj,nahsil,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,,,intaaq'anik,ninoꞌjbal,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,,,ako'leem,naticꞌamarok,authority
ἐξουσία,211,unigram,feminine,accusative,singular,,,wajaawriik,awajawric,authority
βρέφος,16,unigram,neuter,accusative,plural,xkiq'il,1.0441088591276242,xkiq'il,,babies
βρέφος,340,unigram,neuter,accusative,singular,,,kiwab'aal,riwaꞌbal,babies
ἀποθήκη,69,unigram,feminine,accusative,singular,,,trigo,kꞌa̱kꞌ,barn
φραγμός,249,unigram,masculine,accusative,plural,neenujik,1.161311312321613,neenujik,,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,,,ako'leem,naticꞌamarok,beginning
ἀρχή,191,unigram,feminine,accusative,singular,,,chunimjiik,naxipꞌut,beginning
ζώνη,182,unigram,feminine,accusative,plural,acꞌola̱b,1.2125176900525536,,acꞌola̱b,belt
βλασφημία,31,unigram,feminine,accusative,plural,,,Iruq'ehtaaj,riyakꞌabem,blasphemy
βλασφημία,220,unigram,feminine,nominative,plural,i̱b,1.0589557701681014,,i̱b,blasphemy
βλασφημία,88,unigram,feminine,nominative,singular,i̱b,1.322935016679616,,i̱b,blasphemy
πλοῖον,112,unigram,neuter,accusative,plural,,,barco,car,boat
πλοῖον,328,unigram,neuter,accusative,singular,,,barco,cano̱wa,boat
πλοῖον,256,unigram,neuter,nominative,plural,,,xkikanaa,xquichꞌak,boat
πλοῖον,241,unigram,neuter,nominative,singular,,,barco,cano̱wa,boat
σῶμα,60,unigram,neuter,nominative,singular,,,ati'jolal,xichꞌak,body
κλῆμα,56,unigram,neuter,nominative,plural,,,ruwachiniik,wacho̱m,branch
κλῆμα,156,unigram,neuter,nominative,singular,,,wuuk,richeꞌlal,branch
ἄρτος,332,unigram,masculine,accusative,plural,,,k,wiꞌc,bread
ἄρτος,358,unigram,masculine,accusative,singular,,,k,wiꞌc,bread
