lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1513_translation,version_1514_translation,version_1515_translation,version_1516_translation,version_1517_translation,english_translation
θεός,132,unigram,masculine,accusative,singular,Boga,3089.7368917403223,Boga,Boga,Boga,Boga,Boga,God
θεός,28,unigram,masculine,nominative,plural,,,Bogowie,,,Bogami,,God
θεός,207,unigram,masculine,nominative,singular,Bóg,7168.93775426257,Bóg,Bóg,Bóg,Bóg,Bóg,God
κύριος,133,unigram,masculine,nominative,singular,Pan,26.943304589590632,Pan,Pan,Pan,Pan,Pan,"Lord, lord, master"
γραφή,128,unigram,feminine,accusative,plural,Pisma,19.60549449345651,Pisma,Pism,Pisma,Pisma,Pisma,Scripture
γραφή,51,unigram,feminine,accusative,singular,Pisma,14.579150663050592,,Pisma,Pisma,Pisma,Pisma,Scripture
γραφή,260,unigram,feminine,nominative,plural,Pisma,2.93780949563957,Pisma,Lecz,Pisma,przepowiedziały,Pisma,Scripture
γραφή,323,unigram,feminine,nominative,singular,Pismo,19.873348321346434,Pismo,Pismo,Pismo,Pisma,Pismo,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,aniołów,24.695001246454744,Anioły,aniołów,aniołów,aniołów,aniołów,angel
ἄγγελος,83,unigram,masculine,accusative,singular,,,Anioła,,,przygotuje,,angel
ἄγγελος,47,unigram,masculine,nominative,plural,aniołowie,383.95335597646675,Aniołowie,aniołowie,aniołowie,aniołowie,aniołowie,angel
ἄγγελος,106,unigram,masculine,nominative,singular,anioł,104.94721454661575,Anioł,anioł,anioł,anioł,anioł,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,apostołowie,5.246962916956178,Apostołowie,apostołowie,apostołowie,,apostołowie,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,,,poseł,,wysłannik,posłaniec—od,posłaniec,apostle
ἐξουσία,198,unigram,feminine,accusative,singular,moc,5.949448742560706,moc,władzę,moc,władzę,moc,authority
βρέφος,321,unigram,neuter,accusative,singular,,,niemowlątko,Niemowlę,niemowlę,Niemowlę,niemowlę,babies
ἀποθήκη,70,unigram,feminine,accusative,singular,pszenicę,2.153791179937594,,,pszenicę,,pszenicę,barn
ζώνη,172,unigram,feminine,accusative,plural,bierzcie,1.2558531649023847,,,,bierzcie,,belt
βλασφημία,32,unigram,feminine,accusative,plural,,,myślić,obraża,rozważać,,zastanawiać,blasphemy
βλασφημία,94,unigram,feminine,accusative,singular,Czego,1.09616052261121,,,,Czego,,blasphemy
