lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1518_translation,english_translation
θεός,727,unigram,masculine,accusative,plural,noi̱na,1.0603242713908851,noi̱na,God
θεός,539,unigram,masculine,accusative,singular,Dio,1.9475227393329404,Dio,God
θεός,443,unigram,masculine,nominative,plural,―Ndachro,1.7146472685540581,―Ndachro,God
θεός,614,unigram,masculine,nominative,singular,Dio,4.579089884455819,Dio,God
κύριος,540,unigram,masculine,nominative,singular,nchée,1.2401451746532655,nchée,"Lord, lord, master"
γραφή,535,unigram,feminine,accusative,plural,chijnie,1.0056256664789287,chijnie,Scripture
γραφή,465,unigram,feminine,accusative,singular,xroon,1.0805105911060202,xroon,Scripture
γραφή,664,unigram,feminine,nominative,plural,xroon,1.3864035646026482,xroon,Scripture
γραφή,722,unigram,feminine,nominative,singular,xroon,1.089059294135964,xroon,Scripture
ἄγγελος,510,unigram,masculine,accusative,plural,ángel,2.024558304312681,ángel,angel
ἄγγελος,498,unigram,masculine,accusative,singular,xroxruanꞌan,1.0959638003400631,xroxruanꞌan,angel
ἄγγελος,461,unigram,masculine,nominative,plural,ángel,4.008645542326907,ángel,angel
ἄγγελος,519,unigram,masculine,nominative,singular,ángel,5.679694660574009,ángel,angel
ἀπόστολος,458,unigram,masculine,nominative,plural,―Tingijnaninta,1.1057117606737532,―Tingijnaninta,apostle
ἀπόστολος,420,unigram,masculine,nominative,singular,*Naa,1.081111168539736,*Naa,apostle
ἐξουσία,483,unigram,feminine,accusative,plural,tsjatingíexinnta,1.1135345497336029,tsjatingíexinnta,authority
ἐξουσία,604,unigram,feminine,accusative,singular,juachaxin,2.918119976809988,juachaxin,authority
βρέφος,431,unigram,neuter,accusative,plural,kuyakutee,1.101339953503378,kuyakutee,babies
βρέφος,721,unigram,neuter,accusative,singular,iko,1.527444243640461,iko,babies
ἀποθήκη,482,unigram,feminine,accusative,singular,noatrigo,1.311619114843755,noatrigo,barn
ἀρχή,485,unigram,feminine,accusative,plural,tsjatingíexinnta,1.029821889890743,tsjatingíexinnta,beginning
ζώνη,579,unigram,feminine,accusative,plural,cobre,1.0960524252565438,cobre,belt
