lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1468_translation,english_translation
θεός,339,unigram,masculine,accusative,plural,jojoorowà,1.1117889799742575,jojoorowà,God
θεός,136,unigram,masculine,accusative,singular,Pwiduée,1.7578630338909402,Pwiduée,God
θεός,28,unigram,masculine,nominative,plural,pwiduée,1.6209665079220967,pwiduée,God
θεός,216,unigram,masculine,nominative,singular,Pwiduée,4.582913509493047,Pwiduée,God
κύριος,341,unigram,masculine,nominative,plural,apooé,1.2150588415383703,apooé,"Lord, lord, master"
κύριος,137,unigram,masculine,nominative,singular,Ukai,1.4376036868915312,Ukai,"Lord, lord, master"
γραφή,131,unigram,feminine,accusative,plural,Pwicîri,1.3621587699082964,Pwicîri,Scripture
γραφή,50,unigram,feminine,accusative,singular,*Tii,1.4287969183108784,*Tii,Scripture
γραφή,271,unigram,feminine,nominative,plural,Tii,1.2170357557236158,Tii,Scripture
γραφή,333,unigram,feminine,nominative,singular,Pwicîri,1.1985440120206,Pwicîri,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,*angela,2.035724494446994,*angela,angel
ἄγγελος,46,unigram,masculine,nominative,plural,*angela,1.170202024452706,*angela,angel
ἄγγελος,112,unigram,masculine,nominative,singular,angela,1.5500604886662572,angela,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,apostolo,1.52258445664485,apostolo,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,pwamuru,1.0187986053752796,pwamuru,apostle
ἐξουσία,69,unigram,feminine,accusative,plural,tâjùruwà,1.0298634928307857,tâjùruwà,authority
ἐξουσία,208,unigram,feminine,accusative,singular,tàrù,2.9366482332628787,tàrù,authority
βρέφος,16,unigram,neuter,accusative,plural,*pwényunyuâarirà,1.0662889959392077,*pwényunyuâarirà,babies
βρέφος,332,unigram,neuter,accusative,singular,aunaa,1.3718189534826868,aunaa,babies
ἀποθήκη,68,unigram,feminine,accusative,singular,cîri,1.2023778869231578,cîri,barn
φραγμός,242,unigram,masculine,accusative,plural,pâmarirà,1.0709860603402812,pâmarirà,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,tâjùruwà,1.029821889890743,tâjùruwà,beginning
ζώνη,180,unigram,feminine,accusative,plural,mwani—wâpà,1.3846503287052794,mwani—wâpà,belt
βλασφημία,31,unigram,feminine,accusative,plural,pinabaèpà,1.2125775833869603,pinabaèpà,blasphemy
βλασφημία,99,unigram,feminine,accusative,singular,Naaco,1.1062887916934805,Naaco,blasphemy
βλασφημία,214,unigram,feminine,nominative,plural,piècaari,1.1795452282658914,piècaari,blasphemy
βλασφημία,85,unigram,feminine,nominative,singular,tùra,1.3483592253114722,tùra,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,wànga,1.5457121515339904,wànga,boat
πλοῖον,318,unigram,neuter,accusative,singular,wànga,2.8502237205109355,wànga,boat
πλοῖον,248,unigram,neuter,nominative,plural,wiârà,1.0298707763537895,wiârà,boat
πλοῖον,235,unigram,neuter,nominative,singular,wànga,2.10664453538768,wànga,boat
κλῆμα,56,unigram,neuter,nominative,plural,tiàuo,1.1613200159490844,tiàuo,branch
κλῆμα,154,unigram,neuter,nominative,singular,ditàra,1.687198182565071,ditàra,branch
ἄρτος,322,unigram,masculine,accusative,plural,poloa,3.66366226809229,poloa,bread
ἄρτος,352,unigram,masculine,accusative,singular,poloa,2.9346364638003477,poloa,bread
ἄρτος,163,unigram,masculine,nominative,plural,poloa,1.9228378984023888,poloa,bread
ἄρτος,38,unigram,masculine,nominative,singular,poloa,2.063571066773193,poloa,bread
ἀδελφός,308,unigram,masculine,accusative,plural,aéjii,3.1753685376177763,aéjii,brother
ἀδελφός,124,unigram,masculine,accusative,singular,aéjii,1.6632071255356364,aéjii,brother
ἀδελφός,115,unigram,masculine,nominative,plural,aéjii,2.2682804326202857,aéjii,brother
ἀδελφός,240,unigram,masculine,nominative,singular,aéjii,1.3236718733317396,aéjii,brother
στῆθος,160,unigram,neuter,accusative,plural,pwâranümarà,1.0140630412715526,pwâranümarà,"chest, breast"
στῆθος,293,unigram,neuter,accusative,singular,tabiié,1.3222846604495673,tabiié,"chest, breast"
