lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1539_translation,english_translation
θεός,362,unigram,masculine,accusative,plural,พูนำ,1.302468710640635,พูนำ,God
θεός,151,unigram,masculine,accusative,singular,ลือ,1.130039755235622,ลือ,God
θεός,33,unigram,masculine,nominative,plural,พูนำ,1.2904854284073894,พูนำ,God
θεός,234,unigram,masculine,nominative,singular,เอาซาง,3.4873944554829848,เอาซาง,God
κύριος,152,unigram,masculine,nominative,singular,งกีจ็อง,1.2201496183919285,งกีจ็อง,"Lord, lord, master"
γραφή,146,unigram,feminine,accusative,plural,เคาใจ,1.3605875768875049,เคาใจ,Scripture
γραφή,58,unigram,feminine,accusative,singular,นังซือ,1.6109386070614988,นังซือ,Scripture
γραφή,291,unigram,feminine,nominative,plural,นังซือ,1.1185455192766185,นังซือ,Scripture
γραφή,356,unigram,feminine,nominative,singular,นังซือ,1.0164754781899532,นังซือ,Scripture
ἄγγελος,112,unigram,masculine,accusative,plural,เทวาดา,3.11054704738236,เทวาดา,angel
ἄγγελος,94,unigram,masculine,accusative,singular,เตียม,1.0488978968581038,เตียม,angel
ἄγγελος,54,unigram,masculine,nominative,plural,เทวาดา,6.731389575225924,เทวาดา,angel
ἄγγελος,123,unigram,masculine,nominative,singular,เทวาดา,5.04532369139026,เทวาดา,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,ตัวแทน,3.849115114526181,ตัวแทน,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,ญด,1.0968652678672173,ญด,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,คะดี,1.2583494439180527,คะดี,authority
ἐξουσία,224,unigram,feminine,accusative,singular,อำนาด,1.2335603534438522,อำนาด,authority
βρέφος,19,unigram,neuter,accusative,plural,แกบ,1.0445012209497662,แกบ,babies
βρέφος,354,unigram,neuter,accusative,singular,มพ็อห,1.2583302237913654,มพ็อห,babies
ἀποθήκη,298,unigram,feminine,accusative,plural,ราน,1.7652102707445383,ราน,barn
ἀποθήκη,78,unigram,feminine,accusative,singular,ราน,1.2570287789640615,ราน,barn
φραγμός,260,unigram,masculine,accusative,plural,แตๆ,1.32963362351658,แตๆ,"barrier, wall"
φραγμός,128,unigram,masculine,accusative,singular,งวัะ,1.1467983159186694,งวัะ,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,คะดี,1.2579758600299606,คะดี,beginning
ἀρχή,205,unigram,feminine,accusative,singular,อังเยซู,1.290008249927023,อังเยซู,beginning
ζώνη,197,unigram,feminine,accusative,plural,ซะลึง,1.4852048450890916,ซะลึง,belt
ζώνη,250,unigram,feminine,accusative,singular,งคราดๆ,1.0968336258900309,งคราดๆ,belt
βλασφημία,37,unigram,feminine,accusative,plural,แอ็ห,1.0300981626104715,แอ็ห,blasphemy
βλασφημία,110,unigram,feminine,accusative,singular,ซาก,1.1468441483923415,ซาก,blasphemy
βλασφημία,232,unigram,feminine,nominative,plural,โตด,1.0295385369112076,โตด,blasphemy
βλασφημία,95,unigram,feminine,nominative,singular,ดูทูก,1.2652358645109991,ดูทูก,blasphemy
πλοῖον,121,unigram,neuter,accusative,plural,เฮือ,1.3415307708691595,เฮือ,boat
