lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_636_translation,english_translation
θεός,128,unigram,masculine,accusative,singular,God,3.6550880730802713,God,God
θεός,28,unigram,masculine,nominative,plural,gods,1.2591437047102771,gods,God
θεός,195,unigram,masculine,nominative,singular,God,8.04768811888914,God,God
κύριος,129,unigram,masculine,nominative,singular,Bada,2.911461998428208,Bada,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,giruma,1.0266278586498954,giruma,Scripture
γραφή,47,unigram,feminine,accusative,singular,katamana,1.3713928349874585,katamana,Scripture
γραφή,250,unigram,feminine,nominative,plural,tupuwa,1.1125900053870406,tupuwa,Scripture
γραφή,309,unigram,feminine,nominative,singular,giruma,1.0237717731960023,giruma,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,aneya,2.187162155625236,aneya,angel
ἄγγελος,79,unigram,masculine,accusative,singular,maghinomuwai,1.2226760186993908,maghinomuwai,angel
ἄγγελος,45,unigram,masculine,nominative,plural,aneya,1.6842854368819469,aneya,angel
ἄγγελος,102,unigram,masculine,nominative,singular,aneya,1.4732384694677314,aneya,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,ivonaverei,1.1669818354011017,ivonaverei,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,ivonavonatawei,1.0960817954296525,ivonavonatawei,apostle
ἐξουσία,65,unigram,feminine,accusative,plural,tupavireviremi,1.0441865164216328,tupavireviremi,authority
ἐξουσία,187,unigram,feminine,accusative,singular,rewapana,3.4689654275249997,rewapana,authority
βρέφος,15,unigram,neuter,accusative,plural,votovonisi,1.0595416318177246,votovonisi,babies
βρέφος,307,unigram,neuter,accusative,singular,siga,1.0441063733306788,siga,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,whiti,1.2614109106588662,whiti,barn
φραγμός,219,unigram,masculine,accusative,plural,kunekwisi,1.212529657217808,kunekwisi,"barrier, wall"
ἀρχή,67,unigram,feminine,accusative,plural,tupavireviremi,1.0441287885892618,tupavireviremi,beginning
ἀρχή,170,unigram,feminine,accusative,singular,karena,1.1188889224190788,karena,beginning
ζώνη,163,unigram,feminine,accusative,plural,baba,1.0400199886441843,baba,belt
βλασφημία,31,unigram,feminine,accusative,plural,iavaberowei,1.309405351641145,iavaberowei,blasphemy
βλασφημία,89,unigram,feminine,accusative,singular,tavi,1.0960768946513286,tavi,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,waka,1.9635189782858984,waka,boat
πλοῖον,295,unigram,neuter,accusative,singular,waka,1.8223766101132441,waka,boat
πλοῖον,225,unigram,neuter,nominative,plural,wakana,1.2560353802588686,wakana,boat
πλοῖον,211,unigram,neuter,nominative,singular,waka,2.200298819284001,waka,boat
σῶμα,200,unigram,neuter,nominative,plural,turaoruwana,1.1063506554444371,turaoruwana,body
σῶμα,56,unigram,neuter,nominative,singular,tupuwim,1.644043792184137,tupuwim,body
κλῆμα,143,unigram,neuter,nominative,singular,raghana,1.2377993660996982,raghana,branch
ἄρτος,298,unigram,masculine,accusative,plural,parawa,2.09781644662857,parawa,bread
ἄρτος,323,unigram,masculine,accusative,singular,parawa,1.803427710238176,parawa,bread
ἄρτος,147,unigram,masculine,nominative,plural,gimari,1.0955600662777203,gimari,bread
ἄρτος,37,unigram,masculine,nominative,singular,vavina,1.0227541708986678,vavina,bread
ἀδελφός,286,unigram,masculine,accusative,plural,natunatuna,1.1877582689604242,natunatuna,brother
ἀδελφός,114,unigram,masculine,accusative,singular,Jemes,1.0077689765390567,Jemes,brother
ἀδελφός,105,unigram,masculine,nominative,plural,yoghoyogho,1.6204891092322669,yoghoyogho,brother
ἀδελφός,217,unigram,masculine,nominative,singular,varesina,1.6696167383750382,varesina,brother
στῆθος,271,unigram,neuter,accusative,singular,rugwabi,1.5120216463302811,rugwabi,"chest, breast"
ἀρχιερεύς,230,unigram,masculine,accusative,plural,babadisi,1.0930661136247428,babadisi,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,Kayapas,1.2137658278281458,Kayapas,chief priest
ἀρχιερεύς,113,unigram,masculine,nominative,plural,babada,1.024586953521725,babada,chief priest
ἀρχιερεύς,235,unigram,masculine,nominative,singular,taparoro,1.0612796981535242,taparoro,chief priest
παῖς,221,unigram,masculine,accusative,plural,ipughu,1.3472202264044002,ipughu,child
τέκνον,316,unigram,neuter,accusative,plural,natunatuna,2.023639615892622,natunatuna,child
τέκνον,168,unigram,neuter,accusative,singular,varesina,1.2610263120475658,varesina,child
τέκνον,16,unigram,neuter,nominative,plural,ghaviyesi,1.068626691954887,ghaviyesi,child
τέκνον,180,unigram,neuter,nominative,singular,Natuku,3.1043667132651103,Natuku,child
παιδίον,85,unigram,neuter,accusative,singular,kikei,3.4340054724367937,kikei,child
παιδίον,161,unigram,neuter,nominative,plural,ededa,1.276930105960275,ededa,child
παιδίον,38,unigram,neuter,nominative,singular,meyem,1.0318377745584828,meyem,child
πόλις,171,unigram,feminine,accusative,plural,kwanatu,1.1984448944394033,kwanatu,city
πόλις,60,unigram,feminine,accusative,singular,kwanatu,2.322242556097569,kwanatu,city
πύλη,254,unigram,feminine,nominative,plural,ghegavovori,1.0960622061228922,ghegavovori,city gate
πύλη,193,unigram,feminine,nominative,singular,bikokonai,1.179589202084887,bikokonai,city gate
χιτών,110,unigram,masculine,accusative,plural,gara,1.4051647575322952,gara,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,gara,1.2420266559205266,gara,"clothing, undergarments"
ἱμάτιον,126,unigram,neuter,accusative,plural,tarasovo,1.2124088134975917,tarasovo,coat
ἱμάτιον,125,unigram,neuter,accusative,singular,gara,1.735581544258186,gara,coat
ἐντολή,76,unigram,feminine,accusative,plural,bagibagisi,2.6866505924094457,bagibagisi,commandment
ἐντολή,74,unigram,feminine,accusative,singular,sisiya,1.0939828324393253,sisiya,commandment
συνέδριον,302,unigram,neuter,accusative,plural,widimi,1.2633914052661706,widimi,council
συνέδριον,49,unigram,neuter,accusative,singular,kiidaburana,1.5032513261527445,kiidaburana,council
χώρα,275,unigram,feminine,accusative,singular,Gerasa,1.1243238322318654,Gerasa,"country, countryside"
ὄχλος,53,unigram,masculine,accusative,plural,koroto,2.7521213350618208,koroto,crowd
ὄχλος,10,unigram,masculine,accusative,singular,koroto,4.1471594097931375,koroto,crowd
ὄχλος,93,unigram,masculine,nominative,plural,koroto,2.1508527414400325,koroto,crowd
ὄχλος,267,unigram,masculine,nominative,singular,koroto,1.6701555594720043,koroto,crowd
θυγάτηρ,108,unigram,feminine,nominative,plural,tuweku,1.2127581307420916,tuweku,daughter
θυγάτηρ,297,unigram,feminine,nominative,singular,wavinena,1.2052423139859851,wavinena,daughter
ἡμέρα,70,unigram,feminine,accusative,plural,mara,1.6906088366413166,mara,day
ἡμέρα,80,unigram,feminine,accusative,singular,nonowa,1.0076748942346871,nonowa,day
ἡμέρα,2,unigram,feminine,nominative,plural,mara,1.1613819789691744,mara,day
ἡμέρα,62,unigram,feminine,nominative,singular,itom,1.456543979658706,itom,day
ὀφειλέτης,238,unigram,masculine,nominative,plural,Silowam,1.059531995066612,Silowam,debtor
ὀφειλέτης,116,unigram,masculine,nominative,singular,irutinapiyei,1.1277788911398037,irutinapiyei,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,kanuma,1.1137707174265734,kanuma,demon
δαιμόνιον,312,unigram,neuter,accusative,singular,berona,1.4799751406676078,berona,demon
δαιμόνιον,182,unigram,neuter,nominative,plural,kanuma,1.1602346215997081,kanuma,demon
δαιμόνιον,159,unigram,neuter,nominative,singular,kanuma,1.1443960910284536,kanuma,demon
δηνάριον,291,unigram,neuter,accusative,plural,silva,1.1011634172832625,silva,denarius (about a day's wages)
δηνάριον,149,unigram,neuter,accusative,singular,riririghina,1.5253759621050529,riririghina,denarius (about a day's wages)
μαθητής,166,unigram,masculine,accusative,plural,kivikivina,1.7594459216952096,kivikivina,disciple
μαθητής,317,unigram,masculine,accusative,singular,ivii,1.0383236056003955,ivii,disciple
μαθητής,261,unigram,masculine,nominative,plural,kivikivina,2.195985775464599,kivikivina,disciple
μαθητής,315,unigram,masculine,nominative,singular,kwinana,1.294147210587854,kwinana,disciple
νόσος,3,unigram,feminine,accusative,plural,gubaga,1.4234434795235646,gubaga,disease
νόσος,69,unigram,feminine,accusative,singular,gubaga,1.0913887067652188,gubaga,disease
περιστερά,92,unigram,feminine,accusative,plural,gabubu,1.3699141926133136,gabubu,dove
περιστερά,51,unigram,feminine,accusative,singular,gabubu,1.5272265338515965,gabubu,dove
οὖς,142,unigram,neuter,accusative,plural,tinimi,1.1695843169519509,tinimi,ear
οὖς,266,unigram,neuter,accusative,singular,Aviyavisina,1.1178712656429943,Aviyavisina,ear
σεισμός,188,unigram,masculine,nominative,plural,gomara,1.4077416934100555,gomara,"earthquakes, storm"
τέλος,32,unigram,neuter,accusative,plural,miiyei.,1.0961112485594913,miiyei.,end
τέλος,258,unigram,neuter,accusative,singular,miirikikina,1.6616181872051896,miirikikina,end
αἰών,222,unigram,masculine,accusative,plural,Jeikap,1.195761485414919,Jeikap,eternity
αἰών,287,unigram,masculine,accusative,singular,makii,1.2367058383584242,makii,eternity
ὀφθαλμός,22,unigram,masculine,accusative,plural,matam,1.0562844871140062,matam,eye
ὀφθαλμός,59,unigram,masculine,nominative,plural,matasi,2.207221704052144,matasi,eye
ὀφθαλμός,284,unigram,masculine,nominative,singular,matam,1.847100792613651,matam,eye
πρόσωπον,115,unigram,neuter,accusative,plural,maghighisi,1.1063446289765493,maghighisi,face
πρόσωπον,178,unigram,neuter,accusative,singular,kakovi,1.1959210429581917,kakovi,face
λιμός,6,unigram,feminine,nominative,plural,gomara,1.0595416318177244,gomara,famine
γεωργός,237,unigram,masculine,nominative,plural,tirapenei,1.154813330325959,tirapenei,"farmer, tenant"
πατήρ,290,unigram,masculine,accusative,singular,Mamai,1.6935563934762163,Mamai,father
πατήρ,172,unigram,masculine,nominative,singular,Mamai,3.8860279440565617,Mamai,father
σύνδουλος,82,unigram,masculine,accusative,singular,kamyuyuwem,1.210107806930739,kamyuyuwem,"fellow-servant, colleague"
σύνδουλος,106,unigram,masculine,nominative,singular,kamyuyuweku,1.063626032407242,kamyuyuweku,"fellow-servant, colleague"
ἀγρός,311,unigram,masculine,accusative,plural,dipiiyai,1.6523766267937248,dipiiyai,field
δάκτυλος,165,unigram,masculine,accusative,singular,pitarina,1.210120765384945,pitarina,finger
ἰχθύς,145,unigram,masculine,accusative,plural,iyana,1.7300427008692736,iyana,fish
ἰχθύς,177,unigram,masculine,accusative,singular,mota,1.1011865940121015,mota,fish
δίκτυον,101,unigram,neuter,accusative,plural,wito,4.0382562935374455,wito,fishing net
δίκτυον,185,unigram,neuter,accusative,singular,wito,1.5091332413384255,wito,fishing net
δίκτυον,160,unigram,neuter,nominative,plural,tamoyarayaragheyana,1.0960965115985384,tamoyarayaragheyana,fishing net
τροφή,227,unigram,feminine,accusative,plural,gimara,1.2403810157423678,gimara,food
πούς,218,unigram,masculine,accusative,plural,kaena,1.2314827343543842,kaena,foot
πούς,104,unigram,masculine,accusative,singular,vokemim,1.0596518186078558,vokemim,foot
καρπός,169,unigram,masculine,accusative,plural,amena,1.9287115567331112,amena,"fruit, crop, harvest"
καρπός,214,unigram,masculine,accusative,singular,amena,1.2149167089094146,amena,"fruit, crop, harvest"
πλήρωμα,253,unigram,neuter,accusative,plural,puwata,1.0938446905342378,puwata,fullness
πλήρωμα,306,unigram,neuter,accusative,singular,tamosikana,1.0595352057902494,tamosikana,fullness
γενεά,255,unigram,feminine,accusative,plural,vikamyuyuwa,1.0961654628313675,vikamyuyuwa,generation
γενεά,215,unigram,feminine,accusative,singular,kimtina,1.2039457494918535,kimtina,generation
γενεά,141,unigram,feminine,nominative,singular,kimtina,1.6964483417818157,kimtina,generation
δῶρον,289,unigram,neuter,accusative,plural,mura,1.072045125491259,mura,gift
δῶρον,150,unigram,neuter,accusative,singular,suwara,1.9006356277603376,suwara,gift
ἡγεμών,158,unigram,masculine,accusative,plural,tupavireviremi,1.0811206535908369,tupavireviremi,"governor, ruler"
ἡγεμών,12,unigram,masculine,accusative,singular,kawapotapota,1.2930383672532018,kawapotapota,"governor, ruler"
ἀσπασμός,299,unigram,masculine,accusative,plural,gawarisiyai,1.0611278534674544,gawarisiyai,greeting
θρίξ,86,unigram,feminine,nominative,plural,yavi,1.4880304104815436,yavi,hair
θρίξ,199,unigram,feminine,nominative,singular,uyawimi,1.480183910794003,uyawimi,hair
χείρ,203,unigram,feminine,accusative,singular,gibegibesina,1.0894965417264248,gibegibesina,hand
κεφαλή,134,unigram,feminine,accusative,plural,ketiyai,1.240311746950211,ketiyai,head
κεφαλή,191,unigram,feminine,accusative,singular,gayamina,2.1203470217695046,gayamina,head
στάχυς,192,unigram,masculine,accusative,plural,tinamuyana,1.2147303964010356,tinamuyana,head of grain
οὐρανός,7,unigram,masculine,accusative,plural,igheghetawei,1.0967444846296657,igheghetawei,"heaven, sky"
οὐρανός,249,unigram,masculine,accusative,singular,kunuma,2.3845620366175515,kunuma,"heaven, sky"
οὐρανός,183,unigram,masculine,nominative,singular,wapa,1.0731526529714068,wapa,"heaven, sky"
ὥρα,25,unigram,feminine,nominative,singular,epipisi,1.0251518066707628,epipisi,hour
οἰκία,303,unigram,feminine,accusative,singular,numa,3.6425370111705764,numa,house
οἶκος,264,unigram,masculine,accusative,plural,turaturaku,1.0442296012686283,turaturaku,"house, home"
οἶκος,21,unigram,masculine,accusative,singular,numa,2.2878776174644884,numa,"house, home"
κριτής,288,unigram,masculine,nominative,plural,koibero,1.1454672352426896,koibero,judge
κριτής,152,unigram,masculine,nominative,singular,vitupavira,1.4079967979494603,vitupavira,judge
κλείς,78,unigram,feminine,accusative,plural,murim,1.0960524252565438,murim,key
βασιλεύς,99,unigram,masculine,accusative,plural,tupavireviremi,1.081268859687028,tupavireviremi,king
βασιλεύς,54,unigram,masculine,accusative,singular,kiivavo,1.8182584992066384,kiivavo,king
βασιλεία,72,unigram,feminine,accusative,plural,beyei,1.3902384597012372,beyei,kingdom
βασιλεία,148,unigram,feminine,accusative,singular,vikiivavona,3.1772554513938025,vikiivavona,kingdom
κόπος,186,unigram,masculine,accusative,plural,yeghai,1.7238900487080626,yeghai,"labour, work, trouble, difficulty"
λύχνος,236,unigram,masculine,nominative,plural,kokapuna,1.0960768946513286,kokapuna,lamp
λύχνος,212,unigram,masculine,nominative,singular,kibe,1.687193417274326,kibe,lamp
κλῆρος,90,unigram,masculine,accusative,plural,eberaberai.,1.0960622061228922,eberaberai.,"lots (casting of lots), inheritance"
κλῆρος,1,unigram,masculine,accusative,singular,virekwa,1.6399563566029425,virekwa,"lots (casting of lots), inheritance"
ἄνθρωπος,277,unigram,masculine,accusative,plural,wawaya,1.1678629985656497,wawaya,man
ἄνθρωπος,239,unigram,masculine,accusative,singular,tomowa,1.086199971296656,tomowa,man
