lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1778_translation,english_translation
θεός,229,unigram,masculine,accusative,plural,wañuta,1.0572803734891312,wañuta,God
θεός,85,unigram,masculine,accusative,singular,Diosta,1.1071279537726717,Diosta,God
θεός,139,unigram,masculine,nominative,singular,Yaya,1.6782301072968766,Yaya,God
κύριος,86,unigram,masculine,nominative,singular,patronka,1.704254361875719,patronka,"Lord, lord, master"
γραφή,82,unigram,feminine,accusative,plural,llullachirinkichi,1.0716421145385209,llullachirinkichi,Scripture
γραφή,30,unigram,feminine,accusative,singular,killkachishkanta,1.6951661518768368,killkachishkanta,Scripture
γραφή,175,unigram,feminine,nominative,plural,apiwahunkichi,1.3748162557756474,apiwahunkichi,Scripture
γραφή,224,unigram,feminine,nominative,singular,riman,1.0746230556303933,riman,Scripture
ἄγγελος,60,unigram,masculine,accusative,plural,angelkunata,1.0521758238740506,angelkunata,angel
ἄγγελος,28,unigram,masculine,nominative,plural,angelkunaka,1.9737446670918404,angelkunaka,angel
ἄγγελος,70,unigram,masculine,nominative,singular,angelka,3.1359445449501324,angelka,angel
ἀπόστολος,25,unigram,masculine,nominative,plural,apostolninkunaka,1.9649818362322895,apostolninkunaka,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,kachak,1.0960817954296525,kachak,apostle
ἐξουσία,131,unigram,feminine,accusative,singular,Yachanaykichipa,1.0102367071429368,Yachanaykichipa,authority
βρέφος,222,unigram,neuter,accusative,singular,sirihukta,1.0441063733306788,sirihukta,babies
φραγμός,157,unigram,masculine,accusative,plural,ñampikunamana,1.161311312321613,ñampikunamana,"barrier, wall"
ζώνη,115,unigram,feminine,accusative,plural,rihushkaykichipi,1.1613026128296644,rihushkaykichipi,belt
βλασφημία,137,unigram,feminine,nominative,plural,millaypata,1.2228627963322856,millaypata,blasphemy
πλοῖον,68,unigram,neuter,accusative,plural,botinkunata,1.9576445096253965,botinkunata,boat
πλοῖον,210,unigram,neuter,accusative,singular,botipi,4.817861237326991,botipi,boat
πλοῖον,152,unigram,neuter,nominative,singular,botipi,1.5892558767138063,botipi,boat
σῶμα,144,unigram,neuter,nominative,plural,wañushka,1.5028442562128237,wañushka,body
κλῆμα,36,unigram,neuter,nominative,plural,rurahushkaykichika,1.0960622061228922,rurahushkaykichika,branch
κλῆμα,96,unigram,neuter,nominative,singular,rama,1.1062648286089038,rama,branch
ἄρτος,214,unigram,masculine,accusative,plural,panta,1.4014438897978114,panta,bread
ἄρτος,235,unigram,masculine,accusative,singular,panta,1.8870115936966465,panta,bread
ἄρτος,101,unigram,masculine,nominative,plural,runakunaraykuka,1.6316498176982794,runakunaraykuka,bread
ἄρτος,21,unigram,masculine,nominative,singular,silumanta,1.2188210038431813,silumanta,bread
ἀδελφός,76,unigram,masculine,accusative,singular,wawkin,3.0920568749769686,wawkin,brother
ἀδελφός,71,unigram,masculine,nominative,plural,kanchapi,1.2479473995549824,kanchapi,brother
ἀδελφός,155,unigram,masculine,nominative,singular,wawkin,1.818587547119684,wawkin,brother
στῆθος,99,unigram,neuter,accusative,plural,pasashkata,1.2870833410549658,pasashkata,"chest, breast"
