lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_483_translation,version_484_translation,english_translation
θεός,90,unigram,masculine,accusative,singular,Diosta,10.078654404237525,Diosta,Diosta,God
θεός,140,unigram,masculine,nominative,singular,Diosqa,3.079697192241159,Diosqa,Diosqa,God
κύριος,91,unigram,masculine,nominative,singular,Señor,7.5281970642502305,Señor,Señor,"Lord, lord, master"
γραφή,88,unigram,feminine,accusative,plural,Simin,3.6133714216030586,Simin,Simin,Scripture
γραφή,36,unigram,feminine,accusative,singular,Qelqata,1.9024230018846613,Qelqata,Qelqata,Scripture
γραφή,178,unigram,feminine,nominative,plural,Simin,1.508192206738028,Simin,Simin,Scripture
γραφή,217,unigram,feminine,nominative,singular,Qelqa,1.2420811602969355,Qelqa,Qelqa,Scripture
ἄγγελος,66,unigram,masculine,accusative,plural,,,angelninkunata,angelniykunata,angel
ἄγγελος,33,unigram,masculine,nominative,plural,angelkuna,1.6828922122954635,angelkuna,angelkuna,angel
ἄγγελος,75,unigram,masculine,nominative,singular,angelninqa,1.0849702856752952,angelninqa,angelninqa,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,,,Apostolkunataq,Apostolkunataq*f**,apostle
ἐξουσία,133,unigram,feminine,accusative,singular,atiyta,7.426239443071361,atiyta,atiyta,authority
βρέφος,9,unigram,neuter,accusative,plural,,,phiñarirqanku,phiñarirqan,babies
βρέφος,216,unigram,neuter,accusative,singular,qaranapi,1.1687604011307067,qaranapi,qaranapi,babies
ἀποθήκη,182,unigram,feminine,accusative,plural,aswan,1.09857497215479,aswan,aswan,barn
βλασφημία,23,unigram,feminine,accusative,plural,pisichaspa,1.2013845589884997,pisichaspa,pisichaspa,blasphemy
πλοῖον,73,unigram,neuter,accusative,plural,qocha,1.8382296517901857,qocha,qocha,boat
πλοῖον,206,unigram,neuter,accusative,singular,boteman,5.591450638979035,boteman,boteman,boat
πλοῖον,153,unigram,neuter,nominative,singular,boteqa,3.379679472774019,boteqa,boteqa,boat
κλῆμα,98,unigram,neuter,nominative,singular,huklla,1.2365753465415261,huklla,huklla,branch
ἄρτος,209,unigram,masculine,accusative,plural,t'antata,2.2791268091129635,t'antata,t'antata,bread
ἄρτος,228,unigram,masculine,accusative,singular,t'antata,5.539607014624031,t'antata,t'antata,bread
ἄρτος,104,unigram,masculine,nominative,plural,kay,1.0030608546173276,,kay,bread
ἄρτος,28,unigram,masculine,nominative,singular,t'antaqa,2.892737885926994,t'antaqa,t'antaqa,bread
ἀδελφός,83,unigram,masculine,accusative,singular,wawqen,3.68646027437112,wawqen,wawqen,brother
ἀδελφός,77,unigram,masculine,nominative,plural,wawqeykunapas,1.240989758130112,wawqeykunapas,,brother
ἀδελφός,155,unigram,masculine,nominative,singular,wawqen,1.0942558995566156,wawqen,wawqen,brother
στῆθος,192,unigram,neuter,accusative,singular,k'iraykurisqa,1.0985809522497467,k'iraykurisqa,k'iraykurisqa,"chest, breast"
ἀρχιερεύς,163,unigram,masculine,accusative,plural,sacerdote,3.367177369097096,sacerdote,sacerdote,chief priest
ἀρχιερεύς,45,unigram,masculine,accusative,singular,sacerdote,1.8929186119551034,sacerdote,sacerdote,chief priest
ἀρχιερεύς,82,unigram,masculine,nominative,plural,sacerdote,2.3011828831298806,sacerdote,sacerdote,chief priest
ἀρχιερεύς,167,unigram,masculine,nominative,singular,uma,2.314464811433449,uma,uma,chief priest
παῖς,159,unigram,masculine,accusative,plural,qhari,1.9220557127003173,qhari,qhari,child
τέκνον,223,unigram,neuter,accusative,plural,wawankunata,3.707982673351373,wawankunata,wawankunata,child
τέκνον,119,unigram,neuter,accusative,singular,,,Wawqenmi,Wawqen,child
τέκνον,10,unigram,neuter,nominative,plural,,,Wawqenmi,Wawqen,child
τέκνον,129,unigram,neuter,nominative,singular,,,–Churíy,—Churíy,child
παιδίον,63,unigram,neuter,accusative,singular,wawata,7.491600166401903,wawata,wawata,child
παιδίον,29,unigram,neuter,nominative,singular,wawa,1.9351465448353493,wawa,wawa,child
πόλις,121,unigram,feminine,accusative,plural,huch'uy,1.8970970591589007,huch'uy,huch'uy,city
πόλις,48,unigram,feminine,accusative,singular,llaqtaman,1.5891348338440796,llaqtaman,llaqtaman,city
ἱμάτιον,89,unigram,neuter,accusative,plural,p'achanta,1.447516100337068,p'achanta,p'achanta,coat
ἐντολή,58,unigram,feminine,accusative,singular,,,kamachikuytaqa,kamachikuyninta,commandment
συνέδριον,212,unigram,neuter,accusative,plural,apasunkichis,2.809533037581198,apasunkichis,apasunkichis,council
συνέδριον,38,unigram,neuter,accusative,singular,sacerdote,1.2854886355324682,sacerdote,sacerdote,council
χώρα,195,unigram,feminine,accusative,singular,hallp'anmanmi,1.1677242172255085,hallp'anmanmi,hallp'anmanmi,"country, countryside"
ὄχλος,42,unigram,masculine,accusative,plural,runakunata,7.854165991874036,runakunata,runakunata,crowd
ὄχλος,6,unigram,masculine,accusative,singular,runakunata,5.67208570058348,runakunata,runakunata,crowd
ὄχλος,68,unigram,masculine,nominative,plural,,,Runakunataq,qhepanta,crowd
ὄχλος,189,unigram,masculine,nominative,singular,askha,1.9689437022284113,askha,askha,crowd
ἡμέρα,55,unigram,feminine,accusative,plural,p'unchay,1.4021391493883535,p'unchay,p'unchay,day
ἡμέρα,59,unigram,feminine,accusative,singular,sapa,1.058981486883981,sapa,sapa,day
ἡμέρα,2,unigram,feminine,nominative,plural,p'unchaykuna,1.5710377770107997,p'unchaykuna,p'unchaykuna,day
ἡμέρα,50,unigram,feminine,nominative,singular,p'unchaymi,1.7098900615086077,p'unchaymi,p'unchaymi,day
δαιμόνιον,21,unigram,neuter,accusative,plural,supaykunata,4.506359967080207,supaykunata,supaykunata,demon
δαιμόνιον,219,unigram,neuter,accusative,singular,hunt'aykusqanmi,2.937104215888759,hunt'aykusqanmi,hunt'aykusqanmi,demon
δαιμόνιον,130,unigram,neuter,nominative,plural,supaykunapas,1.0767323478731108,supaykunapas,,demon
δαιμόνιον,114,unigram,neuter,nominative,singular,supayqa,3.700312085761137,supayqa,supayqa,demon
δηνάριον,204,unigram,neuter,accusative,plural,manukuqnin,1.5939392846232994,manukuqnin,manukuqnin,denarius (about a day's wages)
δηνάριον,106,unigram,neuter,accusative,singular,qolqeta,1.1806430518120772,qolqeta,qolqeta,denarius (about a day's wages)
μαθητής,117,unigram,masculine,accusative,plural,yachachisqankunata,19.3520153485589,yachachisqankunata,yachachisqankunata,disciple
μαθητής,224,unigram,masculine,accusative,singular,,,munasqa,munasqan,disciple
μαθητής,185,unigram,masculine,nominative,plural,yachachisqankunaqa,16.790556979314157,yachachisqankunaqa,yachachisqankunaqa,disciple
μαθητής,222,unigram,masculine,nominative,singular,yachachisqaqa,1.7357192706329447,yachachisqaqa,yachachisqaqa,disciple
νόσος,54,unigram,feminine,accusative,singular,qhaliyachispa,1.1972570533354252,qhaliyachispa,,disease
περιστερά,67,unigram,feminine,accusative,plural,wasiman,1.0236040869140564,wasiman,,dove
περιστερά,40,unigram,feminine,accusative,singular,uraykamushaqta,1.8764332689208312,uraykamushaqta,uraykamushaqta,dove
οὖς,188,unigram,neuter,accusative,singular,sut'ipi,2.457208194394705,sut'ipi,sut'ipi,ear
σεισμός,134,unigram,masculine,nominative,plural,pacha,1.0297423653386144,,pacha,"earthquakes, storm"
τέλος,183,unigram,neuter,accusative,singular,p'uchukaykama,2.184611596695734,p'uchukaykama,p'uchukaykama,end
αἰών,202,unigram,masculine,accusative,singular,hayk'aqpas,3.17452031120188,hayk'aqpas,hayk'aqpas,eternity
ὀφθαλμός,15,unigram,masculine,accusative,plural,qhawarispa,1.4013891443364037,qhawarispa,qhawarispa,eye
ὀφθαλμός,47,unigram,masculine,nominative,plural,Kutimuspataq,2.086950578991239,Kutimuspataq,Kutimuspataq,eye
ὀφθαλμός,201,unigram,masculine,nominative,singular,cuerpoykipas,1.5660115798578325,cuerpoykipas,cuerpoykipas,eye
πρόσωπον,126,unigram,neuter,accusative,singular,pampakama,1.7851549711194004,pampakama,pampakama,face
λιμός,3,unigram,feminine,nominative,plural,Llaqtakunan,1.1226284695549662,Llaqtakunan,Llaqtakunan,famine
γεωργός,168,unigram,masculine,nominative,plural,Llank'aqkunataq,3.0183399254360266,Llank'aqkunataq,Llank'aqkunataq,"farmer, tenant"
γεωργός,35,unigram,masculine,nominative,singular,yuraqa,1.0961112485594913,,yuraqa,"farmer, tenant"
πατήρ,203,unigram,masculine,accusative,singular,mamantapas,1.8876644306638781,mamantapas,mamantapas,father
πατήρ,208,unigram,masculine,nominative,plural,,,ñawpa,manna,father
πατήρ,122,unigram,masculine,nominative,singular,Yayaqa,2.297037981277921,Yayaqa,Yayaqa,father
ἰχθύς,101,unigram,masculine,accusative,plural,rakimunankupaq,1.5159742034205204,rakimunankupaq,rakimunankupaq,fish
δίκτυον,74,unigram,neuter,accusative,plural,llikankuta,2.476396776245561,llikankuta,llikankuta,fishing net
δίκτυον,132,unigram,neuter,accusative,singular,llikata,3.5572302624908767,llikata,llikata,fishing net
τροφή,161,unigram,feminine,accusative,plural,Yachachisqankunataqmi,1.096071996175396,Yachachisqankunataqmi,,food
τροφή,215,unigram,feminine,accusative,singular,qonanpaqwan,1.096071996175396,,qonanpaqwan,food
πούς,156,unigram,masculine,accusative,plural,,,ch'akichirqan,ñawpaqenpi,foot
καρπός,120,unigram,masculine,accusative,plural,rurun,1.1592258298253868,rurun,rurun,"fruit, crop, harvest"
πλήρωμα,180,unigram,neuter,accusative,plural,t'anta,2.3799355175554417,t'anta,t'anta,fullness
δῶρον,107,unigram,neuter,accusative,singular,ofrendaykita,3.7551407320788868,ofrendaykita,ofrendaykita,gift
ἡγεμών,113,unigram,masculine,accusative,plural,apasqa,2.7113565447501826,apasqa,apasqa,"governor, ruler"
ἡγεμών,7,unigram,masculine,accusative,singular,simillatapas,1.2014275627384847,simillatapas,simillatapas,"governor, ruler"
ἀσπασμός,210,unigram,masculine,accusative,plural,,,munanku,napaykunanta,greeting
χείρ,205,unigram,feminine,accusative,plural,makinta,3.4118245181986757,makinta,makinta,hand
χείρ,146,unigram,feminine,accusative,singular,ch'akisqa,1.5386787899681642,ch'akisqa,ch'akisqa,hand
κεφαλή,137,unigram,feminine,accusative,singular,umanta,2.4792374205476033,umanta,umanta,head
στάχυς,138,unigram,masculine,accusative,plural,umata,1.168739952329558,umata,umata,head of grain
καρδία,24,unigram,feminine,accusative,plural,ancha,1.700899566432883,ancha,ancha,heart
καρδία,127,unigram,feminine,nominative,singular,sonqoykichispi,1.6297676043007454,sonqoykichispi,sonqoykichispi,heart
οὐρανός,177,unigram,masculine,accusative,singular,hanaq,2.517876169513074,hanaq,hanaq,"heaven, sky"
ὥρα,18,unigram,feminine,nominative,singular,,,tiempon,hora,hour
οἰκία,213,unigram,feminine,accusative,singular,wasinman,1.4329495438313689,wasinman,wasinman,house
οἶκος,14,unigram,masculine,accusative,singular,wasinman,1.399885915917996,wasinman,wasinman,"house, home"
κριτής,109,unigram,masculine,nominative,singular,,,juezman,gobernadorman,judge
βασιλεύς,72,unigram,masculine,accusative,plural,apasqa,2.7174191983762865,apasqa,apasqa,king
βασιλεύς,43,unigram,masculine,accusative,singular,rey,1.5503784959701095,rey,rey,king
βασιλεία,57,unigram,feminine,accusative,plural,suyukunata,2.4411078532012356,suyukunata,suyukunata,kingdom
βασιλεία,105,unigram,feminine,accusative,singular,,,Diospa,Diosta,kingdom
κλῆρος,1,unigram,masculine,accusative,singular,sortearqanku,2.3479621559467017,sortearqanku,sortearqanku,"lots (casting of lots), inheritance"
ἄνθρωπος,197,unigram,masculine,accusative,plural,,,runakunaman,runakunatan,man
ἄνθρωπος,169,unigram,masculine,accusative,singular,runata,1.8900110221597621,runata,runata,man
ἄνθρωπος,80,unigram,masculine,nominative,plural,Cesarea,1.0875958846837148,,Cesarea,man
ἄνθρωπος,116,unigram,masculine,nominative,singular,runaqa,1.7082670027229432,runaqa,runaqa,man
ἀνήρ,165,unigram,masculine,accusative,singular,Mariaqa,2.030006100592875,Mariaqa,Mariaqa,"man, husband"
ἀνήρ,97,unigram,masculine,nominative,plural,waranqa,1.5761819187217236,waranqa,waranqa,"man, husband"
ἀνήρ,157,unigram,masculine,nominative,singular,rogakurqan,1.487805511452314,rogakurqan,rogakurqan,"man, husband"
μνᾶ,199,unigram,feminine,accusative,plural,qolqetaqa,1.8261845124351512,qolqetaqa,qolqetaqa,mina (about 100 days' wages)
πρωτοκαθεδρία,71,unigram,feminine,accusative,plural,,,allinkaq,tiyanakunata,"most important seat, seat of honour"
μήτηρ,186,unigram,feminine,accusative,singular,mamantapas,1.329462944840768,mamantapas,mamantapas,mother
ὄρος,175,unigram,neuter,accusative,singular,orqoman,1.5411183160315105,orqoman,orqoman,mountain
μύρον,60,unigram,neuter,accusative,plural,samarqanku,1.2014275627384847,samarqanku,samarqanku,myrrh
ὄνομα,25,unigram,neuter,accusative,singular,Ñoqaraykun,1.7230942032551475,Ñoqaraykun,Ñoqaraykun,name
ὄνομα,166,unigram,neuter,nominative,singular,sutiyoq,1.7134545002114243,sutiyoq,sutiyoq,name
ἔθνος,152,unigram,neuter,accusative,plural,suyukunaman,1.2003839238632836,suyukunaman,suyukunaman,nation
ἔθνος,128,unigram,neuter,accusative,singular,maqanakunqa,2.211593622452171,maqanakunqa,maqanakunqa,nation
ἔθνος,19,unigram,neuter,nominative,singular,maqanakunqa,2.2337649378741977,maqanakunqa,maqanakunqa,nation
νύξ,124,unigram,feminine,accusative,plural,tutatawan,1.6233406393798544,tutatawan,tutatawan,night
ὅρκος,44,unigram,masculine,accusative,plural,llakikurqan,2.9625290974382095,llakikurqan,llakikurqan,oath
βοῦς,99,unigram,masculine,accusative,plural,wasi,1.3800920895728612,wasi,wasi,ox
παραβολή,171,unigram,feminine,accusative,plural,rikch'anachiy,13.364372519581783,rikch'anachiy,rikch'anachiy,parable
παραβολή,147,unigram,feminine,accusative,singular,rikch'anachiy,15.120947463603171,rikch'anachiy,rikch'anachiy,parable
μέρος,227,unigram,neuter,accusative,plural,ladoman,2.6159579353482676,ladoman,ladoman,part
μέρος,37,unigram,neuter,accusative,singular,muchuchinqa,2.55597228212876,muchuchinqa,muchuchinqa,part
μαργαρίτης,149,unigram,masculine,accusative,plural,perlakunata,3.999796427775453,perlakunata,perlakunata,pearls
τόπος,181,unigram,masculine,accusative,plural,pacha,1.0206738919296177,,pacha,place
τόπος,196,unigram,masculine,accusative,singular,cheqasman,1.3997743078461455,cheqasman,cheqasman,place
πρωτοκλισία,184,unigram,feminine,accusative,plural,tiyanakunata,1.090152930455124,tiyanakunata,tiyanakunata,place of honor
πρωτοκλισία,26,unigram,feminine,accusative,singular,allinkaq,3.5629067230682936,allinkaq,allinkaq,place of honor
ὄφις,70,unigram,masculine,accusative,singular,mach'aqwayta,3.832679876683011,mach'aqwayta,mach'aqwayta,poison
σκεῦος,92,unigram,neuter,accusative,plural,kaqninkunata,1.7254816594037066,kaqninkunata,kaqninkunata,"possession, object, thing, jar, vessel"
δύναμις,32,unigram,feminine,accusative,singular,atiyta,1.0208848874587155,atiyta,atiyta,"power, ability, miracle"
δύναμις,78,unigram,feminine,nominative,singular,atiyninwan,2.533809687666569,atiyninwan,atiyninwan,"power, ability, miracle"
ἱερεύς,160,unigram,masculine,nominative,singular,sacerdote,1.2785103816267915,sacerdote,sacerdote,priest
φυλακή,17,unigram,feminine,accusative,singular,,,carcelpi,carcelman,prison
προφήτης,46,unigram,masculine,accusative,plural,,,profetakunata,profetakunata*f**,prophet
προφήτης,131,unigram,masculine,accusative,singular,,,profeta,cheqaq,prophet
προφήτης,148,unigram,masculine,nominative,plural,,,profetakunaq,profetakunapas*f**,prophet
προφήτης,176,unigram,masculine,nominative,singular,,,profeta,profeta*f**,prophet
βαλλάντιον,12,unigram,neuter,accusative,singular,qoqawatapas,1.035421386489053,qoqawatapas,,purse
λῃστής,102,unigram,masculine,nominative,singular,suwan,1.9999489140783424,suwan,,robber
ἄρχων,135,unigram,masculine,accusative,plural,kamachikuqkunata,1.2015030163073623,kamachikuqkunata,kamachikuqkunata,ruler
ἄρχων,49,unigram,masculine,nominative,plural,kamachikuqkunaqa,3.2886491301911938,kamachikuqkunaqa,kamachikuqkunaqa,ruler
ἄρχων,207,unigram,masculine,nominative,singular,kamachikuq,1.5768751471667577,kamachikuq,kamachikuq,ruler
ἀκοή,4,unigram,feminine,accusative,plural,Awqa-tinkuykunamanta,1.1412173079153558,Awqa-tinkuykunamanta,Awqa-tinkuykunamanta,rumor
ἀκοή,56,unigram,feminine,accusative,singular,uyarirqan,1.060514624887454,uyarirqan,uyarirqan,rumor
ἀκοή,218,unigram,feminine,nominative,singular,Jesusmanta,2.3732199829075644,Jesusmanta,Jesusmanta,rumor
βιβλίον,39,unigram,neuter,accusative,singular,t'aqanakuy,1.8135893182950864,,t'aqanakuy,"scroll, book"
διάκονος,62,unigram,masculine,nominative,singular,qankuna,1.1845382450928452,qankuna,qankuna,"servant, minister, deacon"
δοῦλος,139,unigram,masculine,accusative,plural,kamachinkunata,5.523952032946856,kamachinkunata,kamachinkunata,"servant, slave"
δοῦλος,20,unigram,masculine,accusative,singular,kamachinta,5.620773973678791,kamachinta,kamachinta,"servant, slave"
δοῦλος,69,unigram,masculine,nominative,plural,kamachikunaqa,3.6455539296710864,kamachikunaqa,kamachikunaqa,"servant, slave"
δοῦλος,136,unigram,masculine,nominative,singular,kamachiqa,8.152692344123937,kamachiqa,kamachiqa,"servant, slave"
πρόβατον,214,unigram,neuter,accusative,plural,ovejakunata,1.4665242021006666,ovejakunata,,sheep
ποιμήν,164,unigram,masculine,nominative,plural,Belén,2.4047135131863997,Belén,Belén,"shepherd, pastor"
ποιμήν,191,unigram,masculine,nominative,singular,ovejakunata,3.1830403845198174,ovejakunata,ovejakunata,"shepherd, pastor"
σημεῖον,94,unigram,neuter,accusative,plural,milagrokunata,2.4841984085242736,milagrokunata,milagrokunata,sign
σημεῖον,86,unigram,neuter,accusative,singular,,,milagro,milagrota,sign
σημεῖον,61,unigram,neuter,nominative,singular,milagro,1.3259583618032815,,milagro,sign
ἀργύριον,144,unigram,neuter,accusative,plural,qolqeta,7.9561117844349445,qolqeta,qolqeta,"silver, money"
ἀργύριον,220,unigram,neuter,accusative,singular,qolqeta,1.5345186788016747,qolqeta,qolqeta,"silver, money"
ἁμαρτία,187,unigram,feminine,accusative,plural,huchakunata,2.755119334498286,huchakunata,huchakunata,sin
ἁμαρτία,193,unigram,feminine,nominative,plural,pampachayki,3.583623929149511,pampachayki,pampachayki,sin
ἀδελφή,13,unigram,feminine,nominative,plural,kashanku,1.4155171530679858,kashanku,,sister
ῥάπισμα,100,unigram,neuter,accusative,plural,—¡Kawsachun,1.096057314542422,,—¡Kawsachun,"slap, strike, hit"
υἱός,34,unigram,masculine,accusative,plural,Zebedeoq,2.4690746474881218,Zebedeoq,Zebedeoq,son
υἱός,85,unigram,masculine,accusative,singular,,,Runaq,Kachamusqan,son
υἱός,87,unigram,masculine,nominative,plural,wawankuna,1.2918433764738384,wawankuna,,son
υἱός,141,unigram,masculine,nominative,singular,,,Runaq,Kachamusqan,son
ψυχή,190,unigram,feminine,accusative,singular,,,waqaychakuyta,wañuqmi,"soul, life"
λίθος,27,unigram,masculine,accusative,singular,rumi,2.470361082943941,rumi,rumi,stone
λίθος,93,unigram,masculine,nominative,plural,rumikunata,3.8324085051567662,rumikunata,rumikunata,stone
λίθος,30,unigram,masculine,nominative,singular,rumi,1.396941973602034,rumi,rumi,stone
συναγωγή,162,unigram,feminine,accusative,plural,,,kamachikuqkunaq,Diosmanta,synagogue
