lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1384_translation,english_translation
θεός,88,unigram,masculine,accusative,singular,Diosta,3.081625093384735,Diosta,God
θεός,16,unigram,masculine,nominative,plural,dioscunam,1.0972909390725487,dioscunam,God
θεός,135,unigram,masculine,nominative,singular,Diosga,1.3488534011402509,Diosga,God
κύριος,89,unigram,masculine,nominative,singular,Munayniyog,3.2297923765579504,Munayniyog,"Lord, lord, master"
γραφή,85,unigram,feminine,accusative,plural,Gamcunaga,1.6227567658490905,Gamcunaga,Scripture
γραφή,167,unigram,feminine,nominative,plural,ruracänanpagmi,1.3467613701457228,ruracänanpagmi,Scripture
γραφή,210,unigram,feminine,nominative,singular,isquirbisha,1.4023624637654477,isquirbisha,Scripture
ἄγγελος,59,unigram,masculine,accusative,singular,willacugnïta,1.0925768598306795,willacugnïta,angel
ἄγγελος,30,unigram,masculine,nominative,plural,jana,1.2312620328813295,jana,angel
ἄγγελος,73,unigram,masculine,nominative,singular,angelga,2.271245820973581,angelga,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,rurapäcungantas,1.9377974606338344,rurapäcungantas,apostle
ἐξουσία,128,unigram,feminine,accusative,singular,munayniyog,1.4951739300607751,munayniyog,authority
ἀποθήκη,48,unigram,feminine,accusative,singular,trïguta,1.3416116633743664,trïguta,barn
βλασφημία,60,unigram,feminine,nominative,singular,ima-ayga,1.390695863645902,ima-ayga,blasphemy
πλοῖον,71,unigram,neuter,accusative,plural,gochra,1.2806321059792842,gochra,boat
πλοῖον,199,unigram,neuter,accusative,singular,büquiman,5.96200413895708,büquiman,boat
πλοῖον,148,unigram,neuter,nominative,singular,chraupitam,1.1977292767564098,chraupitam,boat
σῶμα,40,unigram,neuter,nominative,singular,ñawiqui,1.1297452908687857,ñawiqui,body
κλῆμα,98,unigram,neuter,nominative,singular,räma,1.5890688759148084,räma,branch
ἄρτος,203,unigram,masculine,accusative,plural,tantata,1.2195240293503709,tantata,bread
ἄρτος,217,unigram,masculine,accusative,singular,tantata,1.3945031949202962,tantata,bread
ἄρτος,103,unigram,masculine,nominative,plural,micuyta,1.4133855763533978,micuyta,bread
ἄρτος,22,unigram,masculine,nominative,singular,micuyga,1.2508062427535978,micuyga,bread
ἀδελφός,75,unigram,masculine,nominative,plural,washachru,1.1476881210400545,washachru,brother
ἀδελφός,151,unigram,masculine,nominative,singular,wauguenmi,1.6297210449226498,wauguenmi,brother
ἀρχιερεύς,155,unigram,masculine,accusative,plural,sacerdöticunapa,2.970508682418036,sacerdöticunapa,chief priest
ἀρχιερεύς,41,unigram,masculine,accusative,singular,sacerdöticunapa,1.0892485158881422,sacerdöticunapa,chief priest
ἀρχιερεύς,80,unigram,masculine,nominative,plural,sacerdöticunapa,2.072800254488986,sacerdöticunapa,chief priest
ἀρχιερεύς,158,unigram,masculine,nominative,singular,mas,1.1463936741091565,mas,chief priest
τέκνον,116,unigram,neuter,accusative,singular,Chaynuytan,1.2958830184144678,Chaynuytan,child
τέκνον,7,unigram,neuter,nominative,plural,Chaynuytan,1.2474065908010263,Chaynuytan,child
τέκνον,122,unigram,neuter,nominative,singular,perdonarug,1.385289632552611,perdonarug,child
παιδίον,64,unigram,neuter,accusative,singular,wamrata,1.3666555518275938,wamrata,child
παιδίον,112,unigram,neuter,nominative,plural,wamracunatam,1.937673212870164,wamracunatam,child
παιδίον,24,unigram,neuter,nominative,singular,wamra,1.1625055460527984,wamra,child
πόλις,44,unigram,feminine,accusative,singular,marcata,1.3778007732668147,marcata,city
χιτών,77,unigram,masculine,accusative,plural,müdanaytas,1.071600332438422,müdanaytas,"clothing, undergarments"
χιτών,17,unigram,masculine,accusative,singular,guechrushuptiqui,1.064769141546643,guechrushuptiqui,"clothing, undergarments"
ἱμάτιον,87,unigram,neuter,accusative,plural,jacunta,1.1367059701590159,jacunta,coat
ἱμάτιον,86,unigram,neuter,accusative,singular,janan,1.0495265836278973,janan,coat
ἐντολή,57,unigram,feminine,accusative,plural,ningäcunata,1.4819528679148437,ningäcunata,commandment
ἐντολή,55,unigram,feminine,accusative,singular,rurarcayanqui,1.063520086041979,rurarcayanqui,commandment
συνέδριον,207,unigram,neuter,accusative,plural,castacuna,1.137478989598848,castacuna,council
συνέδριον,33,unigram,neuter,accusative,singular,sacerdöticunapa,1.112965856457973,sacerdöticunapa,council
ὄχλος,37,unigram,masculine,accusative,plural,runacunata,1.2608238650296228,runacunata,crowd
ὄχλος,4,unigram,masculine,accusative,singular,achca,1.6472349229621557,achca,crowd
ὄχλος,68,unigram,masculine,nominative,plural,runacunaga,1.1449241080378103,runacunaga,crowd
ὄχλος,178,unigram,masculine,nominative,singular,achca,1.0716433216571004,achca,crowd
θυγάτηρ,202,unigram,feminine,nominative,singular,wanurun,1.2208762543039346,wanurun,daughter
ἡμέρα,52,unigram,feminine,accusative,plural,junag,1.485831685735843,junag,day
ἡμέρα,61,unigram,feminine,accusative,singular,waran,1.4987489349722731,waran,day
ἡμέρα,2,unigram,feminine,nominative,plural,junagcuna,1.2840682891622377,junagcuna,day
ἡμέρα,46,unigram,feminine,nominative,singular,junag,1.0290371793871909,junag,day
δαιμόνιον,18,unigram,neuter,accusative,plural,lutan,1.3585724313104242,lutan,demon
δαιμόνιον,212,unigram,neuter,accusative,singular,munayninchrümi,1.0809980803603023,munayninchrümi,demon
δαιμόνιον,123,unigram,neuter,nominative,plural,lutan,1.039652527746498,lutan,demon
δαιμόνιον,111,unigram,neuter,nominative,singular,Asyagga,1.0448868991651197,Asyagga,demon
δηνάριον,196,unigram,neuter,accusative,plural,gänana,1.0647920113788605,gänana,denarius (about a day's wages)
δηνάριον,105,unigram,neuter,accusative,singular,Mä,1.0128415796160342,Mä,denarius (about a day's wages)
μαθητής,114,unigram,masculine,accusative,plural,discïpuluncunata,3.3107660619428967,discïpuluncunata,disciple
μαθητής,173,unigram,masculine,nominative,plural,discïpuluncunaga,2.8486920937253783,discïpuluncunaga,disciple
