lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1554_translation,english_translation
θεός,62,unigram,masculine,accusative,singular,Diosta,1.0137231986649955,Diosta,God
θεός,102,unigram,masculine,nominative,singular,Dios,3.327562448609481,Dios,God
κύριος,63,unigram,masculine,nominative,singular,‘,1.3209964436575439,‘,"Lord, lord, master"
γραφή,128,unigram,feminine,nominative,plural,lulacacunanmi,1.1161146798418284,lulacacunanmi,Scripture
γραφή,157,unigram,feminine,nominative,singular,isquirbishancunaćhu,1.5049879113268425,isquirbishancunaćhu,Scripture
ἄγγελος,45,unigram,masculine,accusative,plural,anjilnïcunacta,1.487126115304709,anjilnïcunacta,angel
ἐξουσία,97,unigram,feminine,accusative,singular,cayta,1.0200024570053328,cayta,authority
βρέφος,8,unigram,neuter,accusative,plural,iñachacunacta,1.161328723715616,iñachacunacta,babies
ζώνη,111,unigram,feminine,accusative,singular,müdanawanmi,1.0960524252565438,müdanawanmi,belt
πλοῖον,151,unigram,neuter,accusative,singular,barcuman,3.5782177142310854,barcuman,boat
σῶμα,27,unigram,neuter,nominative,singular,aychá,1.465025898232472,aychá,body
κλῆμα,69,unigram,neuter,nominative,singular,ya'aćhu,1.6527386038653904,ya'aćhu,branch
ἄρτος,154,unigram,masculine,accusative,plural,picha,1.1328546900035097,picha,bread
ἄρτος,168,unigram,masculine,accusative,singular,tantäta,1.3725021832175028,tantäta,bread
ἄρτος,18,unigram,masculine,nominative,singular,tantaca,1.2313137983972382,tantaca,bread
ἀδελφός,57,unigram,masculine,accusative,singular,wawi-caśha,1.0214582654692952,wawi-caśha,brother
ἀδελφός,51,unigram,masculine,nominative,plural,śhullcancuna,1.240989758130112,śhullcancuna,brother
ἀδελφός,113,unigram,masculine,nominative,singular,śhullcan,1.3138455950124208,śhullcan,brother
στῆθος,73,unigram,neuter,accusative,plural,äśhalä,1.0960622061228922,äśhalä,"chest, breast"
ἀρχιερεύς,118,unigram,masculine,accusative,plural,puydï,2.6544935465581787,puydï,chief priest
ἀρχιερεύς,28,unigram,masculine,accusative,singular,sasirdüticunap,1.1981832319162635,sasirdüticunap,chief priest
ἀρχιερεύς,56,unigram,masculine,nominative,plural,puydï,1.820024225516991,puydï,chief priest
ἀρχιερεύς,121,unigram,masculine,nominative,singular,sasirdütica,1.026693269613309,sasirdütica,chief priest
παῖς,116,unigram,masculine,accusative,plural,lluy,1.0021674925240325,lluy,child
τέκνον,163,unigram,neuter,accusative,plural,cuti,1.0932475024805277,cuti,child
τέκνον,91,unigram,neuter,nominative,singular,ïju,1.0574881190290146,ïju,child
παιδίον,7,unigram,neuter,accusative,plural,śhapämuchun,1.1543207966455775,śhapämuchun,child
παιδίον,42,unigram,neuter,accusative,singular,walaśhchäta,1.3186727913050715,walaśhchäta,child
παιδίον,20,unigram,neuter,nominative,singular,ćhasquïcá,1.0825676752342803,ćhasquïcá,child
πόλις,86,unigram,feminine,accusative,plural,tacsa,1.6334883686908703,tacsa,city
πόλις,30,unigram,feminine,accusative,singular,malcaman,1.7014615604769008,malcaman,city
χιτών,53,unigram,masculine,accusative,plural,müdanallayquiwanmi,1.1288774150323668,müdanallayquiwanmi,"clothing, undergarments"
χιτών,14,unigram,masculine,accusative,singular,camisayquitapis,1.9577185461918991,camisayquitapis,"clothing, undergarments"
ἱμάτιον,61,unigram,neuter,accusative,plural,cachacucunaca,1.2426560140736995,cachacucunaca,coat
ἐντολή,38,unigram,feminine,accusative,singular,camachicuyninta,1.4620380244992452,camachicuyninta,commandment
χώρα,140,unigram,feminine,accusative,singular,Gadara-läduman,1.2990151488915234,Gadara-läduman,"country, countryside"
ὄχλος,25,unigram,masculine,accusative,plural,nunacunäta,1.5226981295005195,nunacunäta,crowd
