lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1626_translation,english_translation
θεός,97,unigram,masculine,accusative,singular,Diosta,1.0090910652972431,Diosta,God
θεός,152,unigram,masculine,nominative,singular,Diosga,1.8015079265790863,Diosga,God
κύριος,98,unigram,masculine,nominative,singular,Manduj,1.6384047288010242,Manduj,"Lord, lord, master"
γραφή,36,unigram,feminine,accusative,singular,escribishkada,1.0665193163543738,escribishkada,Scripture
γραφή,234,unigram,feminine,nominative,singular,p'aktachunga,1.2083992215342452,p'aktachunga,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,agllushkagunada,1.07462413404318,agllushkagunada,angel
ἄγγελος,64,unigram,masculine,accusative,singular,kachani,1.0342401168476263,kachani,angel
ἄγγελος,33,unigram,masculine,nominative,plural,angelguna,1.2575383480318938,angelguna,angel
ἄγγελος,81,unigram,masculine,nominative,singular,ángel,1.9862859755275568,ángel,angel
ἀπόστολος,30,unigram,masculine,nominative,plural,Jesusmu,1.0127387486917676,Jesusmu,apostle
ἐξουσία,145,unigram,feminine,accusative,singular,poderda,1.7483269463676312,poderda,authority
βρέφος,9,unigram,neuter,accusative,plural,jarkugaguna,1.096264760880861,jarkugaguna,babies
βρέφος,232,unigram,neuter,accusative,singular,cajonbi,1.1065126578391966,cajonbi,babies
ἀποθήκη,53,unigram,feminine,accusative,singular,trigoda,1.168686670620113,trigoda,barn
φραγμός,84,unigram,masculine,accusative,singular,chapana,1.1065004539442072,chapana,"barrier, wall"
ζώνη,125,unigram,feminine,accusative,plural,chumbillishkabi,1.1616538535693444,chumbillishkabi,belt
πλοῖον,79,unigram,neuter,accusative,plural,chibi,1.0221976052767203,chibi,boat
πλοῖον,220,unigram,neuter,accusative,singular,barcabi,1.639069542203042,barcabi,boat
σῶμα,44,unigram,neuter,nominative,singular,cuerpo,1.9033594366408604,cuerpo,body
κλῆμα,108,unigram,neuter,nominative,singular,tandanukushka,1.1766763221886818,tandanukushka,branch
ἄρτος,224,unigram,masculine,accusative,plural,tandada,3.3760044421344797,tandada,bread
ἄρτος,245,unigram,masculine,accusative,singular,tandada,3.6113499058691527,tandada,bread
ἄρτος,26,unigram,masculine,nominative,singular,tandaga,1.0428522887726022,tandaga,bread
ἀδελφός,211,unigram,masculine,accusative,plural,wauki,1.611831100484722,wauki,brother
ἀδελφός,90,unigram,masculine,accusative,singular,wauki,2.207610658311991,wauki,brother
ἀδελφός,83,unigram,masculine,nominative,plural,mama,1.0923871434977015,mama,brother
ἀδελφός,169,unigram,masculine,nominative,singular,wauki,2.3516953998346333,wauki,brother
στῆθος,111,unigram,neuter,accusative,plural,juaktasha,1.3856999046815084,juaktasha,"chest, breast"
στῆθος,200,unigram,neuter,accusative,singular,tapuga,1.024117693955527,tapuga,"chest, breast"
ἀρχιερεύς,174,unigram,masculine,accusative,plural,manduj,2.022850708869895,manduj,chief priest
ἀρχιερεύς,45,unigram,masculine,accusative,singular,yachachijkunash,1.0376570966974552,yachachijkunash,chief priest
ἀρχιερεύς,89,unigram,masculine,nominative,plural,manduj,1.050497391155597,manduj,chief priest
ἀρχιερεύς,178,unigram,masculine,nominative,singular,manduj,1.5247386109509762,manduj,chief priest
τέκνον,239,unigram,neuter,accusative,plural,turi,1.1881490277945197,turi,child
τέκνον,130,unigram,neuter,accusative,singular,wañuchichun,1.0549185232360194,wañuchichun,child
τέκνον,10,unigram,neuter,nominative,plural,wañuchichun,1.0591086919825174,wañuchichun,child
τέκνον,138,unigram,neuter,nominative,singular,crishkada,1.3830112007424007,crishkada,child
παιδίον,8,unigram,neuter,accusative,plural,jarkichichu,1.0476737088718806,jarkichichu,child
παιδίον,68,unigram,neuter,accusative,singular,marada,4.114569811860108,marada,child
παιδίον,28,unigram,neuter,nominative,singular,mara,1.958198634474268,mara,child
πόλις,131,unigram,feminine,accusative,plural,pueblogunabi,1.3094311010719981,pueblogunabi,city
πόλις,49,unigram,feminine,accusative,singular,pueblomu,3.8542094526618222,pueblomu,city
χιτών,87,unigram,masculine,accusative,plural,apunguichichu,1.3615037297512491,apunguichichu,"clothing, undergarments"
ἱμάτιον,96,unigram,neuter,accusative,plural,churanada,1.8060238807652937,churanada,coat
ἱμάτιον,95,unigram,neuter,accusative,singular,churanada,1.7442570646564408,churanada,coat
ἐντολή,62,unigram,feminine,accusative,plural,mandushkagunada,1.6564467360586284,mandushkagunada,commandment
συνέδριον,229,unigram,neuter,accusative,plural,azilgun,1.2500528109725717,azilgun,council
χώρα,202,unigram,feminine,accusative,singular,llaktamu,1.5209068244183075,llaktamu,"country, countryside"
ὄχλος,41,unigram,masculine,accusative,plural,sikusha,1.0219289997112109,sikusha,crowd
ὄχλος,5,unigram,masculine,accusative,singular,taugalladigunada,1.1436712588098459,taugalladigunada,crowd
ὄχλος,73,unigram,masculine,nominative,plural,taugalladijkuna,1.111105206597773,taugalladijkuna,crowd
ὄχλος,197,unigram,masculine,nominative,singular,kucha,1.0443934151229664,kucha,crowd
θυγάτηρ,223,unigram,feminine,nominative,singular,ushiga,2.916289114676877,ushiga,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,p'unllada,1.002254667144544,p'unllada,day
ἡμέρα,65,unigram,feminine,accusative,singular,p'unlla,1.2013962528002478,p'unlla,day
ἡμέρα,2,unigram,feminine,nominative,plural,chayamungami,1.2614676366626405,chayamungami,day
ἡμέρα,51,unigram,feminine,nominative,singular,Pascua,1.0401015733471797,Pascua,day
δαιμόνιον,20,unigram,neuter,accusative,plural,yanagunada,1.265999266833162,yanagunada,demon
δαιμόνιον,140,unigram,neuter,nominative,plural,yanagunada,1.0558480706325228,yanagunada,demon
δαιμόνιον,123,unigram,neuter,nominative,singular,yanada,1.4945604803123638,yanada,demon
δηνάριον,215,unigram,neuter,accusative,plural,denarioda,1.262537868632122,denarioda,denarius (about a day's wages)
δηνάριον,114,unigram,neuter,accusative,singular,kuchkida,1.3113529678029323,kuchkida,denarius (about a day's wages)
μαθητής,128,unigram,masculine,accusative,plural,yachagujkunada,1.2259642798015846,yachagujkunada,disciple
μαθητής,240,unigram,masculine,accusative,singular,k'uyashka,1.1236892524980873,k'uyashka,disciple
μαθητής,192,unigram,masculine,nominative,plural,yachagujkunaga,1.2637597979965085,yachagujkunaga,disciple
μαθητής,238,unigram,masculine,nominative,singular,yachagujka,2.2960466980606165,yachagujka,disciple
νόσος,56,unigram,feminine,accusative,singular,unguiyuj,1.5323879522638457,unguiyuj,disease
περιστερά,39,unigram,feminine,accusative,singular,paloma,1.328651677512509,paloma,dove
οὖς,107,unigram,neuter,accusative,plural,uyichi,1.0220782057899067,uyichi,ear
οὖς,196,unigram,neuter,accusative,singular,jawamunda,1.3954502285023007,jawamunda,ear
σεισμός,146,unigram,masculine,nominative,plural,achpa,1.2197646143219834,achpa,"earthquakes, storm"
σεισμός,47,unigram,masculine,nominative,singular,ñash,1.3097549445298935,ñash,"earthquakes, storm"
τέλος,191,unigram,neuter,accusative,singular,katijka,1.1211296247224054,katijka,end
αἰών,212,unigram,masculine,accusative,singular,ratumi,1.3377403061750082,ratumi,eternity
ὀφθαλμός,14,unigram,masculine,accusative,plural,rikujta,1.4111270710863903,rikujta,eye
ὀφθαλμός,48,unigram,masculine,nominative,plural,ñawi,2.2007893474686573,ñawi,eye
ὀφθαλμός,209,unigram,masculine,nominative,singular,ñawi,1.8764517186562997,ñawi,eye
πρόσωπον,136,unigram,neuter,accusative,singular,ñawida,1.1995301488722214,ñawida,face
λιμός,4,unigram,feminine,nominative,plural,yarijish,1.0596714507439728,yarijish,famine
γεωργός,180,unigram,masculine,nominative,plural,partido,1.0500981916898025,partido,"farmer, tenant"
γεωργός,35,unigram,masculine,nominative,singular,rurujmi,1.3273574319602663,rurujmi,"farmer, tenant"
πατήρ,214,unigram,masculine,accusative,singular,taita,1.0851073309285946,taita,father
πατήρ,222,unigram,masculine,nominative,plural,ñauba,2.2713377037873417,ñauba,father
πατήρ,132,unigram,masculine,nominative,singular,Taita,1.5604912756393283,Taita,father
σύνδουλος,226,unigram,masculine,nominative,plural,sirvijkunaga,1.0596714507439728,sirvijkunaga,"fellow-servant, colleague"
ἀγρός,235,unigram,masculine,accusative,plural,turi,1.150145175909301,turi,field
ἀγρός,27,unigram,masculine,accusative,singular,Achpada,1.6890856511138046,Achpada,field
δάκτυλος,127,unigram,masculine,accusative,singular,dedoda,1.9999481533208492,dedoda,finger
ἰχθύς,109,unigram,masculine,accusative,plural,tandada,1.0449989749895336,tandada,fish
ἰχθύς,135,unigram,masculine,accusative,singular,chaulada,2.319385491087277,chaulada,fish
δίκτυον,80,unigram,neuter,accusative,plural,japinada,1.1475451954360698,japinada,fishing net
δίκτυον,143,unigram,neuter,accusative,singular,chaula,1.0494925243761568,chaula,fishing net
πούς,170,unigram,masculine,accusative,plural,chakida,2.3289100030687635,chakida,foot
καρπός,166,unigram,masculine,accusative,singular,granuda,1.3865113859570686,granuda,"fruit, crop, harvest"
γενεά,167,unigram,feminine,accusative,singular,p'unllabi,1.238902585330695,p'unllabi,generation
γενεά,106,unigram,feminine,nominative,singular,rikuchishka,1.0915901426561965,rikuchishka,generation
δῶρον,115,unigram,neuter,accusative,singular,Diosmu,1.569723092191637,Diosmu,gift
ἡγεμών,6,unigram,masculine,accusative,singular,shimiwaidash,1.106555465381933,shimiwaidash,"governor, ruler"
ἀσπασμός,225,unigram,masculine,accusative,plural,saludachun,1.5066844764174814,saludachun,greeting
ἀσπασμός,122,unigram,masculine,accusative,singular,kuyuriga,1.0962747427424695,kuyuriga,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,pushujkunalla,1.454783283185516,pushujkunalla,guide
χείρ,217,unigram,feminine,accusative,plural,makida,2.6120605177976337,makida,hand
χείρ,159,unigram,feminine,accusative,singular,makin,1.1435666789263264,makin,hand
κεφαλή,149,unigram,feminine,accusative,singular,umada,1.8294303443544888,umada,head
στάχυς,150,unigram,masculine,accusative,plural,trigo,1.3760866211290201,trigo,head of grain
καρδία,22,unigram,feminine,accusative,plural,shunguda,1.8870501365436767,shunguda,heart
οὐρανός,188,unigram,masculine,accusative,singular,jawa,2.6377742264093578,jawa,"heaven, sky"
