lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1564_translation,english_translation
θεός,369,unigram,masculine,accusative,plural,Moꞌa,1.0115947837348471,Moꞌa,God
θεός,156,unigram,masculine,accusative,singular,ꞌAtua,1.6036560340504435,ꞌAtua,God
θεός,34,unigram,masculine,nominative,plural,ꞌatua,1.2591437047102771,ꞌatua,God
θεός,238,unigram,masculine,nominative,singular,ꞌAtua,7.3955379144940485,ꞌAtua,God
κύριος,371,unigram,masculine,nominative,plural,muni,1.0175379345401907,muni,"Lord, lord, master"
γραφή,60,unigram,feminine,accusative,singular,⌊Pāpaꞌi,1.0417101565838243,⌊Pāpaꞌi,Scripture
γραφή,298,unigram,feminine,nominative,plural,Pāpaꞌi,1.6440878994849972,Pāpaꞌi,Scripture
ἄγγελος,117,unigram,masculine,accusative,plural,merahi,2.849817429109306,merahi,angel
ἄγγελος,101,unigram,masculine,accusative,singular,koemo,1.0500981916898025,koemo,angel
ἄγγελος,56,unigram,masculine,nominative,plural,merahi,4.520615511788646,merahi,angel
ἄγγελος,128,unigram,masculine,nominative,singular,merahi,6.551058297685658,merahi,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,⌊ꞌāpōtoro⌋,4.573046904993877,⌊ꞌāpōtoro⌋,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,maꞌuroŋo,1.741263994038941,maꞌuroŋo,apostle
ἐξουσία,82,unigram,feminine,accusative,plural,⌊hare,1.1536841976954473,⌊hare,authority
ἐξουσία,228,unigram,feminine,accusative,singular,parau,3.2013550244905025,parau,authority
βρέφος,20,unigram,neuter,accusative,plural,haꞌamaitai,1.3070119643080675,haꞌamaitai,babies
βρέφος,362,unigram,neuter,accusative,singular,puaꞌa,1.0364136840543237,puaꞌa,babies
ἀποθήκη,306,unigram,feminine,accusative,plural,hāpaꞌo,1.014463462984276,hāpaꞌo,barn
ἀποθήκη,81,unigram,feminine,accusative,singular,haꞌaputu,1.1099893414650863,haꞌaputu,barn
φραγμός,266,unigram,masculine,accusative,plural,koni,1.5887826705500834,koni,"barrier, wall"
ἀρχή,85,unigram,feminine,accusative,plural,⌊hare,1.1470756462704268,⌊hare,beginning
ἀρχή,210,unigram,feminine,accusative,singular,Kānā,1.2927919652737843,Kānā,beginning
ζώνη,201,unigram,feminine,accusative,plural,ꞌIna,1.2295031306942832,ꞌIna,belt
βλασφημία,38,unigram,feminine,accusative,plural,¿Ko,1.1279942227325674,¿Ko,blasphemy
βλασφημία,236,unigram,feminine,nominative,plural,vā-vā,1.0384501923142104,vā-vā,blasphemy
πλοῖον,126,unigram,neuter,accusative,plural,vaka,1.9088539367626336,vaka,boat
