lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1569_translation,english_translation
θεός,97,unigram,masculine,accusative,singular,Waakh,1.681114446024606,Waakh,God
θεός,150,unigram,masculine,nominative,singular,Waakh,3.4033724091816437,Waakh,God
κύριος,98,unigram,masculine,nominative,singular,Kamur,1.479387104500962,Kamur,"Lord, lord, master"
γραφή,93,unigram,feminine,accusative,plural,Chiirnaanneti,2.573112223254275,Chiirnaanneti,Scripture
γραφή,33,unigram,feminine,accusative,singular,Chiirnaanneti,1.5216487311289633,Chiirnaanneti,Scripture
γραφή,191,unigram,feminine,nominative,plural,yitaaheene,1.1957876369251421,yitaaheene,Scripture
γραφή,235,unigram,feminine,nominative,singular,Chiirnaanneti,1.9302350997293156,Chiirnaanneti,Scripture
ἄγγελος,68,unigram,masculine,accusative,plural,Herti,1.4133817576507286,Herti,angel
ἄγγελος,30,unigram,masculine,nominative,plural,herti,2.2330724601188248,herti,angel
ἄγγελος,77,unigram,masculine,nominative,singular,isoobahte,1.0638689652138704,isoobahte,angel
ἀπόστολος,27,unigram,masculine,nominative,plural,ergaano,1.4803910838951548,ergaano,apostle
ἐξουσία,49,unigram,feminine,accusative,plural,lakeeno,1.0962199599997684,lakeeno,authority
ἐξουσία,142,unigram,feminine,accusative,singular,antohi,2.5262274367966087,antohi,authority
βρέφος,234,unigram,neuter,accusative,singular,ꞌdar,1.1062708150644622,ꞌdar,babies
ἀρχή,51,unigram,feminine,accusative,plural,lakeeno,1.0961063339256685,lakeeno,beginning
βλασφημία,19,unigram,feminine,accusative,plural,gafo,1.161346151680032,gafo,blasphemy
πλοῖον,75,unigram,neuter,accusative,plural,kooban,1.1297327259326184,kooban,boat
πλοῖον,222,unigram,neuter,accusative,singular,kooban,2.4061836579677807,kooban,boat
πλοῖον,164,unigram,neuter,nominative,singular,kooban,1.747457845042488,kooban,boat
σῶμα,41,unigram,neuter,nominative,singular,sartaah,1.9741987939400127,sartaah,body
κλῆμα,108,unigram,neuter,nominative,singular,ifiddiyin,1.1454502626623055,ifiddiyin,branch
ἄρτος,226,unigram,masculine,accusative,plural,makaate,1.3081516740524577,makaate,bread
ἄρτος,246,unigram,masculine,accusative,singular,makaate,1.2972272444121358,makaate,bread
ἄρτος,112,unigram,masculine,nominative,plural,makaate,1.0897588048469156,makaate,bread
ἄρτος,23,unigram,masculine,nominative,singular,gololi,2.0775030529533103,gololi,bread
ἀδελφός,216,unigram,masculine,accusative,plural,walaalinyetiis,1.833674348299784,walaalinyetiis,brother
ἀδελφός,86,unigram,masculine,accusative,singular,walaaliiski,1.1270338139571043,walaaliiski,brother
ἀδελφός,79,unigram,masculine,nominative,plural,walaalinyetiis,1.1962516313010745,walaalinyetiis,brother
στῆθος,204,unigram,neuter,accusative,singular,kasiihsate,1.682521580617319,kasiihsate,"chest, breast"
ἀρχιερεύς,176,unigram,masculine,accusative,plural,kuhaaniyyohi,1.0751169352439034,kuhaaniyyohi,chief priest
ἀρχιερεύς,42,unigram,masculine,accusative,singular,kuhaanihi,1.532442279851575,kuhaanihi,chief priest
ἀρχιερεύς,85,unigram,masculine,nominative,plural,wewween,1.865628136025764,wewween,chief priest
ἀρχιερεύς,181,unigram,masculine,nominative,singular,kuhaanihi,1.1667033629927317,kuhaanihi,chief priest
παῖς,171,unigram,masculine,accusative,plural,nyaakhuti,1.3126854720290069,nyaakhuti,child
τέκνον,242,unigram,neuter,accusative,plural,nyaakhut,1.333135633507877,nyaakhut,child
τέκνον,136,unigram,neuter,nominative,singular,Inankaaw,2.3218213282993645,Inankaaw,child
παιδίον,63,unigram,neuter,accusative,singular,weel,1.8167319133816773,weel,child
παιδίον,122,unigram,neuter,nominative,plural,rurrucchul,1.1769748751764202,rurrucchul,child
πόλις,129,unigram,feminine,accusative,plural,goobab,1.423182639543442,goobab,city
πόλις,45,unigram,feminine,accusative,singular,ilkerengeet,1.1327685340899545,ilkerengeet,city
πύλη,148,unigram,feminine,nominative,singular,lakagelo,1.1062648286089038,lakagelo,city gate
χιτών,82,unigram,masculine,accusative,plural,deere,1.1833888997970978,deere,"clothing, undergarments"
χιτών,16,unigram,masculine,accusative,singular,ubbaaraahki,1.0647463382385278,ubbaaraahki,"clothing, undergarments"
ἱμάτιον,95,unigram,neuter,accusative,plural,kabuuꞌddeticho,1.0344297388328172,kabuuꞌddeticho,coat
ἱμάτιον,94,unigram,neuter,accusative,singular,kabuuꞌdiis,1.4700961480891324,kabuuꞌdiis,coat
ἐντολή,57,unigram,feminine,accusative,singular,amurreti,1.3582874740512063,amurreti,commandment
