lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1576_translation,version_1577_translation,version_1578_translation,english_translation
θεός,119,unigram,masculine,accusative,singular,,,Devlés,,Дэвлэ́с,God
θεός,25,unigram,masculine,nominative,plural,,,develá,,дэвэла́,God
θεός,184,unigram,masculine,nominative,singular,,,Devél,,Дэвэ́л,God
κύριος,120,unigram,masculine,nominative,singular,,,Raj,,Рай,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,,,Čhinybén,,Чхиныбэ́н,Scripture
γραφή,229,unigram,feminine,nominative,plural,,,Čhinybén,,Чхиныбэ́н,Scripture
γραφή,291,unigram,feminine,nominative,singular,,,Čhinybén,,Чхиныбэ́н,Scripture
ἄγγελος,85,unigram,masculine,accusative,plural,,,Jangolen,,Янголэн,angel
ἄγγελος,74,unigram,masculine,accusative,singular,,,vykedyné,,выкэдынэ́,angel
ἄγγελος,40,unigram,masculine,nominative,plural,,,Jangóly,,Янго́лы,angel
ἄγγελος,96,unigram,masculine,nominative,singular,,,Jangólo,,Янго́ло,angel
ἀπόστολος,37,unigram,masculine,nominative,plural,,,Apóstoly,,Апо́столы,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,,,Rástyr,,Ра́стыр,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,,,sendy,,сэнды,authority
ἐξουσία,175,unigram,feminine,accusative,singular,,,pravo,,право,authority
βρέφος,289,unigram,neuter,accusative,singular,,,jasla,,ясла,babies
ἀποθήκη,235,unigram,feminine,accusative,plural,,,šúrna,,шу́рна,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,,,šúrna,,шу́рна,barn
ἀρχή,64,unigram,feminine,accusative,plural,,,sendy,,сэнды,beginning
βλασφημία,28,unigram,feminine,accusative,plural,,,teliakirela,,тэлякирэла,blasphemy
βλασφημία,182,unigram,feminine,nominative,plural,,,čoré,,чорэ́,blasphemy
πλοῖον,94,unigram,neuter,accusative,plural,,,barki,,барки,boat
πλοῖον,273,unigram,neuter,accusative,singular,,,bárka,,ба́рка,boat
πλοῖον,211,unigram,neuter,nominative,plural,,,daja-pac,,дая́-паць,boat
πλοῖον,201,unigram,neuter,nominative,singular,,,bárka,,ба́рка,boat
σῶμα,190,unigram,neuter,nominative,plural,,,trúpy,,тру́пы,body
σῶμα,52,unigram,neuter,nominative,singular,,,masá,,маса́,body
κλῆμα,48,unigram,neuter,nominative,plural,Kašt,1.2633405329676508,Kašt,,,branch
κλῆμα,133,unigram,neuter,nominative,singular,,,rand,,рандь,branch
ἄρτος,278,unigram,masculine,accusative,plural,,,maró,,маро́,bread
ἄρτος,304,unigram,masculine,accusative,singular,,,maró,,маро́,bread
ἄρτος,141,unigram,masculine,nominative,plural,,,maró,,маро́,bread
ἄρτος,33,unigram,masculine,nominative,singular,,,maró,,маро́,bread
ἀδελφός,264,unigram,masculine,accusative,plural,,,pšalén,,пшалэ́н,brother
ἀδελφός,108,unigram,masculine,accusative,singular,,,pšalés,,пшалэ́с,brother
ἀδελφός,99,unigram,masculine,nominative,plural,,,pšála,,пша́ла,brother
ἀδελφός,205,unigram,masculine,nominative,singular,,,pšal,,пшал,brother
στῆθος,138,unigram,neuter,accusative,plural,,,marenas,,марэнас,"chest, breast"
στῆθος,251,unigram,neuter,accusative,singular,,,kolýn,,колы́н,"chest, breast"
ἀρχιερεύς,214,unigram,masculine,accusative,plural,,,rašángire,,раша́нгирэ,chief priest
ἀρχιερεύς,53,unigram,masculine,accusative,singular,,,rašángiro,,раша́нгиро,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,,,barydyrá,,барыдыра́,chief priest
ἀρχιερεύς,217,unigram,masculine,nominative,singular,,,pérvo,,пэ́рво,chief priest
τέκνον,298,unigram,neuter,accusative,plural,,,čhavorén,,чхаворэ́н,child
τέκνον,160,unigram,neuter,accusative,singular,,,pšalés,,пшалэ́с,child
τέκνον,14,unigram,neuter,nominative,plural,,,dad,,дад,child
τέκνον,168,unigram,neuter,nominative,singular,,,Čháva,,Чха́ва,child
παιδίον,13,unigram,neuter,accusative,plural,,,Mekén,,Мэкэ́н,child
παιδίον,80,unigram,neuter,accusative,singular,,,Bijatos,,Биятос,child
παιδίον,35,unigram,neuter,nominative,singular,,,bijáto,,бия́то,child
πόλις,162,unigram,feminine,accusative,plural,,,fórja,,фо́рья,city
πόλις,57,unigram,feminine,accusative,singular,,,fóro,,фо́ро,city
πύλη,181,unigram,feminine,nominative,singular,,,ciasno,,цясно,city gate
χιτών,103,unigram,masculine,accusative,plural,,,duj,,дуй,"clothing, undergarments"
ἱμάτιον,117,unigram,neuter,accusative,plural,,,uribén,,урибэ́н,coat
ἱμάτιον,116,unigram,neuter,accusative,singular,,,uribén,,урибэ́н,coat
ἐντολή,72,unigram,feminine,accusative,plural,,,priphenybená,,припхэныбэна́,commandment
ἐντολή,70,unigram,feminine,accusative,singular,,,priphenybén,,припхэныбэ́н,commandment
συνέδριον,283,unigram,neuter,accusative,plural,,,marén,,марэ́н,council
συνέδριον,44,unigram,neuter,accusative,singular,,,barydyrá,,барыдыра́,council
