lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1997_translation,english_translation
θεός,307,unigram,masculine,accusative,plural,keikabe,1.2591437047102771,keikabe,God
θεός,120,unigram,masculine,accusative,singular,Tirama,3.5841753181135028,Tirama,God
θεός,28,unigram,masculine,nominative,plural,tirama,1.3133021652513457,tirama,God
θεός,192,unigram,masculine,nominative,singular,Tirama,15.030384883425727,Tirama,God
κύριος,121,unigram,masculine,nominative,singular,Obiapaka,3.9184652537681233,Obiapaka,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,Puka,1.5711021684291893,Puka,Scripture
γραφή,46,unigram,feminine,accusative,singular,Puka,1.3611539843510618,Puka,Scripture
γραφή,244,unigram,feminine,nominative,plural,ketohana,1.317537784950176,ketohana,Scripture
γραφή,302,unigram,feminine,nominative,singular,Puka,1.9882307326810305,Puka,Scripture
ἄγγελος,89,unigram,masculine,accusative,plural,aneru,1.6908496153010122,aneru,angel
ἄγγελος,77,unigram,masculine,accusative,singular,Mal,1.2493358425337882,Mal,angel
ἄγγελος,43,unigram,masculine,nominative,plural,aneru,3.0697365381836788,aneru,angel
ἄγγελος,98,unigram,masculine,nominative,singular,aneru,1.8723062485331965,aneru,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,Iuhubeau,1.2101847800246015,Iuhubeau,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,iuhubeau,1.1882555717124643,iuhubeau,apostle
ἐξουσία,63,unigram,feminine,accusative,plural,Kateaoainimi,1.0962199599997684,Kateaoainimi,authority
ἐξουσία,182,unigram,feminine,accusative,singular,hiabu,3.591475195283861,hiabu,authority
βρέφος,17,unigram,neuter,accusative,plural,terikenakia,1.0441088591276242,terikenakia,babies
φραγμός,101,unigram,masculine,accusative,singular,ehabina,1.1133013679752972,ehabina,"barrier, wall"
ἀρχή,66,unigram,feminine,accusative,plural,Kateaoainimi,1.0961063339256685,Kateaoainimi,beginning
ἀρχή,166,unigram,feminine,accusative,singular,hinabe,1.1062845238338443,hinabe,beginning
ζώνη,159,unigram,feminine,accusative,plural,katoutana,1.1613026128296644,katoutana,belt
βλασφημία,31,unigram,feminine,accusative,plural,teraonaraona,1.5399327702691674,teraonaraona,blasphemy
βλασφημία,88,unigram,feminine,accusative,singular,kahatabu,1.0960768946513286,kahatabu,blasphemy
βλασφημία,190,unigram,feminine,nominative,plural,obokia,1.0436189624661545,obokia,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,ahi,1.099588313206515,ahi,boat
πλοῖον,288,unigram,neuter,accusative,singular,ahiai,1.033892030507291,ahiai,boat
πλοῖον,220,unigram,neuter,nominative,plural,Ahi,1.1616361309642669,Ahi,boat
πλοῖον,208,unigram,neuter,nominative,singular,obu,1.284310416158987,obu,boat
σῶμα,54,unigram,neuter,nominative,singular,hauanimu,1.3499825977102593,hauanimu,body
κλῆμα,50,unigram,neuter,nominative,plural,rena,1.1062708150644622,rena,branch
κλῆμα,135,unigram,neuter,nominative,singular,ao'uai,1.2479791016398312,ao'uai,branch
ἄρτος,292,unigram,masculine,accusative,plural,parawa,2.56997126561184,parawa,bread
ἄρτος,316,unigram,masculine,accusative,singular,parawa,1.4847134356021885,parawa,bread
ἄρτος,142,unigram,masculine,nominative,plural,aniani,1.6509615307142351,aniani,bread
ἄρτος,35,unigram,masculine,nominative,singular,kupai,1.0176588355717162,kupai,bread
ἀδελφός,277,unigram,masculine,accusative,plural,uaho'abana,1.7356884714665242,uaho'abana,brother
ἀδελφός,108,unigram,masculine,accusative,singular,hatina,1.121493390645291,hatina,brother
ἀδελφός,100,unigram,masculine,nominative,plural,hati,1.038133566327348,hati,brother
ἀδελφός,214,unigram,masculine,nominative,singular,haibu,1.102551485726794,haibu,brother
στῆθος,261,unigram,neuter,accusative,singular,ebakaina,1.1446895313058345,ebakaina,"chest, breast"
ἀρχιερεύς,224,unigram,masculine,accusative,plural,apa'uakia,1.5524908117232004,apa'uakia,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,arakiai,1.389499523810857,arakiai,chief priest
ἀρχιερεύς,107,unigram,masculine,nominative,plural,apa'uakia,2.619326703385548,apa'uakia,chief priest
ἀρχιερεύς,229,unigram,masculine,nominative,singular,'arakiai,1.5329057395201844,'arakiai,chief priest
τέκνον,310,unigram,neuter,accusative,plural,nahuna,1.5026812525366158,nahuna,child
τέκνον,164,unigram,neuter,accusative,singular,hinakia,1.08910935293011,hinakia,child
τέκνον,18,unigram,neuter,nominative,plural,hinakia,1.0952798087762992,hinakia,child
τέκνον,176,unigram,neuter,nominative,singular,Naha,2.839624672848541,Naha,child
παιδίον,16,unigram,neuter,accusative,plural,Miori,1.0765037239186055,Miori,child
παιδίον,84,unigram,neuter,accusative,singular,miori,2.3893947630043093,miori,child
παιδίον,37,unigram,neuter,nominative,singular,'abanai,1.2891556176623613,'abanai,child
πόλις,167,unigram,feminine,accusative,plural,aiara,1.5578758493617109,aiara,city
πόλις,59,unigram,feminine,accusative,singular,aiara,4.353704479133465,aiara,city
πύλη,189,unigram,feminine,nominative,singular,pa'abi,1.0434381253798322,pa'abi,city gate
χιτών,103,unigram,masculine,accusative,plural,ibatoto,1.340151531853357,ibatoto,"clothing, undergarments"
χιτών,29,unigram,masculine,accusative,singular,ibatoto,1.6946735653585523,ibatoto,"clothing, undergarments"
ἱμάτιον,118,unigram,neuter,accusative,plural,habuni,3.455121436868608,habuni,coat
ἱμάτιον,117,unigram,neuter,accusative,singular,habuni,3.746617901247351,habuni,coat
ἐντολή,75,unigram,feminine,accusative,plural,'abikia,1.2363807216798774,'abikia,commandment
ἐντολή,73,unigram,feminine,accusative,singular,rauhubu,1.3455666057958295,rauhubu,commandment
συνέδριον,297,unigram,neuter,accusative,plural,kate'atinimi,1.1796323849615546,kate'atinimi,council
συνέδριον,47,unigram,neuter,accusative,singular,apa'uana,1.0726553912772874,apa'uana,council
χώρα,266,unigram,feminine,accusative,singular,hanonai,1.2444547057330988,hanonai,"country, countryside"
ὄχλος,51,unigram,masculine,accusative,plural,mako,1.5352961876677902,mako,crowd
ὄχλος,9,unigram,masculine,accusative,singular,to,1.4598669242872273,to,crowd
ὄχλος,90,unigram,masculine,nominative,plural,Mako,1.107998898508984,Mako,crowd
ὄχλος,258,unigram,masculine,nominative,singular,mako,1.137879387665537,mako,crowd
θυγάτηρ,291,unigram,feminine,nominative,singular,uahona,1.1206240387207105,uahona,daughter
ἡμέρα,69,unigram,feminine,accusative,plural,wapu,1.4505356624120758,wapu,day
ἡμέρα,78,unigram,feminine,accusative,singular,Rani,1.0243553304931108,Rani,day
ἡμέρα,2,unigram,feminine,nominative,plural,rani,1.2268541890695963,rani,day
ἡμέρα,61,unigram,feminine,nominative,singular,wapuna,1.0757181431236065,wapuna,day
ὀφειλέτης,232,unigram,masculine,nominative,plural,ro'ena,1.0960524252565438,ro'ena,debtor
ὀφειλέτης,109,unigram,masculine,nominative,singular,kerepu,1.3262990289778922,kerepu,debtor
δαιμόνιον,30,unigram,neuter,accusative,plural,ahinakia,1.2556012293925214,ahinakia,demon
δαιμόνιον,305,unigram,neuter,accusative,singular,obona,1.29902578078429,obona,demon
δαιμόνιον,177,unigram,neuter,nominative,plural,obokia,1.2504854502734306,obokia,demon
δαιμόνιον,156,unigram,neuter,nominative,singular,auba,1.1285090260479729,auba,demon
δηνάριον,282,unigram,neuter,accusative,plural,moni,1.2688696139463873,moni,denarius (about a day's wages)
δηνάριον,144,unigram,neuter,accusative,singular,tomobaihana,1.1777866412716516,tomobaihana,denarius (about a day's wages)
μαθητής,162,unigram,masculine,accusative,plural,i'abana,2.5145084179556703,i'abana,disciple
μαθητής,311,unigram,masculine,accusative,singular,i'abana,1.0472374069575383,i'abana,disciple
μαθητής,252,unigram,masculine,nominative,plural,i'abana,1.6494229415434614,i'abana,disciple
μαθητής,309,unigram,masculine,nominative,singular,i'abana,2.2521262495036054,i'abana,disciple
νόσος,3,unigram,feminine,accusative,plural,inawa,1.214467384711121,inawa,disease
νόσος,68,unigram,feminine,accusative,singular,haiara,1.1659341480311054,haiara,disease
περιστερά,48,unigram,feminine,accusative,singular,rauria,1.220610272480471,rauria,dove
οὖς,134,unigram,neuter,accusative,plural,haiana,1.0875184773205298,haiana,ear
οὖς,257,unigram,neuter,accusative,singular,kapenai,1.3661126501311192,kapenai,ear
σεισμός,183,unigram,masculine,nominative,plural,katerama,1.0840048063502314,katerama,"earthquakes, storm"
σεισμός,57,unigram,masculine,nominative,singular,'akina,1.1276471175318308,'akina,"earthquakes, storm"
