lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1565_translation,version_1566_translation,version_1567_translation,english_translation
θεός,298,unigram,masculine,accusative,plural,anut,1.9334196939574748,anut,anut,anut,God
θεός,122,unigram,masculine,accusative,singular,Anut,7.7753750895507165,Anut,Anut,Anut,God
θεός,25,unigram,masculine,nominative,plural,anut,1.4706565688899664,anut,anut,anut,God
θεός,190,unigram,masculine,nominative,singular,Anut,3.395824132041134,Anut,Anut,Anut,God
κύριος,123,unigram,masculine,nominative,singular,Simburi,3.8494912654866047,Sembuli,Simburi,Simburi,"Lord, lord, master"
γραφή,118,unigram,feminine,accusative,plural,etuyerootoni,1.5223585790706124,etuyelootoni,etuyerootoni,etuyerootoni,Scripture
γραφή,46,unigram,feminine,accusative,singular,nakangoyingo,2.6417342971595508,nakangoyingo,nakangoyingo,nakangoyingo,Scripture
γραφή,236,unigram,feminine,nominative,plural,engge,1.7448088036907439,nakangoyingo,engge,engge,Scripture
γραφή,294,unigram,feminine,nominative,singular,engge,1.4099264085780903,engge,engge,engge,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,Engel,1.23559507655531,Engel,Engel,Engel,angel
ἄγγελος,79,unigram,masculine,accusative,singular,gengo,2.141819089588793,gengo,gengo,gengo,angel
ἄγγελος,43,unigram,masculine,nominative,plural,sambono,1.0744899141666857,Sambono,sambono,sambono,angel
ἄγγελος,100,unigram,masculine,nominative,singular,Engel,2.3864539070006896,Engel,Engel,Engel,angel
ἀπόστολος,40,unigram,masculine,nominative,plural,Aposel,3.6795793731154935,Aposel,Aposel,Aposel,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,oorowuteku,1.73003640157564,oolouteku,oorowuteku,oorowuteku,apostle
ἐξουσία,180,unigram,feminine,accusative,singular,yanggango,1.213163188350913,yanggango,yanggango,yanggango,authority
βρέφος,14,unigram,neuter,accusative,plural,manggaruyeroyingo,1.3540023302561652,manggaluyelowolo,manggaruyeroyingo,manggaruyeroyingo,babies
βρέφος,293,unigram,neuter,accusative,singular,koondomo,2.626384449997843,koondomo,koondomo,koondomo,babies
ἀποθήκη,65,unigram,feminine,accusative,singular,nombo,1.0606441818977312,,nombo,nombo,barn
φραγμός,212,unigram,masculine,accusative,plural,kanggakuri,1.2041562431144057,kanggaguli,kanggakuri,kanggakuri,"barrier, wall"
φραγμός,103,unigram,masculine,accusative,singular,winggooweloyi,1.1078239406973032,winggooweloyi,,,"barrier, wall"
ἀρχή,163,unigram,feminine,accusative,singular,Kena,1.3604312025352816,Kena,Kena,Kena,beginning
ζώνη,156,unigram,feminine,accusative,plural,siriyowero,1.7731218175910022,siliyowelo,siriyowero,siriyowero,belt
βλασφημία,28,unigram,feminine,accusative,plural,Anutromu,1.3981890970359072,ingondudunolo,Anutromu,Anutromu,blasphemy
βλασφημία,188,unigram,feminine,nominative,plural,kootuyisina,1.5775119331109253,kootuyisina,,,blasphemy
πλοῖον,98,unigram,neuter,accusative,plural,wanggo,4.11764971222047,wanggo,wanggo,wanggo,boat
πλοῖον,280,unigram,neuter,accusative,singular,wanggo,6.516068080481691,wanggo,wanggo,wanggo,boat
πλοῖον,205,unigram,neuter,nominative,singular,wanggo,5.3607501288425965,wanggo,wanggo,wanggo,boat
σῶμα,56,unigram,neuter,nominative,singular,moondege,6.351630070627882,moondege,moondege,moondege,body
κλῆμα,52,unigram,neuter,nominative,plural,oodoore,1.2273189289276256,oodoole,oodoore,oodoore,branch
κλῆμα,135,unigram,neuter,nominative,singular,kambini,2.3705732365824077,nono,kambini,kambini,branch
ἄρτος,284,unigram,masculine,accusative,plural,oomanongoyingo,39.46313807811411,oomanongoyingo,oomanongoyingo,oomanongoyingo,bread
ἄρτος,309,unigram,masculine,accusative,singular,oomanongoyingo,2.0726171264086983,oomanongoyingo,oomanongoyingo,oomanongoyingo,bread
ἄρτος,143,unigram,masculine,nominative,plural,yunootooye,1.794044151407976,yunootooye,yunootooye,yunootooye,bread
ἄρτος,34,unigram,masculine,nominative,singular,manongoyingo,1.5139134947364739,oomanongoyingo,manongoyingo,manongoyingo,bread
ἀδελφός,271,unigram,masculine,accusative,plural,konebeyi,1.834011527665799,konebobeyi,konebeyi,konebeyi,brother
ἀδελφός,111,unigram,masculine,accusative,singular,koneyo,1.81769898845132,koneyo,koneyo,koneyo,brother
ἀδελφός,102,unigram,masculine,nominative,plural,namone,1.6819978670522284,namone,namone,namone,brother
ἀδελφός,210,unigram,masculine,nominative,singular,koneyo,5.263246240920478,koneyo,koneyo,koneyo,brother
στῆθος,255,unigram,neuter,accusative,singular,rorowooro,3.830341451582933,,rorowooro,rorowooro,"chest, breast"
ἀρχιερεύς,219,unigram,masculine,accusative,plural,wooro,2.0796968622414553,woolo,wooro,wooro,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,wooro,1.6554810971311302,woolo,wooro,wooro,chief priest
ἀρχιερεύς,110,unigram,masculine,nominative,plural,wooro,1.6983677337564371,woolo,wooro,wooro,chief priest
ἀρχιερεύς,222,unigram,masculine,nominative,singular,wooro,2.327641406364468,woolo,wooro,wooro,chief priest
παῖς,44,unigram,masculine,accusative,singular,ombuwootori,1.2042655943304288,,ombuwootori,ombuwootori,child
