lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_292_translation,english_translation
θεός,134,unigram,masculine,accusative,singular,Chube,1.5011379388598969,Chube,God
θεός,203,unigram,masculine,nominative,singular,Chube,1.0653095761876648,Chube,God
κύριος,314,unigram,masculine,nominative,plural,solidi,1.0813656793048572,solidi,"Lord, lord, master"
κύριος,135,unigram,masculine,nominative,singular,Chugagwalla,1.8501299319010445,Chugagwalla,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,degaba,1.7642104177638929,degaba,Scripture
γραφή,253,unigram,feminine,nominative,plural,degaba,1.2220252288567195,degaba,Scripture
γραφή,308,unigram,feminine,nominative,singular,degaba,1.562718369174917,degaba,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,boanga,1.0572735966264242,boanga,angel
ἄγγελος,82,unigram,masculine,accusative,singular,ngwange.,1.0054899802982298,ngwange.,angel
ἄγγελος,45,unigram,masculine,nominative,plural,boanga,1.0887309193958723,boanga,angel
ἄγγελος,110,unigram,masculine,nominative,singular,boanga,1.712658177214634,boanga,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,ngwadige,1.3688475961301094,ngwadige,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,kagangage,1.4492083467063788,kagangage,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,tallade,1.0208927109870012,tallade,authority
ἐξουσία,196,unigram,feminine,accusative,singular,kiralla,1.5523827982415317,kiralla,authority
βρέφος,15,unigram,neuter,accusative,plural,—¿Lledale,1.1771786022074184,—¿Lledale,babies
ἀποθήκη,260,unigram,feminine,accusative,plural,bdadage,1.0769491921823968,bdadage,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,tagla,1.708328577626092,tagla,barn
φραγμός,226,unigram,masculine,accusative,plural,chiedale,1.166832228311834,chiedale,"barrier, wall"
ἀρχή,70,unigram,feminine,accusative,plural,tallade,1.020859474279045,tallade,beginning
ἀρχή,179,unigram,feminine,accusative,singular,gagere,1.0657527628538297,gagere,beginning
βλασφημία,30,unigram,feminine,accusative,plural,¿Chema,1.2549240659729757,¿Chema,blasphemy
βλασφημία,96,unigram,feminine,accusative,singular,gagunga,1.4540905956541104,gagunga,blasphemy
βλασφημία,201,unigram,feminine,nominative,plural,talla,1.1244923659295358,talla,blasphemy
βλασφημία,83,unigram,feminine,nominative,singular,dabanu,1.1054498000273834,dabanu,blasphemy
πλοῖον,108,unigram,neuter,accusative,plural,du,1.3165583586847551,du,boat
πλοῖον,294,unigram,neuter,accusative,singular,du,1.066091073323853,du,boat
πλοῖον,217,unigram,neuter,nominative,singular,duge,1.313969038299252,duge,boat
σῶμα,58,unigram,neuter,nominative,singular,gutadale.,1.0598612573071748,gutadale.,body
κλῆμα,151,unigram,neuter,nominative,singular,girage,1.5328877501426903,girage,branch
ἄρτος,298,unigram,masculine,accusative,plural,pan,1.9492112169586544,pan,bread
ἄρτος,323,unigram,masculine,accusative,singular,gutadale,1.0221782827295698,gutadale,bread
ἄρτος,158,unigram,masculine,nominative,plural,gutadale,1.0861946366863928,gutadale,bread
ἄρτος,36,unigram,masculine,nominative,singular,bligda,1.371461834345986,bligda,bread
ἀδελφός,285,unigram,masculine,accusative,plural,daballa,3.5710956299994314,daballa,brother
ἀδελφός,121,unigram,masculine,accusative,singular,daballa,2.264581674070132,daballa,brother
ἀδελφός,114,unigram,masculine,nominative,plural,daballa,1.9666348657939932,daballa,brother
ἀδελφός,224,unigram,masculine,nominative,singular,daballa,3.3071740370115448,daballa,brother
στῆθος,273,unigram,neuter,accusative,singular,ngena,1.4360458250932278,ngena,"chest, breast"
ἀρχιερεύς,235,unigram,masculine,accusative,plural,gerunga,1.4862728971376962,gerunga,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,gerunga,1.1506522903596057,gerunga,chief priest
ἀρχιερεύς,120,unigram,masculine,nominative,plural,gerunga,1.685263119768429,gerunga,chief priest
ἀρχιερεύς,239,unigram,masculine,nominative,singular,gerunga,1.8141599611057482,gerunga,chief priest
παῖς,229,unigram,masculine,accusative,plural,skochiu,1.0524659738774635,skochiu,child
παῖς,47,unigram,masculine,accusative,singular,tratuda,1.0954540950705378,tratuda,child
τέκνον,316,unigram,neuter,accusative,plural,kirogwalla,1.6219942570929125,kirogwalla,child
τέκνον,190,unigram,neuter,nominative,singular,ogadi,1.1382396431456003,ogadi,child
παιδίον,14,unigram,neuter,accusative,plural,kirogwalla,1.0204149926273156,kirogwalla,child
παιδίον,91,unigram,neuter,accusative,singular,kirogwa,1.3974104420586393,kirogwa,child
παιδίον,172,unigram,neuter,nominative,plural,ngwege,1.0145772017780177,ngwege,child
παιδίον,38,unigram,neuter,nominative,singular,kirogwa,3.5046777275552516,kirogwa,child
πόλις,180,unigram,feminine,accusative,plural,una,1.0489646086119848,una,city
πόλις,63,unigram,feminine,accusative,singular,una,1.808098237069766,una,city
χιτών,117,unigram,masculine,accusative,plural,llagli,1.3935057898931271,llagli,"clothing, undergarments"
χιτών,27,unigram,masculine,accusative,singular,badige,1.4671868879403542,badige,"clothing, undergarments"
ἱμάτιον,132,unigram,neuter,accusative,plural,ñometralla,2.027605777701808,ñometralla,coat
ἱμάτιον,131,unigram,neuter,accusative,singular,ñometralla,1.0835529017338863,ñometralla,coat
ἐντολή,79,unigram,feminine,accusative,singular,suia,1.7941250303366094,suia,commandment
συνέδριον,302,unigram,neuter,accusative,plural,batange,1.1443491410946474,batange,council
συνέδριον,50,unigram,neuter,accusative,singular,litu,1.3482339528560807,litu,council
χώρα,275,unigram,feminine,accusative,singular,Gadarage,1.5914133243458182,Gadarage,"country, countryside"
ὄχλος,55,unigram,masculine,accusative,plural,ngle,1.0291390051528162,ngle,crowd
ὄχλος,11,unigram,masculine,accusative,singular,nglea,1.0402577824744226,nglea,crowd
ὄχλος,101,unigram,masculine,nominative,plural,tanre,1.2736152916451344,tanre,crowd
ὄχλος,269,unigram,masculine,nominative,singular,Jesudi,1.0194082978341,Jesudi,crowd
θυγάτηρ,297,unigram,feminine,nominative,singular,jian,3.0324266797158685,jian,daughter
ἡμέρα,73,unigram,feminine,accusative,plural,chui,1.8469030931035824,chui,day
ἡμέρα,84,unigram,feminine,accusative,singular,chui,1.1298307890718238,chui,day
ἡμέρα,2,unigram,feminine,nominative,plural,chui,1.069866625470409,chui,day
ἡμέρα,65,unigram,feminine,nominative,singular,ju,1.3849120369592758,ju,day
ὀφειλέτης,241,unigram,masculine,nominative,plural,Siloége,1.0590999832560763,Siloége,debtor
δαιμόνιον,28,unigram,neuter,accusative,plural,dolla,1.4182977596004311,dolla,demon
δαιμόνιον,311,unigram,neuter,accusative,singular,dolla,1.58512738271565,dolla,demon
δαιμόνιον,191,unigram,neuter,nominative,plural,dolla,1.8128685449022035,dolla,demon
δαιμόνιον,171,unigram,neuter,nominative,singular,dolla,1.6410652458910384,dolla,demon
δηνάριον,160,unigram,neuter,accusative,singular,gaite,1.0237125070150224,gaite,denarius (about a day's wages)
μαθητής,175,unigram,masculine,accusative,plural,jwannga,1.2884745214426712,jwannga,disciple
μαθητής,317,unigram,masculine,accusative,singular,gwagedu,1.0891077140788956,gwagedu,disciple
μαθητής,264,unigram,masculine,nominative,plural,jwannga,1.7381982727024403,jwannga,disciple
μαθητής,315,unigram,masculine,nominative,singular,chagekalin,1.2059416069480575,chagekalin,disciple
νόσος,3,unigram,feminine,accusative,plural,dodadu.,1.1054554065091202,dodadu.,disease
νόσος,72,unigram,feminine,accusative,singular,jingmere,2.111736768622572,jingmere,disease
περιστερά,100,unigram,feminine,accusative,plural,beusi,1.6534755532381606,beusi,dove
περιστερά,52,unigram,feminine,accusative,singular,beusi,1.6090011219177875,beusi,dove
οὖς,150,unigram,neuter,accusative,plural,ologe,1.070656698319106,ologe,ear
οὖς,268,unigram,neuter,accusative,singular,tragale,1.0703542415626026,tragale,ear
σεισμός,197,unigram,masculine,nominative,plural,kegde,1.035147418110267,kegde,"earthquakes, storm"
σεισμός,61,unigram,masculine,nominative,singular,biabanga,1.1054441961004942,biabanga,"earthquakes, storm"
τέλος,262,unigram,neuter,accusative,singular,ngwaleske,1.2929036395204052,ngwaleske,end
αἰών,230,unigram,masculine,accusative,plural,bidege,1.2302499172868004,bidege,eternity
αἰών,286,unigram,masculine,accusative,singular,diali,1.0419397346614576,diali,eternity
ὀφθαλμός,21,unigram,masculine,accusative,plural,gwagwa,1.6335087622838438,gwagwa,eye
ὀφθαλμός,62,unigram,masculine,nominative,plural,gdamaidini,1.021382907173198,gdamaidini,eye
ὀφθαλμός,283,unigram,masculine,nominative,singular,gwagwa,1.2371998672979208,gwagwa,eye
πρόσωπον,122,unigram,neuter,accusative,plural,kenngaske,1.1179733090089576,kenngaske,face
πρόσωπον,187,unigram,neuter,accusative,singular,dbidi,1.1502426133742234,dbidi,face
λιμός,7,unigram,feminine,nominative,plural,kegde,1.0437743476448686,kegde,famine
λιμός,293,unigram,masculine,nominative,plural,kegde,1.0591120337209396,kegde,famine
λιμός,92,unigram,feminine,nominative,singular,kagunga,1.1933510097798832,kagunga,famine
γεωργός,240,unigram,masculine,nominative,plural,uva,1.1134410126140837,uva,"farmer, tenant"
