lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1623_translation,english_translation
θεός,362,unigram,masculine,accusative,plural,jou'ongu,1.362234405535402,jou'ongu,God
θεός,152,unigram,masculine,accusative,singular,Madutu,1.002998856011134,Madutu,God
θεός,33,unigram,masculine,nominative,plural,jou'ongu-jou'ongu,1.9376441581912376,jou'ongu-jou'ongu,God
θεός,233,unigram,masculine,nominative,singular,Madutu,1.0028739663676172,Madutu,God
κύριος,364,unigram,masculine,nominative,plural,keledai,1.2790430231698169,keledai,"Lord, lord, master"
κύριος,153,unigram,masculine,nominative,singular,Jou,1.3539659657090335,Jou,"Lord, lord, master"
γραφή,148,unigram,feminine,accusative,plural,Boku,1.2830762934953934,Boku,Scripture
γραφή,58,unigram,feminine,accusative,singular,Boku,1.2992241641490871,Boku,Scripture
γραφή,290,unigram,feminine,nominative,plural,Boku,1.2935838440035812,Boku,Scripture
γραφή,356,unigram,feminine,nominative,singular,Boku,1.2605246986155274,Boku,Scripture
ἄγγελος,113,unigram,masculine,accusative,plural,mala'ekata-mala'ekata,1.7277225507809235,mala'ekata-mala'ekata,angel
ἄγγελος,95,unigram,masculine,accusative,singular,so-soma,1.0538194600974613,so-soma,angel
ἄγγελος,54,unigram,masculine,nominative,plural,mala'ekata-mala'ekata,1.5358135708725769,mala'ekata-mala'ekata,angel
ἄγγελος,124,unigram,masculine,nominative,singular,mala'ekata,2.723688195631228,mala'ekata,angel
ἀπόστολος,51,unigram,masculine,nominative,plural,so-soma,3.66613600971088,so-soma,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,so-soma,1.0172995937081941,so-soma,apostle
ἐξουσία,78,unigram,feminine,accusative,plural,pamarenta,1.2876904224762442,pamarenta,authority
ἐξουσία,222,unigram,feminine,accusative,singular,kuasa,2.559286425564043,kuasa,authority
βρέφος,20,unigram,neuter,accusative,plural,sibarakati,1.0615199108592586,sibarakati,babies
βρέφος,354,unigram,neuter,accusative,singular,haiwani,1.1625288102932605,haiwani,babies
ἀποθήκη,297,unigram,feminine,accusative,plural,titila,1.3303707768634656,titila,barn
ἀποθήκη,77,unigram,feminine,accusative,singular,titila,1.2555924019945586,titila,barn
φραγμός,259,unigram,masculine,accusative,plural,lurungu-lurungu,1.0595352057902494,lurungu-lurungu,"barrier, wall"
φραγμός,129,unigram,masculine,accusative,singular,hisa,1.0595319950666118,hisa,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,pamarenta,1.2359095857513434,pamarenta,beginning
ἀρχή,204,unigram,feminine,accusative,singular,mulaingi,1.2860336087051498,mulaingi,beginning
ζώνη,195,unigram,feminine,accusative,plural,tamḇaga,1.2743616909399822,tamḇaga,belt
βλασφημία,110,unigram,feminine,accusative,singular,sije-jengere,1.1421225439094842,sije-jengere,blasphemy
βλασφημία,231,unigram,feminine,nominative,plural,su-sudala,1.1606302527591592,su-sudala,blasphemy
πλοῖον,122,unigram,neuter,accusative,plural,oti,1.6066317331099649,oti,boat
πλοῖον,339,unigram,neuter,accusative,singular,oti,1.843319837960056,oti,boat
πλοῖον,266,unigram,neuter,nominative,plural,oti-oti,1.1457669439439666,oti-oti,boat
πλοῖον,250,unigram,neuter,nominative,singular,talaga,1.4320433257351566,talaga,boat
σῶμα,68,unigram,neuter,nominative,singular,lese,2.1066379761276206,lese,body
κλῆμα,64,unigram,neuter,nominative,plural,umanga-umanga,1.754554432078142,umanga-umanga,branch
κλῆμα,169,unigram,neuter,nominative,singular,umanga,1.2763632008929795,umanga,branch
ἄρτος,343,unigram,masculine,accusative,plural,roti,2.7343866111111113,roti,bread
ἄρτος,374,unigram,masculine,accusative,singular,roti,1.7880452059614462,roti,bread
ἄρτος,178,unigram,masculine,nominative,plural,roti,2.1962030421718546,roti,bread
ἄρτος,44,unigram,masculine,nominative,singular,roti,2.564164422681668,roti,bread
ἀδελφός,329,unigram,masculine,accusative,plural,nongoḏu,1.302399168840137,nongoḏu,brother
ἀδελφός,138,unigram,masculine,accusative,singular,nongoḏu,1.048515284433139,nongoḏu,brother
ἀδελφός,128,unigram,masculine,nominative,plural,no-nongoḏu,1.1283377786951323,no-nongoḏu,brother
ἀδελφός,257,unigram,masculine,nominative,singular,nongoḏu,2.6215163147334777,nongoḏu,brother
στῆθος,174,unigram,neuter,accusative,plural,katere,1.0960622061228922,katere,"chest, breast"
ἀρχιερεύς,271,unigram,masculine,accusative,plural,'imam-'imam,1.159359634913167,'imam-'imam,chief priest
ἀρχιερεύς,69,unigram,masculine,accusative,singular,'agung,1.2158199957357123,'agung,chief priest
ἀρχιερεύς,137,unigram,masculine,nominative,plural,sae,1.194294925504628,sae,chief priest
ἀρχιερεύς,277,unigram,masculine,nominative,singular,'agung,1.2770552989225992,'agung,chief priest
παῖς,262,unigram,masculine,accusative,plural,ruta,1.2875497505678082,ruta,child
παῖς,56,unigram,masculine,accusative,singular,rofu-rofu,1.1063428775234152,rofu-rofu,child
τέκνον,366,unigram,neuter,accusative,plural,ngowa-ngowa,1.163697630666552,ngowa-ngowa,child
τέκνον,201,unigram,neuter,accusative,singular,nongoḏu,1.5568361951066978,nongoḏu,child
τέκνον,21,unigram,neuter,nominative,plural,ḇaḇa,1.3695452797289518,ḇaḇa,child
τέκνον,215,unigram,neuter,nominative,singular,'Ari,1.1215821934485106,'Ari,child
παιδίον,19,unigram,neuter,accusative,plural,Sieanga,1.0694498855583254,Sieanga,child
παιδίον,103,unigram,neuter,accusative,singular,'olo,2.4447486040608326,'olo,child
παιδίον,193,unigram,neuter,nominative,plural,'olo,1.1181724256959422,'olo,child
παιδίον,46,unigram,neuter,nominative,singular,'olo,3.160030527276348,'olo,child
πόλις,205,unigram,feminine,accusative,plural,limau-limau,1.0297636086803534,limau-limau,city
πόλις,73,unigram,feminine,accusative,singular,limau,3.6443878895815485,limau,city
πύλη,294,unigram,feminine,nominative,plural,jama'ata,1.1795999899061549,jama'ata,city gate
πύλη,230,unigram,feminine,nominative,singular,peletoro,1.2821462140415696,peletoro,city gate
χιτών,134,unigram,masculine,accusative,plural,baju,1.4065862105400928,baju,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,juba,1.3072411608919112,juba,"clothing, undergarments"
ἱμάτιον,150,unigram,neuter,accusative,plural,juba,2.9641913577636805,juba,coat
ἱμάτιον,149,unigram,neuter,accusative,singular,juba,2.213440183521412,juba,coat
ἐντολή,92,unigram,feminine,accusative,plural,parenta,1.4893702974901766,parenta,commandment
ἐντολή,90,unigram,feminine,accusative,singular,parenta,1.1933935288192212,parenta,commandment
συνέδριον,348,unigram,neuter,accusative,plural,mahkamah-mahkamah,1.2633914052661706,mahkamah-mahkamah,council
χώρα,317,unigram,feminine,accusative,singular,daeraha,2.4237387631824143,daeraha,"country, countryside"
ὄχλος,65,unigram,masculine,accusative,plural,repe,1.1429737067407528,repe,crowd
ὄχλος,12,unigram,masculine,accusative,singular,repe,2.764136965353635,repe,crowd
ὄχλος,115,unigram,masculine,nominative,plural,repe,1.5401163594038976,repe,crowd
ὄχλος,309,unigram,masculine,nominative,singular,repe,2.4295192491644033,repe,crowd
θυγάτηρ,132,unigram,feminine,nominative,plural,magaḏi,1.3267028864648294,magaḏi,daughter
θυγάτηρ,342,unigram,feminine,nominative,singular,were,1.6584255578758205,were,daughter
ἡμέρα,84,unigram,feminine,accusative,plural,palisi,1.0710989495355123,palisi,day
ἡμέρα,96,unigram,feminine,accusative,singular,wangere,1.0924406853560809,wangere,day
ἡμέρα,2,unigram,feminine,nominative,plural,'orasa,2.2959013646721154,'orasa,day
ἡμέρα,75,unigram,feminine,nominative,singular,wangere,1.8061658892925985,wangere,day
ὀφειλέτης,141,unigram,masculine,nominative,singular,juta-juta,1.0960524252565438,juta-juta,debtor
δαιμόνιον,35,unigram,neuter,accusative,plural,dusu,1.1073376396790504,dusu,demon
δαιμόνιον,359,unigram,neuter,accusative,singular,roh,1.2054139454087598,roh,demon
δαιμόνιον,217,unigram,neuter,nominative,plural,jira,1.0362000154161355,jira,demon
δαιμόνιον,192,unigram,neuter,nominative,singular,roh,1.2194416840396929,roh,demon
δηνάριον,333,unigram,neuter,accusative,plural,salaka,1.5470472317356998,salaka,denarius (about a day's wages)
