lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1661_translation,english_translation
θεός,310,unigram,masculine,accusative,plural,fofaisir,1.2542663035404695,fofaisir,God
θεός,131,unigram,masculine,accusative,singular,Myao,1.081333080280566,Myao,God
θεός,30,unigram,masculine,nominative,plural,buku,1.0366416886909544,buku,God
θεός,199,unigram,masculine,nominative,singular,Myao,1.3087207900551967,Myao,God
κύριος,132,unigram,masculine,nominative,singular,Atap,1.41815088080633,Atap,"Lord, lord, master"
γραφή,126,unigram,feminine,accusative,plural,Alkitab,2.1695382057141037,Alkitab,Scripture
γραφή,51,unigram,feminine,accusative,singular,Alkitab,1.354501887926158,Alkitab,Scripture
γραφή,249,unigram,feminine,nominative,plural,Alkitab,1.0317557531717778,Alkitab,Scripture
γραφή,306,unigram,feminine,nominative,singular,Alkitab,2.268564433558507,Alkitab,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,malaikat,1.3769376736535437,malaikat,angel
ἄγγελος,81,unigram,masculine,accusative,singular,gaman,1.2365589483018788,gaman,angel
ἄγγελος,47,unigram,masculine,nominative,plural,malaikat,3.6537039784039336,malaikat,angel
ἄγγελος,104,unigram,masculine,nominative,singular,malaikat,2.036055562528732,malaikat,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,amtai,1.997749667778831,amtai,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,nemahud,1.0663409577225167,nemahud,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,daigimamake,1.1616893501306138,daigimamake,authority
ἐξουσία,189,unigram,feminine,accusative,singular,gwandep,1.3107227358108846,gwandep,authority
βρέφος,16,unigram,neuter,accusative,plural,kaufaran,1.2872909275746798,kaufaran,babies
βρέφος,304,unigram,neuter,accusative,singular,radep,1.1253955804646278,radep,babies
ἀποθήκη,254,unigram,feminine,accusative,plural,gudang,1.887503000235056,gudang,barn
ἀρχή,70,unigram,feminine,accusative,plural,daigimamake,1.2127702137717524,daigimamake,beginning
ζώνη,166,unigram,feminine,accusative,plural,tembaga,1.1613897942730969,tembaga,belt
βλασφημία,32,unigram,feminine,accusative,plural,hafohab,1.0595803167787572,hafohab,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,kavi,1.2738647607193123,kavi,boat
πλοῖον,290,unigram,neuter,accusative,singular,kavi,2.791136644486714,kavi,boat
πλοῖον,213,unigram,neuter,nominative,singular,atatup,1.302849696315898,atatup,boat
σῶμα,60,unigram,neuter,nominative,singular,mutub,3.5995393606161934,mutub,body
κλῆμα,145,unigram,neuter,nominative,singular,badamdyap,1.0206339447460446,badamdyap,branch
ἄρτος,294,unigram,masculine,accusative,plural,du,2.0743679885570945,du,bread
ἄρτος,318,unigram,masculine,accusative,singular,du,5.656225340136328,du,bread
ἄρτος,153,unigram,masculine,nominative,plural,Du,1.5121513466767784,Du,bread
ἄρτος,39,unigram,masculine,nominative,singular,marsir,1.2228609590375528,marsir,bread
ἀδελφός,280,unigram,masculine,accusative,plural,agas,2.872052944120977,agas,brother
ἀδελφός,117,unigram,masculine,accusative,singular,agas,1.8887314707379477,agas,brother
ἀδελφός,108,unigram,masculine,nominative,plural,agas,2.1732726838843797,agas,brother
ἀδελφός,220,unigram,masculine,nominative,singular,agas,4.490309401781509,agas,brother
στῆθος,150,unigram,neuter,accusative,plural,betavuv,1.0961112485594913,betavuv,"chest, breast"
ἀρχιερεύς,230,unigram,masculine,accusative,plural,kepala,1.1461311509829468,kepala,chief priest
ἀρχιερεύς,61,unigram,masculine,accusative,singular,Kandep,1.4652773436316424,Kandep,chief priest
ἀρχιερεύς,116,unigram,masculine,nominative,plural,kepala,1.810798403710581,kepala,chief priest
ἀρχιερεύς,234,unigram,masculine,nominative,singular,Kandep,1.378825953973689,Kandep,chief priest
παῖς,224,unigram,masculine,accusative,plural,fadakair,1.1133774532709757,fadakair,child
παῖς,49,unigram,masculine,accusative,singular,tavdasir,1.0441613383711852,tavdasir,child
τέκνον,313,unigram,neuter,accusative,plural,harigav,3.394168879066928,harigav,child
τέκνον,170,unigram,neuter,accusative,singular,tirohaunae,1.1596733409730997,tirohaunae,child
τέκνον,17,unigram,neuter,nominative,plural,tirohaunae,1.169840456874586,tirohaunae,child
τέκνον,182,unigram,neuter,nominative,singular,timo,1.3789734315976687,timo,child
παιδίον,15,unigram,neuter,accusative,plural,gamhaton,1.0532545403906832,gamhaton,child
παιδίον,87,unigram,neuter,accusative,singular,tim,1.7323539245728368,tim,child
παιδίον,164,unigram,neuter,nominative,plural,gamhaton,1.2355579041305047,gamhaton,child
παιδίον,41,unigram,neuter,nominative,singular,namo,1.3026703167097728,namo,child
πόλις,173,unigram,feminine,accusative,plural,haim-haim,1.983527719632716,haim-haim,city
πόλις,64,unigram,feminine,accusative,singular,aphaim,5.4818187545985095,aphaim,city
πύλη,197,unigram,feminine,nominative,singular,Mahatap,1.0595673971889907,Mahatap,city gate
χιτών,113,unigram,masculine,accusative,plural,nauri,1.0202407305395538,nauri,"clothing, undergarments"
ἱμάτιον,129,unigram,neuter,accusative,plural,baju,3.8777150617125296,baju,coat
ἱμάτιον,128,unigram,neuter,accusative,singular,baju,2.5586240934321203,baju,coat
ἐντολή,78,unigram,feminine,accusative,singular,agankomain,1.0458034010227395,agankomain,commandment
συνέδριον,298,unigram,neuter,accusative,plural,baba,1.081153923909688,baba,council
συνέδριον,53,unigram,neuter,accusative,singular,Bainam,1.1797407121170491,Bainam,council
χώρα,271,unigram,feminine,accusative,singular,aiyao,1.3958451287513671,aiyao,"country, countryside"
ὄχλος,57,unigram,masculine,accusative,plural,tavdama,1.0783433596268388,tavdama,crowd
ὄχλος,9,unigram,masculine,accusative,singular,amsarum,1.8640239088392156,amsarum,crowd
ὄχλος,96,unigram,masculine,nominative,plural,amsarum,2.3740778439294163,amsarum,crowd
ὄχλος,264,unigram,masculine,nominative,singular,faran,1.1644607090474282,faran,crowd
θυγάτηρ,111,unigram,feminine,nominative,plural,raman,1.5017835742639585,raman,daughter
θυγάτηρ,293,unigram,feminine,nominative,singular,atirim,2.282343208581872,atirim,daughter
ἡμέρα,73,unigram,feminine,accusative,plural,gasmadi,1.0443838228222049,gasmadi,day
ἡμέρα,82,unigram,feminine,accusative,singular,Atap-atap,1.253684622224718,Atap-atap,day
ἡμέρα,2,unigram,feminine,nominative,plural,atap,1.1834326205732977,atap,day
ἡμέρα,66,unigram,feminine,nominative,singular,baesir,1.1307944602993636,baesir,day
ὀφειλέτης,237,unigram,masculine,nominative,plural,ganhair,1.0961014216060068,ganhair,debtor
ὀφειλέτης,118,unigram,masculine,nominative,singular,juta,1.1613897942730969,juta,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,horoha,1.254902142395865,horoha,demon
δαιμόνιον,308,unigram,neuter,accusative,singular,hamar,1.6005889606617307,hamar,demon
δαιμόνιον,183,unigram,neuter,nominative,plural,hamar,1.5679537076848151,hamar,demon
δαιμόνιον,163,unigram,neuter,nominative,singular,hamar,1.6180521244358406,hamar,demon
δηνάριον,285,unigram,neuter,accusative,plural,Otaham,1.0599514943738662,Otaham,denarius (about a day's wages)
δηνάριον,155,unigram,neuter,accusative,singular,Perak,1.026879132506204,Perak,denarius (about a day's wages)
μαθητής,168,unigram,masculine,accusative,plural,maradep,2.70865883657272,maradep,disciple
μαθητής,314,unigram,masculine,accusative,singular,maradep,1.063183205667748,maradep,disciple
μαθητής,258,unigram,masculine,nominative,plural,maradep,3.9924554465391453,maradep,disciple
μαθητής,312,unigram,masculine,nominative,singular,maradep,3.2014238141170197,maradep,disciple
νόσος,3,unigram,feminine,accusative,plural,waidon,1.1363145872154858,waidon,disease
νόσος,72,unigram,feminine,accusative,singular,rimi,1.0096639707335044,rimi,disease
περιστερά,95,unigram,feminine,accusative,plural,airip,1.0474888355499652,airip,dove
περιστερά,55,unigram,feminine,accusative,singular,airip,1.3542022235226592,airip,dove
οὖς,144,unigram,neuter,accusative,plural,dareno,1.0745833281118282,dareno,ear
οὖς,263,unigram,neuter,accusative,singular,sadap,1.1853372607460804,sadap,ear
σεισμός,190,unigram,masculine,nominative,plural,nahadimaken,1.1052318056604074,nahadimaken,"earthquakes, storm"
τέλος,255,unigram,neuter,accusative,singular,fadagur,1.044940293331181,fadagur,end
αἰών,281,unigram,masculine,accusative,singular,banaokwimaken,1.4029458561015369,banaokwimaken,eternity
ὀφθαλμός,23,unigram,masculine,accusative,plural,kod,3.2472052055679868,kod,eye
ὀφθαλμός,63,unigram,masculine,nominative,plural,kod,3.4463081236907143,kod,eye
ὀφθαλμός,278,unigram,masculine,nominative,singular,kod,1.6459417702430432,kod,eye
πρόσωπον,179,unigram,neuter,accusative,singular,reptap,1.0080113372405115,reptap,face
λιμός,6,unigram,feminine,nominative,plural,rabgan,1.0595738538997284,rabgan,famine
λιμός,89,unigram,feminine,nominative,singular,homho,1.3265813112200036,homho,famine
λιμός,133,unigram,masculine,nominative,singular,ig,1.0961210847775034,ig,famine
γεωργός,236,unigram,masculine,nominative,plural,kebun,1.058830224822107,kebun,"farmer, tenant"
γεωργός,50,unigram,masculine,nominative,singular,gar,1.0578640443326388,gar,"farmer, tenant"
πατήρ,184,unigram,masculine,accusative,plural,mikomain,1.2414389617015056,mikomain,father
πατήρ,284,unigram,masculine,accusative,singular,Navo,1.054743061125145,Navo,father
πατήρ,292,unigram,masculine,nominative,plural,asigi,2.9528301665048846,asigi,father
πατήρ,174,unigram,masculine,nominative,singular,Navo,3.246661391061937,Navo,father
σύνδουλος,139,unigram,masculine,accusative,plural,memake,1.0961161655094454,memake,"fellow-servant, colleague"
σύνδουλος,83,unigram,masculine,accusative,singular,yakenae,1.0585674165780168,yakenae,"fellow-servant, colleague"
σύνδουλος,296,unigram,masculine,nominative,plural,gavis,1.4584870113600408,gavis,"fellow-servant, colleague"
σύνδουλος,109,unigram,masculine,nominative,singular,idaimakon,1.1029853338476918,idaimakon,"fellow-servant, colleague"
ἀγρός,307,unigram,masculine,accusative,plural,kamnap,1.350936161731742,kamnap,field
ἀγρός,40,unigram,masculine,accusative,singular,akifasir,1.1258162169359025,akifasir,field
δάκτυλος,218,unigram,masculine,accusative,plural,sasaha,1.09612600636564,sasaha,finger
ἰχθύς,147,unigram,masculine,accusative,plural,enamo,1.6405521070644735,enamo,fish
ἰχθύς,178,unigram,masculine,accusative,singular,enamo,1.2848670647020444,enamo,fish
δίκτυον,103,unigram,neuter,accusative,plural,maisar,3.2310805633611457,maisar,fishing net
δίκτυον,187,unigram,neuter,accusative,singular,maisar,1.6479173856355531,maisar,fishing net
δίκτυον,227,unigram,neuter,nominative,singular,bi,1.0961457159585586,bi,fishing net
τροφή,228,unigram,feminine,accusative,plural,akifavi,1.6013696505831008,akifavi,food
τροφή,303,unigram,feminine,accusative,singular,sankenam,1.0595770845675438,sankenam,food
πούς,221,unigram,masculine,accusative,plural,kinif,5.920765098726758,kinif,foot
πούς,107,unigram,masculine,accusative,singular,fotomhamake,1.035517478837307,fotomhamake,foot
καρπός,172,unigram,masculine,accusative,plural,ir,1.714313229780024,ir,"fruit, crop, harvest"
καρπός,216,unigram,masculine,accusative,singular,ir,5.066167463242887,ir,"fruit, crop, harvest"
πλήρωμα,252,unigram,neuter,accusative,plural,yavi,1.3479191583277983,yavi,fullness
πλήρωμα,302,unigram,neuter,accusative,singular,gaifakotae,1.0441287885892618,gaifakotae,fullness
γενεά,217,unigram,feminine,accusative,singular,banarake,1.1504199162479225,banarake,generation
γενεά,143,unigram,feminine,nominative,singular,fahaton,1.3280912909872564,fahaton,generation
δῶρον,283,unigram,neuter,accusative,plural,yavi,2.1421158899083323,yavi,gift
δῶρον,157,unigram,neuter,accusative,singular,utum,1.7578723178497548,utum,gift
ἡγεμών,12,unigram,masculine,accusative,singular,Gubernur,1.0961457159585586,Gubernur,"governor, ruler"
ἀσπασμός,295,unigram,masculine,accusative,plural,pasar,1.0748067666504044,pasar,greeting
ἀσπασμός,162,unigram,masculine,accusative,singular,tafarasir,1.044138782151748,tafarasir,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,mudaradep,1.047609701372078,mudaradep,guide
θρίξ,88,unigram,feminine,nominative,plural,amgiroho,1.0663449684967403,amgiroho,hair
χείρ,287,unigram,feminine,accusative,plural,it,3.2797843162632403,it,hand
