lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1646_translation,english_translation
θεός,102,unigram,masculine,accusative,singular,uNguluvi,2.9826625054899014,uNguluvi,God
θεός,167,unigram,masculine,nominative,singular,uNguluvi,1.6228156965125182,uNguluvi,God
κύριος,103,unigram,masculine,nominative,singular,uMutwa,1.157388226289872,uMutwa,"Lord, lord, master"
γραφή,97,unigram,feminine,accusative,plural,aManofu,1.0822056664407846,aManofu,Scripture
γραφή,39,unigram,feminine,accusative,singular,aManofu,1.2772273698721803,aManofu,Scripture
γραφή,210,unigram,feminine,nominative,plural,Mayandikhwa,1.310132779105436,Mayandikhwa,Scripture
γραφή,259,unigram,feminine,nominative,singular,aManofu,1.412951254762402,aManofu,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,avamalayikha,2.3896871492685983,avamalayikha,angel
ἄγγελος,35,unigram,masculine,nominative,plural,avamalayikha,1.4210634949362595,avamalayikha,angel
ἄγγελος,83,unigram,masculine,nominative,singular,umalayikha,2.7365783287741516,umalayikha,angel
ἀπόστολος,5,unigram,masculine,nominative,singular,ifilikhwa,1.0961704053894883,ifilikhwa,apostle
ἐξουσία,159,unigram,feminine,accusative,singular,uwutawulilwa,1.224581794937828,uwutawulilwa,authority
ζώνη,138,unigram,feminine,accusative,plural,mafukho,1.1614598393197606,mafukho,belt
βλασφημία,24,unigram,feminine,accusative,plural,kihiiva,1.0811920861767486,kihiiva,blasphemy
πλοῖον,81,unigram,neuter,accusative,plural,ifipugo,1.6319141525957686,ifipugo,boat
πλοῖον,245,unigram,neuter,accusative,singular,shipugo,4.3960491102414005,shipugo,boat
πλοῖον,181,unigram,neuter,nominative,singular,ishipugo,2.028479253788976,ishipugo,boat
σῶμα,46,unigram,neuter,nominative,singular,umuvili,1.2692504589935634,umuvili,body
κλῆμα,43,unigram,neuter,nominative,plural,niikhala,1.0961506491767987,niikhala,branch
κλῆμα,118,unigram,neuter,nominative,singular,linsamba,1.999948698884864,linsamba,branch
ἄρτος,250,unigram,masculine,accusative,plural,amakhaate,2.3666943092186896,amakhaate,bread
ἄρτος,271,unigram,masculine,accusative,singular,ishakiilya,1.1042854431268458,ishakiilya,bread
ἄρτος,123,unigram,masculine,nominative,plural,makhaate,1.5237048149872243,makhaate,bread
ἄρτος,29,unigram,masculine,nominative,singular,shakiilya,1.4623659772647457,shakiilya,bread
ἀδελφός,236,unigram,masculine,accusative,plural,avalukholo,1.8252724733783916,avalukholo,brother
ἀδελφός,92,unigram,masculine,accusative,singular,uYaakobo,1.0596529963890322,uYaakobo,brother
ἀδελφός,85,unigram,masculine,nominative,plural,valukholo,2.317364322183042,valukholo,brother
στῆθος,121,unigram,neuter,accusative,plural,vasugumiilwe,1.1134380623557119,vasugumiilwe,"chest, breast"
στῆθος,225,unigram,neuter,accusative,singular,asikudoolele,1.3787058070038665,asikudoolele,"chest, breast"
ἀρχιερεύς,194,unigram,masculine,accusative,plural,avakhome,1.5646332196327335,avakhome,chief priest
ἀρχιερεύς,47,unigram,masculine,accusative,singular,umukhome,1.1651971922391655,umukhome,chief priest
ἀρχιερεύς,91,unigram,masculine,nominative,plural,avakhome,1.9463213399685304,avakhome,chief priest
ἀρχιερεύς,199,unigram,masculine,nominative,singular,umukhome,1.0238049051624751,umukhome,chief priest
παῖς,189,unigram,masculine,accusative,plural,avaana,1.2667884834970646,avaana,child
παῖς,37,unigram,masculine,accusative,singular,wámugomosa,1.0962100302615791,wámugomosa,child
τέκνον,266,unigram,neuter,accusative,plural,vaana,1.0107688891045419,vaana,child
τέκνον,153,unigram,neuter,nominative,singular,Muswamu,1.138747805845612,Muswamu,child
παιδίον,11,unigram,neuter,accusative,plural,avaana,1.0417301793355875,avaana,child
παιδίον,67,unigram,neuter,accusative,singular,umwana,2.605227282703168,umwana,child
παιδίον,136,unigram,neuter,nominative,plural,avanangʼana,1.8130056741765708,avanangʼana,child
παιδίον,31,unigram,neuter,nominative,singular,umwana,1.1897350169790195,umwana,child
πόλις,144,unigram,feminine,accusative,plural,majumbi,2.240738342705339,majumbi,city
πόλις,50,unigram,feminine,accusative,singular,lijumbi,4.1232694872138245,lijumbi,city
πύλη,165,unigram,feminine,nominative,singular,umubanu,1.1422457595033402,umubanu,city gate
χιτών,88,unigram,masculine,accusative,plural,indaatu,1.053542915269145,indaatu,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,atoole,1.3547622349558306,atoole,"clothing, undergarments"
ἱμάτιον,100,unigram,neuter,accusative,plural,amenda,2.279180690400979,amenda,coat
ἱμάτιον,99,unigram,neuter,accusative,singular,umutote,1.3872879113550471,umutote,coat
ἐντολή,60,unigram,feminine,accusative,singular,indaji,1.8656245054077318,indaji,commandment
συνέδριον,254,unigram,neuter,accusative,plural,vakhavatova,1.0596062301903242,vakhavatova,council
συνέδριον,40,unigram,neuter,accusative,singular,avatambule,1.208506453917504,avatambule,council
χώρα,228,unigram,feminine,accusative,singular,nyi,1.8150197672659725,nyi,"country, countryside"
ὄχλος,44,unigram,masculine,accusative,plural,ishipuga,1.5473017087263738,ishipuga,crowd
ὄχλος,8,unigram,masculine,accusative,singular,ishipuga,1.4157434780435734,ishipuga,crowd
ὄχλος,74,unigram,masculine,nominative,plural,vinshi,1.0359634548920365,vinshi,crowd
ὄχλος,221,unigram,masculine,nominative,singular,sha,1.096299053579456,sha,crowd
θυγάτηρ,249,unigram,feminine,nominative,singular,umwali,1.5192667189804665,umwali,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,nsiku,3.1069736454661805,nsiku,day
ἡμέρα,63,unigram,feminine,accusative,singular,tikhandi,1.2536450106696422,tikhandi,day
ἡμέρα,2,unigram,feminine,nominative,plural,insiku,1.0117004078755791,insiku,day
ἡμέρα,52,unigram,feminine,nominative,singular,vamulomba,1.1043294020632308,vamulomba,day
δαιμόνιον,22,unigram,neuter,accusative,plural,amalungu,3.6429473234672662,amalungu,demon
δαιμόνιον,262,unigram,neuter,accusative,singular,lilungu,1.6994423316460714,lilungu,demon
δαιμόνιον,154,unigram,neuter,nominative,plural,amalungu,2.661428447102548,amalungu,demon
δαιμόνιον,135,unigram,neuter,nominative,singular,ililungu,1.3353764200750309,ililungu,demon
δηνάριον,240,unigram,neuter,accusative,plural,mahombo,1.752359956000559,mahombo,denarius (about a day's wages)
δηνάριον,125,unigram,neuter,accusative,singular,isilinje,1.6117006924491757,isilinje,denarius (about a day's wages)
μαθητής,141,unigram,masculine,accusative,plural,vaakwe,1.0426003429254995,vaakwe,disciple
μαθητής,267,unigram,masculine,accusative,singular,amugeene,1.7806787610441173,amugeene,disciple
μαθητής,217,unigram,masculine,nominative,plural,avamanyisiwa,1.0921933689958327,avamanyisiwa,disciple
μαθητής,265,unigram,masculine,nominative,singular,umumanyisiwa,1.2521445052785551,umumanyisiwa,disciple
νόσος,3,unigram,feminine,accusative,plural,amatamu,1.807602814768041,amatamu,disease
νόσος,56,unigram,feminine,accusative,singular,amatamu,1.4172706702407862,amatamu,disease
περιστερά,73,unigram,feminine,accusative,plural,viigusa,1.3230288132989398,viigusa,dove
περιστερά,41,unigram,feminine,accusative,singular,nkunda,1.2360996898232266,nkunda,dove
οὖς,117,unigram,neuter,accusative,plural,makutu,1.353823601658995,makutu,ear
οὖς,220,unigram,neuter,accusative,singular,nshiisi,1.0251839399861284,nshiisi,ear
σεισμός,160,unigram,masculine,nominative,plural,mudegenkho,1.631648406877554,mudegenkho,"earthquakes, storm"
τέλος,215,unigram,neuter,accusative,singular,kuwudugo,1.0442553637505267,kuwudugo,end
αἰών,237,unigram,masculine,accusative,singular,shiluta,2.0378380830505227,shiluta,eternity
ὀφθαλμός,16,unigram,masculine,accusative,plural,ameeho,1.1193580109413421,ameeho,eye
ὀφθαλμός,49,unigram,masculine,nominative,plural,ameeho,1.7314125018658204,ameeho,eye
ὀφθαλμός,234,unigram,masculine,nominative,singular,gwakho,1.0435129492206772,gwakho,eye
πρόσωπον,151,unigram,neuter,accusative,singular,wimanyisa,1.26193791646986,wimanyisa,face
λιμός,6,unigram,feminine,nominative,plural,mudegenkho,1.0595997425317951,mudegenkho,famine
λιμός,68,unigram,feminine,nominative,singular,yaagwa,1.1614949624381896,yaagwa,famine
γεωργός,200,unigram,masculine,nominative,plural,avalimaaji,1.6870569517309644,avalimaaji,"farmer, tenant"
γεωργός,38,unigram,masculine,nominative,singular,mulimaaji,1.1615654110234357,mulimaaji,"farmer, tenant"
πατήρ,155,unigram,masculine,accusative,plural,vambuyeesu,1.1475843513620163,vambuyeesu,father
πατήρ,239,unigram,masculine,accusative,singular,uDaada,1.1098587427992042,uDaada,father
πατήρ,248,unigram,masculine,nominative,plural,avambuyeenyu,1.404822427241747,avambuyeenyu,father
πατήρ,146,unigram,masculine,nominative,singular,uDaada,1.5847990297322794,uDaada,father
σύνδουλος,111,unigram,masculine,accusative,plural,vagaasi,1.1614861753515378,vagaasi,"fellow-servant, colleague"
σύνδουλος,86,unigram,masculine,nominative,singular,Uniheepe,1.0961555847270184,Uniheepe,"fellow-servant, colleague"
ἀγρός,261,unigram,masculine,accusative,plural,njinji,1.2877312754108123,njinji,field
ἀγρός,30,unigram,masculine,accusative,singular,umugunda,1.5385067038543854,umugunda,field
δάκτυλος,140,unigram,masculine,accusative,singular,ludole,1.044156317390788,ludole,finger
ἰχθύς,120,unigram,masculine,accusative,plural,nswi,1.0569199022492959,nswi,fish
ἰχθύς,150,unigram,masculine,accusative,singular,inswi,1.3616951946086773,inswi,fish
δίκτυον,82,unigram,neuter,accusative,plural,inyaafu,2.2741096810863146,inyaafu,fishing net
δίκτυον,157,unigram,neuter,accusative,singular,inswi,1.2019980558513226,inswi,fishing net
τροφή,192,unigram,feminine,accusative,plural,kigula,1.1611839817493466,kigula,food
πούς,187,unigram,masculine,accusative,plural,amagulu,1.2952243227517042,amagulu,foot
καρπός,143,unigram,masculine,accusative,plural,amakhomo,1.6565815323726591,amakhomo,"fruit, crop, harvest"
καρπός,184,unigram,masculine,accusative,singular,amakhomo,3.828510955141837,amakhomo,"fruit, crop, harvest"
πλήρωμα,213,unigram,neuter,accusative,plural,matunduti,1.695181807727471,matunduti,fullness
πλήρωμα,257,unigram,neuter,accusative,singular,ishipya,1.0595932610841436,ishipya,fullness
γενεά,185,unigram,feminine,accusative,singular,shisafi,1.3444511626668578,shisafi,generation
γενεά,246,unigram,feminine,nominative,plural,kiyansa,1.6520421241978631,kiyansa,generation
γενεά,116,unigram,feminine,nominative,singular,ishi,1.7850640863805052,ishi,generation
δῶρον,238,unigram,neuter,accusative,plural,vaahumya,1.9576770408304447,vaahumya,gift
δῶρον,127,unigram,neuter,accusative,singular,isadaakha,1.0772776987348256,isadaakha,gift
ἡγεμών,134,unigram,masculine,accusative,plural,Vakhavatwala,1.210407471948066,Vakhavatwala,"governor, ruler"
ἡγεμών,10,unigram,masculine,accusative,singular,wáswigaga,1.0596192241828948,wáswigaga,"governor, ruler"
σταφυλή,145,unigram,feminine,accusative,plural,vasikungula,1.0961407850703089,vasikungula,grapes
ἀσπασμός,251,unigram,masculine,accusative,plural,munaada,1.8444914930211085,munaada,greeting
ὁδηγός,4,unigram,masculine,nominative,singular,vayimililaaji,1.1190275986237506,vayimililaaji,guide
χείρ,242,unigram,feminine,accusative,plural,amawokho,1.187122459164228,amawokho,hand
χείρ,175,unigram,feminine,accusative,singular,iliwokho,1.1440703395912442,iliwokho,hand
κεφαλή,108,unigram,feminine,accusative,plural,videgensa,1.0648957582432783,videgensa,head
κεφαλή,163,unigram,feminine,accusative,singular,umutwe,1.5662318725603146,umutwe,head
στάχυς,164,unigram,masculine,accusative,plural,amahoojo,1.1134243325971784,amahoojo,head of grain
καρδία,223,unigram,feminine,accusative,singular,nyuumu,1.0225859612003625,nyuumu,heart
καρδία,152,unigram,feminine,nominative,singular,inumbula,2.4414934186532355,inumbula,heart
οὐρανός,209,unigram,masculine,accusative,singular,kushaanya,2.248635216589542,kushaanya,"heaven, sky"
ὥρα,19,unigram,feminine,nominative,singular,lwafikha,1.4488418513837955,lwafikha,hour
οἰκία,255,unigram,feminine,accusative,singular,nanda,1.1638941301332424,nanda,house
οἶκος,15,unigram,masculine,accusative,singular,kukhaaya,4.316279412267284,kukhaaya,"house, home"
βασιλεύς,80,unigram,masculine,accusative,plural,Vakhavatwala,1.1802015530014558,Vakhavatwala,king
βασιλεύς,45,unigram,masculine,accusative,singular,umutwa,1.0550798722438628,umutwa,king
βασιλεία,59,unigram,feminine,accusative,plural,wámuwonensa,1.0599251580811166,wámuwonensa,kingdom
βασιλεία,124,unigram,feminine,accusative,singular,Wutwa,1.912441209606264,Wutwa,kingdom
κόπος,158,unigram,masculine,accusative,plural,mukimulafya,1.064803471350054,mukimulafya,"labour, work, trouble, difficulty"
λύχνος,182,unigram,masculine,nominative,singular,lumuli,1.3231692562744868,lumuli,lamp
