lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1901_translation,english_translation
θεός,112,unigram,masculine,accusative,singular,Matua,1.03867771674413,Matua,God
θεός,22,unigram,masculine,nominative,plural,alukmi,1.0603242713908851,alukmi,God
θεός,183,unigram,masculine,nominative,singular,Matua,1.1874096570342136,Matua,God
κύριος,113,unigram,masculine,nominative,singular,puangna,2.2473327228821773,puangna,"Lord, lord, master"
γραφή,109,unigram,feminine,accusative,plural,Madatu,1.311908162328874,Madatu,Scripture
γραφή,42,unigram,feminine,accusative,singular,Madatu,1.9096695423046648,Madatu,Scripture
γραφή,229,unigram,feminine,nominative,plural,Madatu,1.4916530544359727,Madatu,Scripture
γραφή,280,unigram,feminine,nominative,singular,Madatu,1.3419937144595475,Madatu,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,malaeka,2.389816001197203,malaeka,angel
ἄγγελος,72,unigram,masculine,accusative,singular,pesuangKu,1.4945714991835437,pesuangKu,angel
ἄγγελος,39,unigram,masculine,nominative,plural,malaeka,4.5177557072778765,malaeka,angel
ἄγγελος,91,unigram,masculine,nominative,singular,malaeka,5.567780309267125,malaeka,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,rasulu,3.605053595382555,rasulu,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,namadoan,1.0960817954296525,namadoan,apostle
ἐξουσία,174,unigram,feminine,accusative,singular,kuasa,3.0123685809024083,kuasa,authority
βρέφος,11,unigram,neuter,accusative,plural,nasarabaimi,1.255508950677359,nasarabaimi,babies
βρέφος,279,unigram,neuter,accusative,singular,palungan,1.3417568532078528,palungan,babies
φραγμός,204,unigram,masculine,accusative,plural,parukui,1.161311312321613,parukui,"barrier, wall"
ἀρχή,61,unigram,feminine,accusative,plural,mipebalian,1.1613985352799874,mipebalian,beginning
ἀρχή,156,unigram,feminine,accusative,singular,kadapa,1.1062845238338443,kadapa,beginning
ζώνη,147,unigram,feminine,accusative,plural,tambaga,1.1613026128296644,tambaga,belt
βλασφημία,26,unigram,feminine,accusative,plural,naparandukmo,1.0960768946513286,naparandukmo,blasphemy
βλασφημία,181,unigram,feminine,nominative,plural,solang,1.8875548557134734,solang,blasphemy
πλοῖον,89,unigram,neuter,accusative,plural,karangkeanna,1.1814566256617451,karangkeanna,boat
πλοῖον,266,unigram,neuter,accusative,singular,lembang,1.648084962334211,lembang,boat
πλοῖον,209,unigram,neuter,nominative,plural,suami,1.096239847813496,suami,boat
πλοῖον,197,unigram,neuter,nominative,singular,lembang,2.251561184801441,lembang,boat
σῶμα,52,unigram,neuter,nominative,singular,batang,1.3785067654383307,batang,body
κλῆμα,48,unigram,neuter,nominative,plural,mikullei,1.0960622061228922,mikullei,branch
κλῆμα,124,unigram,neuter,nominative,singular,tangke,1.4520580315420908,tangke,branch
ἄρτος,270,unigram,masculine,accusative,plural,roti,3.9848470302669132,roti,bread
ἄρτος,294,unigram,masculine,accusative,singular,roti,4.270454988585698,roti,bread
ἄρτος,131,unigram,masculine,nominative,plural,roti,2.78320769714746,roti,bread
ἄρτος,31,unigram,masculine,nominative,singular,roti,2.2024399631915705,roti,bread
ἀδελφός,257,unigram,masculine,accusative,plural,siulu,5.817938948397195,siulu,brother
ἀδελφός,104,unigram,masculine,accusative,singular,siulu,2.647511520157056,siulu,brother
ἀδελφός,94,unigram,masculine,nominative,plural,siulu,2.6020085059969817,siulu,brother
ἀδελφός,202,unigram,masculine,nominative,singular,siulu,6.002521553700413,siulu,brother
στῆθος,129,unigram,neuter,accusative,plural,umpengkitai,1.0960622061228922,umpengkitai,"chest, breast"
στῆθος,244,unigram,neuter,accusative,singular,barangkangNa,1.289794039365738,barangkangNa,"chest, breast"
ἀρχιερεύς,213,unigram,masculine,accusative,plural,minaa,1.0133328781812918,minaa,chief priest
ἀρχιερεύς,103,unigram,masculine,nominative,plural,minaa,1.0523226301948356,minaa,chief priest
παῖς,206,unigram,masculine,accusative,plural,muane,1.0862688736013175,muane,child
τέκνον,287,unigram,neuter,accusative,plural,anakna,1.6112424500086,anakna,child
τέκνον,153,unigram,neuter,accusative,singular,pepatean,1.1162010622249998,pepatean,child
τέκνον,12,unigram,neuter,nominative,plural,pepatean,1.1233084701721905,pepatean,child
τέκνον,168,unigram,neuter,nominative,singular,anakku,1.4062439625525818,anakku,child
παιδίον,10,unigram,neuter,accusative,plural,-pia,1.2385964978911397,-pia,child
παιδίον,77,unigram,neuter,accusative,singular,pia,1.0234392756375008,pia,child
παιδίον,145,unigram,neuter,nominative,plural,pia,1.7273623690459563,pia,child
παιδίον,32,unigram,neuter,nominative,singular,pia,1.473171735535641,pia,child
πόλις,157,unigram,feminine,accusative,plural,kota,2.5969370248164667,kota,city
πόλις,56,unigram,feminine,accusative,singular,tondok,2.0520886463712253,tondok,city
πύλη,180,unigram,feminine,nominative,singular,mebaa,1.0595352057902494,mebaa,city gate
χιτών,99,unigram,masculine,accusative,plural,bayu,1.324867293858151,bayu,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,unnalai,1.0378742340496931,unnalai,"clothing, undergarments"
ἱμάτιον,111,unigram,neuter,accusative,plural,pakeanna,1.0667774855803442,pakeanna,coat
ἱμάτιον,110,unigram,neuter,accusative,singular,sambu,2.9358263444143278,sambu,coat
ἐντολή,70,unigram,feminine,accusative,plural,parentaKu,1.351612688026561,parentaKu,commandment
ἐντολή,68,unigram,feminine,accusative,singular,parenta,1.1228588813059217,parenta,commandment
συνέδριον,275,unigram,neuter,accusative,plural,nabaakomi,1.0811064294632369,nabaakomi,council
συνέδριον,43,unigram,neuter,accusative,singular,pangulu,1.0141822575650683,pangulu,council
χώρα,247,unigram,feminine,accusative,singular,tondok,1.571856219867196,tondok,"country, countryside"
ὄχλος,49,unigram,masculine,accusative,plural,buda,3.142514594334525,buda,crowd
ὄχλος,5,unigram,masculine,accusative,singular,buda,5.938052394797644,buda,crowd
ὄχλος,83,unigram,masculine,nominative,plural,buda,3.8075998821113184,buda,crowd
ὄχλος,240,unigram,masculine,nominative,singular,buda,4.585166450433496,buda,crowd
θυγάτηρ,97,unigram,feminine,nominative,plural,mitangi,1.0961506491767987,mitangi,daughter
θυγάτηρ,269,unigram,feminine,nominative,singular,baine,1.5505972155884749,baine,daughter
ἡμέρα,63,unigram,feminine,accusative,plural,allo,1.032383900216879,allo,day
ἡμέρα,73,unigram,feminine,accusative,singular,Kabusungan,1.0132831167598375,Kabusungan,day
ἡμέρα,1,unigram,feminine,nominative,plural,allona,1.831637130273246,allona,day
ἡμέρα,58,unigram,feminine,nominative,singular,allo,1.6355576059141483,allo,day
δαιμόνιον,24,unigram,neuter,accusative,plural,deata,1.267042135378834,deata,demon
δαιμόνιον,283,unigram,neuter,accusative,singular,masussuk,1.0153630439024153,masussuk,demon
δαιμόνιον,169,unigram,neuter,nominative,plural,deata,1.5731479582975982,deata,demon
δαιμόνιον,144,unigram,neuter,nominative,singular,masussuk,1.2078506109554004,masussuk,demon
δηνάριον,261,unigram,neuter,accusative,plural,dinar,1.1160502275493278,dinar,denarius (about a day's wages)
δηνάριον,133,unigram,neuter,accusative,singular,dinara,2.018256756844413,dinara,denarius (about a day's wages)
μαθητής,150,unigram,masculine,accusative,plural,gurunNa,1.1194124217342911,gurunNa,disciple
μαθητής,288,unigram,masculine,accusative,singular,Napakaboro,1.5364829252384555,Napakaboro,disciple
μαθητής,235,unigram,masculine,nominative,plural,anak,1.108891709487477,anak,disciple
μαθητής,286,unigram,masculine,nominative,singular,anak,2.235014447272893,anak,disciple
περιστερά,82,unigram,feminine,accusative,plural,baluk,1.32303936165621,baluk,dove
περιστερά,45,unigram,feminine,accusative,singular,ku,1.078074955990317,ku,dove
οὖς,123,unigram,neuter,accusative,plural,perangi,1.118296793999054,perangi,ear
οὖς,239,unigram,neuter,accusative,singular,talinga,1.124502309283792,talinga,ear
σεισμός,175,unigram,masculine,nominative,plural,karorian,1.56258934226724,karorian,"earthquakes, storm"
σεισμός,54,unigram,masculine,nominative,singular,Pakalan,1.1419643073460497,Pakalan,"earthquakes, storm"
τέλος,233,unigram,neuter,accusative,singular,katampakanna,1.780568949681488,katampakanna,end
αἰών,207,unigram,masculine,accusative,plural,undatui,1.096185247111637,undatui,eternity
αἰών,258,unigram,masculine,accusative,singular,lakona,1.7635389709914953,lakona,eternity
ὀφθαλμός,16,unigram,masculine,accusative,plural,matanna,1.977437757610068,matanna,eye
ὀφθαλμός,55,unigram,masculine,nominative,plural,matanna,2.54755333277079,matanna,eye
ὀφθαλμός,255,unigram,masculine,nominative,singular,matammu,1.847100792613651,matammu,eye
πρόσωπον,165,unigram,neuter,accusative,singular,Milaenan,1.171814294478039,Milaenan,face
λιμός,4,unigram,feminine,nominative,plural,karorian,1.0595416318177244,karorian,famine
γεωργός,217,unigram,masculine,nominative,plural,tesan,1.7373370212586925,tesan,"farmer, tenant"
γεωργός,41,unigram,masculine,nominative,singular,ungkaduttu,1.3265408660365223,ungkaduttu,"farmer, tenant"
πατήρ,260,unigram,masculine,accusative,singular,Ambe,1.3200247441009834,Ambe,father
πατήρ,268,unigram,masculine,nominative,plural,nene,2.2903894902297415,nene,father
πατήρ,159,unigram,masculine,nominative,singular,Ambe,5.3868691158943935,Ambe,father
σύνδουλος,118,unigram,masculine,accusative,plural,malangoan,1.0960670999999007,malangoan,"fellow-servant, colleague"
σύνδουλος,272,unigram,masculine,nominative,plural,umparampoi,1.0595416318177246,umparampoi,"fellow-servant, colleague"
σύνδουλος,95,unigram,masculine,nominative,singular,dapa,1.0960670999999007,dapa,"fellow-servant, colleague"
ἀγρός,282,unigram,masculine,accusative,plural,untampemo,1.0500892498425447,untampemo,field
δάκτυλος,149,unigram,masculine,accusative,singular,rakka,1.210120765384945,rakka,finger
ἰχθύς,127,unigram,masculine,accusative,plural,bale,1.3878369386516036,bale,fish
ἰχθύς,164,unigram,masculine,accusative,singular,bale,1.5653411014449274,bale,fish
δίκτυον,90,unigram,neuter,accusative,plural,dalla,3.3335968379790533,dalla,fishing net
δίκτυον,172,unigram,neuter,accusative,singular,dalla,1.0206286185163556,dalla,fishing net
τροφή,211,unigram,feminine,accusative,plural,unnalli,1.1208869956691534,unnalli,food
τροφή,278,unigram,feminine,accusative,singular,attunnaomi,1.096071996175396,attunnaomi,food
πούς,203,unigram,masculine,accusative,plural,lentekNa,1.348935867697457,lentekNa,foot
πούς,93,unigram,masculine,accusative,singular,natitampa,1.8170263749945288,natitampa,foot
καρπός,155,unigram,masculine,accusative,plural,buanna,2.310835823460223,buanna,"fruit, crop, harvest"
καρπός,199,unigram,masculine,accusative,singular,buanna,1.514984898097549,buanna,"fruit, crop, harvest"
πλήρωμα,231,unigram,neuter,accusative,plural,sesanna,1.6527386038653904,sesanna,fullness
γενεά,200,unigram,feminine,accusative,singular,solana,1.3860837636768382,solana,generation
γενεά,122,unigram,feminine,nominative,singular,nala,1.0775994189783744,nala,generation
δῶρον,259,unigram,neuter,accusative,plural,kamasean,1.01886634386435,kamasean,gift
δῶρον,135,unigram,neuter,accusative,singular,pemala,1.895571298412136,pemala,gift
ἡγεμών,142,unigram,masculine,accusative,plural,napakendekkomi,1.0595577236652918,napakendekkomi,"governor, ruler"
ἡγεμών,8,unigram,masculine,accusative,singular,maraya,1.0960965115985384,maraya,"governor, ruler"
σταφυλή,158,unigram,feminine,accusative,plural,Denmoraka,1.2125176900525536,Denmoraka,grapes
σταφυλή,290,unigram,feminine,accusative,singular,oto,1.0493447180657811,oto,grapes
ἀσπασμός,271,unigram,masculine,accusative,plural,dipekatabe,1.3138689586834065,dipekatabe,greeting
ἀσπασμός,143,unigram,masculine,accusative,singular,pandiumi,1.0960768946513286,pandiumi,greeting
ὁδηγός,2,unigram,masculine,nominative,singular,buta,1.2890947768752559,buta,guide
χείρ,263,unigram,feminine,accusative,plural,limanNa,1.945896273150309,limanNa,hand
χείρ,191,unigram,feminine,accusative,singular,limanna,1.1251918855799272,limanna,hand
κεφαλή,178,unigram,feminine,accusative,singular,ulunna,1.0863680748820348,ulunna,head
στάχυς,179,unigram,masculine,accusative,plural,ungkalette,1.0441014053159638,ungkalette,head of grain
καρδία,242,unigram,feminine,accusative,singular,penaanna,1.5266564293145342,penaanna,heart
καρδία,166,unigram,feminine,nominative,singular,penaammi,1.4551847644910965,penaammi,heart
οὐρανός,228,unigram,masculine,accusative,singular,langi,1.8312516216705368,langi,"heaven, sky"
οὐρανός,170,unigram,masculine,nominative,singular,langi,3.7496065296152254,langi,"heaven, sky"
ὥρα,19,unigram,feminine,nominative,singular,attunna,1.976151795892094,attunna,hour
