lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1121_translation,english_translation
θεός,126,unigram,masculine,accusative,singular,Namalyari,2.231222204867355,Namalyari,God
θεός,28,unigram,masculine,nominative,plural,diyos,1.2591437047102771,diyos,God
θεός,198,unigram,masculine,nominative,singular,Namalyari,2.0339807040413818,Namalyari,God
κύριος,307,unigram,masculine,nominative,plural,an-okalên,1.2586284575906634,an-okalên,"Lord, lord, master"
κύριος,127,unigram,masculine,nominative,singular,amo,1.1898584434588857,amo,"Lord, lord, master"
γραφή,122,unigram,feminine,accusative,plural,impahulat,1.0100418054781377,impahulat,Scripture
γραφή,49,unigram,feminine,accusative,singular,impahulat,1.0114048908810318,impahulat,Scripture
γραφή,246,unigram,feminine,nominative,plural,impahulat,1.0109049400642858,impahulat,Scripture
γραφή,301,unigram,feminine,nominative,singular,Kahulatan,2.2713640626717297,Kahulatan,Scripture
ἄγγελος,91,unigram,masculine,accusative,plural,anghel,1.6148466547401066,anghel,angel
ἄγγελος,78,unigram,masculine,accusative,singular,mangil-an,1.1298548197653642,mangil-an,angel
ἄγγελος,45,unigram,masculine,nominative,plural,anghel,4.3548524354914395,anghel,angel
ἄγγελος,102,unigram,masculine,nominative,singular,anghel,4.2790537859463385,anghel,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,apostol,2.2037880436226613,apostol,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,nay-utoh,1.5220702373393784,nay-utoh,apostle
ἐξουσία,189,unigram,feminine,accusative,singular,tungkulan,1.3331612923679417,tungkulan,authority
βρέφος,15,unigram,neuter,accusative,plural,Nanganaway,1.0810969581983796,Nanganaway,babies
βρέφος,300,unigram,neuter,accusative,singular,nakakatuloy,1.0595384180401852,nakakatuloy,babies
ἀποθήκη,251,unigram,feminine,accusative,plural,nagapah,1.2923417380844089,nagapah,barn
ἀποθήκη,67,unigram,feminine,accusative,singular,ihimpan,1.1420962508140535,ihimpan,barn
ἀρχή,173,unigram,feminine,accusative,singular,Cana,1.2448493677914332,Cana,beginning
ζώνη,164,unigram,feminine,accusative,plural,tangso,1.1923251643526396,tangso,belt
βλασφημία,90,unigram,feminine,accusative,singular,pamipantag,1.0960768946513286,pamipantag,blasphemy
βλασφημία,196,unigram,feminine,nominative,plural,kapareho,1.057143504203742,kapareho,blasphemy
βλασφημία,79,unigram,feminine,nominative,singular,kapareho,1.057143504203742,kapareho,blasphemy
πλοῖον,100,unigram,neuter,accusative,plural,bangka,1.747457845042488,bangka,boat
πλοῖον,287,unigram,neuter,accusative,singular,bangka,2.448298631470479,bangka,boat
πλοῖον,214,unigram,neuter,nominative,singular,bangka,1.4308623855243232,bangka,boat
σῶμα,202,unigram,neuter,nominative,plural,natsi,1.0175475641976333,natsi,body
σῶμα,59,unigram,neuter,nominative,singular,lawini,1.7207364652647985,lawini,body
κλῆμα,55,unigram,neuter,nominative,plural,ampamihundo,1.0960622061228922,ampamihundo,branch
κλῆμα,141,unigram,neuter,nominative,singular,hanga,1.1099820082575569,hanga,branch
ἄρτος,291,unigram,masculine,accusative,plural,puto,2.8951344564355552,puto,bread
ἄρτος,315,unigram,masculine,accusative,singular,puto,1.5611461406458829,puto,bread
ἄρτος,149,unigram,masculine,nominative,plural,puto,1.2823418615616715,puto,bread
ἄρτος,38,unigram,masculine,nominative,singular,kaên,1.8738971897651056,kaên,bread
ἀδελφός,278,unigram,masculine,accusative,plural,pohêl,1.1795953737175262,pohêl,brother
ἀδελφός,115,unigram,masculine,accusative,singular,pohêl,1.3728851279047187,pohêl,brother
ἀδελφός,106,unigram,masculine,nominative,plural,patêl,1.1356113190674273,patêl,brother
στῆθος,265,unigram,neuter,accusative,singular,pagaw,1.8866240026611116,pagaw,"chest, breast"
ἀρχιερεύς,228,unigram,masculine,accusative,plural,pari,2.3659008400700503,pari,chief priest
ἀρχιερεύς,60,unigram,masculine,accusative,singular,pinakapoon,1.1919959489542629,pinakapoon,chief priest
ἀρχιερεύς,114,unigram,masculine,nominative,plural,pari,1.2876939899141964,pari,chief priest
ἀρχιερεύς,232,unigram,masculine,nominative,singular,pinakapoon,1.1201569770317548,pinakapoon,chief priest
παῖς,223,unigram,masculine,accusative,plural,Arin,1.0862688736013175,Arin,child
παῖς,47,unigram,masculine,accusative,singular,namawal,1.0961210847775034,namawal,child
τέκνον,309,unigram,neuter,accusative,plural,nangibalag,1.0151697600609595,nangibalag,child
τέκνον,170,unigram,neuter,accusative,singular,manalanghang,1.1595701185249545,manalanghang,child
τέκνον,16,unigram,neuter,nominative,plural,manalanghang,1.1697239844305565,manalanghang,child
τέκνον,182,unigram,neuter,nominative,singular,Anak,1.1541917107146529,Anak,child
παιδίον,14,unigram,neuter,accusative,plural,paidani,1.0876729259408686,paidani,child
παιδίον,85,unigram,neuter,accusative,singular,anak,1.6534416265969418,anak,child
παιδίον,39,unigram,neuter,nominative,singular,anak,1.3180712789184494,anak,child
πόλις,174,unigram,feminine,accusative,plural,baryo,1.027125887027491,baryo,city
πόλις,63,unigram,feminine,accusative,singular,balayan,6.991077215570527,balayan,city
πύλη,195,unigram,feminine,nominative,singular,ampagdann,1.309443498949888,ampagdann,city gate
