lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1742_translation,english_translation
θεός,339,unigram,masculine,accusative,plural,via,1.0604253607074514,via,God
θεός,143,unigram,masculine,accusative,singular,Wia,1.9202080293937833,Wia,God
θεός,30,unigram,masculine,nominative,plural,pa,1.1740085291782951,pa,God
θεός,218,unigram,masculine,nominative,singular,Wia,5.569596030623235,Wia,God
κύριος,341,unigram,masculine,nominative,plural,kaku-bie-la,1.1439047736615968,kaku-bie-la,"Lord, lord, master"
κύριος,144,unigram,masculine,nominative,singular,Tiina,3.0222913346589952,Tiina,"Lord, lord, master"
γραφή,138,unigram,feminine,accusative,plural,teniŋ,1.4282595433611354,teniŋ,Scripture
γραφή,54,unigram,feminine,accusative,singular,Tiebii-la,1.1063446289765493,Tiebii-la,Scripture
γραφή,272,unigram,feminine,nominative,plural,Ama,1.0020633686356493,Ama,Scripture
γραφή,334,unigram,feminine,nominative,singular,teniŋ,1.5143426634832948,teniŋ,Scripture
ἄγγελος,105,unigram,masculine,accusative,plural,tiŋdaaraa,3.6770314820179024,tiŋdaaraa,angel
ἄγγελος,89,unigram,masculine,accusative,singular,biliŋ,1.4945714991835437,biliŋ,angel
ἄγγελος,51,unigram,masculine,nominative,plural,tiŋdaaraa,3.529336140159427,tiŋdaaraa,angel
ἄγγελος,116,unigram,masculine,nominative,singular,tiŋdaari-la,1.0837442692759536,tiŋdaari-la,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,naŋzɔɔba,1.094431363306963,naŋzɔɔba,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,timu,1.0806479694854658,timu,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,bɔisiŋ,1.0812448033018731,bɔisiŋ,authority
ἐξουσία,209,unigram,feminine,accusative,singular,doluŋ,3.14943002935275,doluŋ,authority
βρέφος,15,unigram,neuter,accusative,plural,daŋba,1.0298075289248323,daŋba,babies
βρέφος,333,unigram,neuter,accusative,singular,yaŋ,1.3363816466618113,yaŋ,babies
ἀποθήκη,277,unigram,feminine,accusative,plural,virisiŋ,1.106276804395426,virisiŋ,barn
ἀποθήκη,73,unigram,feminine,accusative,singular,vire,1.4675800420888785,vire,barn
ἀρχή,76,unigram,feminine,accusative,plural,bɔisiŋ,1.0811348984426945,bɔisiŋ,beginning
ἀρχή,193,unigram,feminine,accusative,singular,wu-magil-buŋbuŋ,1.0378217136568608,wu-magil-buŋbuŋ,beginning
ζώνη,186,unigram,feminine,accusative,plural,gɛri-fesiniŋ,1.5384644362514477,gɛri-fesiniŋ,belt
βλασφημία,33,unigram,feminine,accusative,plural,kerichiba-la,1.0298111139067148,kerichiba-la,blasphemy
βλασφημία,104,unigram,feminine,accusative,singular,daŋsiaba,1.1796323849615549,daŋsiaba,blasphemy
βλασφημία,216,unigram,feminine,nominative,plural,ba-chɔruŋ,1.0662569236351904,ba-chɔruŋ,blasphemy
πλοῖον,114,unigram,neuter,accusative,plural,liiŋ,1.537331197879073,liiŋ,boat
πλοῖον,319,unigram,neuter,accusative,singular,daboro,1.0427837985796888,daboro,boat
πλοῖον,250,unigram,neuter,nominative,plural,daborusuŋ,1.1799918920800818,daborusuŋ,boat
πλοῖον,236,unigram,neuter,nominative,singular,daboro-la,1.5590308979980028,daboro-la,boat
σῶμα,65,unigram,neuter,nominative,singular,yaraa,3.3074668310437203,yaraa,body
κλῆμα,61,unigram,neuter,nominative,plural,tiŋtiŋ-zɔŋŋɔɔ,1.0595384180401852,tiŋtiŋ-zɔŋŋɔɔ,branch
κλῆμα,159,unigram,neuter,nominative,singular,naakelee,1.0493478271180563,naakelee,branch
ἄρτος,323,unigram,masculine,accusative,plural,chɔgɛ,1.2531825166280872,chɔgɛ,bread
ἄρτος,349,unigram,masculine,accusative,singular,boroboro,1.356558662667064,boroboro,bread
ἄρτος,168,unigram,masculine,nominative,plural,boroboro,1.5443007109832207,boroboro,bread
ἄρτος,42,unigram,masculine,nominative,singular,kudiile-la,1.8264012458228511,kudiile-la,bread
ἀδελφός,309,unigram,masculine,accusative,plural,naaŋbiiriŋ,3.7438692287716986,naaŋbiiriŋ,brother
ἀδελφός,128,unigram,masculine,accusative,singular,Jeems,1.2744385749839369,Jeems,brother
ἀδελφός,120,unigram,masculine,nominative,plural,naaŋ,1.1436300167588958,naaŋ,brother
ἀδελφός,243,unigram,masculine,nominative,singular,ŋaana,1.4744239558357108,ŋaana,brother
στῆθος,164,unigram,neuter,accusative,plural,chuŋ,1.0908543221799776,chuŋ,"chest, breast"
στῆθος,294,unigram,neuter,accusative,singular,suusa,1.3432322125716172,suusa,"chest, breast"
