lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1726_translation,version_1727_translation,english_translation
θεός,315,unigram,masculine,accusative,plural,,,ámanogolainako,ámenagolinako,God
θεός,128,unigram,masculine,accusative,singular,Goti,1.2669134160250484,Goti,Goti,God
θεός,204,unigram,masculine,nominative,singular,Goti,1.3223480158970762,Goti,Goti,God
κύριος,317,unigram,masculine,nominative,plural,,,safute-dogi,yafote-dogi,"Lord, lord, master"
κύριος,129,unigram,masculine,nominative,singular,,,Wenaba,Wekola,"Lord, lord, master"
γραφή,124,unigram,feminine,accusative,plural,mono,2.5990323961105917,mono,mono,Scripture
γραφή,46,unigram,feminine,accusative,singular,,,lufuwau,yama,Scripture
γραφή,254,unigram,feminine,nominative,plural,ayalo,1.2288136118592667,ayalo,ayalo,Scripture
γραφή,311,unigram,feminine,nominative,singular,lufuwau,1.0555051689045405,lufuwau,lufuwau,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,enisolene,4.462611818663208,enisolene,enisolene,angel
ἄγγελος,42,unigram,masculine,nominative,plural,enisole,8.687834187023384,enisole,enisole,angel
ἄγγελος,104,unigram,masculine,nominative,singular,enisolela,2.6708682043920433,enisolela,enisolela,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,aposolo,7.203563865419171,aposolo,aposolo,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,edámanaibo,1.0259341623715683,edámanaibo,,apostle
ἐξουσία,65,unigram,feminine,accusative,plural,wiyagufe,1.0964459060436933,,wiyagufe,authority
ἐξουσία,195,unigram,feminine,accusative,singular,,,lohumito,auma,authority
βρέφος,14,unigram,neuter,accusative,plural,,,atatinalo,goudae,babies
βρέφος,310,unigram,neuter,accusative,singular,bulumakau,1.2488840064429334,bulumakau,bulumakau,babies
ἀποθήκη,64,unigram,feminine,accusative,singular,,,witi,yuwa,barn
φραγμός,227,unigram,masculine,accusative,plural,,,faitanae,faitenawae,"barrier, wall"
φραγμός,107,unigram,masculine,accusative,singular,hidinagunu,1.0442194314771205,hidinagunu,,"barrier, wall"
ἀρχή,67,unigram,feminine,accusative,plural,wiyagufe,1.0963348346214743,,wiyagufe,beginning
ἀρχή,177,unigram,feminine,accusative,singular,,,apiyodoti,aipodoti,beginning
βλασφημία,28,unigram,feminine,accusative,plural,,,hemae,kemae,blasphemy
βλασφημία,202,unigram,feminine,nominative,plural,,,hamadina,kamani,blasphemy
βλασφημία,80,unigram,feminine,nominative,singular,,,hamadina,kamani,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,sipi,5.300752933146917,sipi,sipi,boat
πλοῖον,296,unigram,neuter,accusative,singular,sipiku,10.526239235698997,sipiku,sipiku,boat
πλοῖον,234,unigram,neuter,nominative,plural,,,hefolau,kefolau,boat
πλοῖον,220,unigram,neuter,nominative,singular,sipima,1.5934990473122368,sipima,sipima,boat
σῶμα,209,unigram,neuter,nominative,plural,,,utina,ukani,body
σῶμα,56,unigram,neuter,nominative,singular,,,uka,ukaga,body
κλῆμα,52,unigram,neuter,nominative,plural,ogofuwámanaibo,1.0962947350724574,ogofuwámanaibo,,branch
κλῆμα,143,unigram,neuter,nominative,singular,,,nedámanabo,nedámenawamo,branch
ἄρτος,301,unigram,masculine,accusative,plural,beleti,3.6348196345073496,beleti,beleti,bread
ἄρτος,324,unigram,masculine,accusative,singular,beleti,1.156427298336247,beleti,beleti,bread
ἄρτος,152,unigram,masculine,nominative,plural,beleti,1.69862213508703,beleti,beleti,bread
ἄρτος,33,unigram,masculine,nominative,singular,,,hobina,kobina,bread
ἀδελφός,116,unigram,masculine,accusative,singular,,,unalafo,kunalafo,brother
ἀδελφός,106,unigram,masculine,nominative,plural,unalafo-mota,1.1962374748358444,unalafo-mota,,brother
ἀδελφός,225,unigram,masculine,nominative,singular,,,unalafo,kunalafo,brother
στῆθος,149,unigram,neuter,accusative,plural,,,ikitinalo,ikinido,"chest, breast"
στῆθος,273,unigram,neuter,accusative,singular,ikiyalo,3.912625384454798,ikiyalo,ikiyalo,"chest, breast"
ἀρχιερεύς,236,unigram,masculine,accusative,plural,,,sokila,yokila,chief priest
ἀρχιερεύς,57,unigram,masculine,accusative,singular,,,sokila,yokila,chief priest
ἀρχιερεύς,115,unigram,masculine,nominative,plural,,,sokila,yokila,chief priest
