lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1691_translation,english_translation
θεός,282,unigram,masculine,accusative,plural,Bite,1.0823253465056304,Bite,God
θεός,112,unigram,masculine,accusative,singular,Yaa,3.6166389987258167,Yaa,God
θεός,23,unigram,masculine,nominative,plural,Bite,1.0823253465056304,Bite,God
θεός,178,unigram,masculine,nominative,singular,Yaa,6.086988460278416,Yaa,God
κύριος,284,unigram,masculine,nominative,plural,biodiki,1.097170674670268,biodiki,"Lord, lord, master"
κύριος,113,unigram,masculine,nominative,singular,Saate,3.779676397093264,Saate,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,Kɔkpana,1.2099499760239143,Kɔkpana,Scripture
γραφή,226,unigram,feminine,nominative,plural,kaanya,1.0493269659844529,kaanya,Scripture
γραφή,277,unigram,feminine,nominative,singular,Klekle,1.1898312658354753,Klekle,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,batɔkyɛntɛ,2.512235151827728,batɔkyɛntɛ,angel
ἄγγελος,69,unigram,masculine,accusative,singular,tɔkyɛntɛ,1.4523228386450644,tɔkyɛntɛ,angel
ἄγγελος,39,unigram,masculine,nominative,plural,batɔkyɛntɛ,3.2194292274699836,batɔkyɛntɛ,angel
ἄγγελος,91,unigram,masculine,nominative,singular,tɔkyɛntɛ,3.179287115420501,tɔkyɛntɛ,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,baabla,1.0428616028697701,baabla,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,dielenke,1.3307757256763262,dielenke,apostle
ἐξουσία,170,unigram,feminine,accusative,singular,otumi,2.543765234502295,otumi,authority
βρέφος,276,unigram,neuter,accusative,singular,obifɔɔle,1.695213097235156,obifɔɔle,babies
ἀποθήκη,57,unigram,feminine,accusative,singular,owu,1.532336176291865,owu,barn
ἀρχή,153,unigram,feminine,accusative,singular,Kana,1.1349938257473504,Kana,beginning
ζώνη,146,unigram,feminine,accusative,plural,kukunwii,1.0595803167787572,kukunwii,belt
πλοῖον,89,unigram,neuter,accusative,plural,ɛnyɔ,1.452078583799566,ɛnyɔ,boat
πλοῖον,262,unigram,neuter,accusative,singular,oklo,3.905541302434892,oklo,boat
πλοῖον,205,unigram,neuter,nominative,plural,Seklo,1.2562637696257954,Seklo,boat
πλοῖον,192,unigram,neuter,nominative,singular,oklo,2.288988279817754,oklo,boat
σῶμα,182,unigram,neuter,nominative,plural,bakpi,1.1752019904191864,bakpi,body
σῶμα,49,unigram,neuter,nominative,singular,sina,1.971428114772716,sina,body
κλῆμα,45,unigram,neuter,nominative,plural,abatika,1.1614510690398372,abatika,branch
ἄρτος,267,unigram,masculine,accusative,plural,bloblo,1.5902141842502755,bloblo,bread
ἄρτος,292,unigram,masculine,accusative,singular,alesaa,1.2267243686107354,alesaa,bread
ἄρτος,130,unigram,masculine,nominative,plural,alesaa,1.070744641258132,alesaa,bread
ἄρτος,32,unigram,masculine,nominative,singular,alesaa,2.055968185416773,alesaa,bread
ἀδελφός,254,unigram,masculine,accusative,plural,babilɛma,1.6652880741102185,babilɛma,brother
ἀδελφός,102,unigram,masculine,accusative,singular,obilɛma,1.5443919320792634,obilɛma,brother
ἀδελφός,93,unigram,masculine,nominative,plural,babilɛma,1.4273699880117672,babilɛma,brother
ἀδελφός,198,unigram,masculine,nominative,singular,obilɛma,1.9446355717142243,obilɛma,brother
στῆθος,241,unigram,neuter,accusative,singular,owe,1.0406263381523964,owe,"chest, breast"
ἀρχιερεύς,208,unigram,masculine,accusative,plural,olebatatɛ,1.2611626530501987,olebatatɛ,chief priest
ἀρχιερεύς,50,unigram,masculine,accusative,singular,Oletatɛ,1.035609294417118,Oletatɛ,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,banɔɔfo,1.1294742926354244,banɔɔfo,chief priest
ἀρχιερεύς,212,unigram,masculine,nominative,singular,Oletatɛ,1.165425815524593,Oletatɛ,chief priest
παῖς,201,unigram,masculine,accusative,plural,lafiɛ,1.166549470287113,lafiɛ,child
