lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_868_translation,english_translation
θεός,104,unigram,masculine,accusative,singular,God,2.226862739449765,God,God
θεός,162,unigram,masculine,nominative,singular,God,3.542820321640067,God,God
κύριος,105,unigram,masculine,nominative,singular,Tatamba,3.5469982117482073,Tatamba,"Lord, lord, master"
γραφή,100,unigram,feminine,accusative,plural,Buka,1.0807954337514056,Buka,Scripture
γραφή,37,unigram,feminine,accusative,singular,buka,1.2395711056654186,buka,Scripture
γραφή,202,unigram,feminine,nominative,plural,buka,1.0618710840969092,buka,Scripture
γραφή,253,unigram,feminine,nominative,singular,buka,1.8096093479596955,buka,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,enseliwa,1.7429680185089296,enseliwa,angel
ἄγγελος,35,unigram,masculine,nominative,plural,ensel,1.2497339938940744,ensel,angel
ἄγγελος,82,unigram,masculine,nominative,singular,enseliwa,1.1634660477468974,enseliwa,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,Aposel,1.1230909551257102,Aposel,apostle
ἐξουσία,156,unigram,feminine,accusative,singular,muka,2.134891649929394,muka,authority
βρέφος,11,unigram,neuter,accusative,plural,bodamoiena,1.1133217870504262,bodamoiena,babies
βρέφος,252,unigram,neuter,accusative,singular,laukaibu,1.3275861089226668,laukaibu,babies
ἀποθήκη,54,unigram,feminine,accusative,singular,wit,1.1857032925837374,wit,barn
ζώνη,134,unigram,feminine,accusative,plural,ala,1.830962303586311,ala,belt
βλασφημία,71,unigram,feminine,accusative,singular,wakadisasano,1.0960768946513286,wakadisasano,blasphemy
πλοῖον,80,unigram,neuter,accusative,plural,waau,1.4172150333598992,waau,boat
πλοῖον,238,unigram,neuter,accusative,singular,waa,2.407439658590328,waa,boat
πλοῖον,186,unigram,neuter,nominative,plural,aitamana,1.0586834842313535,aitamana,boat
πλοῖον,177,unigram,neuter,nominative,singular,doa,1.1718811615521267,doa,boat
σῶμα,46,unigram,neuter,nominative,singular,etela,1.5554708065880836,etela,body
κλῆμα,114,unigram,neuter,nominative,singular,ragapa,1.2147444643551368,ragapa,branch
ἄρτος,242,unigram,masculine,accusative,plural,bured,3.8257179399707057,bured,bread
ἄρτος,267,unigram,masculine,accusative,singular,bured,2.1873925146961444,bured,bread
ἄρτος,119,unigram,masculine,nominative,plural,bured,1.1384003103436038,bured,bread
ἄρτος,28,unigram,masculine,nominative,singular,buredida,1.0374909913621215,buredida,bread
ἀδελφός,231,unigram,masculine,accusative,plural,tatatawa,1.0904596524662364,tatatawa,brother
ἀδελφός,92,unigram,masculine,accusative,singular,wamba,1.4084705795789934,wamba,brother
ἀδελφός,84,unigram,masculine,nominative,plural,wanwamba,1.6198559884229735,wanwamba,brother
στῆθος,217,unigram,neuter,accusative,singular,sowa,1.1446895313058345,sowa,"chest, breast"
ἀρχιερεύς,188,unigram,masculine,accusative,plural,pirisi,1.197451807874777,pirisi,chief priest
ἀρχιερεύς,47,unigram,masculine,accusative,singular,pirisi,1.013336769962945,pirisi,chief priest
ἀρχιερεύς,91,unigram,masculine,nominative,plural,debamau,1.1191304149256582,debamau,chief priest
ἀρχιερεύς,192,unigram,masculine,nominative,singular,pirisi,1.011601661875236,pirisi,chief priest
παῖς,184,unigram,masculine,accusative,plural,mona,1.0616677911012251,mona,child
τέκνον,260,unigram,neuter,accusative,plural,obampa,1.3659060472670357,obampa,child
τέκνον,151,unigram,neuter,nominative,singular,Otona,2.9419457000531457,Otona,child
παιδίον,10,unigram,neuter,accusative,plural,otooto,1.1993068965171172,otooto,child
