lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1718_translation,version_1719_translation,version_1720_translation,version_1721_translation,version_1722_translation,version_1723_translation,version_1724_translation,english_translation
θεός,346,unigram,masculine,accusative,plural,perëndi,1.4233913136299594,perëndi,perëndi,perëndina,,,,,God
θεός,140,unigram,masculine,accusative,singular,Perëndinë,105.5649103481757,Perëndinë,Perëndinë,Perëndinë,Perndinë,,,,God
θεός,31,unigram,masculine,nominative,plural,,,perëndi,,,Perndira,,,,God
θεός,219,unigram,masculine,nominative,singular,Perëndia,325.02023127347087,Perëndia,Perëndia,Perëndia,Perndia,,,,God
κύριος,348,unigram,masculine,nominative,plural,,,,zotët,sgjithni,zotërinjt,,,,"Lord, lord, master"
κύριος,141,unigram,masculine,nominative,singular,Zoti,6.521825081144673,Zoti,Zoti,Zoti,Zoti,,,,"Lord, lord, master"
γραφή,136,unigram,feminine,accusative,plural,Shkrimet,2.2433310222407923,Shkrimet,Shkrimet,shkronjatë,kartëratë,,,,Scripture
γραφή,55,unigram,feminine,accusative,singular,shenjtë,1.2678081706729714,,shenjtë,,,,,,Scripture
γραφή,274,unigram,feminine,nominative,plural,Shkrimet,1.8419631186268244,Shkrimet,Shkrimet,shkronjatë,kartëratë,,,,Scripture
γραφή,341,unigram,feminine,nominative,singular,,,Shkrimi,shenjtë,shkronja,karta,,,,Scripture
ἄγγελος,103,unigram,masculine,accusative,plural,engjëjt,2.2121476543903436,engjëjt,engjëjt,engjujt,mbëjedhënë,,,,angel
ἄγγελος,89,unigram,masculine,accusative,singular,lajmëtarin,1.0500981916898025,lajmëtarin,,,,,,,angel
ἄγγελος,51,unigram,masculine,nominative,plural,engjëjt,22.348092295911865,engjëjt,engjëjt,engjujtë,Qiell,,,,angel
ἄγγελος,114,unigram,masculine,nominative,singular,engjëlli,1.2901629441156113,engjëlli,engjëlli,engjull,Ëngjëlli,,,,angel
ἀπόστολος,48,unigram,masculine,nominative,plural,apostujt,3.777046734738495,apostujt,apostujt,apostujtë,apostojtë,,,,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,,,dërguari,dërguar,dërguemi,dërguarë,,,,apostle
ἐξουσία,208,unigram,feminine,accusative,singular,pushtet,3.887104736104704,pushtet,pushtet,pushtet,urdhër,,,,authority
βρέφος,18,unigram,neuter,accusative,plural,qortuan,1.0595416318177246,qortuan,,,,,,,babies
βρέφος,339,unigram,neuter,accusative,singular,,,grazhd,grazhd,grasht,grasht,,,,babies
ἀποθήκη,74,unigram,feminine,accusative,singular,grurin,2.3479729410728587,grurin,grurin,diegunë,,,,,barn
φραγμός,119,unigram,masculine,accusative,singular,kullë,1.0595319950666118,,,,kullë,,,,"barrier, wall"
ἀρχή,190,unigram,feminine,accusative,singular,lëvdimn,1.0662807816552895,,,,lëvdimn,,,,beginning
ζώνη,181,unigram,feminine,accusative,plural,brezat,1.1613200159490844,,,brezat,,,,,belt
ζώνη,234,unigram,feminine,accusative,singular,ushqehej,1.0960524252565438,,ushqehej,,,,,,belt
βλασφημία,35,unigram,feminine,accusative,plural,,,arsyetojnë,,,vllasfimira,,,,blasphemy
βλασφημία,217,unigram,feminine,nominative,plural,,,,fyerjet,,vllasfimira,,,,blasphemy
βλασφημία,90,unigram,feminine,nominative,singular,,,blasfemia,,vlasfimi,,,,,blasphemy
πλοῖον,112,unigram,neuter,accusative,plural,,,barkat,varkat,lundratë,varkatë,,,,boat
πλοῖον,323,unigram,neuter,accusative,singular,varkë,9.063014048264675,barkë,varkë,lundrët,varkë,,,,boat
πλοῖον,250,unigram,neuter,nominative,plural,,,barkë,varkën,lundrët,varkë,,,,boat
πλοῖον,236,unigram,neuter,nominative,singular,varka,5.551281563393261,barka,varka,lundra,varka,,,,boat
σῶμα,65,unigram,neuter,nominative,singular,trupi,13.583636608834858,trupi,trupi,korpi,kurmi,,,,body
κλῆμα,61,unigram,neuter,nominative,plural,shermendet,1.2013523596909814,shermendet,shermendet,hardhiatë,dhritë,,,,branch
κλῆμα,156,unigram,neuter,nominative,singular,shermendi,2.4755357096526143,shermendi,shermendi,mbettë,dhria,,,,branch
ἄρτος,328,unigram,masculine,accusative,plural,bukë,3.8835448483663657,bukë,bukë,bukë,bukë,,,,bread
ἄρτος,356,unigram,masculine,accusative,singular,bukë,41.203665857076295,bukë,bukë,bukë,bukë,,,,bread
ἄρτος,163,unigram,masculine,nominative,plural,bukë,37.143059124475464,bukë,bukë,bukë,bukë,,,,bread
ἄρτος,42,unigram,masculine,nominative,singular,buka,11.180626157577324,buka,buka,buka,Qielli,,,,bread
ἀδελφός,314,unigram,masculine,accusative,plural,,,vëllezërit,,,vëllazër,,,,brother
ἀδελφός,129,unigram,masculine,accusative,singular,,,vëllanë,vëllanë,vëllan,vëllan,,,,brother
ἀδελφός,118,unigram,masculine,nominative,plural,vëllezërit,7.96307107681666,vëllezërit,vëllezërit,vëllazënit,vëllazërit,,,,brother
ἀδελφός,242,unigram,masculine,nominative,singular,vëllai,57.234434190556485,vëllai,vëllai,vëllai,vëllai,,,,brother
στῆθος,297,unigram,neuter,accusative,singular,kraharorin,5.174983799460933,kraharorin,kraharorin,krahanuer,gjoks,,,,"chest, breast"
ἀρχιερεύς,255,unigram,masculine,accusative,plural,,,priftërinjve,kryepriftërinjtë,Krye-priftënit,parët,,,,chief priest
ἀρχιερεύς,66,unigram,masculine,accusative,singular,kryeprifti,2.5010814075024235,kryeprifti,kryeprifti,Krye-prifti,priftëret,,,,chief priest
ἀρχιερεύς,128,unigram,masculine,nominative,plural,,,priftërinjve,kryepriftërinjtë,Krye-priftënit,parët,,,,chief priest
ἀρχιερεύς,259,unigram,masculine,nominative,singular,kryeprifti,6.290154109688891,kryeprifti,kryeprifti,Krye-prifti,priftëret,,,,chief priest
παῖς,246,unigram,masculine,accusative,plural,fëmijët,1.8970485333143736,fëmijët,fëmijët,,djelmtë,,,,child
παῖς,53,unigram,masculine,accusative,singular,,,përpëliti,,,përshqien,,,,child
τέκνον,350,unigram,neuter,accusative,plural,fëmijët,1.7361446967094731,fëmijët,fëmijët,dielmt,djelm,,,,child
τέκνον,187,unigram,neuter,accusative,singular,vëllai,1.7369137458802013,vëllai,,vëllai,vëllai,,,,child
τέκνον,19,unigram,neuter,nominative,plural,,,,Bijtë,,vëllanë,,,,child
τέκνον,200,unigram,neuter,nominative,singular,Bir,4.336326116793028,bir,Bir,dial,Bir,,,,child
παιδίον,17,unigram,neuter,accusative,plural,,,vegjël,,vogjilë,tillëvet,,,,child
παιδίον,97,unigram,neuter,accusative,singular,fëmijën,2.7403017229063757,fëmijën,fëmijën,dialin,djalënë,,,,child
παιδίον,179,unigram,neuter,nominative,plural,,,,fëmijë,çunat,,,,,child
παιδίον,44,unigram,neuter,nominative,singular,,,fëmijë,Fëmija,çun,djalë,,,,child
πόλις,191,unigram,feminine,accusative,plural,qytete,1.6019981522464875,qytete,qytetet,qytete,qutete,,,,city
πόλις,70,unigram,feminine,accusative,singular,qytet,83.16771796678918,qytet,qytet,qytet,qutet,,,,city
πύλη,278,unigram,feminine,nominative,plural,,,,,ferrit,diert,,,,city gate
πύλη,216,unigram,feminine,nominative,singular,ngushtë,1.2202966018676227,ngushtë,ngushtë,,ngushtë,,,,city gate
χιτών,124,unigram,masculine,accusative,plural,tunika,3.7006783832741403,tunika,tunika,petka,palë,,,,"clothing, undergarments"
χιτών,32,unigram,masculine,accusative,singular,tunikën,3.442512903708421,tunikën,tunikën,,,,,,"clothing, undergarments"
ἱμάτιον,138,unigram,neuter,accusative,plural,rrobat,57.914861421768364,rrobat,rrobat,petkat,rrobat,,,,coat
ἱμάτιον,137,unigram,neuter,accusative,singular,mantelin,2.623653014567942,mantelin,mantelin,petkun,rrobë,,,,coat
ἐντολή,87,unigram,feminine,accusative,plural,urdhërimet,9.313980560301227,urdhërimet,urdhërimet,porosiat,porsit,,,,commandment
ἐντολή,85,unigram,feminine,accusative,singular,,,urdhërimin,,porosi,porsi,,,,commandment
συνέδριον,333,unigram,neuter,accusative,plural,,,përpara,sinedra,rrafunë,,,,,council
συνέδριον,57,unigram,neuter,accusative,singular,,,sinedrin,mblodhën,,parët,,,,council
χώρα,81,unigram,feminine,accusative,plural,aratë,1.0961358565100614,,,aratë,,,,,"country, countryside"
χώρα,302,unigram,feminine,accusative,singular,vend,2.573025667516399,krahinën,vend,vend,vënd,,,,"country, countryside"
ὄχλος,62,unigram,masculine,accusative,plural,turmat,10.462111022945674,turmat,turmat,gjindëjenë,botënë,,,,crowd
ὄχλος,11,unigram,masculine,accusative,singular,turmën,2.2899066679362345,turmën,turmën,gjindëjenë,turmënë,,,,crowd
ὄχλος,105,unigram,masculine,nominative,plural,turmat,4.161951767541532,turmat,turmat,gjindëja,turmëtë,,,,crowd
ὄχλος,292,unigram,masculine,nominative,singular,turmë,2.0025859359383396,turmë,turmë,gjindëje,turma,,,,crowd
θυγάτηρ,122,unigram,feminine,nominative,plural,,,bija,Bija,,,,,,daughter
θυγάτηρ,327,unigram,feminine,nominative,singular,,,bija,bijë,,jote,,,,daughter
ἡμέρα,79,unigram,feminine,accusative,plural,,,ditë,ditësh,ditt,ditet,,,,day
ἡμέρα,91,unigram,feminine,accusative,singular,ditë,6.163273083198239,ditë,ditë,përditë,ditënë,,,,day
ἡμέρα,2,unigram,feminine,nominative,plural,ditë,1.3193717299876881,ditë,ditë,ditt,dit,,,,day
ἡμέρα,72,unigram,feminine,nominative,singular,,,dita,ditë,dita,ditë,,,,day
