lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1741_translation,english_translation
θεός,137,unigram,masculine,accusative,singular,Kuate,1.7185889275361894,Kuate,God
θεός,29,unigram,masculine,nominative,plural,mbara,1.5324572190015049,mbara,God
θεός,212,unigram,masculine,nominative,singular,Kuate,2.8834343270054132,Kuate,God
κύριος,138,unigram,masculine,nominative,singular,Suŋgo,3.102599183454011,Suŋgo,"Lord, lord, master"
γραφή,132,unigram,feminine,accusative,plural,kuyar,2.0972687951671998,kuyar,Scripture
γραφή,49,unigram,feminine,accusative,singular,Kuyar,1.5727463260535743,Kuyar,Scripture
γραφή,267,unigram,feminine,nominative,plural,kuyar,1.260441229107388,kuyar,Scripture
γραφή,326,unigram,feminine,nominative,singular,kuyar,1.4091254833096667,kuyar,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,eŋel,1.847796131686129,eŋel,angel
ἄγγελος,79,unigram,masculine,accusative,singular,isa,1.0343085061145336,isa,angel
ἄγγελος,46,unigram,masculine,nominative,plural,eŋel,4.307297672530536,eŋel,angel
ἄγγελος,109,unigram,masculine,nominative,singular,eŋel,4.493242444429511,eŋel,angel
ἐξουσία,203,unigram,feminine,accusative,singular,saŋgri,3.1620138496396972,saŋgri,authority
βρέφος,16,unigram,neuter,accusative,plural,patikuwa,1.0597605047073615,patikuwa,babies
βρέφος,324,unigram,neuter,accusative,singular,isukusanu,1.1426928705410058,isukusanu,babies
ἀποθήκη,66,unigram,feminine,accusative,singular,wit,1.2605141122104149,wit,barn
φραγμός,239,unigram,masculine,accusative,plural,lignewaig,1.2133447994342814,lignewaig,"barrier, wall"
ἀρχή,188,unigram,feminine,accusative,singular,Kana,1.0770919675205497,Kana,beginning
ζώνη,179,unigram,feminine,accusative,plural,taŋgine,1.1006833994872571,taŋgine,belt
βλασφημία,32,unigram,feminine,accusative,plural,taŋakate,1.0665686399130738,taŋakate,blasphemy
βλασφημία,96,unigram,feminine,accusative,singular,silite,1.1619397622092544,silite,blasphemy
βλασφημία,210,unigram,feminine,nominative,plural,une,1.2548288162897776,une,blasphemy
βλασφημία,80,unigram,feminine,nominative,singular,une,1.1338926526104331,une,blasphemy
πλοῖον,107,unigram,neuter,accusative,plural,waŋ,2.190025537141858,waŋ,boat
πλοῖον,310,unigram,neuter,accusative,singular,waŋ,2.064787345827553,waŋ,boat
πλοῖον,244,unigram,neuter,nominative,plural,poŋge,1.4135417558905332,poŋge,boat
πλοῖον,231,unigram,neuter,nominative,singular,waŋ,1.9285627920822388,waŋ,boat
σῶμα,219,unigram,neuter,nominative,plural,mindesiŋ,1.246002167155866,mindesiŋ,body
σῶμα,58,unigram,neuter,nominative,singular,ŋgarosu,2.4530717474286186,ŋgarosu,body
κλῆμα,154,unigram,neuter,nominative,singular,sail,1.2109635962427827,sail,branch
ἄρτος,314,unigram,masculine,accusative,plural,bret,4.170442991398765,bret,bread
ἄρτος,340,unigram,masculine,accusative,singular,bret,1.260880462266715,bret,bread
ἄρτος,162,unigram,masculine,nominative,plural,niŋbe,1.1709896195740066,niŋbe,bread
ἄρτος,40,unigram,masculine,nominative,singular,tiŋgit,1.11328752329457,tiŋgit,bread
ἀδελφός,301,unigram,masculine,accusative,plural,tira,2.14601800360624,tira,brother
ἀδελφός,122,unigram,masculine,accusative,singular,Yakobus,1.04812792950471,Yakobus,brother
ἀδελφός,112,unigram,masculine,nominative,plural,mambo,1.0234188815467518,mambo,brother
ἀδελφός,237,unigram,masculine,nominative,singular,aba,1.1352807881358582,aba,brother
στῆθος,158,unigram,neuter,accusative,plural,katkatniŋmba,1.0963952731635358,katkatniŋmba,"chest, breast"
στῆθος,287,unigram,neuter,accusative,singular,patumba,1.413575542312895,patumba,"chest, breast"
ἀρχιερεύς,248,unigram,masculine,accusative,plural,pris,1.686337978549842,pris,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,pris,1.2379017713257066,pris,chief priest
ἀρχιερεύς,121,unigram,masculine,nominative,plural,pris,1.083042165328757,pris,chief priest
ἀρχιερεύς,253,unigram,masculine,nominative,singular,pris,1.6394342929785104,pris,chief priest
παῖς,47,unigram,masculine,accusative,singular,bukŋgina,1.1620119381475449,bukŋgina,child
τέκνον,333,unigram,neuter,accusative,plural,kame,1.0470270613785768,kame,child
τέκνον,185,unigram,neuter,accusative,singular,kumwaig,1.039024857116151,kumwaig,child
τέκνον,17,unigram,neuter,nominative,plural,kumwaig,1.0415128311742297,kumwaig,child
τέκνον,196,unigram,neuter,nominative,singular,Kiŋo,1.0054961591449727,Kiŋo,child
παιδίον,15,unigram,neuter,accusative,plural,peu,1.0250376997453379,peu,child
παιδίον,89,unigram,neuter,accusative,singular,kiŋo,2.9331152326868177,kiŋo,child
παιδίον,177,unigram,neuter,nominative,plural,kame,1.2912038089410816,kame,child
παιδίον,41,unigram,neuter,nominative,singular,kiŋo,1.50990096642517,kiŋo,child
πόλις,189,unigram,feminine,accusative,plural,foŋfoŋ,1.0598269085891645,foŋfoŋ,city
πόλις,62,unigram,feminine,accusative,singular,tumbraŋ,6.01984229123176,tumbraŋ,city
πύλη,271,unigram,feminine,nominative,plural,saŋgriŋge,1.0963952731635358,saŋgriŋge,city gate
πύλη,209,unigram,feminine,nominative,singular,Ndin,1.27566610141479,Ndin,city gate
χιτών,117,unigram,masculine,accusative,plural,tawi,1.3367590722245255,tawi,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,tawi,1.0391986539027174,tawi,"clothing, undergarments"
ἱμάτιον,135,unigram,neuter,accusative,plural,tawi,1.2427424216408307,tawi,coat
ἱμάτιον,134,unigram,neuter,accusative,singular,tawi,2.753600404846039,tawi,coat
ἐντολή,77,unigram,feminine,accusative,plural,ndale,1.2398544634040325,ndale,commandment
ἐντολή,75,unigram,feminine,accusative,singular,tukul,1.6374949857709733,tukul,commandment
συνέδριον,319,unigram,neuter,accusative,plural,pani,1.1426321050684958,pani,council
