lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2116_translation,english_translation
θεός,90,unigram,masculine,accusative,singular,Nkulunkulu,5.735968258399626,Nkulunkulu,God
θεός,143,unigram,masculine,nominative,singular,Nkulunkulu,11.655972689192323,Nkulunkulu,God
κύριος,91,unigram,masculine,nominative,singular,INkhosi,1.3401680946925696,INkhosi,"Lord, lord, master"
γραφή,88,unigram,feminine,accusative,plural,imiBhalo,1.789584691824995,imiBhalo,Scripture
γραφή,174,unigram,feminine,nominative,plural,kugcwaliseke,1.4313876499336855,kugcwaliseke,Scripture
γραφή,217,unigram,feminine,nominative,singular,umBhalo,1.8366013215172945,umBhalo,Scripture
ἄγγελος,61,unigram,masculine,accusative,plural,tingilosi,1.7941210933124865,tingilosi,angel
ἄγγελος,54,unigram,masculine,accusative,singular,indlela,1.1130285570365783,indlela,angel
ἄγγελος,30,unigram,masculine,nominative,plural,tingilosi,1.3240122855371144,tingilosi,angel
ἄγγελος,72,unigram,masculine,nominative,singular,ingilosi,1.1337482838604178,ingilosi,angel
ἐξουσία,138,unigram,feminine,accusative,singular,emandla,2.5254659449613293,emandla,authority
ἀποθήκη,45,unigram,feminine,accusative,singular,emabele,1.5323096753179035,emabele,barn
βλασφημία,20,unigram,feminine,accusative,plural,Bafundzisi,1.0960768946513286,Bafundzisi,blasphemy
πλοῖον,70,unigram,neuter,accusative,plural,tikebhe,1.8076879755376247,tikebhe,boat
πλοῖον,206,unigram,neuter,accusative,singular,esikebheni,3.656285633183424,esikebheni,boat
πλοῖον,156,unigram,neuter,nominative,singular,elusentseni,1.5892558767138063,elusentseni,boat
σῶμα,38,unigram,neuter,nominative,singular,nemtimba,1.2456942891244829,nemtimba,body
κλῆμα,102,unigram,neuter,nominative,singular,kimi,1.09694884073113,kimi,branch
ἄρτος,210,unigram,masculine,accusative,plural,tinkhwa,1.5996137254092255,tinkhwa,bread
ἄρτος,229,unigram,masculine,accusative,singular,sinkhwa,2.6574554448656795,sinkhwa,bread
ἄρτος,108,unigram,masculine,nominative,plural,tinkhwa,1.937583156573095,tinkhwa,bread
ἄρτος,23,unigram,masculine,nominative,singular,lesehla,1.257733981028286,lesehla,bread
ἀδελφός,199,unigram,masculine,accusative,plural,bomnakabo,1.318627665707221,bomnakabo,brother
ἀδελφός,82,unigram,masculine,accusative,singular,umnakabo,1.2054658529037794,umnakabo,brother
ἀδελφός,75,unigram,masculine,nominative,plural,nabomnakabo,1.0533257616691334,nabomnakabo,brother
στῆθος,187,unigram,neuter,accusative,singular,labehleti,1.2623309132940153,labehleti,"chest, breast"
ἀρχιερεύς,163,unigram,masculine,accusative,plural,labakhulu,1.18895579924953,labakhulu,chief priest
ἀρχιερεύς,39,unigram,masculine,accusative,singular,Lomkhulu,1.532442279851575,Lomkhulu,chief priest
ἀρχιερεύς,81,unigram,masculine,nominative,plural,labakhulu,2.6944554306329045,labakhulu,chief priest
ἀρχιερεύς,166,unigram,masculine,nominative,singular,Lomkhulu,2.7027465932482366,Lomkhulu,chief priest
τέκνον,224,unigram,neuter,accusative,plural,bantfwana,1.3405656812003997,bantfwana,child
τέκνον,130,unigram,neuter,nominative,singular,Mntfwanami,1.07666816862956,Mntfwanami,child
παιδίον,8,unigram,neuter,accusative,plural,Vumelani,1.0071801701870022,Vumelani,child
παιδίον,58,unigram,neuter,accusative,singular,umntfwana,3.4995103492971738,umntfwana,child
παιδίον,25,unigram,neuter,nominative,singular,angene,1.1330279193258137,angene,child
πόλις,122,unigram,feminine,accusative,plural,emadolobha,1.1399665618367838,emadolobha,city
πόλις,42,unigram,feminine,accusative,singular,edolobheni,7.5752314237632286,edolobheni,city
χιτών,17,unigram,masculine,accusative,singular,mnike,1.7374545992921473,mnike,"clothing, undergarments"
ἱμάτιον,89,unigram,neuter,accusative,plural,tingubo,2.1236462941204,tingubo,coat
ἐντολή,53,unigram,feminine,accusative,plural,imiyalo,2.4984411625475884,imiyalo,commandment
ἐντολή,51,unigram,feminine,accusative,singular,imiyalo,1.080630408764044,imiyalo,commandment
συνέδριον,214,unigram,neuter,accusative,plural,etinkantolo,1.3571177067064897,etinkantolo,council
συνέδριον,32,unigram,neuter,accusative,singular,nebaphristi,1.4586465991017414,nebaphristi,council
χώρα,191,unigram,feminine,accusative,singular,eveni,2.27801902499573,eveni,"country, countryside"
ὄχλος,36,unigram,masculine,accusative,plural,ticumbi,1.1669064661601114,ticumbi,crowd
ὄχλος,4,unigram,masculine,accusative,singular,sebantfu,1.28347683099016,sebantfu,crowd
ὄχλος,63,unigram,masculine,nominative,plural,tebantfu,1.476206144290258,tebantfu,crowd
ὄχλος,183,unigram,masculine,nominative,singular,sebantfu,1.7064584101074332,sebantfu,crowd
θυγάτηρ,209,unigram,feminine,nominative,singular,Indvodzakati,1.5901563509276788,Indvodzakati,daughter
ἡμέρα,48,unigram,feminine,accusative,plural,emalanga,3.170520473882738,emalanga,day
ἡμέρα,55,unigram,feminine,accusative,singular,emalanga,1.0397166362769144,emalanga,day
ἡμέρα,2,unigram,feminine,nominative,plural,malanga,1.2237253303769793,malanga,day
ἡμέρα,43,unigram,feminine,nominative,singular,lilanga,1.1784079357184605,lilanga,day
δαιμόνιον,18,unigram,neuter,accusative,plural,emadimoni,6.215419498740808,emadimoni,demon
δαιμόνιον,220,unigram,neuter,accusative,singular,Unelidimoni,2.1134040891805874,Unelidimoni,demon
δαιμόνιον,132,unigram,neuter,nominative,plural,emadimoni,1.6874509501312882,emadimoni,demon
δηνάριον,202,unigram,neuter,accusative,plural,imali,1.1172690242512657,imali,denarius (about a day's wages)
δηνάριον,110,unigram,neuter,accusative,singular,denariyo,1.4945854596785524,denariyo,denarius (about a day's wages)
μαθητής,119,unigram,masculine,accusative,plural,bakhe,1.2209003445109197,bakhe,disciple
μαθητής,225,unigram,masculine,accusative,singular,nguJesu,1.1274395131182218,nguJesu,disciple
μαθητής,178,unigram,masculine,nominative,plural,bakhe,1.0139894943661336,bakhe,disciple
μαθητής,223,unigram,masculine,nominative,singular,umfundzi,1.5672019779072175,umfundzi,disciple
περιστερά,62,unigram,feminine,accusative,plural,timali,1.337045698152564,timali,dove
περιστερά,34,unigram,feminine,accusative,singular,anjengelituba,1.182671197462123,anjengelituba,dove
οὖς,101,unigram,neuter,accusative,plural,yekuva,1.1757603841040485,yekuva,ear
ὀφθαλμός,12,unigram,masculine,accusative,plural,emehlo,4.010325797087371,emehlo,eye
ὀφθαλμός,41,unigram,masculine,nominative,plural,emehlo,3.738319610965103,emehlo,eye
ὀφθαλμός,197,unigram,masculine,nominative,singular,liso,1.3712561160169845,liso,eye
πρόσωπον,128,unigram,neuter,accusative,singular,buso,1.10043183086305,buso,face
πατήρ,133,unigram,masculine,accusative,plural,kubokhokho,1.0971869945960706,kubokhokho,father
πατήρ,201,unigram,masculine,accusative,singular,uyise,1.0768411932515962,uyise,father
πατήρ,208,unigram,masculine,nominative,plural,bokhokho,1.3353430146755891,bokhokho,father
πατήρ,123,unigram,masculine,nominative,singular,Babe,3.0462175219486647,Babe,father
ἀγρός,219,unigram,masculine,accusative,plural,emitini,1.3953991037433626,emitini,field
ἀγρός,24,unigram,masculine,accusative,singular,ensimini,1.4495099780034255,ensimini,field
ἰχθύς,104,unigram,masculine,accusative,plural,letisihlanu,1.098334968639665,letisihlanu,fish
ἰχθύς,127,unigram,masculine,accusative,singular,inhlanti,1.06478056812557,inhlanti,fish
δίκτυον,71,unigram,neuter,accusative,plural,emanetha,1.5952594749894569,emanetha,fishing net
δίκτυον,136,unigram,neuter,accusative,singular,linetha,1.1133490590191395,linetha,fishing net
πούς,160,unigram,masculine,accusative,plural,tinyawo,2.7206832195721344,tinyawo,foot
πούς,74,unigram,masculine,accusative,singular,ngetandla,1.1064565894184737,ngetandla,foot
καρπός,121,unigram,masculine,accusative,plural,titselo,1.6282991401567186,titselo,"fruit, crop, harvest"
καρπός,159,unigram,masculine,accusative,singular,titselo,3.7944579864183168,titselo,"fruit, crop, harvest"
πλήρωμα,176,unigram,neuter,accusative,plural,emabhasikidi,1.695462353734308,emabhasikidi,fullness
δῶρον,111,unigram,neuter,accusative,singular,ngesipho,1.169412434681315,ngesipho,gift
ἡγεμών,116,unigram,masculine,accusative,plural,lami,1.1909833398394196,lami,"governor, ruler"
ἡγεμών,6,unigram,masculine,accusative,singular,Lusibalukhulu,1.0960965115985384,Lusibalukhulu,"governor, ruler"
ἀσπασμός,211,unigram,masculine,accusative,plural,ngenhlonipho,1.0685072032871967,ngenhlonipho,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,labatimphumphutse,1.999949106296321,labatimphumphutse,guide
χείρ,204,unigram,feminine,accusative,plural,tandla,2.7371606163077558,tandla,hand
χείρ,150,unigram,feminine,accusative,singular,sandla,2.433248932050961,sandla,hand
κεφαλή,95,unigram,feminine,accusative,plural,tinhloko,1.5323503876536098,tinhloko,head
κεφαλή,140,unigram,feminine,accusative,singular,inhloko,1.4980150895948898,inhloko,head
στάχυς,141,unigram,masculine,accusative,plural,abehamba,1.4173809820439174,abehamba,head of grain
καρδία,185,unigram,feminine,accusative,singular,tinhlitiyo,1.1763007565498835,tinhlitiyo,heart
οὐρανός,173,unigram,masculine,accusative,singular,ezulwini,2.453317511705755,ezulwini,"heaven, sky"
οὐρανός,134,unigram,masculine,nominative,singular,nemhlaba,1.2017227837737805,nemhlaba,"heaven, sky"
ὥρα,15,unigram,feminine,nominative,singular,sikhatsi,1.5683958633743218,sikhatsi,hour
οἰκία,106,unigram,feminine,accusative,plural,tindlu,1.4382330812676036,tindlu,house
οἰκία,215,unigram,feminine,accusative,singular,endlini,1.6352587129331797,endlini,house
οἶκος,11,unigram,masculine,accusative,singular,ekhaya,3.237425469597196,ekhaya,"house, home"
κριτής,200,unigram,masculine,nominative,plural,pho,1.1525407031654455,pho,judge
