lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1786_translation,english_translation
θεός,306,unigram,masculine,accusative,plural,diwata,1.0973294913896112,diwata,God
θεός,123,unigram,masculine,accusative,singular,Diwata,4.65274925129662,Diwata,God
θεός,193,unigram,masculine,nominative,singular,Diwata,2.8819995404013663,Diwata,God
κύριος,124,unigram,masculine,nominative,singular,Ginu,2.434177198527105,Ginu,"Lord, lord, master"
γραφή,119,unigram,feminine,accusative,plural,Kesulatan,2.0366128084484387,Kesulatan,Scripture
γραφή,45,unigram,feminine,accusative,singular,kesulatan,1.7455500482826918,kesulatan,Scripture
γραφή,242,unigram,feminine,nominative,plural,Kesulatan,1.0098496464247355,Kesulatan,Scripture
γραφή,301,unigram,feminine,nominative,singular,Kesulatan,1.1954968393446324,Kesulatan,Scripture
ἄγγελος,90,unigram,masculine,accusative,plural,tipungen,1.1507667300433924,tipungen,angel
ἄγγελος,78,unigram,masculine,accusative,singular,meguna,1.0504330594576117,meguna,angel
ἄγγελος,42,unigram,masculine,nominative,plural,anghel,2.3852970497641928,anghel,angel
ἄγγελος,100,unigram,masculine,nominative,singular,anghel,3.2068119976437988,anghel,angel
ἀπόστολος,39,unigram,masculine,nominative,plural,gapustulis,2.529721125281414,gapustulis,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,dlumabaw,1.0961555847270184,dlumabaw,apostle
ἐξουσία,184,unigram,feminine,accusative,singular,ketenged,2.9202481940783485,ketenged,authority
βρέφος,16,unigram,neuter,accusative,plural,binelebagan,1.1063669911002534,binelebagan,babies
ἀποθήκη,247,unigram,feminine,accusative,plural,kampuun,1.198169551787448,kampuun,barn
ἀποθήκη,65,unigram,feminine,accusative,singular,trigu,1.3415325444714314,trigu,barn
φραγμός,104,unigram,masculine,accusative,singular,pegelungan,1.0595803167787572,pegelungan,"barrier, wall"
ἀρχή,169,unigram,feminine,accusative,singular,pekege'emaan,1.1190017123113143,pekege'emaan,beginning
ζώνη,161,unigram,feminine,accusative,plural,selapi'—selapi,1.09612600636564,selapi'—selapi,belt
βλασφημία,30,unigram,feminine,accusative,plural,mikpesipala,1.106379065371046,mikpesipala,blasphemy
βλασφημία,191,unigram,feminine,nominative,plural,melaat,1.0518344761199832,melaat,blasphemy
πλοῖον,98,unigram,neuter,accusative,plural,sekayan,1.9842517861488689,sekayan,boat
πλοῖον,289,unigram,neuter,accusative,singular,sekayan,2.7410232138080897,sekayan,boat
πλοῖον,211,unigram,neuter,nominative,singular,sekayan,2.3875449198541583,sekayan,boat
σῶμα,200,unigram,neuter,nominative,plural,pembeli'en,1.1064353327703165,pembeli'en,body
σῶμα,56,unigram,neuter,nominative,singular,dlawas,3.672700298263945,dlawas,body
κλῆμα,52,unigram,neuter,nominative,plural,pangau,1.0961358565100614,pangau,branch
κλῆμα,141,unigram,neuter,nominative,singular,panga,1.807691828471783,panga,branch
ἄρτος,293,unigram,masculine,accusative,plural,pan,2.551330297749631,pan,bread
