lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1764_translation,version_1765_translation,english_translation
θεός,346,unigram,masculine,accusative,plural,‹alae›,1.4173275488168502,,‹alae›,God
θεός,142,unigram,masculine,accusative,singular,Ala,2.47826477900961,,Ala,God
θεός,33,unigram,masculine,nominative,plural,alae,1.1634492944761523,,alae,God
θεός,221,unigram,masculine,nominative,singular,Ala,8.520369945326554,,Ala,God
κύριος,348,unigram,masculine,nominative,plural,fulunfe,1.2966169264520342,,fulunfe,"Lord, lord, master"
κύριος,143,unigram,masculine,nominative,singular,Marigi,1.76347975377508,,Marigi,"Lord, lord, master"
γραφή,137,unigram,feminine,accusative,plural,Kitaabui,1.0367202939057818,,Kitaabui,Scripture
γραφή,56,unigram,feminine,accusative,singular,Kitaabui,1.2931593507121053,,Kitaabui,Scripture
γραφή,280,unigram,feminine,nominative,plural,Kɔnɔ,1.0505267608675448,,Kɔnɔ,Scripture
γραφή,342,unigram,feminine,nominative,singular,Kitaabui,1.6249241584441343,,Kitaabui,Scripture
ἄγγελος,107,unigram,masculine,accusative,plural,malekɛe,1.9180530580519863,,malekɛe,angel
ἄγγελος,93,unigram,masculine,accusative,singular,rasanbade,1.3838576261088258,,rasanbade,angel
ἄγγελος,52,unigram,masculine,nominative,plural,malekɛe,1.2048774581940451,,malekɛe,angel
ἄγγελος,117,unigram,masculine,nominative,singular,malekɛ,2.533537060296725,,malekɛ,angel
ἀπόστολος,49,unigram,masculine,nominative,plural,Xɛɛrae,2.34131587108287,,Xɛɛrae,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,xɛɛra,1.0500934510548066,,xɛɛra,apostle
ἐξουσία,75,unigram,feminine,accusative,plural,mangasanyi,1.0441865164216328,,mangasanyi,authority
ἐξουσία,212,unigram,feminine,accusative,singular,nɔɛ,1.1039550029157124,,nɔɛ,authority
βρέφος,19,unigram,neuter,accusative,plural,dimɛdie,1.1236415596219955,,dimɛdie,babies
βρέφος,340,unigram,neuter,accusative,singular,dɛgede,1.0160423698381544,,dɛgede,babies
ἀποθήκη,288,unigram,feminine,accusative,plural,bilie,1.2429750568731364,,bilie,barn
ἀποθήκη,74,unigram,feminine,accusative,singular,bili,1.0218466760398428,,bili,barn
φραγμός,248,unigram,masculine,accusative,plural,Banxi,1.3263191276629986,,Banxi,"barrier, wall"
ἀρχή,78,unigram,feminine,accusative,plural,mangasanyi,1.0441287885892618,,mangasanyi,beginning
ἀρχή,194,unigram,feminine,accusative,singular,fɔlɛ,1.0493379808291403,,fɔlɛ,beginning
ζώνη,186,unigram,feminine,accusative,plural,xɛɛma,1.0608022792621818,,xɛɛma,belt
βλασφημία,37,unigram,feminine,accusative,plural,maɲɔxunfe,1.161346151680032,,maɲɔxunfe,blasphemy
βλασφημία,106,unigram,feminine,accusative,singular,rasɔtɔxi,1.2125775833869603,,rasɔtɔxi,blasphemy
βλασφημία,219,unigram,feminine,nominative,plural,marasɔtɔɛ,1.1062485993005018,,marasɔtɔɛ,blasphemy
πλοῖον,115,unigram,neuter,accusative,plural,kunkui,2.4264490097559883,,kunkui,boat
πλοῖον,326,unigram,neuter,accusative,singular,kunkui,1.920343811302252,,kunkui,boat
πλοῖον,255,unigram,neuter,nominative,plural,kunkui,1.36260086675167,,kunkui,boat
πλοῖον,239,unigram,neuter,nominative,singular,kunkui,1.4844557261246565,,kunkui,boat
σῶμα,66,unigram,neuter,nominative,singular,fate,3.005792612788518,,fate,body
κλῆμα,62,unigram,neuter,nominative,plural,salonyi,1.0354234526482031,,salonyi,branch
κλῆμα,160,unigram,neuter,nominative,singular,salonyi,1.5015156763332742,,salonyi,branch
ἄρτος,330,unigram,masculine,accusative,plural,taami,3.008650609961602,,taami,bread
ἄρτος,356,unigram,masculine,accusative,singular,taami,3.3623078552929138,,taami,bread
ἄρτος,168,unigram,masculine,nominative,plural,taami,2.1642345502435143,,taami,bread
ἄρτος,43,unigram,masculine,nominative,singular,taami,2.3861285764492406,,taami,bread
ἀδελφός,318,unigram,masculine,accusative,plural,xunyae,1.2446605635197576,,xunyae,brother
ἀδελφός,130,unigram,masculine,accusative,singular,xunya,1.5696437356261626,,xunya,brother
ἀδελφός,120,unigram,masculine,nominative,plural,xunyae,1.4655542716575347,,xunyae,brother
ἀδελφός,246,unigram,masculine,nominative,singular,xunya,2.1236449282512444,,xunya,brother
στῆθος,165,unigram,neuter,accusative,plural,sunnunyi,1.0258518694404362,,sunnunyi,"chest, breast"
στῆθος,303,unigram,neuter,accusative,singular,maso,1.1539757441416505,,maso,"chest, breast"
ἀρχιερεύς,260,unigram,masculine,accusative,plural,sɛrɛxɛdubɛ,1.076846934381699,,sɛrɛxɛdubɛ,chief priest
ἀρχιερεύς,67,unigram,masculine,accusative,singular,sɛrɛxɛdubɛ,1.3677296274196806,,sɛrɛxɛdubɛ,chief priest
ἀρχιερεύς,129,unigram,masculine,nominative,plural,kuntigie,2.117409217975648,,kuntigie,chief priest
ἀρχιερεύς,265,unigram,masculine,nominative,singular,kuntigi,1.2200469546690778,,kuntigi,chief priest
παῖς,251,unigram,masculine,accusative,plural,karamɔxɔe,1.0078852423379026,,karamɔxɔe,child
παῖς,54,unigram,masculine,accusative,singular,raketun,1.168385788790927,,raketun,child
τέκνον,350,unigram,neuter,accusative,plural,die,4.2639374542989685,,die,child
τέκνον,191,unigram,neuter,accusative,singular,Babɛ,1.0388541614657705,,Babɛ,child
τέκνον,20,unigram,neuter,nominative,plural,die,1.6257865512721963,,die,child
τέκνον,204,unigram,neuter,nominative,singular,di,1.9865907959728697,,di,child
παιδίον,18,unigram,neuter,accusative,plural,dimɛdie,1.2803341591860404,,dimɛdie,child
