lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1785_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Katonda,5.297533255243186,Katonda,God
θεός,178,unigram,masculine,nominative,singular,Katonda,8.993124766521516,Katonda,God
κύριος,116,unigram,masculine,nominative,singular,Omwami,2.1730244845460938,Omwami,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,endagano,1.707218027229229,endagano,Scripture
γραφή,42,unigram,feminine,accusative,singular,*endagano,1.8075631311146103,*endagano,Scripture
γραφή,227,unigram,feminine,nominative,plural,gatuuke,1.7538964553264094,gatuuke,Scripture
γραφή,280,unigram,feminine,nominative,singular,*endagano,1.065829235349114,*endagano,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,*enyankoi,1.9180055664579403,*enyankoi,angel
ἄγγελος,73,unigram,masculine,accusative,singular,Wona,1.1943121344193075,Wona,angel
ἄγγελος,39,unigram,masculine,nominative,plural,*enyankoi,1.460647462209784,*enyankoi,angel
ἄγγελος,95,unigram,masculine,nominative,singular,enyankoi,2.0964498514962706,enyankoi,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,*awatumwa,1.030385834598423,*awatumwa,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,omutumre,1.2126978031066695,omutumre,apostle
ἐξουσία,60,unigram,feminine,accusative,plural,owukire,1.096264760880861,owukire,authority
ἐξουσία,170,unigram,feminine,accusative,singular,amaani,3.1555012792916104,amaani,authority
βρέφος,279,unigram,neuter,accusative,singular,agonre,1.0595673971889907,agonre,babies
ἀποθήκη,232,unigram,feminine,accusative,plural,ewiagi,1.8875087728357565,ewiagi,barn
ἀποθήκη,59,unigram,feminine,accusative,singular,ekiagi,1.5323255532457305,ekiagi,barn
ζώνη,195,unigram,feminine,accusative,singular,yasiwanga,1.0960965115985384,yasiwanga,belt
βλασφημία,23,unigram,feminine,accusative,plural,oifwanania,1.2126857550468304,oifwanania,blasphemy
βλασφημία,83,unigram,feminine,accusative,singular,aifwanania,1.0961210847775034,aifwanania,blasphemy
πλοῖον,93,unigram,neuter,accusative,plural,amaato,2.197665132778402,amaato,boat
πλοῖον,266,unigram,neuter,accusative,singular,owuato,5.387769377051928,owuato,boat
πλοῖον,197,unigram,neuter,nominative,singular,owuziwa,1.2850084503500463,owuziwa,boat
σῶμα,185,unigram,neuter,nominative,plural,emiwiri,1.5545993756571206,emiwiri,body
σῶμα,50,unigram,neuter,nominative,singular,omuwiri,2.629561350599888,omuwiri,body
κλῆμα,128,unigram,neuter,nominative,singular,ziona,1.1692832517487957,ziona,branch
ἄρτος,271,unigram,masculine,accusative,plural,emikaati,4.0137425051336,emikaati,bread
ἄρτος,291,unigram,masculine,accusative,singular,omukaati,2.4681461230624464,omukaati,bread
ἄρτος,133,unigram,masculine,nominative,plural,emikaati,1.7242716582793494,emikaati,bread
ἄρτος,30,unigram,masculine,nominative,singular,omukaati,2.491749961437578,omukaati,bread
ἀδελφός,257,unigram,masculine,accusative,plural,waamwawu,1.5336525229478093,waamwawu,brother
ἀδελφός,106,unigram,masculine,accusative,singular,wamwawu,1.8208654891549156,wamwawu,brother
ἀδελφός,98,unigram,masculine,nominative,plural,awekizia,1.271874209969423,awekizia,brother
ἀδελφός,202,unigram,masculine,nominative,singular,wamwawu,1.9313419468889064,wamwawu,brother
στῆθος,243,unigram,neuter,accusative,singular,ekifuwa,1.3525203182416052,ekifuwa,"chest, breast"
ἀρχιερεύς,211,unigram,masculine,accusative,plural,awakangasi,1.2587457198421712,awakangasi,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,awoozia,1.381348540349664,awoozia,chief priest
ἀρχιερεύς,105,unigram,masculine,nominative,plural,awoozia,1.0575405455874105,awoozia,chief priest
ἀρχιερεύς,215,unigram,masculine,nominative,singular,awoozia,1.7733737757572732,awoozia,chief priest
παῖς,206,unigram,masculine,accusative,plural,kuika,1.0364131915967791,kuika,child
τέκνον,286,unigram,neuter,accusative,plural,awaana,4.52543155462422,awaana,child
τέκνον,152,unigram,neuter,accusative,singular,wamwawu,1.073101827136674,wamwawu,child
τέκνον,162,unigram,neuter,nominative,singular,Mwana,1.164197317837368,Mwana,child
παιδίον,78,unigram,neuter,accusative,singular,omwana,2.0466909678877623,omwana,child
παιδίον,32,unigram,neuter,nominative,singular,omwana,1.552223657825906,omwana,child
πόλις,155,unigram,feminine,accusative,plural,emigizi,1.8285326337019967,emigizi,city
πόλις,55,unigram,feminine,accusative,singular,omugizi,5.842336386111707,omugizi,city
πύλη,176,unigram,feminine,nominative,singular,eziira,1.0595641711434236,eziira,city gate
χιτών,102,unigram,masculine,accusative,plural,enguwo,1.819934916478424,enguwo,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,esaati,1.06478056812557,esaati,"clothing, undergarments"
ἱμάτιον,113,unigram,neuter,accusative,plural,enguwo,2.864417072071578,enguwo,coat
ἱμάτιον,112,unigram,neuter,accusative,singular,enguwo,1.882875849377464,enguwo,coat
ἐντολή,71,unigram,feminine,accusative,plural,*ensikirra,2.3541351017690437,*ensikirra,commandment
ἐντολή,69,unigram,feminine,accusative,singular,*ensikirra,1.4981791196820582,*ensikirra,commandment
συνέδριον,275,unigram,neuter,accusative,plural,okuwaira,1.1133969134577666,okuwaira,council
συνέδριον,44,unigram,neuter,accusative,singular,awakangasi,1.0219489467262406,awakangasi,council
χώρα,247,unigram,feminine,accusative,singular,ekialo,1.1290475050066888,ekialo,"country, countryside"
ὄχλος,47,unigram,masculine,accusative,plural,omurima,3.614188607748223,omurima,crowd
ὄχλος,7,unigram,masculine,accusative,singular,omurima,1.3652433393093737,omurima,crowd
ὄχλος,86,unigram,masculine,nominative,plural,omurima,1.2363819135083929,omurima,crowd
ὄχλος,239,unigram,masculine,nominative,singular,awangi,1.1939402209340801,awangi,crowd
θυγάτηρ,270,unigram,feminine,nominative,singular,omwala,1.0103221321463725,omwala,daughter
ἡμέρα,65,unigram,feminine,accusative,plural,amiire,2.570722592016898,amiire,day
ἡμέρα,74,unigram,feminine,accusative,singular,owuire,3.594023181680376,owuire,day
ἡμέρα,2,unigram,feminine,nominative,plural,amiire,1.099174430155907,amiire,day
ἡμέρα,57,unigram,feminine,nominative,singular,owuire,1.0958121902848204,owuire,day
ὀφειλέτης,217,unigram,masculine,nominative,plural,yawagwako,1.0960965115985384,yawagwako,debtor
δαιμόνιον,22,unigram,neuter,accusative,plural,ewikeeno,2.2080669004016054,ewikeeno,demon
δαιμόνιον,282,unigram,neuter,accusative,singular,ekikeeno,1.9643895733000716,ekikeeno,demon
δαιμόνιον,164,unigram,neuter,nominative,plural,ewikeeno,1.1140362428976116,ewikeeno,demon
δαιμόνιον,144,unigram,neuter,nominative,singular,yasiagizia,1.2091710746169528,yasiagizia,demon
δηνάριον,261,unigram,neuter,accusative,plural,edinaari,1.578067211453683,edinaari,denarius (about a day's wages)
δηνάριον,135,unigram,neuter,accusative,singular,edinaari,2.1695403037314445,edinaari,denarius (about a day's wages)
μαθητής,149,unigram,masculine,accusative,plural,awalonzi,1.8820227685304824,awalonzi,disciple
μαθητής,287,unigram,masculine,accusative,singular,omulonzi,1.8074287240940972,omulonzi,disciple
μαθητής,234,unigram,masculine,nominative,plural,awalonzi,1.787373793557061,awalonzi,disciple
μαθητής,285,unigram,masculine,nominative,singular,omulonzi,3.4577602964796457,omulonzi,disciple
