lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_347_translation,english_translation
θεός,272,unigram,masculine,accusative,plural,piningalanen,1.0965172048072145,piningalanen,God
θεός,112,unigram,masculine,accusative,singular,Megbebayaꞌ,4.758864573232999,Megbebayaꞌ,God
θεός,174,unigram,masculine,nominative,singular,Megbebayaꞌ,3.0048360366184625,Megbebayaꞌ,God
κύριος,113,unigram,masculine,nominative,singular,Kaunutan,3.491030370219812,Kaunutan,"Lord, lord, master"
γραφή,107,unigram,feminine,accusative,plural,Taluꞌ,1.2082248367320834,Taluꞌ,Scripture
γραφή,45,unigram,feminine,accusative,singular,sinulat,1.0166424300122263,sinulat,Scripture
γραφή,218,unigram,feminine,nominative,plural,mpenggulaula,1.139128739556463,mpenggulaula,Scripture
γραφή,267,unigram,feminine,nominative,singular,Taluꞌ,1.4067368855258522,Taluꞌ,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,sesuguꞌen,1.1351953302253943,sesuguꞌen,angel
ἄγγελος,41,unigram,masculine,nominative,plural,sesuguꞌen,1.1686462924744303,sesuguꞌen,angel
ἄγγελος,92,unigram,masculine,nominative,singular,langit,1.7108980825705968,langit,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,inukit,1.0241563824085091,inukit,apostle
ἐξουσία,59,unigram,feminine,accusative,plural,gukum,1.1410202076335776,gukum,authority
ἐξουσία,168,unigram,feminine,accusative,singular,pegbayaꞌ,2.316052758568265,pegbayaꞌ,authority
βρέφος,11,unigram,neuter,accusative,plural,pendepenanen,1.1409352098690009,pendepenanen,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,trigo,1.2224496917848748,trigo,barn
ἀρχή,61,unigram,feminine,accusative,plural,gukum,1.1408476580576978,gukum,beginning
βλασφημία,26,unigram,feminine,accusative,plural,piksudiꞌanen,1.095421848054621,piksudiꞌanen,blasphemy
πλοῖον,90,unigram,neuter,accusative,plural,sekayan,1.4613246850703687,sekayan,boat
πλοῖον,254,unigram,neuter,accusative,singular,sekayan,2.671075331853756,sekayan,boat
πλοῖον,189,unigram,neuter,nominative,singular,sekayan,1.4153265725135564,sekayan,boat
σῶμα,50,unigram,neuter,nominative,singular,lawas,2.1002050648548822,lawas,body
κλῆμα,47,unigram,neuter,nominative,plural,yamui,1.0295666117104831,yamui,branch
κλῆμα,127,unigram,neuter,nominative,singular,panga,1.1407534499304102,panga,branch
ἄρτος,259,unigram,masculine,accusative,plural,pan,2.1692557319217403,pan,bread
ἄρτος,282,unigram,masculine,accusative,singular,pan,1.9480055408185704,pan,bread
ἄρτος,133,unigram,masculine,nominative,plural,pan,1.4688537807607862,pan,bread
ἄρτος,32,unigram,masculine,nominative,singular,gaan,2.098285494688072,gaan,bread
ἀδελφός,246,unigram,masculine,accusative,plural,pateden,1.4525491180492525,pateden,brother
ἀδελφός,103,unigram,masculine,accusative,singular,Santiago,1.142339823644174,Santiago,brother
ἀδελφός,96,unigram,masculine,nominative,plural,pateden,1.032140591467706,pateden,brother
ἀδελφός,195,unigram,masculine,nominative,singular,pated,1.5875834137286975,pated,brother
στῆθος,234,unigram,neuter,accusative,singular,sinaaken,1.2178621892126955,sinaaken,"chest, breast"
ἀρχιερεύς,205,unigram,masculine,accusative,plural,belian,1.4480358761134902,belian,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,Belian,1.201621292281142,Belian,chief priest
ἀρχιερεύς,102,unigram,masculine,nominative,plural,belian,1.2865279736758346,belian,chief priest
ἀρχιερεύς,209,unigram,masculine,nominative,singular,Belian,1.1094869046266955,Belian,chief priest
παῖς,199,unigram,masculine,accusative,plural,laki,1.0929119541050796,laki,child
παῖς,43,unigram,masculine,accusative,singular,pibuksak,1.0954540950705378,pibuksak,child
τέκνον,275,unigram,neuter,accusative,plural,bataꞌen,1.5576172391095364,bataꞌen,child
τέκνον,151,unigram,neuter,accusative,singular,pated,1.1313107733134364,pated,child
τέκνον,12,unigram,neuter,nominative,plural,kuntraanen,1.2783902937488738,kuntraanen,child
τέκνον,161,unigram,neuter,nominative,singular,Naung,3.3527381512014753,Naung,child
παιδίον,77,unigram,neuter,accusative,singular,gembataꞌ,2.7768263896944583,gembataꞌ,child
παιδίον,34,unigram,neuter,nominative,singular,gembataꞌ,2.236080823210385,gembataꞌ,child
πόλις,154,unigram,feminine,accusative,plural,lunsud,1.9960752601065648,lunsud,city
πόλις,54,unigram,feminine,accusative,singular,lunsud,6.298177137572933,lunsud,city
χιτών,99,unigram,masculine,accusative,plural,suub,1.0343949995234158,suub,"clothing, undergarments"
χιτών,23,unigram,masculine,accusative,singular,kamisita,1.0642394602697018,kamisita,"clothing, undergarments"
ἱμάτιον,110,unigram,neuter,accusative,plural,suub,1.5522437188535023,suub,coat
ἱμάτιον,109,unigram,neuter,accusative,singular,suuben,1.4367841616688282,suuben,coat
ἐντολή,71,unigram,feminine,accusative,plural,palinta,1.0457893423347868,palinta,commandment
ἐντολή,69,unigram,feminine,accusative,singular,palinta,1.6394721743055436,palinta,commandment
