lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1084_translation,english_translation
θεός,284,unigram,masculine,accusative,plural,sirbe,1.0447145688529802,sirbe,God
θεός,112,unigram,masculine,accusative,singular,Onorúgame,2.8163456826535045,Onorúgame,God
θεός,27,unigram,masculine,nominative,plural,ra'íchalika,1.1316461597472334,ra'íchalika,God
θεός,179,unigram,masculine,nominative,singular,Onorúgame,1.1560037930556721,Onorúgame,God
κύριος,113,unigram,masculine,nominative,singular,Wa'lula,1.6486839089155998,Wa'lula,"Lord, lord, master"
γραφή,108,unigram,feminine,accusative,plural,churigá,1.265586282486498,churigá,Scripture
γραφή,226,unigram,feminine,nominative,plural,Peba,1.4346451542714769,Peba,Scripture
γραφή,279,unigram,feminine,nominative,singular,ra'ichálila,1.490835144015726,ra'ichálila,Scripture
ἄγγελος,80,unigram,masculine,accusative,plural,ánjeli,1.014281300490537,ánjeli,angel
ἄγγελος,72,unigram,masculine,accusative,singular,júpaché,1.1808781587830568,júpaché,angel
ἄγγελος,41,unigram,masculine,nominative,plural,ánjeli,1.1564529057077455,ánjeli,angel
ἄγγελος,90,unigram,masculine,nominative,singular,santo,1.3001461390311349,santo,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,makué,1.026906583278978,makué,apostle
ἐξουσία,60,unigram,feminine,accusative,plural,animea,1.0596420238117508,animea,authority
ἐξουσία,169,unigram,feminine,accusative,singular,a'walí,1.4401797252410191,a'walí,authority
βρέφος,277,unigram,neuter,accusative,singular,ganuwachi,1.887566349315513,ganuwachi,babies
φραγμός,201,unigram,masculine,accusative,plural,napabuwa,1.096057314542422,napabuwa,"barrier, wall"
ἀρχή,62,unigram,feminine,accusative,plural,animea,1.0595673971889907,animea,beginning
ζώνη,144,unigram,feminine,accusative,plural,kobre,1.0960524252565438,kobre,belt
βλασφημία,177,unigram,feminine,nominative,plural,me'gá,1.1062485993005018,me'gá,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,barko,1.2410233511321382,barko,boat
πλοῖον,262,unigram,neuter,accusative,singular,bárkochi,2.362322319336791,bárkochi,boat
πλοῖον,195,unigram,neuter,nominative,singular,barko,1.826359576654836,barko,boat
σῶμα,51,unigram,neuter,nominative,singular,sa'pala,1.4829313894527805,sa'pala,body
κλῆμα,47,unigram,neuter,nominative,plural,atuala,1.0960622061228922,atuala,branch
ἄρτος,266,unigram,masculine,accusative,plural,baní,4.589701758836563,baní,bread
ἄρτος,293,unigram,masculine,accusative,singular,baní,1.833971769076624,baní,bread
ἄρτος,131,unigram,masculine,nominative,plural,baní,1.4839597132548576,baní,bread
ἄρτος,34,unigram,masculine,nominative,singular,baní,3.175001056910752,baní,bread
ἀδελφός,100,unigram,masculine,accusative,singular,bonila,1.644706581086946,bonila,brother
ἀδελφός,91,unigram,masculine,nominative,plural,bonila,1.0680337391502055,bonila,brother
ἀδελφός,199,unigram,masculine,nominative,singular,bonila,3.509138119503642,bonila,brother
στῆθος,129,unigram,neuter,accusative,plural,o'chosia,1.1613200159490844,o'chosia,"chest, breast"
ἀρχιερεύς,209,unigram,masculine,accusative,plural,balé,1.5753936548681522,balé,chief priest
ἀρχιερεύς,52,unigram,masculine,accusative,singular,Kaipasi,1.512352990739236,Kaipasi,chief priest
ἀρχιερεύς,99,unigram,masculine,nominative,plural,balé,1.2239069488071066,balé,chief priest
ἀρχιερεύς,214,unigram,masculine,nominative,singular,balé,1.5782061035043284,balé,chief priest
παῖς,203,unigram,masculine,accusative,plural,aminami,1.4005132875542199,aminami,child
