lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1837_translation,english_translation
θεός,84,unigram,masculine,accusative,singular,Măssinăɣ,3.4465024232363617,Măssinăɣ,God
θεός,134,unigram,masculine,nominative,singular,Măssinăɣ,8.949524647184337,Măssinăɣ,God
κύριος,85,unigram,masculine,nominative,singular,măssi-s,1.8674527496659648,măssi-s,"Lord, lord, master"
γραφή,81,unigram,feminine,accusative,plural,əlkəttabăn,1.8761600930339573,əlkəttabăn,Scripture
γραφή,170,unigram,feminine,nominative,plural,ənnăn,1.2578805173656704,ənnăn,Scripture
γραφή,213,unigram,feminine,nominative,singular,əlkəttab,1.4414785074672252,əlkəttab,Scripture
ἄγγελος,28,unigram,masculine,nominative,plural,ănjălosăn,2.225957861369215,ănjălosăn,angel
ἄγγελος,68,unigram,masculine,nominative,singular,ănjălos,2.9505450445061565,ănjălos,angel
ἀπόστολος,25,unigram,masculine,nominative,plural,inəmmušal,1.1704420981623005,inəmmušal,apostle
ἐξουσία,126,unigram,feminine,accusative,singular,tărna,1.1229699637604758,tărna,authority
ζώνη,146,unigram,feminine,accusative,singular,asălso,1.0960524252565438,asălso,belt
βλασφημία,18,unigram,feminine,accusative,plural,isikuforăn,1.161346151680032,isikuforăn,blasphemy
πλοῖον,66,unigram,neuter,accusative,plural,turfen-năsăn,1.4923441234847994,turfen-năsăn,boat
πλοῖον,203,unigram,neuter,accusative,singular,turăft,1.062991207132275,turăft,boat
πλοῖον,148,unigram,neuter,nominative,singular,turăft,1.8204492072792808,turăft,boat
σῶμα,35,unigram,neuter,nominative,singular,taɣəssa-năk,2.302111661238225,taɣəssa-năk,body
κλῆμα,92,unigram,neuter,nominative,singular,elăkăt,1.3874014871305738,elăkăt,branch
ἄρτος,206,unigram,masculine,accusative,plural,tijəlwen,3.0168302576428494,tijəlwen,bread
ἄρτος,224,unigram,masculine,accusative,singular,tajəlla,2.6574554448656795,tajəlla,bread
ἄρτος,98,unigram,masculine,nominative,plural,tijəlwen,1.2845553686683502,tijəlwen,bread
