lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2177_translation,english_translation
θεός,96,unigram,masculine,accusative,singular,Аллаһыны,2.57608894751881,Аллаһыны,God
θεός,19,unigram,masculine,nominative,plural,илаһлар,1.097258004808277,илаһлар,God
θεός,149,unigram,masculine,nominative,singular,Аллаһы,2.92806004386932,Аллаһы,God
κύριος,97,unigram,masculine,nominative,singular,Хаким,1.268577667920261,Хаким,"Lord, lord, master"
γραφή,93,unigram,feminine,accusative,plural,Изге,1.09920529293762,Изге,Scripture
γραφή,36,unigram,feminine,accusative,singular,язмада,1.2904993697410931,язмада,Scripture
γραφή,186,unigram,feminine,nominative,plural,ашсын,1.129773116506922,ашсын,Scripture
γραφή,228,unigram,feminine,nominative,singular,Изге,1.4925041591418633,Изге,Scripture
ἄγγελος,69,unigram,masculine,accusative,plural,фәрештәләрен,1.597812305426972,фәрештәләрен,angel
ἄγγελος,61,unigram,masculine,accusative,singular,алдыңнанхәбәрчемне,1.1372109704226447,алдыңнанхәбәрчемне,angel
ἄγγελος,34,unigram,masculine,nominative,plural,фәрештәләр,2.0529014636010507,фәрештәләр,angel
ἄγγελος,77,unigram,masculine,nominative,singular,фәрештәсе,1.5108626685042514,фәрештәсе,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,рәсүлләр,1.7936030289078824,рәсүлләр,apostle
ἐξουσία,143,unigram,feminine,accusative,singular,кодрәте,1.1559475051987769,кодрәте,authority
βρέφος,9,unigram,neuter,accusative,plural,шелтәләргә,1.0960670999999007,шелтәләргә,babies
βρέφος,227,unigram,neuter,accusative,singular,утлыкта,1.2378143555245482,утлыкта,babies
ἀρχή,129,unigram,feminine,accusative,singular,кемлегемне,1.1062845238338443,кемлегемне,beginning
βλασφημία,22,unigram,feminine,accusative,plural,сөйләүче,1.0960768946513286,сөйләүче,blasphemy
βλασφημία,68,unigram,feminine,accusative,singular,Көферләнү,1.0960768946513286,Көферләнү,blasphemy
πλοῖον,75,unigram,neuter,accusative,plural,көймәне,1.8383904571048064,көймәне,boat
πλοῖον,219,unigram,neuter,accusative,singular,көймәгә,4.223372114956463,көймәгә,boat
πλοῖον,170,unigram,neuter,nominative,plural,кузгалдылар,1.096239847813496,кузгалдылар,boat
πλοῖον,161,unigram,neuter,nominative,singular,көймә,2.872878738388054,көймә,boat
σῶμα,43,unigram,neuter,nominative,singular,яктылык,1.042805958987492,яктылык,body
κλῆμα,108,unigram,neuter,nominative,singular,ботак,1.2870645260230862,ботак,branch
ἄρτος,238,unigram,masculine,accusative,singular,икмәк,3.027210368662983,икмәк,bread
ἄρτος,112,unigram,masculine,nominative,plural,икмәк,1.8128654244657367,икмәк,bread
ἄρτος,26,unigram,masculine,nominative,singular,икмәк,1.2767642748305632,икмәк,bread
ἀδελφός,211,unigram,masculine,accusative,plural,балаларын,1.0120833142732493,балаларын,brother
ἀδελφός,85,unigram,masculine,accusative,singular,бертуган,1.3640093094824155,бертуган,brother
ἀδελφός,79,unigram,masculine,nominative,plural,энеләре,1.5967303407206548,энеләре,brother
ἀδελφός,165,unigram,masculine,nominative,singular,бертуган,1.5073346579717812,бертуган,brother
στῆθος,199,unigram,neuter,accusative,singular,күкрәгенә,1.3643883941432848,күкрәгенә,"chest, breast"
ἀρχιερεύς,172,unigram,masculine,accusative,plural,баш,1.9258356155253389,баш,chief priest
ἀρχιερεύς,84,unigram,masculine,nominative,plural,руханилар,1.928312458512616,руханилар,chief priest
ἀρχιερεύς,175,unigram,masculine,nominative,singular,олуг,1.1496633900412043,олуг,chief priest
τέκνον,234,unigram,neuter,accusative,plural,балаларын,2.055337386044055,балаларын,child
τέκνον,126,unigram,neuter,accusative,singular,ата,1.417238254711874,ата,child
τέκνον,137,unigram,neuter,nominative,singular,Углым,2.4119420383672203,Углым,child
παιδίον,8,unigram,neuter,accusative,plural,Балаларга,1.3699839963258689,Балаларга,child
παιδίον,65,unigram,neuter,accusative,singular,баланы,1.3207145453365674,баланы,child
παιδίον,28,unigram,neuter,nominative,singular,Бала,1.1957755479463754,Бала,child
πόλις,130,unigram,feminine,accusative,plural,биреп,1.0525457712914528,биреп,city
πόλις,47,unigram,feminine,accusative,singular,шәһәргә,3.352823149022937,шәһәргә,city
ἱμάτιον,95,unigram,neuter,accusative,plural,киемнәрен,1.6015704010659066,киемнәрен,coat
ἱμάτιον,94,unigram,neuter,accusative,singular,өс,1.0389978360531036,өс,coat
ἐντολή,60,unigram,feminine,accusative,plural,әмерләрен,1.9788901625445356,әмерләрен,commandment
ἐντολή,58,unigram,feminine,accusative,singular,әмерен,1.773792441953887,әмерен,commandment
συνέδριον,37,unigram,neuter,accusative,singular,руханилар,1.0053882941328158,руханилар,council
χώρα,202,unigram,feminine,accusative,singular,җиренә,1.2044180327753666,җиренә,"country, countryside"
ὄχλος,40,unigram,masculine,accusative,plural,Халыкны,1.380077490385679,Халыкны,crowd
ὄχλος,4,unigram,masculine,accusative,singular,халык,1.3241138321272938,халык,crowd
ὄχλος,70,unigram,masculine,nominative,plural,халык,3.42332316853485,халык,crowd
ὄχλος,195,unigram,masculine,nominative,singular,халык,2.411742527088032,халык,crowd
θυγάτηρ,221,unigram,feminine,nominative,singular,кызы,1.7508420803354026,кызы,daughter
ἡμέρα,54,unigram,feminine,accusative,plural,көн,1.3939744972462227,көн,day
ἡμέρα,62,unigram,feminine,accusative,singular,йортында,1.2070298517071667,йортында,day
ἡμέρα,2,unigram,feminine,nominative,plural,килер,1.1022386093938774,килер,day
ἡμέρα,49,unigram,feminine,nominative,singular,көн,1.6571542028475716,көн,day
δαιμόνιον,20,unigram,neuter,accusative,plural,куып,1.1374933273601644,куып,demon
δαιμόνιον,230,unigram,neuter,accusative,singular,җен,3.0203667042948847,җен,demon
δαιμόνιον,138,unigram,neuter,nominative,plural,җеннәр,1.5139567017040092,җеннәр,demon
δαιμόνιον,121,unigram,neuter,nominative,singular,җен,1.1964231723235836,җен,demon
δηνάριον,215,unigram,neuter,accusative,plural,динар,2.0067977150188785,динар,denarius (about a day's wages)
δηνάριον,114,unigram,neuter,accusative,singular,күрсәтегез,1.049969525702324,күрсәтегез,denarius (about a day's wages)
μαθητής,124,unigram,masculine,accusative,plural,шәкертләренә,1.3919166808373322,шәкертләренә,disciple
μαθητής,235,unigram,masculine,accusative,singular,яраткан,1.5539194351965042,яраткан,disciple
μαθητής,190,unigram,masculine,nominative,plural,шәкертләре,3.431122202121513,шәкертләре,disciple
μαθητής,233,unigram,masculine,nominative,singular,шәкерт,1.985446471376216,шәкерт,disciple
νόσος,53,unigram,feminine,accusative,singular,чирләрдән,1.0441163236891542,чирләрдән,disease
περιστερά,38,unigram,feminine,accusative,singular,күгәрчен,1.3699141926133136,күгәрчен,dove
οὖς,107,unigram,neuter,accusative,plural,булганнар,1.0525477667825405,булганнар,ear
οὖς,194,unigram,neuter,accusative,singular,пышылдап,1.06478056812557,пышылдап,ear
σεισμός,144,unigram,masculine,nominative,plural,тетрәүләр,1.0810922260060456,тетрәүләр,"earthquakes, storm"
σεισμός,45,unigram,masculine,nominative,singular,Кинәт,1.2052055580248495,Кинәт,"earthquakes, storm"
αἰών,168,unigram,masculine,accusative,plural,патшалыгының,1.1615389611051674,патшалыгының,eternity
αἰών,212,unigram,masculine,accusative,singular,мәңге,1.324684401974241,мәңге,eternity
ὀφθαλμός,13,unigram,masculine,accusative,plural,күзләрен,2.2148871171424998,күзләрен,eye
ὀφθαλμός,46,unigram,masculine,nominative,plural,күзләре,1.731755712400594,күзләре,eye
ὀφθαλμός,210,unigram,masculine,nominative,singular,күзең,1.1452386057419994,күзең,eye
πρόσωπον,86,unigram,neuter,accusative,plural,кешеләр,1.0299300313520006,кешеләр,face
πρόσωπον,135,unigram,neuter,accusative,singular,йөзен,1.0451301827330741,йөзен,face
γεωργός,176,unigram,masculine,nominative,plural,үстерүчеләр,1.2265602278458272,үстерүчеләр,"farmer, tenant"
γεωργός,35,unigram,masculine,nominative,singular,үстерүче,1.0961112485594913,үстерүче,"farmer, tenant"
πατήρ,214,unigram,masculine,accusative,singular,Атам,1.5308818122026755,Атам,father
πατήρ,131,unigram,masculine,nominative,singular,Атам,1.6198571721480028,Атам,father
σύνδουλος,102,unigram,masculine,accusative,plural,эчкечеләр,1.0960670999999007,эчкечеләр,"fellow-servant, colleague"
ἀγρός,27,unigram,masculine,accusative,singular,сатып,1.3651488295795975,сатып,field
δάκτυλος,123,unigram,masculine,accusative,singular,әйтте,1.061802405788273,әйтте,finger
ἰχθύς,109,unigram,masculine,accusative,plural,шөкрана,1.0424990463263957,шөкрана,fish
δίκτυον,76,unigram,neuter,accusative,plural,ятьмәләрен,2.6896762207157527,ятьмәләрен,fishing net
δίκτυον,141,unigram,neuter,accusative,singular,ятьмәне,1.776454327203808,ятьмәне,fishing net
τροφή,226,unigram,feminine,accusative,singular,хезмәтчеләргә,1.106282796604272,хезмәтчеләргә,food
πούς,166,unigram,masculine,accusative,plural,аякларын,1.3380948917592548,аякларын,foot
καρπός,128,unigram,masculine,accusative,plural,уйлый,1.191683376195522,уйлый,"fruit, crop, harvest"
καρπός,164,unigram,masculine,accusative,singular,җимеш,2.5820265668104367,җимеш,"fruit, crop, harvest"
γενεά,106,unigram,feminine,nominative,singular,буын,2.7019633986845992,буын,generation
δῶρον,213,unigram,neuter,accusative,plural,бүләк,1.9577185461918991,бүләк,gift
δῶρον,115,unigram,neuter,accusative,singular,бүләкне,1.93781854983352,бүләкне,gift
ἡγεμών,6,unigram,masculine,accusative,singular,идарәчене,1.0595609466359637,идарәчене,"governor, ruler"
ἀσπασμός,222,unigram,masculine,accusative,plural,мәйданнарда,1.1614109987944146,мәйданнарда,greeting
ὁδηγός,3,unigram,masculine,nominative,singular,юлбашчылар,1.9634259437791168,юлбашчылар,guide
χείρ,216,unigram,feminine,accusative,plural,кулларын,1.423929276090952,кулларын,hand
χείρ,156,unigram,feminine,accusative,singular,кулын,1.2490829374813834,кулын,hand
κεφαλή,146,unigram,feminine,accusative,singular,башын,1.473040962537319,башын,head
στάχυς,147,unigram,masculine,accusative,plural,иген,1.5625820656610048,иген,head of grain
καρδία,197,unigram,feminine,accusative,singular,туң,1.9251990553664868,туң,heart
οὐρανός,185,unigram,masculine,accusative,singular,күккә,3.244950806668378,күккә,"heaven, sky"
οὐρανός,139,unigram,masculine,nominative,singular,Күк,1.1719984264185062,Күк,"heaven, sky"
ὥρα,16,unigram,feminine,nominative,singular,вакыт,2.0086852217811244,вакыт,hour
