lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1848_translation,english_translation
θεός,273,unigram,masculine,accusative,plural,ca-ĩitorije,1.2132679101531654,ca-ĩitorije,God
θεός,103,unigram,masculine,accusative,singular,Diore,3.8274033360958333,Diore,God
θεός,23,unigram,masculine,nominative,plural,pũuri,1.1442214344989643,pũuri,God
θεός,169,unigram,masculine,nominative,singular,Dio,4.017064401420884,Dio,God
κύριος,104,unigram,masculine,nominative,singular,ʉpaʉ,1.275314002781489,ʉpaʉ,"Lord, lord, master"
γραφή,98,unigram,feminine,accusative,plural,ucarica,1.3202288307361654,ucarica,Scripture
γραφή,216,unigram,feminine,nominative,plural,tirʉmʉpʉ,1.0350699523874265,tirʉmʉpʉ,Scripture
γραφή,268,unigram,feminine,nominative,singular,ucarica,1.2444980280128914,ucarica,Scripture
ἄγγελος,73,unigram,masculine,accusative,plural,ángel,1.8994395442224181,ángel,angel
ἄγγελος,35,unigram,masculine,nominative,plural,tʉ,1.7255302975606153,tʉ,angel
ἄγγελος,83,unigram,masculine,nominative,singular,ángel,1.2746488449180142,ángel,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,teña,1.0516246322127258,teña,apostle
ἀπόστολος,4,unigram,masculine,nominative,singular,aniquẽemi,1.1236725184285508,aniquẽemi,apostle
ἐξουσία,162,unigram,feminine,accusative,singular,ca-buu,1.0660027177423803,ca-buu,authority
βρέφος,10,unigram,neuter,accusative,plural,peoato,1.0960670999999007,peoato,babies
ἀποθήκη,223,unigram,feminine,accusative,plural,wiiri,1.0564316199531925,wiiri,barn
ἀποθήκη,53,unigram,feminine,accusative,singular,cũurica,1.1636580421686031,cũurica,barn
ἀρχή,147,unigram,feminine,accusative,singular,ca-joʉna,1.1062845238338443,ca-joʉna,beginning
ζώνη,139,unigram,feminine,accusative,plural,Niyerure,1.1454417825320882,Niyerure,belt
πλοῖον,81,unigram,neuter,accusative,plural,Pʉga,1.4308623855243232,Pʉga,boat
πλοῖον,258,unigram,neuter,accusative,singular,cumuapʉ,1.4267602368192966,cumuapʉ,boat
πλοῖον,197,unigram,neuter,nominative,plural,cumuari,1.212976523872311,cumuari,boat
πλοῖον,185,unigram,neuter,nominative,singular,cumuapʉ,1.6345714911218767,cumuapʉ,boat
σῶμα,174,unigram,neuter,nominative,plural,yajiricarã,1.5028442562128237,yajiricarã,body
σῶμα,45,unigram,neuter,nominative,singular,ca-ãmata,1.3006446058789372,ca-ãmata,body
κλῆμα,117,unigram,neuter,nominative,singular,ca-anicõa,1.4811683173857102,ca-anicõa,branch
ἄρτος,262,unigram,masculine,accusative,plural,pan,1.7415542361001384,pan,bread
ἄρτος,281,unigram,masculine,accusative,singular,ʉgarique,1.5388491411822984,ʉgarique,bread
ἄρτος,123,unigram,masculine,nominative,plural,pan,1.0539888001733402,pan,bread
ἄρτος,28,unigram,masculine,nominative,singular,ʉgarique,1.4850516609281386,ʉgarique,bread
ἀδελφός,248,unigram,masculine,accusative,plural,bʉgagʉmi,1.04818294860968,bʉgagʉmi,brother
ἀδελφός,92,unigram,masculine,accusative,singular,bai,1.0547745198223828,bai,brother
ἀδελφός,85,unigram,masculine,nominative,plural,bairã,1.1026469743600666,bairã,brother
ἀδελφός,190,unigram,masculine,nominative,singular,bai,1.7656650885876064,bai,brother
ἀρχιερεύς,200,unigram,masculine,accusative,plural,sacerdote,2.380004995619848,sacerdote,chief priest
ἀρχιερεύς,46,unigram,masculine,accusative,singular,sacerdote,1.1419539851819285,sacerdote,chief priest
ἀρχιερεύς,91,unigram,masculine,nominative,plural,ʉparã,1.3489906847893507,ʉparã,chief priest
ἀρχιερεύς,204,unigram,masculine,nominative,singular,Caifá,1.1072624741240735,Caifá,chief priest
παῖς,194,unigram,masculine,accusative,plural,majare,1.2279755893722044,majare,child
τέκνον,276,unigram,neuter,accusative,plural,punaa,1.966082108982691,punaa,child
τέκνον,145,unigram,neuter,accusative,singular,pacʉarena,1.0648494792904102,pacʉarena,child
τέκνον,11,unigram,neuter,nominative,plural,pacʉarena,1.068626691954887,pacʉarena,child
τέκνον,157,unigram,neuter,nominative,singular,majiñupʉ,1.0346129346859188,majiñupʉ,child
παιδίον,9,unigram,neuter,accusative,plural,—Cawimarã,1.0475556606704368,—Cawimarã,child
παιδίον,68,unigram,neuter,accusative,singular,cawimaʉre,2.1110879012713557,cawimaʉre,child
παιδίον,137,unigram,neuter,nominative,plural,ca-ĩiwʉ,1.2473215102074833,ca-ĩiwʉ,child
παιδίον,30,unigram,neuter,nominative,singular,ca-baiquẽna,1.0825676752342803,ca-baiquẽna,child
πόλις,148,unigram,feminine,accusative,plural,macaripʉ,1.0824861135579886,macaripʉ,city
πόλις,49,unigram,feminine,accusative,singular,macapʉ,2.8910419650328887,macapʉ,city
χιτών,24,unigram,masculine,accusative,singular,jutiiro,1.0643788174723807,jutiiro,"clothing, undergarments"
ἱμάτιον,101,unigram,neuter,accusative,plural,jutii,1.2162433884284705,jutii,coat
ἱμάτιον,100,unigram,neuter,accusative,singular,jutiiro,2.3695818923489926,jutiiro,coat
ἐντολή,62,unigram,feminine,accusative,plural,ca-rotirijere,1.2179421714406844,ca-rotirijere,commandment
ἐντολή,61,unigram,feminine,accusative,singular,cá-átinucurije,1.1590036591051431,cá-átinucurije,commandment
συνέδριον,265,unigram,neuter,accusative,plural,bapegarãma,1.6241876061017115,bapegarãma,council
συνέδριον,38,unigram,neuter,accusative,singular,ca-neñapoyuparã,1.4235023316276767,ca-neñapoyuparã,council
χώρα,239,unigram,feminine,accusative,singular,Gadara,1.3763135441823882,Gadara,"country, countryside"
ὄχλος,42,unigram,masculine,accusative,plural,tʉja,1.033960781223793,tʉja,crowd
ὄχλος,7,unigram,masculine,accusative,singular,capaarã,1.1353842416233864,capaarã,crowd
ὄχλος,75,unigram,masculine,nominative,plural,capaarã,2.2343893726721693,capaarã,crowd
ὄχλος,232,unigram,masculine,nominative,singular,capaarã,1.183053775320581,capaarã,crowd
θυγάτηρ,261,unigram,feminine,nominative,singular,maco,2.8601091338533733,maco,daughter
ἡμέρα,57,unigram,feminine,accusative,plural,rʉmʉ,1.5026736573599562,rʉmʉ,day
ἡμέρα,63,unigram,feminine,accusative,singular,rʉmʉ,1.4060264744751465,rʉmʉ,day
ἡμέρα,2,unigram,feminine,nominative,plural,rʉmʉri,1.5770080394889874,rʉmʉri,day
ἡμέρα,51,unigram,feminine,nominative,singular,paʉ,1.0856843874128117,paʉ,day
δαιμόνιον,25,unigram,neuter,accusative,plural,wãtiare,1.763941462537265,wãtiare,demon
δαιμόνιον,271,unigram,neuter,accusative,singular,Ca-wãti,1.0473974700153037,Ca-wãti,demon
δαιμόνιον,158,unigram,neuter,nominative,plural,wãtia,2.814997802636801,wãtia,demon
δαιμόνιον,136,unigram,neuter,nominative,singular,wãti,1.7926102901695795,wãti,demon
δηνάριον,253,unigram,neuter,accusative,plural,cõo,1.0316382548477268,cõo,denarius (about a day's wages)
δηνάριον,125,unigram,neuter,accusative,singular,ca-ajiyari,1.4508321467261418,ca-ajiyari,denarius (about a day's wages)
μαθητής,142,unigram,masculine,accusative,plural,buerãre,1.1553044180005698,buerãre,disciple
μαθητής,226,unigram,masculine,nominative,plural,buerã,1.9089434397307063,buerã,disciple
μαθητής,275,unigram,masculine,nominative,singular,aápʉ,1.6557065267124556,aápʉ,disciple
νόσος,56,unigram,feminine,accusative,singular,cʉnare,1.1875518854346805,cʉnare,disease
περιστερά,74,unigram,feminine,accusative,plural,wajoari,1.0474600157783496,wajoari,dove
περιστερά,40,unigram,feminine,accusative,singular,buare,1.648302560748789,buare,dove
