lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1854_translation,english_translation
θεός,137,unigram,masculine,accusative,singular,Dwata,3.6044763755082623,Dwata,God
θεός,31,unigram,masculine,nominative,plural,hsulat,1.4025174370033888,hsulat,God
θεός,208,unigram,masculine,nominative,singular,Dwata,5.841146400635291,Dwata,God
κύριος,321,unigram,masculine,nominative,plural,mtó,1.1633130652909476,mtó,"Lord, lord, master"
κύριος,138,unigram,masculine,nominative,singular,mogot,4.813623814205793,mogot,"Lord, lord, master"
γραφή,132,unigram,feminine,accusative,plural,Sulat,1.098759218243426,Sulat,Scripture
γραφή,54,unigram,feminine,accusative,singular,hembegel,1.1064535528033654,hembegel,Scripture
γραφή,257,unigram,feminine,nominative,plural,hsulat,1.2428319660995464,hsulat,Scripture
γραφή,316,unigram,feminine,nominative,singular,dohò,1.0420819670130523,dohò,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,hógówen,1.085690909387049,hógówen,angel
ἄγγελος,88,unigram,masculine,accusative,singular,hemgifat,1.0501569378294071,hemgifat,angel
ἄγγελος,50,unigram,masculine,nominative,plural,hógów,1.1566592520946894,hógów,angel
ἄγγελος,113,unigram,masculine,nominative,singular,hógów,2.96118803436656,hógów,angel
ἀπόστολος,47,unigram,masculine,nominative,plural,gendeng,1.0665449381742536,gendeng,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,amohen,1.2150699756905388,amohen,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,lenóngón,1.081331683744432,lenóngón,authority
ἐξουσία,198,unigram,feminine,accusative,singular,kwalis,2.053721921981864,kwalis,authority
βρέφος,18,unigram,neuter,accusative,plural,smiwi,1.238100568165642,smiwi,babies
βρέφος,315,unigram,neuter,accusative,singular,kudà,1.1237866172475932,kudà,babies
ἀποθήκη,72,unigram,feminine,accusative,singular,fol,1.5323414992013904,fol,barn
ἀρχή,75,unigram,feminine,accusative,plural,lenóngón,1.081220805804294,lenóngón,beginning
ἀρχή,181,unigram,feminine,accusative,singular,Nmoen,1.1798051650065169,Nmoen,beginning
ζώνη,172,unigram,feminine,accusative,plural,kógów,1.1810407156326206,kógów,belt
βλασφημία,35,unigram,feminine,accusative,plural,hsengeden,1.2360996898232268,hsengeden,blasphemy
βλασφημία,101,unigram,feminine,accusative,singular,kehsengeden,1.1615037537355772,kehsengeden,blasphemy
βλασφημία,206,unigram,feminine,nominative,plural,samuk,1.0663287078765518,samuk,blasphemy
πλοῖον,111,unigram,neuter,accusative,plural,ówóng,2.4679834151038627,ówóng,boat
πλοῖον,301,unigram,neuter,accusative,singular,ówóng,2.0733104242537723,ówóng,boat
πλοῖον,225,unigram,neuter,nominative,singular,ówóng,1.2607174302773752,ówóng,boat
σῶμα,63,unigram,neuter,nominative,singular,lówó,2.2761887110185057,lówó,body
κλῆμα,152,unigram,neuter,nominative,singular,hanga,1.999948698884864,hanga,branch
ἄρτος,305,unigram,masculine,accusative,plural,mambang,1.6864103033351965,mambang,bread
ἄρτος,328,unigram,masculine,accusative,singular,mken,1.041419164389087,mken,bread
ἄρτος,159,unigram,masculine,nominative,plural,ken,1.3682862750957077,ken,bread
