lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1851_translation,english_translation
θεός,333,unigram,masculine,accusative,plural,idibogi,1.1637247585561583,idibogi,God
θεός,140,unigram,masculine,accusative,singular,Yaubada,5.016625585901142,Yaubada,God
θεός,30,unigram,masculine,nominative,plural,gilugilumana,1.2136792786542578,gilugilumana,God
θεός,216,unigram,masculine,nominative,singular,Yaubada,7.788337400139754,Yaubada,God
κύριος,335,unigram,masculine,nominative,plural,lupelupeni,1.2154321093073406,lupelupeni,"Lord, lord, master"
κύριος,141,unigram,masculine,nominative,singular,Guyau,3.128326798707626,Guyau,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,Buka,1.8563107801371377,Buka,Scripture
γραφή,53,unigram,feminine,accusative,singular,Buka,1.1548330225910568,Buka,Scripture
γραφή,270,unigram,feminine,nominative,plural,Buka,1.1482017694875557,Buka,Scripture
γραφή,328,unigram,feminine,nominative,singular,Buka,4.4993402240875735,Buka,Scripture
ἄγγελος,103,unigram,masculine,accusative,plural,winoyanoya,1.8928901753068648,winoyanoya,angel
ἄγγελος,88,unigram,masculine,accusative,singular,winoyanoya,1.6073790020178251,winoyanoya,angel
ἄγγελος,49,unigram,masculine,nominative,plural,winoyanoya,1.6957397271597108,winoyanoya,angel
ἄγγελος,113,unigram,masculine,nominative,singular,winoyanoya,2.2089486528568587,winoyanoya,angel
ἀπόστολος,46,unigram,masculine,nominative,plural,wituwetuwega,3.999657740852333,wituwetuwega,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,wituwetuwega,1.2934825535976242,wituwetuwega,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,lauhetalemi,1.2564016168348295,lauhetalemi,authority
ἐξουσία,206,unigram,feminine,accusative,singular,wipoya,2.0572525200160583,wipoya,authority
βρέφος,16,unigram,neuter,accusative,plural,neihi,1.035483810102768,neihi,babies
βρέφος,326,unigram,neuter,accusative,singular,eneno,1.0235187920420703,eneno,babies
ἀποθήκη,275,unigram,feminine,accusative,plural,hanali,1.887398624673744,hanali,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,hanali,1.4675291000064188,hanali,barn
φραγμός,241,unigram,masculine,accusative,plural,balahi,1.1615565901489873,balahi,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,lauhetalemi,1.2560505538393048,lauhetalemi,beginning
ἀρχή,187,unigram,feminine,accusative,singular,Kana,1.310399484735019,Kana,beginning
ζώνη,179,unigram,feminine,accusative,plural,pohapohahi,1.1615477735107838,pohapohahi,belt
βλασφημία,33,unigram,feminine,accusative,plural,palipaliguyoguyougeya,1.143371492953324,palipaliguyoguyougeya,blasphemy
βλασφημία,100,unigram,feminine,accusative,singular,loloya,1.0441839931129382,loloya,blasphemy
βλασφημία,214,unigram,feminine,nominative,plural,widibodiboga,1.1064171392539193,widibodiboga,blasphemy
πλοῖον,111,unigram,neuter,accusative,plural,wamhi,1.9575787814487893,wamhi,boat
πλοῖον,312,unigram,neuter,accusative,singular,wam,1.4201759113930286,wam,boat
πλοῖον,247,unigram,neuter,nominative,plural,yamkuka,1.1618858150776832,yamkuka,boat
πλοῖον,232,unigram,neuter,nominative,singular,tipolina,1.017903496515822,tipolina,boat
σῶμα,61,unigram,neuter,nominative,singular,hinim,1.8503951416901327,hinim,body
κλῆμα,156,unigram,neuter,nominative,singular,uyahiu,1.088340236228578,uyahiu,branch
ἄρτος,316,unigram,masculine,accusative,plural,palawa,3.193643337495764,palawa,bread
ἄρτος,344,unigram,masculine,accusative,singular,welehi,1.2117813821571772,welehi,bread
ἄρτος,165,unigram,masculine,nominative,plural,wianihi,1.2570275023272464,wianihi,bread
ἄρτος,39,unigram,masculine,nominative,singular,yaniyani,1.3369709751551802,yaniyani,bread
ἀδελφός,303,unigram,masculine,accusative,plural,walewalehina,1.1988109623856182,walewalehina,brother
ἀδελφός,125,unigram,masculine,accusative,singular,walehina,2.055536692495935,walehina,brother
ἀδελφός,115,unigram,masculine,nominative,plural,walewalehina,1.3950168451690879,walewalehina,brother
ἀδελφός,239,unigram,masculine,nominative,singular,walehina,1.720495910434829,walehina,brother
στῆθος,162,unigram,neuter,accusative,plural,nugowiyuwahi,1.0962001099475809,nugowiyuwahi,"chest, breast"
στῆθος,290,unigram,neuter,accusative,singular,luwahala,1.6332497447692382,luwahala,"chest, breast"
ἀρχιερεύς,250,unigram,masculine,accusative,plural,babadahi,1.186492095099969,babadahi,chief priest
