lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2278_translation,version_2279_translation,english_translation
θεός,270,unigram,masculine,accusative,plural,దేవుళ్ళని,1.097258004808277,దేవుళ్ళని,,God
θεός,103,unigram,masculine,accusative,singular,,,దేవుణ్ణి,దేవుని,God
θεός,167,unigram,masculine,nominative,singular,దేవుడు,37.72730362368746,దేవుడు,దేవుడు,God
κύριος,104,unigram,masculine,nominative,singular,,,ప్రభువు,యజమానుడు,"Lord, lord, master"
γραφή,99,unigram,feminine,accusative,plural,లేఖనాలను,1.0716421145385207,లేఖనాలను,,Scripture
γραφή,35,unigram,feminine,accusative,singular,లేఖనం,1.8874625155167344,లేఖనం,,Scripture
γραφή,212,unigram,feminine,nominative,plural,,,నెరవేరడం,లేఖనములు,Scripture
γραφή,266,unigram,feminine,nominative,singular,,,లేఖనం,లేఖనము,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,దూతలను,4.273443621292456,దూతలను,దూతలను,angel
ἄγγελος,62,unigram,masculine,accusative,singular,దూతను,1.5332068232700953,దూతను,దూతను,angel
ἄγγελος,32,unigram,masculine,nominative,plural,,,దూతలు,దేవదూతలు,angel
ἄγγελος,83,unigram,masculine,nominative,singular,దూత,8.795078123667604,దూత,దూత,angel
ἀπόστολος,29,unigram,masculine,nominative,plural,అపొస్తలులు,2.677602904790998,అపొస్తలులు,అపొస్తలులు,apostle
ἐξουσία,160,unigram,feminine,accusative,singular,,,అధికారం,అధికారము,authority
βρέφος,264,unigram,neuter,accusative,singular,తొట్టిలో,1.0441063733306788,తొట్టిలో,,babies
ἀποθήκη,216,unigram,feminine,accusative,plural,వాటికంటె,1.8875606038669042,,వాటికంటె,barn
ἀποθήκη,52,unigram,feminine,accusative,singular,గిడ్డంగిలో,1.5323096753179037,గిడ్డంగిలో,,barn
ζώνη,181,unigram,feminine,accusative,singular,నేసిన,1.0960524252565438,నేసిన,,belt
βλασφημία,21,unigram,feminine,accusative,plural,క్షమించగలరు,1.0960768946513286,క్షమించగలరు,,blasphemy
πλοῖον,81,unigram,neuter,accusative,plural,పడవలను,1.4734959537433894,పడవలను,,boat
πλοῖον,252,unigram,neuter,accusative,singular,,,పడవ,దోనె,boat
πλοῖον,195,unigram,neuter,nominative,plural,వారివెంట,1.096239847813496,వారివెంట,,boat
πλοῖον,183,unigram,neuter,nominative,singular,,,పడవ,దోనె,boat
σῶμα,44,unigram,neuter,nominative,singular,దేహమంతయు,2.2058519624809176,,దేహమంతయు,body
κλῆμα,118,unigram,neuter,nominative,singular,,,నాలో,నాయందు,branch
ἄρτος,256,unigram,masculine,accusative,plural,రొట్టెలు,10.575016028554245,రొట్టెలు,రొట్టెలు,bread
ἄρτος,278,unigram,masculine,accusative,singular,రొట్టె,1.9922179115526764,రొట్టె,రొట్టె,bread
ἄρτος,124,unigram,masculine,nominative,plural,రొట్టెలు,1.8128654244657367,,రొట్టెలు,bread
ἄρτος,25,unigram,masculine,nominative,singular,,,ఆహారం,పరలోకమునుండి,bread
ἀδελφός,242,unigram,masculine,accusative,plural,,,కొడుకులు,అన్నదమ్ములనైనను,brother
ἀδελφός,93,unigram,masculine,accusative,singular,,,సోదరుడు,సహోదరుడైన,brother
ἀδελφός,86,unigram,masculine,nominative,plural,,,సోదరులు,తల్లియు,brother
ἀδελφός,189,unigram,masculine,nominative,singular,,,సోదరుడు,సహోదరుడు,brother
στῆθος,227,unigram,neuter,accusative,singular,,,శిష్యుడు,రొమ్మున,"chest, breast"
ἀρχιερεύς,198,unigram,masculine,accusative,plural,ప్రధాన,2.837573885589583,ప్రధాన,,chief priest
ἀρχιερεύς,45,unigram,masculine,accusative,singular,,,ప్రధాన,యేసును,chief priest
ἀρχιερεύς,92,unigram,masculine,nominative,plural,,,ముఖ్య,ప్రధానయాజకులును,chief priest
ἀρχιερεύς,202,unigram,masculine,nominative,singular,,,ప్రధాన,ప్రధానయాజకుడు,chief priest
παῖς,192,unigram,masculine,accusative,plural,కోపంతో,1.7541101778532557,కోపంతో,,child
τέκνον,273,unigram,neuter,accusative,plural,పిల్లలను,3.1344070056025717,పిల్లలను,పిల్లలను,child
τέκνον,143,unigram,neuter,accusative,singular,,,సోదరుడు,సహోదరుడు,child
τέκνον,10,unigram,neuter,nominative,plural,,,చావుకు,తలిదండ్రులమీద,child
τέκνον,153,unigram,neuter,nominative,singular,నీ,1.061663201763829,,నీ,child
παιδίον,9,unigram,neuter,accusative,plural,,,వారిదే,రానియ్యుడి,child
παιδίον,67,unigram,neuter,accusative,singular,,,తల్లినీ,శిశువును,child
πόλις,145,unigram,feminine,accusative,plural,పట్టణాల్లో,1.4661341427417687,పట్టణాల్లో,,city
πόλις,48,unigram,feminine,accusative,singular,ఊరికి,2.6597561775757255,ఊరికి,ఊరికి,city
πύλη,165,unigram,feminine,nominative,singular,ఇరుకు,1.1923375320205476,ఇరుకు,,city gate
χιτών,89,unigram,masculine,accusative,plural,అంగీలు,1.5253662910068646,అంగీలు,,"clothing, undergarments"
χιτών,18,unigram,masculine,accusative,singular,,,కూడా,అంగీ,"clothing, undergarments"
ἱμάτιον,101,unigram,neuter,accusative,plural,బట్టలు,1.5130914881853743,బట్టలు,బట్టలు,coat
ἱμάτιον,100,unigram,neuter,accusative,singular,వస్త్రం,1.3233307270700683,వస్త్రం,,coat
ἐντολή,60,unigram,feminine,accusative,plural,,,ఆజ్ఞలు,ఆజ్ఞలను,commandment
ἐντολή,58,unigram,feminine,accusative,singular,,,ఆజ్ఞ,ఆజ్ఞను,commandment
συνέδριον,260,unigram,neuter,accusative,plural,,,మందిరాల్లో,జాగ్రత్తపడుడి,council
συνέδριον,37,unigram,neuter,accusative,singular,,,ముఖ్య,మహా,council
χώρα,231,unigram,feminine,accusative,singular,,,ప్రాంతానికి,దేశమునకు,"country, countryside"
ὄχλος,41,unigram,masculine,accusative,plural,,,పంపివేసి,జనసమూహములను,crowd
ὄχλος,6,unigram,masculine,accusative,singular,,,ప్రజలు,జనసమూహమును,crowd
ὄχλος,74,unigram,masculine,nominative,plural,,,ప్రజలు,జనసమూహములు,crowd
ὄχλος,223,unigram,masculine,nominative,singular,,,జనసమూహం,జనులు,crowd
θυγάτηρ,255,unigram,feminine,nominative,singular,,,కూతురు,కుమార్తె,daughter
ἡμέρα,55,unigram,feminine,accusative,plural,,,రోజుల,దినములు,day
ἡμέρα,63,unigram,feminine,accusative,singular,,,రోజూ,ప్రతిదినము,day
ἡμέρα,2,unigram,feminine,nominative,plural,,,రోజుల్లో,దినములు,day
ἡμέρα,50,unigram,feminine,nominative,singular,,,రోజు,దినము,day
δαιμόνιον,19,unigram,neuter,accusative,plural,,,దయ్యాలను,దయ్యములను,demon
δαιμόνιον,269,unigram,neuter,accusative,singular,,,దయ్యం,దయ్యము,demon
δαιμόνιον,155,unigram,neuter,nominative,plural,,,దయ్యాలు,దయ్యములు,demon
δαιμόνιον,137,unigram,neuter,nominative,singular,,,దయ్యం,దయ్యము,demon
δηνάριον,247,unigram,neuter,accusative,plural,,,బాకీ,దేనారములు,denarius (about a day's wages)
δηνάριον,126,unigram,neuter,accusative,singular,,,దేనారం,దేనారము,denarius (about a day's wages)
μαθητής,141,unigram,masculine,accusative,plural,,,శిష్యులను,తన,disciple
μαθητής,274,unigram,masculine,accusative,singular,ప్రేమించిన,3.0010376634119815,ప్రేమించిన,ప్రేమించిన,disciple
μαθητής,219,unigram,masculine,nominative,plural,శిష్యులు,32.591238502206814,శిష్యులు,శిష్యులు,disciple
μαθητής,272,unigram,masculine,nominative,singular,శిష్యుడు,15.546739953121506,శిష్యుడు,శిష్యుడు,disciple
περιστερά,73,unigram,feminine,accusative,plural,,,పావురాలు,రూకలు,dove
περιστερά,39,unigram,feminine,accusative,singular,,,దిగి,పావురమువలె,dove
οὖς,117,unigram,neuter,accusative,plural,,,విను,చెవులుగలవాడు,ear
οὖς,222,unigram,neuter,accusative,singular,,,వెలుగులో,చెవిలో,ear
