lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1871_translation,english_translation
θεός,356,unigram,masculine,accusative,plural,maromak,1.0982087282511943,maromak,God
θεός,148,unigram,masculine,accusative,singular,Maromak,1.1485912293876552,Maromak,God
θεός,34,unigram,masculine,nominative,plural,maromak,1.1651444391634842,maromak,God
θεός,228,unigram,masculine,nominative,singular,Maromak,1.2082021401248584,Maromak,God
κύριος,358,unigram,masculine,nominative,plural,kore,1.1974014303182656,kore,"Lord, lord, master"
κύριος,149,unigram,masculine,nominative,singular,Ulun,1.2716014682899213,Ulun,"Lord, lord, master"
γραφή,143,unigram,feminine,accusative,plural,Moon,1.0081764214614048,Moon,Scripture
γραφή,59,unigram,feminine,accusative,singular,hakerek,1.0437036922433172,hakerek,Scripture
γραφή,285,unigram,feminine,nominative,plural,soꞌin,1.0407967180282771,soꞌin,Scripture
γραφή,351,unigram,feminine,nominative,singular,Moon,1.0070354600097429,Moon,Scripture
ἄγγελος,110,unigram,masculine,accusative,plural,makbukar,2.28993767811887,makbukar,angel
ἄγγελος,95,unigram,masculine,accusative,singular,ksolok,1.7897524965600513,ksolok,angel
ἄγγελος,55,unigram,masculine,nominative,plural,makbukar,1.9454516496243928,makbukar,angel
ἄγγελος,120,unigram,masculine,nominative,singular,makbukar,2.5584474738962273,makbukar,angel
ἀπόστολος,52,unigram,masculine,nominative,plural,klosan,1.7356001895999191,klosan,apostle
ἀπόστολος,8,unigram,masculine,nominative,singular,ain-liman,1.1315719018786392,ain-liman,apostle
ἐξουσία,79,unigram,feminine,accusative,plural,haloos,1.1472996463066245,haloos,authority
ἐξουσία,219,unigram,feminine,accusative,singular,beran,2.8524753023458267,beran,authority
βρέφος,20,unigram,neuter,accusative,plural,nakaꞌu,1.1785491218698,nakaꞌu,babies
βρέφος,349,unigram,neuter,accusative,singular,kau,1.2906314546884174,kau,babies
ἀποθήκη,291,unigram,feminine,accusative,plural,kanaha,1.4647581422233964,kanaha,barn
ἀποθήκη,78,unigram,feminine,accusative,singular,kanaha,1.4165110128558165,kanaha,barn
φραγμός,255,unigram,masculine,accusative,plural,Mamaus,1.0969767656707512,Mamaus,"barrier, wall"
φραγμός,125,unigram,masculine,accusative,singular,baꞌa,1.0445686669748455,baꞌa,"barrier, wall"
ἀρχή,81,unigram,feminine,accusative,plural,haloos,1.1471309686729902,haloos,beginning
ἀρχή,199,unigram,feminine,accusative,singular,Kana,1.015560653180177,Kana,beginning
ζώνη,190,unigram,feminine,accusative,plural,tanan,1.4639314894257345,tanan,belt
βλασφημία,38,unigram,feminine,accusative,plural,nahaat,1.0127381771120378,nahaat,blasphemy
βλασφημία,108,unigram,feminine,accusative,singular,nasira,1.1629862967610096,nasira,blasphemy
πλοῖον,118,unigram,neuter,accusative,plural,bero,1.4183364503514282,bero,boat
πλοῖον,334,unigram,neuter,accusative,singular,bero,1.720219224439559,bero,boat
πλοῖον,261,unigram,neuter,nominative,plural,bero,1.3360178465554713,bero,boat
πλοῖον,247,unigram,neuter,nominative,singular,bero,1.6339560806298423,bero,boat
σῶμα,69,unigram,neuter,nominative,singular,haa,1.586416324586738,haa,body
κλῆμα,65,unigram,neuter,nominative,plural,sorun,1.1785354278913542,sorun,branch
κλῆμα,164,unigram,neuter,nominative,singular,sorun,1.1631135299740671,sorun,branch
