lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1861_translation,english_translation
θεός,306,unigram,masculine,accusative,plural,ta̱mu̱ta̱dde̱ne̱t,1.0973129519030298,ta̱mu̱ta̱dde̱ne̱t,God
θεός,125,unigram,masculine,accusative,singular,Ta̱mu̱ta̱dde̱n,5.654761481874522,Ta̱mu̱ta̱dde̱n,God
θεός,196,unigram,masculine,nominative,singular,Ta̱mu̱ta̱dde̱n,12.277495492271669,Ta̱mu̱ta̱dde̱n,God
κύριος,126,unigram,masculine,nominative,singular,Manyi,4.353584484618353,Manyi,"Lord, lord, master"
γραφή,121,unigram,feminine,accusative,plural,Waraga,2.1629646499962893,Waraga,Scripture
γραφή,48,unigram,feminine,accusative,singular,Warage,1.2624037990481694,Warage,Scripture
γραφή,248,unigram,feminine,nominative,plural,akati,1.0441540801709206,akati,Scripture
γραφή,301,unigram,feminine,nominative,singular,Warage,1.994980846759579,Warage,Scripture
ἄγγελος,93,unigram,masculine,accusative,plural,anjilonya,3.4636451407904527,anjilonya,angel
ἄγγελος,81,unigram,masculine,accusative,singular,to̱na̱i̱t,1.0501274981281508,to̱na̱i̱t,angel
ἄγγελος,44,unigram,masculine,nominative,plural,anjilonya,3.8506276467840337,anjilonya,angel
ἄγγελος,104,unigram,masculine,nominative,singular,anjilo,5.121831535429635,anjilo,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,to̱ni̱a̱ha̱,1.7873124827530051,to̱ni̱a̱ha̱,apostle
ἐξουσία,188,unigram,feminine,accusative,singular,doiz,1.4895285268395164,doiz,authority
βρέφος,12,unigram,neuter,accusative,plural,kuum,1.0961161655094454,kuum,babies
βρέφος,299,unigram,neuter,accusative,singular,i̱bo̱wa̱,1.4199261573594872,i̱bo̱wa̱,babies
ἀποθήκη,254,unigram,feminine,accusative,plural,de̱he̱rwa̱,1.2557834349831056,de̱he̱rwa̱,barn
ἀποθήκη,66,unigram,feminine,accusative,singular,de̱he̱r,1.1789305896113147,de̱he̱r,barn
φραγμός,221,unigram,masculine,accusative,plural,loritwane,1.0595673971889907,loritwane,"barrier, wall"
ἀρχή,172,unigram,feminine,accusative,singular,I̱ye̱la̱,1.179718179898725,I̱ye̱la̱,beginning
ζώνη,165,unigram,feminine,accusative,plural,ovvoyyu,1.1395211452411198,ovvoyyu,belt
βλασφημία,28,unigram,feminine,accusative,plural,odome,1.2126978031066695,odome,blasphemy
βλασφημία,194,unigram,feminine,nominative,plural,ollu,1.1426799411212814,ollu,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,i̱be̱t,2.872808388178329,i̱be̱t,boat
πλοῖον,286,unigram,neuter,accusative,singular,i̱bo̱,5.059405048050513,i̱bo̱,boat
πλοῖον,225,unigram,neuter,nominative,plural,i̱be̱t,1.0596878543650146,i̱be̱t,boat
πλοῖον,214,unigram,neuter,nominative,singular,i̱bo̱,1.7242989873162022,i̱bo̱,boat
σῶμα,203,unigram,neuter,nominative,plural,bak,1.3750303690823311,bak,body
σῶμα,58,unigram,neuter,nominative,singular,ele,2.4274391032427727,ele,body
κλῆμα,54,unigram,neuter,nominative,plural,karumze,1.0961112485594913,karumze,branch
κλῆμα,142,unigram,neuter,nominative,singular,alawoci,1.106324822855618,alawoci,branch
ἄρτος,289,unigram,masculine,accusative,plural,umunet,1.9998904789949428,umunet,bread
ἄρτος,315,unigram,masculine,accusative,singular,umune,1.063862839555316,umune,bread
ἄρτος,150,unigram,masculine,nominative,plural,da̱i̱ne̱t,2.0713714206414564,da̱i̱ne̱t,bread
ἄρτος,34,unigram,masculine,nominative,singular,da̱i̱ne̱t,2.0491638258925478,da̱i̱ne̱t,bread
ἀδελφός,277,unigram,masculine,accusative,plural,gotonoggi,1.5801710508681697,gotonoggi,brother
ἀδελφός,115,unigram,masculine,accusative,singular,gotoni,2.2290706935904825,gotoni,brother
ἀδελφός,108,unigram,masculine,nominative,plural,gotonoggi,1.1109436314458514,gotonoggi,brother
ἀδελφός,219,unigram,masculine,nominative,singular,gotoni,2.235913651055382,gotoni,brother
στῆθος,147,unigram,neuter,accusative,plural,alute,1.0564630055487796,alute,"chest, breast"
στῆθος,265,unigram,neuter,accusative,singular,ki̱jji̱n,1.2567776110194784,ki̱jji̱n,"chest, breast"
ἀρχιερεύς,229,unigram,masculine,accusative,plural,alaat,1.050378341182811,alaat,chief priest
ἀρχιερεύς,59,unigram,masculine,accusative,singular,wawaco,1.261266250169693,wawaco,chief priest
ἀρχιερεύς,114,unigram,masculine,nominative,plural,wawaco,1.2559098568740086,wawaco,chief priest
