lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1787_translation,english_translation
θεός,299,unigram,masculine,accusative,plural,loiŋgi,1.50969067434461,loiŋgi,God
θεός,119,unigram,masculine,accusative,singular,Loi,2.8167552213994878,Loi,God
θεός,186,unigram,masculine,nominative,singular,Loi,9.374488125072984,Loi,God
κύριος,120,unigram,masculine,nominative,singular,Giya,4.834275890012608,Giya,"Lord, lord, master"
γραφή,115,unigram,feminine,accusative,plural,Buk,1.080134065263567,Buk,Scripture
γραφή,44,unigram,feminine,accusative,singular,iŋake,1.4529724243624091,iŋake,Scripture
γραφή,236,unigram,feminine,nominative,plural,Buk,1.1026881346007873,Buk,Scripture
γραφή,294,unigram,feminine,nominative,singular,Buk,1.4164391558837053,Buk,Scripture
ἄγγελος,86,unigram,masculine,accusative,plural,nyao,1.0447948431172358,nyao,angel
ἄγγελος,74,unigram,masculine,accusative,singular,ghamwan,1.1993483084650922,ghamwan,angel
ἄγγελος,41,unigram,masculine,nominative,plural,thovuthovuye,2.9479684544400278,thovuthovuye,angel
ἄγγελος,95,unigram,masculine,nominative,singular,thovuye,2.2044694325900345,thovuye,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,gharaghambɨ,2.4743275355997723,gharaghambɨ,apostle
ἐξουσία,177,unigram,feminine,accusative,singular,mbaro,1.8014238065833548,mbaro,authority
βρέφος,293,unigram,neuter,accusative,singular,kau,1.320005725317176,kau,babies
ἀποθήκη,244,unigram,feminine,accusative,plural,;,1.0060457499111062,;,barn
ἀποθήκη,61,unigram,feminine,accusative,singular,vathe,1.4173167883766082,vathe,barn
φραγμός,210,unigram,masculine,accusative,plural,kamwakamwathɨ,1.29310907132445,kamwakamwathɨ,"barrier, wall"
φραγμός,99,unigram,masculine,accusative,singular,imbɨimbɨ,1.1063308381770665,imbɨimbɨ,"barrier, wall"
ζώνη,154,unigram,feminine,accusative,plural,kopa,1.1614072804579731,kopa,belt
βλασφημία,85,unigram,feminine,accusative,singular,nuwandaiyava,1.106360958339235,nuwandaiyava,blasphemy
βλασφημία,75,unigram,feminine,nominative,singular,rokiwodowodo,1.1063205521617083,rokiwodowodo,blasphemy
πλοῖον,279,unigram,neuter,accusative,singular,waŋga,1.9780276788817608,waŋga,boat
σῶμα,53,unigram,neuter,nominative,singular,riwamina,2.1350783139503844,riwamina,body
κλῆμα,50,unigram,neuter,nominative,plural,vaen,1.1614247833415607,vaen,branch
κλῆμα,132,unigram,neuter,nominative,singular,yaŋgae,1.8077214156240544,yaŋgae,branch
ἄρτος,284,unigram,masculine,accusative,plural,bred,1.3912009100306233,bred,bread
ἄρτος,308,unigram,masculine,accusative,singular,bred,1.1405449570012465,bred,bread
ἄρτος,139,unigram,masculine,nominative,plural,bred,1.1333270019906634,bred,bread
ἄρτος,33,unigram,masculine,nominative,singular,bred,1.0451486505201988,bred,bread
ἀδελφός,271,unigram,masculine,accusative,plural,oghaghae,2.2892821388449898,oghaghae,brother
ἀδελφός,109,unigram,masculine,accusative,singular,ghaghae,1.834405458853704,ghaghae,brother
ἀδελφός,98,unigram,masculine,nominative,plural,oghaghae,2.604646907116749,oghaghae,brother
