lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1883_translation,english_translation
θεός,309,unigram,masculine,accusative,plural,miawakyeŋgim,1.097694276429522,miawakyeŋgim,God
θεός,127,unigram,masculine,accusative,singular,Anutu,2.3187870743832586,Anutu,God
θεός,28,unigram,masculine,nominative,plural,kembulupyeŋe.,1.2604785358384056,kembulupyeŋe.,God
θεός,201,unigram,masculine,nominative,singular,Anutuŋe,1.5873503323731917,Anutuŋe,God
κύριος,128,unigram,masculine,nominative,singular,Humoŋe,1.6080654725533017,Humoŋe,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,kulemgoyi,2.1858792943248035,kulemgoyi,Scripture
γραφή,52,unigram,feminine,accusative,singular,kulemgoyi,1.2746817293311776,kulemgoyi,Scripture
γραφή,246,unigram,feminine,nominative,plural,kulemgoyi,1.0270302398604276,kulemgoyi,Scripture
γραφή,304,unigram,feminine,nominative,singular,bunŋe,1.1127802977157684,bunŋe,Scripture
ἄγγελος,94,unigram,masculine,accusative,plural,aŋelolupne,1.6879976759884796,aŋelolupne,angel
ἄγγελος,83,unigram,masculine,accusative,singular,akgiŋmâ,1.093615596605327,akgiŋmâ,angel
ἄγγελος,48,unigram,masculine,nominative,plural,aŋelo,1.33413483765462,aŋelo,angel
ἄγγελος,104,unigram,masculine,nominative,singular,aŋelo,2.8018658655145106,aŋelo,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,aposololupŋande,1.9375103082195548,aposololupŋande,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,aŋmap,1.1429023401816736,aŋmap,apostle
ἐξουσία,193,unigram,feminine,accusative,singular,nâŋgâŋet.,1.0286015351812492,nâŋgâŋet.,authority
βρέφος,15,unigram,neuter,accusative,plural,meyegâk,1.0964967843103046,meyegâk,babies
βρέφος,302,unigram,neuter,accusative,singular,katbela,1.7603397776070526,katbela,babies
ἀποθήκη,251,unigram,feminine,accusative,plural,ketugum,1.2858049506266764,ketugum,barn
ἀποθήκη,70,unigram,feminine,accusative,singular,urutmâ,1.131959057804092,urutmâ,barn
ἀρχή,175,unigram,feminine,accusative,singular,Ulikŋânbak,1.180547356306514,Ulikŋânbak,beginning
ζώνη,167,unigram,feminine,accusative,plural,Tâwât,1.2159665266135369,Tâwât,belt
βλασφημία,32,unigram,feminine,accusative,plural,akberâmbo,1.1462307303272108,akberâmbo,blasphemy
πλοῖον,102,unigram,neuter,accusative,plural,waŋga,2.144372822306047,waŋga,boat
πλοῖον,287,unigram,neuter,accusative,singular,waŋgan,2.5660040903435153,waŋgan,boat
πλοῖον,228,unigram,neuter,nominative,plural,Waŋgan,1.1465167594895074,Waŋgan,boat
πλοῖον,216,unigram,neuter,nominative,singular,tânâmŋângen,1.1987963735488945,tânâmŋângen,boat
σῶμα,62,unigram,neuter,nominative,singular,pagaleŋe,1.1013727475588608,pagaleŋe,body
κλῆμα,58,unigram,neuter,nominative,plural,tatbian,1.211232567503968,tatbian,branch
κλῆμα,142,unigram,neuter,nominative,singular,waiŋ,1.0652587714160544,waiŋ,branch
ἄρτος,291,unigram,masculine,accusative,plural,sot,2.7834346091303592,sot,bread
ἄρτος,319,unigram,masculine,accusative,singular,sot,3.303915946251171,sot,bread
ἄρτος,151,unigram,masculine,nominative,plural,sot,1.818011996841298,sot,bread
ἄρτος,39,unigram,masculine,nominative,singular,sot,1.3986662937720151,sot,bread
ἀδελφός,277,unigram,masculine,accusative,plural,emi,1.349914205482967,emi,brother
ἀδελφός,115,unigram,masculine,accusative,singular,emiŋe,1.0095591828069272,emiŋe,brother
ἀδελφός,222,unigram,masculine,nominative,singular,emiŋe,1.5047557654705968,emiŋe,brother
στῆθος,148,unigram,neuter,accusative,plural,bâlim,1.3338486036175428,bâlim,"chest, breast"
