lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1885_translation,english_translation
θεός,302,unigram,masculine,accusative,plural,tulus,1.1638042103044857,tulus,God
θεός,119,unigram,masculine,accusative,singular,Tuluse,1.7733469931638026,Tuluse,God
θεός,186,unigram,masculine,nominative,singular,Tuluse,3.5110695410902415,Tuluse,God
κύριος,120,unigram,masculine,nominative,singular,amu,1.1036151485248027,amu,"Lord, lord, master"
γραφή,116,unigram,feminine,accusative,plural,Kébéréh,1.3393702246397192,Kébéréh,Scripture
γραφή,46,unigram,feminine,accusative,singular,Kébéréh,1.3416092868936311,Kébéréh,Scripture
γραφή,236,unigram,feminine,nominative,plural,métuman,1.1534683555825913,métuman,Scripture
γραφή,298,unigram,feminine,nominative,singular,Ménsulate,1.206252181220537,Ménsulate,Scripture
ἄγγελος,87,unigram,masculine,accusative,plural,télaki,1.6954538798255203,télaki,angel
ἄγγελος,75,unigram,masculine,accusative,singular,Sugué,1.0860661063728232,Sugué,angel
ἄγγελος,43,unigram,masculine,nominative,plural,télaki,4.133373556190347,télaki,angel
ἄγγελος,97,unigram,masculine,nominative,singular,télakiwe,3.060563566015224,télakiwe,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,apostol,1.8131663965175928,apostol,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,rifén,1.3668188305101026,rifén,apostle
ἐξουσία,62,unigram,feminine,accusative,plural,métébo,1.2941683230756909,métébo,authority
ἐξουσία,177,unigram,feminine,accusative,singular,kuwagib,2.3196724739391947,kuwagib,authority
βρέφος,14,unigram,neuter,accusative,plural,féfiyoné,1.0259146114448672,féfiyoné,babies
βρέφος,297,unigram,neuter,accusative,singular,fén-iro,1.0596616275729611,fén-iro,babies
ἀποθήκη,244,unigram,feminine,accusative,plural,kiwot,1.9999482193675069,kiwot,barn
ἀρχή,64,unigram,feminine,accusative,plural,métébo,1.2937517055707892,métébo,beginning
ἀρχή,163,unigram,feminine,accusative,singular,féganaye,1.0664335218293362,féganaye,beginning
ζώνη,155,unigram,feminine,accusative,plural,filak,1.1135622401149463,filak,belt
ζώνη,200,unigram,feminine,accusative,singular,kameliyo,1.096239847813496,kameliyo,belt
βλασφημία,28,unigram,feminine,accusative,plural,fénggitung,1.1616804695621163,fénggitung,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,awang,2.318733400922014,awang,boat
πλοῖον,283,unigram,neuter,accusative,singular,awange,1.2742625748592278,awange,boat
πλοῖον,214,unigram,neuter,nominative,plural,énsara,1.16197581487098,énsara,boat
πλοῖον,202,unigram,neuter,nominative,singular,awange,1.6484809048348468,awange,boat
σῶμα,191,unigram,neuter,nominative,plural,fétéfoén,1.1065818413609607,fétéfoén,body
σῶμα,54,unigram,neuter,nominative,singular,lowoh,2.8323990727371484,lowoh,body
κλῆμα,135,unigram,neuter,nominative,singular,fongo,1.6520601439935945,fongo,branch
ἄρτος,287,unigram,masculine,accusative,plural,fan,1.53888844067206,fan,bread
ἄρτος,311,unigram,masculine,accusative,singular,fan,1.0219958663862418,fan,bread
