lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1963_translation,english_translation
θεός,105,unigram,masculine,accusative,singular,Dios,4.501457376808666,Dios,God
θεός,18,unigram,masculine,nominative,plural,diosnu,1.2591437047102771,diosnu,God
θεός,162,unigram,masculine,nominative,singular,Dios,3.368031077906517,Dios,God
κύριος,106,unigram,masculine,nominative,singular,Māpa'ksīni,1.9199179836775255,Māpa'ksīni,"Lord, lord, master"
γραφή,101,unigram,feminine,accusative,plural,ixtachihuīn,1.8927220859989229,ixtachihuīn,Scripture
γραφή,34,unigram,feminine,accusative,singular,ixtachihuīn,1.0216480727455728,ixtachihuīn,Scripture
γραφή,209,unigram,feminine,nominative,plural,ixtachihuīn,1.1668242516331264,ixtachihuīn,Scripture
γραφή,258,unigram,feminine,nominative,singular,tatzo'kni,1.7544426398545467,tatzo'kni,Scripture
ἄγγελος,64,unigram,masculine,accusative,singular,napūlani'yān,1.0500981916898025,napūlani'yān,angel
ἄγγελος,32,unigram,masculine,nominative,plural,ángeles,2.1250580253253557,ángeles,angel
ἄγγελος,83,unigram,masculine,nominative,singular,Ángel,1.2769415655374798,Ángel,angel
ἐξουσία,50,unigram,feminine,accusative,plural,a'ktuyuntit,1.0962199599997684,a'ktuyuntit,authority
ἐξουσία,154,unigram,feminine,accusative,singular,līmāpa'ksīn,3.0137856278681805,līmāpa'ksīn,authority
βρέφος,257,unigram,neuter,accusative,singular,cahuāyuj,1.5434634952288893,cahuāyuj,babies
ἀρχή,52,unigram,feminine,accusative,plural,a'ktuyuntit,1.0961063339256685,a'ktuyuntit,beginning
ἀρχή,143,unigram,feminine,accusative,singular,xapūla,1.48092996407016,xapūla,beginning
ζώνη,137,unigram,feminine,accusative,plural,cobre,1.0960524252565438,cobre,belt
βλασφημία,21,unigram,feminine,accusative,plural,mālakchā'nimā'lh,1.0960768946513286,mālakchā'nimā'lh,blasphemy
πλοῖον,81,unigram,neuter,accusative,plural,barcos,1.4965587259330777,barcos,boat
πλοῖον,245,unigram,neuter,accusative,singular,barco,4.596061361292963,barco,boat
πλοῖον,189,unigram,neuter,nominative,plural,talīlē'lh,1.2560353802588686,talīlē'lh,boat
πλοῖον,176,unigram,neuter,nominative,singular,barco,1.0275823528709764,barco,boat
σῶμα,42,unigram,neuter,nominative,singular,mimacni'ca,1.4121661956659666,mimacni'ca,body
ἄρτος,249,unigram,masculine,accusative,plural,pāntzīn,4.027843939467546,pāntzīn,bread
ἄρτος,269,unigram,masculine,accusative,singular,pāntzīn,2.1504039483787776,pāntzīn,bread
ἄρτος,125,unigram,masculine,nominative,plural,pāntzīn,1.4751962155322638,pāntzīn,bread
ἄρτος,25,unigram,masculine,nominative,singular,līhua't,2.1138222132831217,līhua't,bread
ἀδελφός,237,unigram,masculine,accusative,plural,ixtāta'ca,1.524433596543906,ixtāta'ca,brother
ἀδελφός,94,unigram,masculine,accusative,singular,Jacobo,1.0489606284209698,Jacobo,brother
ἀδελφός,87,unigram,masculine,nominative,plural,ixtā'timīn,1.352274389970249,ixtā'timīn,brother
ἀδελφός,182,unigram,masculine,nominative,singular,ī'stancu,1.2280948550548672,ī'stancu,brother
στῆθος,122,unigram,neuter,accusative,plural,cācu'xatucstēlhacan,1.0960622061228922,cācu'xatucstēlhacan,"chest, breast"
στῆθος,227,unigram,neuter,accusative,singular,¿tīchu,1.1879209526574643,¿tīchu,"chest, breast"
ἀρχιερεύς,192,unigram,masculine,accusative,plural,pālejni,1.0599374658175298,pālejni,chief priest
ἀρχιερεύς,43,unigram,masculine,accusative,singular,pālej,1.3346102557197062,pālej,chief priest
ἀρχιερεύς,93,unigram,masculine,nominative,plural,pālejni,1.8019623320968932,pālejni,chief priest
