lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1834_translation,english_translation
θεός,296,unigram,masculine,accusative,plural,ipappaatta,1.0823575491587971,ipappaatta,God
θεός,117,unigram,masculine,accusative,singular,Ruata,2.2412415649107125,Ruata,God
θεός,25,unigram,masculine,nominative,plural,Titanu,1.163645641222275,Titanu,God
θεός,189,unigram,masculine,nominative,singular,Ruata,5.229001204802605,Ruata,God
κύριος,298,unigram,masculine,nominative,plural,tatahuanne,1.0972142502064446,tatahuanne,"Lord, lord, master"
κύριος,118,unigram,masculine,nominative,singular,mawune,1.0152281769523757,mawune,"Lord, lord, master"
γραφή,113,unigram,feminine,accusative,plural,Susi,1.3712043480988956,Susi,Scripture
γραφή,44,unigram,feminine,accusative,singular,Susi,1.0082084605310195,Susi,Scripture
γραφή,235,unigram,feminine,nominative,plural,Wuke,1.2672440619440375,Wuke,Scripture
γραφή,292,unigram,feminine,nominative,singular,Susi,1.006677302563702,Susi,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,mandolokku,1.0139519205899954,mandolokku,angel
ἄγγελος,73,unigram,masculine,accusative,singular,ralol᷊oṛṛang-Ku,1.093186473018716,ralol᷊oṛṛang-Ku,angel
ἄγγελος,41,unigram,masculine,nominative,plural,mala'ekatta,1.5639978609831346,mala'ekatta,angel
ἄγγελος,97,unigram,masculine,nominative,singular,mala'ekattu,1.4296771569911297,mala'ekattu,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,rasul,1.5343087172119916,rasul,apostle
ἐξουσία,181,unigram,feminine,accusative,singular,taṛṛino,4.047926879341577,taṛṛino,authority
βρέφος,13,unigram,neuter,accusative,plural,mangal᷊amatta,1.0441663642168484,mangal᷊amatta,babies
βρέφος,291,unigram,neuter,accusative,singular,aananannu,1.0812016500323802,aananannu,babies
ζώνη,159,unigram,feminine,accusative,plural,witu,1.2360996898232268,witu,belt
ζώνη,205,unigram,feminine,accusative,singular,saṛṛapalanna,1.0961654628313675,saṛṛapalanna,belt
βλασφημία,27,unigram,feminine,accusative,plural,baṛṛani,1.3573100460167338,baṛṛani,blasphemy
βλασφημία,87,unigram,feminine,accusative,singular,ipangngaddio,1.096190199041629,ipangngaddio,blasphemy
βλασφημία,187,unigram,feminine,nominative,plural,ma'umbilangnga,1.0529175325475308,ma'umbilangnga,blasphemy
πλοῖον,95,unigram,neuter,accusative,plural,ngassa,1.1640628300804972,ngassa,boat
πλοῖον,278,unigram,neuter,accusative,singular,saalanna,2.5934729910441563,saalanna,boat
πλοῖον,219,unigram,neuter,nominative,plural,nassenggotte,1.1618409794783573,nassenggotte,boat
πλοῖον,207,unigram,neuter,nominative,singular,dano,1.204526971522576,dano,boat
σῶμα,53,unigram,neuter,nominative,singular,wadangngu,1.3535218528032007,wadangngu,body
κλῆμα,49,unigram,neuter,nominative,plural,rannane,1.0354712522586758,rannane,branch
κλῆμα,135,unigram,neuter,nominative,singular,uaaukka,1.3676643463710991,uaaukka,branch
ἄρτος,281,unigram,masculine,accusative,plural,roti,2.1898259780432614,roti,bread
ἄρτος,307,unigram,masculine,accusative,singular,roti,2.817567117964116,roti,bread
ἄρτος,143,unigram,masculine,nominative,plural,iapaanna,1.123810923963965,iapaanna,bread
ἄρτος,34,unigram,masculine,nominative,singular,roti,2.3531322947782325,roti,bread
ἀδελφός,269,unigram,masculine,accusative,plural,al᷊aṛṛanangnge,1.0877272006737024,al᷊aṛṛanangnge,brother
ἀδελφός,106,unigram,masculine,accusative,singular,Yakobus,1.1831549575534768,Yakobus,brother
ἀδελφός,99,unigram,masculine,nominative,plural,tuṛṛang-Ku,1.2409732786291243,tuṛṛang-Ku,brother
ἀδελφός,212,unigram,masculine,nominative,singular,tuṛṛangnge,1.5343581908829478,tuṛṛangnge,brother
στῆθος,140,unigram,neuter,accusative,plural,sinumassilla,1.2150842136983755,sinumassilla,"chest, breast"
στῆθος,254,unigram,neuter,accusative,singular,mallal᷊aṛṛenggenna,1.3468321486289074,mallal᷊aṛṛenggenna,"chest, breast"
ἀρχιερεύς,221,unigram,masculine,accusative,plural,imam,1.0274586700270805,imam,chief priest
ἀρχιερεύς,105,unigram,masculine,nominative,plural,imam,1.1204675712572283,imam,chief priest
ἀρχιερεύς,224,unigram,masculine,nominative,singular,imam,1.8276927456504848,imam,chief priest
παῖς,216,unigram,masculine,accusative,plural,nasa,1.4308934019476842,nasa,child
τέκνον,300,unigram,neuter,accusative,plural,al᷊aṛṛanangnge,1.5368482246577777,al᷊aṛṛanangnge,child
τέκνον,164,unigram,neuter,accusative,singular,tuṛṛangnge,1.2205185698069652,tuṛṛangnge,child
τέκνον,14,unigram,neuter,nominative,plural,Al᷊aṛṛana,1.6205959510456909,Al᷊aṛṛana,child
τέκνον,175,unigram,neuter,nominative,singular,niampunganna,1.1265488107060206,niampunganna,child
παιδίον,12,unigram,neuter,accusative,plural,al᷊aṛṛana,1.1199944406473108,al᷊aṛṛana,child
παιδίον,82,unigram,neuter,accusative,singular,ana,1.0667631667508608,ana,child
παιδίον,157,unigram,neuter,nominative,plural,al᷊aṛṛana,1.7871619782514354,al᷊aṛṛana,child
παιδίον,36,unigram,neuter,nominative,singular,araratuannu,1.0511234160820484,araratuannu,child
πόλις,167,unigram,feminine,accusative,plural,soa,2.7891101432131817,soa,city
πόλις,57,unigram,feminine,accusative,singular,soa,4.605280979023909,soa,city
πύλη,186,unigram,feminine,nominative,singular,maṛṛiputta,1.3264354134800471,maṛṛiputta,city gate
χιτών,102,unigram,masculine,accusative,plural,laubba,1.0737687129365798,laubba,"clothing, undergarments"
ἱμάτιον,115,unigram,neuter,accusative,plural,jubah,1.6472835301998707,jubah,coat
ἱμάτιον,114,unigram,neuter,accusative,singular,jubahne,1.946361883939234,jubahne,coat
ἐντολή,72,unigram,feminine,accusative,plural,parenta-U,1.4060904484875778,parenta-U,commandment
ἐντολή,70,unigram,feminine,accusative,singular,parentan,2.3078690892166174,parentan,commandment
συνέδριον,286,unigram,neuter,accusative,plural,sametanna,1.4505929950676428,sametanna,council
χώρα,258,unigram,feminine,accusative,singular,Gerasa,1.0256722708843171,Gerasa,"country, countryside"
ὄχλος,50,unigram,masculine,accusative,plural,nambo,2.444082785465973,nambo,crowd
ὄχλος,7,unigram,masculine,accusative,singular,nambo,1.4139018877149458,nambo,crowd
ὄχλος,89,unigram,masculine,nominative,plural,taumata,1.1720733846194806,taumata,crowd
ὄχλος,249,unigram,masculine,nominative,singular,nambo,1.0774444099941738,nambo,crowd
θυγάτηρ,280,unigram,feminine,nominative,singular,wawine,1.6461426904861,wawine,daughter
ἡμέρα,64,unigram,feminine,accusative,plural,allo,2.923854763183436,allo,day
ἡμέρα,74,unigram,feminine,accusative,singular,Miallo-miallo,1.4775573242876576,Miallo-miallo,day
ἡμέρα,2,unigram,feminine,nominative,plural,tempone,1.3779945103739624,tempone,day
ἡμέρα,59,unigram,feminine,nominative,singular,allo,2.2019237922286528,allo,day
δαιμόνιον,26,unigram,neuter,accusative,plural,ghaṛṛaho,1.1760571539405476,ghaṛṛaho,demon
δαιμόνιον,294,unigram,neuter,accusative,singular,setanna,1.2281429768150256,setanna,demon
