lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_712_translation,english_translation
θεός,136,unigram,masculine,accusative,singular,God,2.2827249780462653,God,God
θεός,31,unigram,masculine,nominative,plural,god,1.5297450450234398,god,God
θεός,214,unigram,masculine,nominative,singular,God,5.3534882611280254,God,God
κύριος,137,unigram,masculine,nominative,singular,Diba,1.4901809765777965,Diba,"Lord, lord, master"
γραφή,131,unigram,feminine,accusative,plural,kɨtim,1.4380012508609534,kɨtim,Scripture
γραφή,51,unigram,feminine,accusative,singular,kɨtön,1.0472747420255213,kɨtön,Scripture
γραφή,267,unigram,feminine,nominative,plural,kɨtön,1.0690655940106022,kɨtön,Scripture
γραφή,329,unigram,feminine,nominative,singular,Mönö,2.1233755896864186,Mönö,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,ejol,2.330716573832554,ejol,angel
ἄγγελος,86,unigram,masculine,accusative,singular,abmön,1.2913703828515932,abmön,angel
ἄγγελος,47,unigram,masculine,nominative,plural,ejol,3.5859944321481514,ejol,angel
ἄγγελος,113,unigram,masculine,nominative,singular,ejol,3.941877356014492,ejol,angel
ἀπόστολος,44,unigram,masculine,nominative,plural,dub,1.849608325576369,dub,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,dub,1.0113931469261344,dub,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,hömɨjöñ,1.2876904224762442,hömɨjöñ,authority
ἐξουσία,203,unigram,feminine,accusative,singular,yönmɨdlö,1.1001452097101323,yönmɨdlö,authority
βρέφος,17,unigram,neuter,accusative,plural,almɨdim,1.3263593546298147,almɨdim,babies
βρέφος,328,unigram,neuter,accusative,singular,höböt,1.0810922260060456,höböt,babies
ἀποθήκη,275,unigram,feminine,accusative,plural,wit,1.2684445886504858,wit,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,wit,1.0218466760398428,wit,barn
φραγμός,243,unigram,masculine,accusative,plural,rɨmɨdaŋ,1.019781777211734,rɨmɨdaŋ,"barrier, wall"
φραγμός,117,unigram,masculine,accusative,singular,caku,1.1133013679752972,caku,"barrier, wall"
ἀρχή,72,unigram,feminine,accusative,plural,hömɨjöñ,1.2872530996160438,hömɨjöñ,beginning
ἀρχή,185,unigram,feminine,accusative,singular,yabumɨn,1.2378094987613537,yabumɨn,beginning
ζώνη,177,unigram,feminine,accusative,plural,paskwolö,1.0439955835392232,paskwolö,belt
βλασφημία,34,unigram,feminine,accusative,plural,röböxɨb,1.2101337302053308,röböxɨb,blasphemy
βλασφημία,100,unigram,feminine,accusative,singular,höimöumɨn,1.0960768946513286,höimöumɨn,blasphemy
βλασφημία,212,unigram,feminine,nominative,plural,höimöuöñ,1.0662569236351904,höimöuöñ,blasphemy
βλασφημία,87,unigram,feminine,nominative,singular,röböxen,1.0397690725062037,röböxen,blasphemy
πλοῖον,111,unigram,neuter,accusative,plural,bɨyöj,1.180324702865553,bɨyöj,boat
πλοῖον,312,unigram,neuter,accusative,singular,alebö,1.9595147409544742,alebö,boat
πλοῖον,234,unigram,neuter,nominative,singular,alebö,1.7060736407908408,alebö,boat
σῶμα,222,unigram,neuter,nominative,plural,nöbäpö,1.1182317913986437,nöbäpö,body
σῶμα,61,unigram,neuter,nominative,singular,Mɨxɨñ,1.0594199433677158,Mɨxɨñ,body
ἄρτος,317,unigram,masculine,accusative,plural,bred,3.617306817251563,bred,bread
ἄρτος,342,unigram,masculine,accusative,singular,bred,2.2163789585434834,bred,bread
ἄρτος,160,unigram,masculine,nominative,plural,bred,2.2342781055456524,bred,bread
ἄρτος,40,unigram,masculine,nominative,singular,bred,2.3571289526763968,bred,bread
ἀδελφός,304,unigram,masculine,accusative,plural,nölöunɨŋ,1.0300616987921958,nölöunɨŋ,brother
ἀδελφός,124,unigram,masculine,accusative,singular,Jems,1.0832221297927989,Jems,brother
ἀδελφός,116,unigram,masculine,nominative,plural,pɨgnɨŋ,1.4721919845375102,pɨgnɨŋ,brother
ἀδελφός,241,unigram,masculine,nominative,singular,haul,1.0909597537200375,haul,brother
παῖς,245,unigram,masculine,accusative,plural,Isaune,1.0119667423298428,Isaune,child
παῖς,49,unigram,masculine,accusative,singular,yadyöxɨm,1.1614247833415607,yadyöxɨm,child
τέκνον,336,unigram,neuter,accusative,plural,halöu,1.259981492271008,halöu,child
τέκνον,183,unigram,neuter,accusative,singular,halöu,1.2564659417892088,halöu,child
τέκνον,18,unigram,neuter,nominative,plural,Halöu,1.3235554991144896,Halöu,child
τέκνον,197,unigram,neuter,nominative,singular,röböxmɨdlö,1.2058417452523769,röböxmɨdlö,child
παιδίον,16,unigram,neuter,accusative,plural,röböxɨŋ,1.1218877506860343,röböxɨŋ,child
παιδίον,93,unigram,neuter,accusative,singular,ha,1.949760530700976,ha,child
παιδίον,175,unigram,neuter,nominative,plural,halöu,1.4096706658009268,halöu,child
παιδίον,41,unigram,neuter,nominative,singular,ha,1.9165151736324173,ha,child
πόλις,186,unigram,feminine,accusative,plural,taun,2.1559446258144743,taun,city
πόλις,65,unigram,feminine,accusative,singular,taun,4.974114796886903,taun,city
πύλη,271,unigram,feminine,nominative,plural,Wöröxɨb,1.0960622061228922,Wöröxɨb,city gate
πύλη,211,unigram,feminine,nominative,singular,Rɨn,1.0595352057902494,Rɨn,city gate
χιτών,121,unigram,masculine,accusative,plural,uñ,1.0108350239194432,uñ,"clothing, undergarments"
χιτών,32,unigram,masculine,accusative,singular,ij,1.229725282277045,ij,"clothing, undergarments"
ἱμάτιον,134,unigram,neuter,accusative,plural,wölɨj,2.887200456567081,wölɨj,coat
ἱμάτιον,133,unigram,neuter,accusative,singular,wölɨj,1.7934681615741161,wölɨj,coat
ἐντολή,83,unigram,feminine,accusative,plural,pɨlmɨjeñ,1.0765884919752224,pɨlmɨjeñ,commandment
συνέδριον,322,unigram,neuter,accusative,plural,kansol,1.1133354163772469,kansol,council
συνέδριον,53,unigram,neuter,accusative,singular,Kansol,1.722329117934691,Kansol,council
χώρα,77,unigram,feminine,accusative,plural,Mɨlmej,1.09612600636564,Mɨlmej,"country, countryside"
χώρα,294,unigram,feminine,accusative,singular,mögörɨb,1.4675920511104676,mögörɨb,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,mö,1.2608016250463705,mö,crowd
ὄχλος,10,unigram,masculine,accusative,singular,mö,1.9174260655212296,mö,crowd
ὄχλος,104,unigram,masculine,nominative,plural,mö,1.240466581955018,mö,crowd
ὄχλος,287,unigram,masculine,nominative,singular,mɨga,1.0494836749369352,mɨga,crowd
θυγάτηρ,316,unigram,feminine,nominative,singular,Halöu,2.226763523848938,Halöu,daughter
ἡμέρα,75,unigram,feminine,accusative,plural,wop,1.253167826590308,wop,day
ἡμέρα,88,unigram,feminine,accusative,singular,wop,1.89294096048643,wop,day
ἡμέρα,1,unigram,feminine,nominative,plural,wop,1.6227155062124063,wop,day
ἡμέρα,67,unigram,feminine,nominative,singular,Pɨxmag,1.2637048321307447,Pɨxmag,day
ὀφειλέτης,254,unigram,masculine,nominative,plural,alölö,1.0960524252565438,alölö,debtor
ὀφειλέτης,125,unigram,masculine,nominative,singular,Rɨba,1.3417073863998712,Rɨba,debtor
δαιμόνιον,33,unigram,neuter,accusative,plural,ragwo,2.038853048488713,ragwo,demon
δαιμόνιον,332,unigram,neuter,accusative,singular,ragwo,1.7858659914296005,ragwo,demon
δαιμόνιον,199,unigram,neuter,nominative,plural,as,1.9175156557871598,as,demon
δαιμόνιον,173,unigram,neuter,nominative,singular,ragwo,1.6156997634285368,ragwo,demon
δηνάριον,162,unigram,neuter,accusative,singular,nugunöm,1.2270649397653632,nugunöm,denarius (about a day's wages)
μαθητής,180,unigram,masculine,accusative,plural,nuŋ,1.1867457155660055,nuŋ,disciple
μαθητής,337,unigram,masculine,accusative,singular,yöra,1.0424849161214051,yöra,disciple
μαθητής,280,unigram,masculine,nominative,plural,nuŋ,1.6879906664833808,nuŋ,disciple
μαθητής,335,unigram,masculine,nominative,singular,dumɨŋa,1.6105014182227562,dumɨŋa,disciple
νόσος,2,unigram,feminine,accusative,plural,nɨgöŋa.Ap,1.2377645422012469,nɨgöŋa.Ap,disease
νόσος,74,unigram,feminine,accusative,singular,agap,1.581725794830413,agap,disease
περιστερά,103,unigram,feminine,accusative,plural,yöur,1.024768876836109,yöur,dove
περιστερά,55,unigram,feminine,accusative,singular,döpwö,1.0258566529985271,döpwö,dove
οὖς,152,unigram,neuter,accusative,plural,rɨmɨj,1.4510517362357882,rɨmɨj,ear
οὖς,286,unigram,neuter,accusative,singular,cölöbö,1.0704990207090301,cölöbö,ear
σεισμός,204,unigram,masculine,nominative,plural,mɨmön,1.3861411174714335,mɨmön,"earthquakes, storm"
σεισμός,63,unigram,masculine,nominative,singular,mɨmön,1.1062426219317925,mɨmön,"earthquakes, storm"
τέλος,35,unigram,neuter,accusative,plural,pöiŋönö,1.0961112485594913,pöiŋönö,end
τέλος,277,unigram,neuter,accusative,singular,mɨjöñ,1.2022949310476805,mɨjöñ,end
αἰών,246,unigram,masculine,accusative,plural,yöxɨm,1.0364747765062206,yöxɨm,eternity
αἰών,305,unigram,masculine,accusative,singular,öim,2.012174552089426,öim,eternity
ὀφθαλμός,24,unigram,masculine,accusative,plural,mämäg,1.0481070845031395,mämäg,eye
ὀφθαλμός,64,unigram,masculine,nominative,plural,mämäga,1.2805154244469166,mämäga,eye
ὀφθαλμός,302,unigram,masculine,nominative,singular,mämäg,1.2885192874878384,mämäg,eye
πρόσωπον,194,unigram,neuter,accusative,singular,haŋaj,1.759673504707569,haŋaj,face
λιμός,8,unigram,feminine,nominative,plural,wöröxmɨjöña,1.106276804395426,wöröxmɨjöña,famine
λιμός,95,unigram,feminine,nominative,singular,piöna,1.255523867430571,piöna,famine
