lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_651_translation,version_652_translation,english_translation
θεός,134,unigram,masculine,accusative,singular,Nungungulu,4.2478795818395225,,Nungungulu,God
θεός,28,unigram,masculine,nominative,plural,vanungungulu,1.1634492944761523,,vanungungulu,God
θεός,207,unigram,masculine,nominative,singular,Nungungulu,15.712425255765815,,Nungungulu,God
κύριος,135,unigram,masculine,nominative,singular,Pfhumu,4.5841935165430865,,Pfhumu,"Lord, lord, master"
γραφή,129,unigram,feminine,accusative,plural,Milowo,3.445543667500761,,Milowo,Scripture
γραφή,50,unigram,feminine,accusative,singular,khiyo,1.1688576207111645,,khiyo,Scripture
γραφή,261,unigram,feminine,nominative,plural,Milowo,1.1884357164276451,,Milowo,Scripture
γραφή,316,unigram,feminine,nominative,singular,Milowo,2.4177206515401486,,Milowo,Scripture
ἄγγελος,99,unigram,masculine,accusative,plural,dzingilozi,2.4557118416530095,,dzingilozi,angel
ἄγγελος,85,unigram,masculine,accusative,singular,mbeli,1.0800038031267905,,mbeli,angel
ἄγγελος,46,unigram,masculine,nominative,plural,dzingilozi,3.0754333644185285,,dzingilozi,angel
ἄγγελος,108,unigram,masculine,nominative,singular,ngilozi,1.9241772569748845,,ngilozi,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,Vapostoli,1.1325894435324697,,Vapostoli,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,girumwa,1.1454927249665328,,girumwa,apostle
ἐξουσία,68,unigram,feminine,accusative,plural,vhikelago,1.2129278269959223,,vhikelago,authority
ἐξουσία,198,unigram,feminine,accusative,singular,tshivba,2.816410893976369,,tshivba,authority
βρέφος,18,unigram,neuter,accusative,plural,yisela,1.1909789227583207,,yisela,babies
ἀποθήκη,67,unigram,feminine,accusative,singular,vbisa,1.56258934226724,,vbisa,barn
φραγμός,233,unigram,masculine,accusative,plural,sindzilanani,1.161311312321613,,sindzilanani,"barrier, wall"
φραγμός,112,unigram,masculine,accusative,singular,bhiya,1.0595319950666118,,bhiya,"barrier, wall"
ἀρχή,71,unigram,feminine,accusative,plural,vhikelago,1.212649645711236,,vhikelago,beginning
ἀρχή,179,unigram,feminine,accusative,singular,guhegulani,1.1188889224190788,,guhegulani,beginning
