lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2104_translation,english_translation
θεός,98,unigram,masculine,accusative,singular,Leza,6.837193076658305,Leza,God
θεός,20,unigram,masculine,nominative,plural,Ndati,1.097258004808277,Ndati,God
θεός,154,unigram,masculine,nominative,singular,Leza,12.916997442055711,Leza,God
κύριος,99,unigram,masculine,nominative,singular,Mwami,2.033783330381138,Mwami,"Lord, lord, master"
γραφή,95,unigram,feminine,accusative,plural,Magwalo,1.6873972130190766,Magwalo,Scripture
γραφή,194,unigram,feminine,nominative,plural,magwalo,1.9576839833051118,magwalo,Scripture
γραφή,244,unigram,feminine,nominative,singular,Magwalo,1.7812041800189409,Magwalo,Scripture
ἄγγελος,72,unigram,masculine,accusative,plural,baangelo,1.9180530580519863,baangelo,angel
ἄγγελος,36,unigram,masculine,nominative,plural,baangelo,2.247751157689947,baangelo,angel
ἄγγελος,80,unigram,masculine,nominative,singular,angelo,1.8461345496593617,angelo,angel
ἀπόστολος,33,unigram,masculine,nominative,plural,baapostolo,2.9196529758422547,baapostolo,apostle
ἐξουσία,149,unigram,feminine,accusative,singular,bwami,3.4275106212768005,bwami,authority
ἀποθήκη,55,unigram,feminine,accusative,singular,maila,1.2851174540566834,maila,barn
βλασφημία,24,unigram,feminine,accusative,plural,kusampaula,1.161346151680032,kusampaula,blasphemy
βλασφημία,64,unigram,feminine,nominative,singular,zibi,1.3352569616542391,zibi,blasphemy
πλοῖον,78,unigram,neuter,accusative,plural,maato,2.1041768425151006,maato,boat
πλοῖον,231,unigram,neuter,accusative,singular,mubwaato,2.996816994041281,mubwaato,boat
πλοῖον,167,unigram,neuter,nominative,singular,bwaato,1.4675180934345389,bwaato,boat
σῶμα,46,unigram,neuter,nominative,singular,mubili,1.8491425256781937,mubili,body
κλῆμα,111,unigram,neuter,nominative,singular,mutabi,1.0439984127205653,mutabi,branch
ἄρτος,235,unigram,masculine,accusative,plural,mikamu,4.500480841697714,mikamu,bread
ἄρτος,257,unigram,masculine,accusative,singular,nsima,1.1254658952262555,nsima,bread
ἄρτος,28,unigram,masculine,nominative,singular,nsima,1.9774015842257104,nsima,bread
ἀδελφός,223,unigram,masculine,accusative,plural,babunyina,1.4634996787110692,babunyina,brother
ἀδελφός,88,unigram,masculine,accusative,singular,munyina,1.2054658529037794,munyina,brother
ἀδελφός,82,unigram,masculine,nominative,plural,bama,1.233511447400801,bama,brother
ἀδελφός,172,unigram,masculine,nominative,singular,mwanaakwabo,1.4084124575872048,mwanaakwabo,brother
στῆθος,209,unigram,neuter,accusative,singular,acamba,1.4654559651222652,acamba,"chest, breast"
ἀρχιερεύς,179,unigram,masculine,accusative,plural,basimutwe,1.0778351759115925,basimutwe,chief priest
ἀρχιερεύς,47,unigram,masculine,accusative,singular,mupati,1.0211356975485122,mupati,chief priest
ἀρχιερεύς,87,unigram,masculine,nominative,plural,bapaizi,1.4825593301028217,bapaizi,chief priest
ἀρχιερεύς,183,unigram,masculine,nominative,singular,mupaizi,1.5599679551592511,mupaizi,chief priest
τέκνον,250,unigram,neuter,accusative,plural,bana,2.7997790162677743,bana,child
τέκνον,132,unigram,neuter,accusative,singular,uyooaba,1.0081086735331242,uyooaba,child
τέκνον,9,unigram,neuter,nominative,plural,uyooaba,1.0668808041170612,uyooaba,child
τέκνον,142,unigram,neuter,nominative,singular,Mwanaangu,1.928609528493038,Mwanaangu,child
παιδίον,68,unigram,neuter,accusative,singular,mwana,2.1166185494132743,mwana,child
παιδίον,126,unigram,neuter,nominative,plural,twana,1.7248890845577454,twana,child
παιδίον,30,unigram,neuter,nominative,singular,mwana,1.2804471568175362,mwana,child
πόλις,134,unigram,feminine,accusative,plural,muminzi,1.322602336978866,muminzi,city
πόλις,51,unigram,feminine,accusative,singular,kumunzi,1.5196787854721865,kumunzi,city
χιτών,84,unigram,masculine,accusative,plural,zyobile,1.6053846056136016,zyobile,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,acalo,1.0387869804291563,acalo,"clothing, undergarments"
ἱμάτιον,97,unigram,neuter,accusative,plural,zyakusama,1.8436310206097064,zyakusama,coat
ἱμάτιον,96,unigram,neuter,accusative,singular,cikobela,1.3233307270700685,cikobela,coat
ἐντολή,62,unigram,feminine,accusative,singular,Mulao,1.1746122451869725,Mulao,commandment
συνέδριον,239,unigram,neuter,accusative,plural,kumbeta,1.0595480639608463,kumbeta,council
συνέδριον,39,unigram,neuter,accusative,singular,bapati,1.0752572657464372,bapati,council
χώρα,213,unigram,feminine,accusative,singular,kucisi,1.7560934663244223,kucisi,"country, countryside"
ὄχλος,43,unigram,masculine,accusative,plural,makamu,2.547271256915304,makamu,crowd
ὄχλος,5,unigram,masculine,accusative,singular,makamu,1.5074035424113104,makamu,crowd
ὄχλος,74,unigram,masculine,nominative,plural,makamu,1.7588245277628056,makamu,crowd
ὄχλος,205,unigram,masculine,nominative,singular,makamu,1.6483700714652267,makamu,crowd
θυγάτηρ,234,unigram,feminine,nominative,singular,musimbi,1.9826732282442179,musimbi,daughter
ἡμέρα,59,unigram,feminine,accusative,plural,mazuba,4.960076580135655,mazuba,day
ἡμέρα,65,unigram,feminine,accusative,singular,mazuba,1.63421590538062,mazuba,day
ἡμέρα,2,unigram,feminine,nominative,plural,mazuba,4.648386127403175,mazuba,day
ἡμέρα,53,unigram,feminine,nominative,singular,buzuba,1.2033655414624123,buzuba,day
