lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1895_translation,version_1896_translation,english_translation
θεός,115,unigram,masculine,accusative,singular,Diosi,2.2515512378122784,Diosi,,God
θεός,188,unigram,masculine,nominative,singular,Diosi,2.325583898233653,Diosi,,God
κύριος,116,unigram,masculine,nominative,singular,Cajualtiqui,2.146318691521745,Cajualtiqui,,"Lord, lord, master"
γραφή,111,unigram,feminine,accusative,plural,slibro,2.3609803047416635,slibro,,Scripture
γραφή,236,unigram,feminine,nominative,plural,smeranil,1.1338722759698483,smeranil,,Scripture
γραφή,285,unigram,feminine,nominative,singular,tz'ijbanubal,1.743419955347926,tz'ijbanubal,,Scripture
ἄγγελος,84,unigram,masculine,accusative,plural,cangel,1.1712172071811109,cangel,,angel
ἄγγελος,70,unigram,masculine,accusative,singular,taubal,1.1637097988947664,taubal,,angel
ἄγγελος,40,unigram,masculine,nominative,plural,ángel,3.297528277761808,ángel,,angel
ἄγγελος,94,unigram,masculine,nominative,singular,yangel,1.535123328905693,yangel,,angel
ἀπόστολος,4,unigram,masculine,nominative,singular,lajonex,1.096185247111637,lajonex,,apostle
ἐξουσία,178,unigram,feminine,accusative,singular,caa,1.0518214144246418,caa,,authority
βρέφος,14,unigram,neuter,accusative,plural,scomohuea,1.326784137076948,scomohuea,,babies
βρέφος,284,unigram,neuter,accusative,singular,pesebre,1.168482043408125,pesebre,,babies
φραγμός,212,unigram,masculine,accusative,plural,but'uc,1.1614949624381896,but'uc,,"barrier, wall"
φραγμός,96,unigram,masculine,accusative,singular,sluchayub,1.2103420376987115,sluchayub,,"barrier, wall"
ζώνη,152,unigram,feminine,accusative,plural,amorralexi,1.4587372437192554,amorralexi,,belt
βλασφημία,81,unigram,feminine,accusative,singular,batbuni,1.0961802975276198,batbuni,,blasphemy
βλασφημία,71,unigram,feminine,nominative,singular,chican,1.1602616398300951,chican,,blasphemy
πλοῖον,92,unigram,neuter,accusative,plural,barco,2.4278293365868704,barco,,boat
πλοῖον,272,unigram,neuter,accusative,singular,barco,3.6923712958257218,barco,,boat
πλοῖον,216,unigram,neuter,nominative,plural,xchapa,1.096344883540667,xchapa,,boat
πλοῖον,203,unigram,neuter,nominative,singular,barco,1.4961123820304447,barco,,boat
σῶμα,52,unigram,neuter,nominative,singular,xet'aa,1.0629956206858049,xet'aa,,body
ἄρτος,276,unigram,masculine,accusative,plural,pan,1.5632805554846645,pan,,bread
ἄρτος,296,unigram,masculine,accusative,singular,pan,1.9940631701607812,pan,,bread
ἄρτος,138,unigram,masculine,nominative,plural,pan,1.4775673570774115,pan,,bread
ἄρτος,33,unigram,masculine,nominative,singular,pan,2.120319954614653,pan,,bread
ἀδελφός,262,unigram,masculine,accusative,plural,yermano,1.8237274203687208,yermano,,brother
ἀδελφός,104,unigram,masculine,accusative,singular,yijtz'in,1.2788991946191686,yijtz'in,,brother
