lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1839_translation,english_translation
θεός,140,unigram,masculine,accusative,singular,pɛgi,1.204453256302436,pɛgi,God
θεός,216,unigram,masculine,nominative,singular,Koosa,4.828808920816413,Koosa,God
κύριος,338,unigram,masculine,nominative,plural,pɔl,1.030248413682154,pɔl,"Lord, lord, master"
κύριος,141,unigram,masculine,nominative,singular,kunyan,1.6867879197936997,kunyan,"Lord, lord, master"
γραφή,135,unigram,feminine,accusative,plural,tɔn,1.8351463784298896,tɔn,Scripture
γραφή,50,unigram,feminine,accusative,singular,mun,1.0789408414733728,mun,Scripture
γραφή,269,unigram,feminine,nominative,plural,sɔbi,1.0559857868067521,sɔbi,Scripture
γραφή,332,unigram,feminine,nominative,singular,tɔn,1.136343402019692,tɔn,Scripture
ἄγγελος,103,unigram,masculine,accusative,plural,malaikasa,1.134631109445804,malaikasa,angel
ἄγγελος,86,unigram,masculine,accusative,singular,nitumi,1.5136885589659217,nitumi,angel
ἄγγελος,46,unigram,masculine,nominative,plural,malaikasa,1.3586882379018483,malaikasa,angel
ἄγγελος,114,unigram,masculine,nominative,singular,malaika,1.3677591055502805,malaika,angel
ἀπόστολος,43,unigram,masculine,nominative,plural,nitumɛ,1.9348695032989267,nitumɛ,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,Nitumi,1.1616538535693444,Nitumi,apostle
ἐξουσία,70,unigram,feminine,accusative,plural,kimuksi,1.0355620739971974,kimuksi,authority
ἐξουσία,207,unigram,feminine,accusative,singular,kpok,3.169239797867242,kpok,authority
βρέφος,16,unigram,neuter,accusative,plural,nyiigi,1.3871613307229076,nyiigi,babies
βρέφος,330,unigram,neuter,accusative,singular,sela,1.2703945114894877,sela,babies
ἀποθήκη,276,unigram,feminine,accusative,plural,a.,1.6377732892547237,a.,barn
ἀποθήκη,69,unigram,feminine,accusative,singular,mɛ,1.3761144406235488,mɛ,barn
φραγμός,241,unigram,masculine,accusative,plural,nyinbaanasa,1.3701211339925137,nyinbaanasa,"barrier, wall"
φραγμός,118,unigram,masculine,accusative,singular,chɛɛnsa,1.0596420238117508,chɛɛnsa,"barrier, wall"
ἀρχή,73,unigram,feminine,accusative,plural,kimuksi,1.0355132557513278,kimuksi,beginning
ἀρχή,189,unigram,feminine,accusative,singular,Kena,1.1867946365340163,Kena,beginning
ζώνη,182,unigram,feminine,accusative,plural,jifɔsi,2.230633677836345,jifɔsi,belt
ζώνη,232,unigram,feminine,accusative,singular,toon,1.0962199599997684,toon,belt
βλασφημία,29,unigram,feminine,accusative,plural,sɛmwa,1.0596583563413178,sɛmwa,blasphemy
βλασφημία,100,unigram,feminine,accusative,singular,chɛsi,1.1064943564556116,chɛsi,blasphemy
βλασφημία,214,unigram,feminine,nominative,plural,sakaal,1.1540618765536768,sakaal,blasphemy
πλοῖον,112,unigram,neuter,accusative,plural,arŋsa,1.6869315020461022,arŋsa,boat
πλοῖον,316,unigram,neuter,accusative,singular,arŋ,1.152710708132759,arŋ,boat
πλοῖον,248,unigram,neuter,nominative,plural,arŋ,1.164535253485741,arŋ,boat
πλοῖον,234,unigram,neuter,nominative,singular,arŋ,1.7497309386942317,arŋ,boat
σῶμα,61,unigram,neuter,nominative,singular,bara,2.406305633514256,bara,body
κλῆμα,57,unigram,neuter,nominative,plural,hulsiwa,1.0962298991783328,hulsiwa,branch
κλῆμα,158,unigram,neuter,nominative,singular,Hulsi,1.1064353327703165,Hulsi,branch
ἄρτος,320,unigram,masculine,accusative,plural,boroborosa,1.3987497142931693,boroborosa,bread
ἄρτος,347,unigram,masculine,accusative,singular,diwe,2.3535376547543096,diwe,bread
ἄρτος,165,unigram,masculine,nominative,plural,Ei,1.2116782646469435,Ei,bread
ἄρτος,36,unigram,masculine,nominative,singular,mi,1.0864900489905889,mi,bread
ἀδελφός,306,unigram,masculine,accusative,plural,niinbisa,2.7048322168511834,niinbisa,brother
ἀδελφός,127,unigram,masculine,accusative,singular,niinbe,1.2844529322061222,niinbe,brother
ἀδελφός,117,unigram,masculine,nominative,plural,niinbisa,1.8218064261685256,niinbisa,brother
ἀδελφός,239,unigram,masculine,nominative,singular,niinbe,1.3335952951851933,niinbe,brother
στῆθος,162,unigram,neuter,accusative,plural,mosi,1.4655983411436528,mosi,"chest, breast"
στῆθος,291,unigram,neuter,accusative,singular,tur,1.4672276130946582,tur,"chest, breast"
ἀρχιερεύς,250,unigram,masculine,accusative,plural,kɔkɔɔrsi,1.4020299335074768,kɔkɔɔrsi,chief priest
ἀρχιερεύς,62,unigram,masculine,accusative,singular,kɔkɔɔrsi,1.272939870416021,kɔkɔɔrsi,chief priest
ἀρχιερεύς,126,unigram,masculine,nominative,plural,kɔkɔɔrsi,1.4022882460524992,kɔkɔɔrsi,chief priest
ἀρχιερεύς,254,unigram,masculine,nominative,singular,kɔkɔɔrsi,1.3366833014193311,kɔkɔɔrsi,chief priest
παῖς,244,unigram,masculine,accusative,plural,paan,1.3114161354604743,paan,child
παῖς,48,unigram,masculine,accusative,singular,lɔ,1.3025299280271514,lɔ,child
τέκνον,340,unigram,neuter,accusative,plural,bisa,2.8553032203814386,bisa,child
τέκνον,200,unigram,neuter,nominative,singular,kpak,1.090900792778717,kpak,child
παιδίον,15,unigram,neuter,accusative,plural,bichɛsa,1.0898946093250128,bichɛsa,child
παιδίον,94,unigram,neuter,accusative,singular,be,1.8724455891191027,be,child
παιδίον,180,unigram,neuter,nominative,plural,bisa,1.2474172403969703,bisa,child
παιδίον,38,unigram,neuter,nominative,singular,Be,1.734642464789983,Be,child
πόλις,190,unigram,feminine,accusative,plural,tɔsa,1.6725336070457075,tɔsa,city
πόλις,65,unigram,feminine,accusative,singular,tɔhɔn,2.0196267025583423,tɔhɔn,city
πύλη,273,unigram,feminine,nominative,plural,sarɛ,1.1616184254366737,sarɛ,city gate
πύλη,213,unigram,feminine,nominative,singular,tiŋi,1.5823573795150028,tiŋi,city gate
χιτών,123,unigram,masculine,accusative,plural,lɛ,1.3531190978254677,lɛ,"clothing, undergarments"
χιτών,26,unigram,masculine,accusative,singular,takta,1.1534438274078824,takta,"clothing, undergarments"
ἱμάτιον,138,unigram,neuter,accusative,plural,ur,1.0216768300073946,ur,coat
ἱμάτιον,137,unigram,neuter,accusative,singular,takta,1.0439302239930532,takta,coat
ἐντολή,82,unigram,feminine,accusative,singular,chiksi,1.0746116548954605,chiksi,commandment
συνέδριον,325,unigram,neuter,accusative,plural,doso,1.2174277065058623,doso,council
συνέδριον,52,unigram,neuter,accusative,singular,kɔkɔɔrsi,1.007206815347693,kɔkɔɔrsi,council
χώρα,295,unigram,feminine,accusative,singular,pulum,1.3149038043723256,pulum,"country, countryside"
ὄχλος,58,unigram,masculine,accusative,plural,zɛmɛ,2.135129523530535,zɛmɛ,crowd
ὄχλος,10,unigram,masculine,accusative,singular,zɛmɛ,3.5511808467035486,zɛmɛ,crowd
ὄχλος,105,unigram,masculine,nominative,plural,Zɛmɛ,1.3760229366497374,Zɛmɛ,crowd
ὄχλος,287,unigram,masculine,nominative,singular,Zɛmɛ,1.0250891240212077,Zɛmɛ,crowd
θυγάτηρ,121,unigram,feminine,nominative,plural,nihaana,1.2944671234442628,nihaana,daughter
θυγάτηρ,319,unigram,feminine,nominative,singular,nihabichɛl,1.1977547453300217,nihabichɛl,daughter
ἡμέρα,77,unigram,feminine,accusative,plural,wuzu,1.9570395447623397,wuzu,day
ἡμέρα,87,unigram,feminine,accusative,singular,kaniu,1.7781951469184163,kaniu,day
ἡμέρα,2,unigram,feminine,nominative,plural,wuzu,1.0407218708303816,wuzu,day
ἡμέρα,67,unigram,feminine,nominative,singular,hiisi,1.0952629674384955,hiisi,day
ὀφειλέτης,128,unigram,masculine,nominative,singular,chim,1.2210540991450751,chim,debtor
δαιμόνιον,27,unigram,neuter,accusative,plural,duŋni,1.0843712097899172,duŋni,demon
δαιμόνιον,335,unigram,neuter,accusative,singular,tagin,1.1444932814450384,tagin,demon
δαιμόνιον,202,unigram,neuter,nominative,plural,alizin,1.8005021185056918,alizin,demon
δαιμόνιον,178,unigram,neuter,nominative,singular,tagin,1.5989816782621284,tagin,demon
δηνάριον,311,unigram,neuter,accusative,plural,malɛ,1.1391499095848985,malɛ,denarius (about a day's wages)
δηνάριον,167,unigram,neuter,accusative,singular,malɛ,1.5958298575227472,malɛ,denarius (about a day's wages)
μαθητής,185,unigram,masculine,accusative,plural,tiŋsi,1.135904969280218,tiŋsi,disciple
μαθητής,341,unigram,masculine,accusative,singular,tiŋna,2.0927604634361057,tiŋna,disciple
μαθητής,280,unigram,masculine,nominative,plural,gantɛl,1.0217472758536643,gantɛl,disciple
μαθητής,339,unigram,masculine,nominative,singular,tiŋna,1.0853763822910858,tiŋna,disciple
νόσος,3,unigram,feminine,accusative,plural,kitiibi,1.270371805437678,kitiibi,disease
νόσος,75,unigram,feminine,accusative,singular,wichɔɔrsa,1.8713283978249031,wichɔɔrsa,disease
περιστερά,104,unigram,feminine,accusative,plural,yogli,1.0654340862925613,yogli,dove
περιστερά,54,unigram,feminine,accusative,singular,komne,1.2548202143128284,komne,dove
οὖς,157,unigram,neuter,accusative,plural,diŋsa,2.7302281793834857,diŋsa,ear
οὖς,286,unigram,neuter,accusative,singular,gbampulim,1.1139100503583723,gbampulim,ear
σεισμός,64,unigram,masculine,nominative,singular,zigsi,1.2382171286889372,zigsi,"earthquakes, storm"
τέλος,30,unigram,neuter,accusative,plural,timaa,1.0962797372460371,timaa,end
τέλος,277,unigram,neuter,accusative,singular,muksi,1.0087244976586809,muksi,end
αἰών,245,unigram,masculine,accusative,plural,lulɛ,1.1640848951021754,lulɛ,eternity
αἰών,307,unigram,masculine,accusative,singular,bɔ,1.0614247174871116,bɔ,eternity
ὀφθαλμός,21,unigram,masculine,accusative,plural,se,1.6746668505248736,se,eye
ὀφθαλμός,304,unigram,masculine,nominative,singular,bɔɛɛ,1.3290615515946989,bɔɛɛ,eye
πρόσωπον,197,unigram,neuter,accusative,singular,bak,1.1215692613613104,bak,face
λιμός,96,unigram,feminine,nominative,singular,womsini,1.0441966219365324,womsini,famine
γεωργός,256,unigram,masculine,nominative,plural,tumtumsi,1.121309699288825,tumtumsi,"farmer, tenant"
γεωργός,49,unigram,masculine,nominative,singular,unnɛ,1.0962797372460371,unnɛ,"farmer, tenant"
πατήρ,310,unigram,masculine,accusative,singular,nyan,1.55355979034446,nyan,father
πατήρ,318,unigram,masculine,nominative,plural,nawaalsa,1.8685589018068047,nawaalsa,father
πατήρ,191,unigram,masculine,nominative,singular,nyan,2.5030230998384537,nyan,father
σύνδουλος,150,unigram,masculine,accusative,plural,dɛɛsiu,1.28774783889147,dɛɛsiu,"fellow-servant, colleague"
σύνδουλος,91,unigram,masculine,accusative,singular,sikiu,1.099613064124549,sikiu,"fellow-servant, colleague"
σύνδουλος,322,unigram,masculine,nominative,plural,Koor,1.1174296489239308,Koor,"fellow-servant, colleague"
σύνδουλος,119,unigram,masculine,nominative,singular,kanyita,1.1332898478893598,kanyita,"fellow-servant, colleague"
ἀγρός,334,unigram,masculine,accusative,plural,maanasa,1.103219588907108,maanasa,field
ἀγρός,37,unigram,masculine,accusative,singular,yau,1.1368242215556703,yau,field
δάκτυλος,184,unigram,masculine,accusative,singular,doonmani,1.0596550866867382,doonmani,finger
ἰχθύς,160,unigram,masculine,accusative,plural,nyinsa,1.0151216256447064,nyinsa,fish
ἰχθύς,196,unigram,masculine,accusative,singular,nyinsa,1.3197582013613085,nyinsa,fish
δίκτυον,113,unigram,neuter,accusative,plural,chamna,2.977676520298045,chamna,fishing net
δίκτυον,205,unigram,neuter,accusative,singular,cham,1.2328702358623425,cham,fishing net
δίκτυον,179,unigram,neuter,nominative,plural,cham,1.06644994436964,cham,fishing net
τροφή,329,unigram,feminine,accusative,singular,ninɛɛgɛ,1.0940546823640227,ninɛɛgɛ,food
πούς,240,unigram,masculine,accusative,plural,naŋgere,3.780503751401244,naŋgere,foot
πούς,116,unigram,masculine,accusative,singular,chak,1.1803349955833973,chak,foot
καρπός,188,unigram,masculine,accusative,plural,were,1.14457014819729,were,"fruit, crop, harvest"
