lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1639_translation,english_translation
θεός,352,unigram,masculine,accusative,plural,),1.1442523625764645,),God
θεός,149,unigram,masculine,accusative,singular,Yanꞌanj,1.8578303120533284,Yanꞌanj,God
θεός,33,unigram,masculine,nominative,plural,yanꞌanj.,1.2155128105423605,yanꞌanj.,God
θεός,229,unigram,masculine,nominative,singular,Yanꞌanj,2.704903024613285,Yanꞌanj,God
κύριος,354,unigram,masculine,nominative,plural,da̱n,1.0261906813392605,da̱n,"Lord, lord, master"
κύριος,150,unigram,masculine,nominative,singular,Señor,2.936933303531666,Señor,"Lord, lord, master"
γραφή,144,unigram,feminine,accusative,plural,si-nu̱guanꞌ,1.459369921748369,si-nu̱guanꞌ,Scripture
γραφή,283,unigram,feminine,nominative,plural,yya,1.1545032555696282,yya,Scripture
γραφή,346,unigram,feminine,nominative,singular,si-nu̱guanꞌ,1.0481967293703471,si-nu̱guanꞌ,Scripture
ἄγγελος,110,unigram,masculine,accusative,plural,ángel,1.0299360493594427,ángel,angel
ἄγγελος,51,unigram,masculine,nominative,plural,ángel,3.5438098601177903,ángel,angel
ἄγγελος,121,unigram,masculine,nominative,singular,ángel,2.3870520188676756,ángel,angel
ἀπόστολος,8,unigram,masculine,nominative,singular,si-xuruꞌue,1.4279388484238649,si-xuruꞌue,apostle
ἐξουσία,73,unigram,feminine,accusative,plural,na̱chinj,1.056550923011794,na̱chinj,authority
ἐξουσία,220,unigram,feminine,accusative,singular,sun,1.6751708201431852,sun,authority
βρέφος,21,unigram,neuter,accusative,plural,gu̱taꞌ,1.0608306396370195,gu̱taꞌ,babies
βρέφος,344,unigram,neuter,accusative,singular,xucu,1.1748577810617318,xucu,babies
φραγμός,126,unigram,masculine,accusative,singular,gánj,1.1454672352426896,gánj,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,na̱chinj,1.0564699990275652,na̱chinj,beginning
ἀρχή,202,unigram,feminine,accusative,singular,―Asi̱j,1.0493473084809124,―Asi̱j,beginning
ζώνη,194,unigram,feminine,accusative,plural,cobre,1.161328723715616,cobre,belt
βλασφημία,37,unigram,feminine,accusative,plural,―Daꞌngaꞌ,1.2026346586304515,―Daꞌngaꞌ,blasphemy
βλασφημία,107,unigram,feminine,accusative,singular,Acuanꞌ,1.096091603901298,Acuanꞌ,blasphemy
βλασφημία,227,unigram,feminine,nominative,plural,Ani,1.039622028193032,Ani,blasphemy
βλασφημία,91,unigram,feminine,nominative,singular,xicoj,1.002317755115734,xicoj,blasphemy
πλοῖον,119,unigram,neuter,accusative,plural,rio̱,1.876833972811203,rio̱,boat
πλοῖον,329,unigram,neuter,accusative,singular,rio̱,2.6661833734279705,rio̱,boat
πλοῖον,260,unigram,neuter,nominative,plural,jna,1.3580692836570143,jna,boat
πλοῖον,248,unigram,neuter,nominative,singular,rio̱,1.6688294316762138,rio̱,boat
σῶμα,64,unigram,neuter,nominative,singular,nnee̱,1.4662558483244081,nnee̱,body
κλῆμα,60,unigram,neuter,nominative,plural,disūnj,1.0960768946513286,disūnj,branch
κλῆμα,167,unigram,neuter,nominative,singular,coj,1.0309854109964156,coj,branch
ἄρτος,334,unigram,masculine,accusative,plural,chrachrúnj,4.271696835879317,chrachrúnj,bread
ἄρτος,364,unigram,masculine,accusative,singular,chrachrúnj,2.5937707178850133,chrachrúnj,bread
ἄρτος,177,unigram,masculine,nominative,plural,chrachrúnj,1.894409652759388,chrachrúnj,bread
ἄρτος,43,unigram,masculine,nominative,singular,chrachrúnj,2.7327626079434513,chrachrúnj,bread
ἀδελφός,318,unigram,masculine,accusative,plural,jnánj,2.2331513637573104,jnánj,brother
ἀδελφός,135,unigram,masculine,accusative,singular,jnánj,3.199887934408181,jnánj,brother
ἀδελφός,125,unigram,masculine,nominative,plural,jnánj,2.1599378489236165,jnánj,brother
ἀδελφός,253,unigram,masculine,nominative,singular,jnánj,3.0894639166485978,jnánj,brother
στῆθος,173,unigram,neuter,accusative,plural,guita,1.8048678958323037,guita,"chest, breast"
ἀρχιερεύς,263,unigram,masculine,accusative,plural,aꞌninꞌ,1.7131786738817532,aꞌninꞌ,chief priest
ἀρχιερεύς,65,unigram,masculine,accusative,singular,Caifás,1.4012914557817735,Caifás,chief priest
ἀρχιερεύς,134,unigram,masculine,nominative,plural,aꞌninꞌ,1.4178326479349967,aꞌninꞌ,chief priest
ἀρχιερεύς,268,unigram,masculine,nominative,singular,chrej,1.546933827248615,chrej,chief priest
παῖς,257,unigram,masculine,accusative,plural,gaꞌman,1.3660442337051228,gaꞌman,child
τέκνον,356,unigram,neuter,accusative,plural,daꞌníj,2.2855821844604334,daꞌníj,child
τέκνον,199,unigram,neuter,accusative,singular,jnánj,1.6089578423806892,jnánj,child
τέκνον,212,unigram,neuter,nominative,singular,Daꞌnī,1.7385414311484413,Daꞌnī,child
παιδίον,20,unigram,neuter,accusative,plural,le,1.0797356394499231,le,child
παιδίον,101,unigram,neuter,accusative,singular,lij,1.1603613350902708,lij,child
παιδίον,192,unigram,neuter,nominative,plural,chranꞌ,1.0122603356106945,chranꞌ,child
παιδίον,45,unigram,neuter,nominative,singular,lij,1.0533508861771286,lij,child
πόλις,203,unigram,feminine,accusative,plural,rancho,1.1300839993754663,rancho,city
πόλις,69,unigram,feminine,accusative,singular,xumanꞌ,3.726307580343157,xumanꞌ,city
πύλη,286,unigram,feminine,nominative,plural,uneꞌ,1.1062887916934805,uneꞌ,city gate
πύλη,226,unigram,feminine,nominative,singular,atuj,1.1954068388974228,atuj,city gate
χιτών,131,unigram,masculine,accusative,plural,atsij,1.3773509335009837,atsij,"clothing, undergarments"
χιτών,34,unigram,masculine,accusative,singular,si-gató,1.3987871903601392,si-gató,"clothing, undergarments"
ἱμάτιον,147,unigram,neuter,accusative,plural,si-ganꞌ,3.6460273766836964,si-ganꞌ,coat
ἱμάτιον,146,unigram,neuter,accusative,singular,atsij,1.560938743696666,atsij,coat
ἐντολή,88,unigram,feminine,accusative,plural,aꞌnīj,1.0301708684211544,aꞌnīj,commandment
ἐντολή,86,unigram,feminine,accusative,singular,gaꞌninꞌ,1.0880886343175098,gaꞌninꞌ,commandment
συνέδριον,338,unigram,neuter,accusative,plural,du̱guayun,1.0578097388355268,du̱guayun,council
συνέδριον,55,unigram,neuter,accusative,singular,junta,1.365756861648247,junta,council
χώρα,308,unigram,feminine,accusative,singular,gadareno,1.2171258892089805,gadareno,"country, countryside"
ὄχλος,61,unigram,masculine,accusative,plural,ngüi̱,1.0243345896482705,ngüi̱,crowd
ὄχλος,13,unigram,masculine,accusative,singular,ngüi̱,3.4740098736469585,ngüi̱,crowd
ὄχλος,112,unigram,masculine,nominative,plural,ngüi̱,3.0882329034973868,ngüi̱,crowd
ὄχλος,300,unigram,masculine,nominative,singular,ngüi̱,2.852531258111219,ngüi̱,crowd
θυγάτηρ,129,unigram,feminine,nominative,plural,―Gu̱nun,1.029843537084391,―Gu̱nun,daughter
θυγάτηρ,333,unigram,feminine,nominative,singular,daꞌni̱,1.5556414502231235,daꞌni̱,daughter
ἡμέρα,80,unigram,feminine,accusative,plural,güi,3.193365904105596,güi,day
ἡμέρα,92,unigram,feminine,accusative,singular,güi,1.2191388310017637,güi,day
ἡμέρα,2,unigram,feminine,nominative,plural,güi,5.173259065100674,güi,day
