lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1280_translation,version_1281_translation,english_translation
θεός,139,unigram,masculine,accusative,singular,Maaron,10.378159832994202,Maaron,Maaron,God
θεός,218,unigram,masculine,nominative,singular,Maaron,17.93832330313979,Maaron,Maaron,God
κύριος,140,unigram,masculine,nominative,singular,Tiina,11.955072958261432,Tiina,Tiina,"Lord, lord, master"
γραφή,134,unigram,feminine,accusative,plural,,,awatag,awatagh,Scripture
γραφή,52,unigram,feminine,accusative,singular,,,timbooda,tiboode,Scripture
γραφή,276,unigram,feminine,nominative,plural,,,timbooda,tiboode,Scripture
γραφή,340,unigram,feminine,nominative,singular,,,timbooda,tiboode,Scripture
ἄγγελος,102,unigram,masculine,accusative,plural,aŋela,4.83726121460859,aŋela,aŋela,angel
ἄγγελος,88,unigram,masculine,accusative,singular,3:1,1.1522055318837543,3:1,3:1,angel
ἄγγελος,48,unigram,masculine,nominative,plural,aŋela,14.338242789722935,aŋela,aŋela,angel
ἄγγελος,112,unigram,masculine,nominative,singular,aŋela,12.784073330630926,aŋela,aŋela,angel
ἀπόστολος,45,unigram,masculine,nominative,plural,mbaŋooŋa,4.100405662907059,mbaŋooŋa,mbaŋooŋa,apostle
ἀπόστολος,6,unigram,masculine,nominative,singular,mbaŋooŋa,1.555407361293047,mbaŋooŋa,mbaŋooŋa,apostle
ἐξουσία,74,unigram,feminine,accusative,plural,13:11,1.4223497701848542,13:11,13:11,authority
ἐξουσία,207,unigram,feminine,accusative,singular,,,sambadi,uraat,authority
βρέφος,17,unigram,neuter,accusative,plural,,,tiyaan,tiyaon,babies
βρέφος,339,unigram,neuter,accusative,singular,inadi,1.0316906492713498,inadi,,babies
ἀποθήκη,282,unigram,feminine,accusative,plural,,,mbeez,balbaal,barn
ἀποθήκη,73,unigram,feminine,accusative,singular,,,wit,poghania,barn
φραγμός,117,unigram,masculine,accusative,singular,pisooŋ,1.0602668404336812,,pisooŋ,"barrier, wall"
ἀρχή,76,unigram,feminine,accusative,plural,13:11,1.4217456899827314,13:11,13:11,beginning
ἀρχή,189,unigram,feminine,accusative,singular,navovotia,1.0662807816552895,navovotia,,beginning
ζώνη,180,unigram,feminine,accusative,plural,lugluug,1.0446446386272212,,lugluug,belt
βλασφημία,216,unigram,feminine,nominative,plural,samsamia,1.143117866954337,samsamia,,blasphemy
βλασφημία,89,unigram,feminine,nominative,singular,,,samsamia,1:13,blasphemy
πλοῖον,110,unigram,neuter,accusative,plural,waaŋ,2.4944188247564743,waaŋ,waaŋ,boat
πλοῖον,326,unigram,neuter,accusative,singular,waaŋ,4.77242287962056,waaŋ,waaŋ,boat
πλοῖον,249,unigram,neuter,nominative,plural,Waaŋ,2.118141636273876,Waaŋ,Waaŋ,boat
πλοῖον,237,unigram,neuter,nominative,singular,ighaughau,1.1348684240170879,ighaughau,ighaughau,boat
σῶμα,226,unigram,neuter,nominative,plural,timaat,1.724018298386437,timaat,timaat,body
σῶμα,63,unigram,neuter,nominative,singular,anoŋam,1.0512572028852103,,anoŋam,body
κλῆμα,59,unigram,neuter,nominative,plural,5:22+,1.1613200159490844,5:22+,,branch
κλῆμα,156,unigram,neuter,nominative,singular,,,boga,ipaak,branch
ἄρτος,330,unigram,masculine,accusative,plural,mberet,6.809086226731828,mberet,mberet,bread
ἄρτος,355,unigram,masculine,accusative,singular,aniiŋ,2.0982107008267383,aniiŋ,aniiŋ,bread
ἄρτος,163,unigram,masculine,nominative,plural,aniiŋ,2.128361981240289,aniiŋ,aniiŋ,bread
ἄρτος,38,unigram,masculine,nominative,singular,Aniiŋ,1.4182742419941026,Aniiŋ,Aniiŋ,bread
ἀδελφός,316,unigram,masculine,accusative,plural,toŋvetaz,3.546947427002743,toŋvetaz,toŋvetaz,brother
ἀδελφός,126,unigram,masculine,accusative,singular,,,tazi,taazi,brother
ἀδελφός,116,unigram,masculine,nominative,plural,,,nditazi,tazŋa,brother
ἀδελφός,242,unigram,masculine,nominative,singular,,,tazi,taazi,brother
στῆθος,160,unigram,neuter,accusative,plural,Amos,1.212541630128925,Amos,,"chest, breast"
στῆθος,300,unigram,neuter,accusative,singular,,,indaleel,ighasoni,"chest, breast"
ἀρχιερεύς,254,unigram,masculine,accusative,plural,watooŋrau,3.390327179231509,watooŋrau,watooŋrau,chief priest
ἀρχιερεύς,64,unigram,masculine,accusative,singular,watooŋrau,1.4905053714045795,watooŋrau,watooŋrau,chief priest
ἀρχιερεύς,125,unigram,masculine,nominative,plural,watooŋrau,1.510571822401965,watooŋrau,watooŋrau,chief priest
ἀρχιερεύς,260,unigram,masculine,nominative,singular,watooŋrau,4.356178303374981,watooŋrau,watooŋrau,chief priest
παῖς,246,unigram,masculine,accusative,plural,,,nditamoot,zitamoot,child
παῖς,50,unigram,masculine,accusative,singular,ipardaŋdaŋ,1.044700631352704,,ipardaŋdaŋ,child
τέκνον,347,unigram,neuter,accusative,plural,,,ndinatu,natŋa,child
τέκνον,186,unigram,neuter,accusative,singular,,,ndolman,zolman,child
τέκνον,18,unigram,neuter,nominative,plural,,,ndipain,zolman,child
τέκνον,200,unigram,neuter,nominative,singular,natug,1.4220173984019668,natug,natug,child
παιδίον,16,unigram,neuter,accusative,plural,apoon,1.2745848491326575,apoon,apoon,child
παιδίον,96,unigram,neuter,accusative,singular,,,pain,marani,child
παιδίον,178,unigram,neuter,nominative,plural,,,ndipain,geegeu,child
παιδίον,40,unigram,neuter,nominative,singular,,,kainaŋen,marani,child
πόλις,190,unigram,feminine,accusative,plural,,,ndug,nugh,city
πόλις,68,unigram,feminine,accusative,singular,,,ndug,nugh,city
πύλη,215,unigram,feminine,nominative,singular,tataghoni,2.056385766818449,tataghoni,tataghoni,city gate
χιτών,122,unigram,masculine,accusative,plural,titi,1.1249183547345023,,titi,"clothing, undergarments"
χιτών,30,unigram,masculine,accusative,singular,,,moŋeŋaaŋ,ŋgoaaŋ,"clothing, undergarments"
ἱμάτιον,137,unigram,neuter,accusative,plural,,,nonogiiŋa,nonoghiiŋa,coat
ἱμάτιον,136,unigram,neuter,accusative,singular,,,moŋeŋaaŋ,nonoghiiŋa,coat
ἐντολή,86,unigram,feminine,accusative,plural,kisin,2.7876533131047423,kisin,kisin,commandment
ἐντολή,84,unigram,feminine,accusative,singular,tutuuŋ,2.187214498796481,tutuuŋ,tutuuŋ,commandment
συνέδριον,54,unigram,neuter,accusative,singular,pooza,1.5567931619725763,pooza,pooza,council
χώρα,305,unigram,feminine,accusative,singular,tiraav,1.5290476166244513,tiraav,tiraav,"country, countryside"
ὄχλος,60,unigram,masculine,accusative,plural,,,ival,eval,crowd
ὄχλος,11,unigram,masculine,accusative,singular,,,ival,eval,crowd
ὄχλος,104,unigram,masculine,nominative,plural,tiina,1.268771194128271,tiina,tiina,crowd
ὄχλος,295,unigram,masculine,nominative,singular,,,tiina,eval,crowd
θυγάτηρ,120,unigram,feminine,nominative,plural,Ataŋ,1.202778110800049,Ataŋ,Ataŋ,daughter
θυγάτηρ,329,unigram,feminine,nominative,singular,,,liva,natliva,daughter
ἡμέρα,79,unigram,feminine,accusative,plural,mboŋ,11.485316807344898,mboŋ,mboŋ,day
ἡμέρα,90,unigram,feminine,accusative,singular,,,Rumai,Rumei,day
ἡμέρα,2,unigram,feminine,nominative,plural,,,sawa,saawe,day
ἡμέρα,70,unigram,feminine,nominative,singular,,,Tinepneep,Tilepleep,day
ὀφειλέτης,262,unigram,masculine,nominative,plural,Aghe,1.097170674670268,,Aghe,debtor
ὀφειλέτης,128,unigram,masculine,nominative,singular,Tanini,1.3509359954712887,Tanini,Tanini,debtor
δαιμόνιον,31,unigram,neuter,accusative,plural,,,samsamiadi,avuvu,demon
δαιμόνιον,343,unigram,neuter,accusative,singular,,,samia,saghati,demon
δαιμόνιον,202,unigram,neuter,nominative,plural,,,samsamiadi,sasaghati,demon
δαιμόνιον,176,unigram,neuter,nominative,singular,avuvu,1.4422672353706496,avuvu,avuvu,demon
δηνάριον,321,unigram,neuter,accusative,plural,denari,4.257572812399948,denari,denari,denarius (about a day's wages)
δηνάριον,165,unigram,neuter,accusative,singular,denari,1.1294964018544276,denari,,denarius (about a day's wages)
μαθητής,183,unigram,masculine,accusative,plural,,,taghoniiŋa,mbiwa,disciple
μαθητής,348,unigram,masculine,accusative,singular,,,taghoniiŋa,Petrus,disciple
μαθητής,287,unigram,masculine,nominative,plural,,,taghoniiŋa,mbiwa,disciple
μαθητής,346,unigram,masculine,nominative,singular,,,taghoniiŋa,mbiwa,disciple
νόσος,3,unigram,feminine,accusative,plural,moroghooŋ,1.783020670126018,moroghooŋ,moroghooŋ,disease
νόσος,78,unigram,feminine,accusative,singular,moroghooŋ,2.1633691419501733,moroghooŋ,moroghooŋ,disease
περιστερά,103,unigram,feminine,accusative,plural,,,mbaluuz,mbuun,dove
περιστερά,56,unigram,feminine,accusative,singular,,,mbaluuz,mbuun,dove
οὖς,155,unigram,neuter,accusative,plural,,,taliŋa,taliiŋa,ear
οὖς,294,unigram,neuter,accusative,singular,ŋgozaaŋ,1.205575045799807,ŋgozaaŋ,ŋgozaaŋ,ear
σεισμός,208,unigram,masculine,nominative,plural,,,yoŋgyoog,yogyoog,"earthquakes, storm"
σεισμός,66,unigram,masculine,nominative,singular,,,Mala,Malau,"earthquakes, storm"
τέλος,284,unigram,neuter,accusative,singular,mulini,1.316412560589548,mulini,mulini,end
αἰών,247,unigram,masculine,accusative,plural,2:44,1.4743078046811382,2:44,2:44,eternity
αἰών,317,unigram,masculine,accusative,singular,alok,1.4558839138764523,alok,alok,eternity
ὀφθαλμός,24,unigram,masculine,accusative,plural,,,mata,maata,eye
ὀφθαλμός,67,unigram,masculine,nominative,plural,,,matadi,matazi,eye
ὀφθαλμός,314,unigram,masculine,nominative,singular,matam,2.680575777678732,matam,matam,eye
πρόσωπον,197,unigram,neuter,accusative,singular,Usasavia,1.2528153670633946,Usasavia,Usasavia,face
λιμός,7,unigram,feminine,nominative,plural,,,yoŋgyoog,yogyoog,famine
λιμός,141,unigram,masculine,nominative,singular,1King,1.1234116384012003,1King,1King,famine
γεωργός,261,unigram,masculine,nominative,plural,uraata,1.1431284928696253,uraata,uraata,"farmer, tenant"
γεωργός,51,unigram,masculine,nominative,singular,80:8+,2.32660743389324,80:8+,80:8+,"farmer, tenant"
πατήρ,320,unigram,masculine,accusative,singular,Tamaŋ,4.246344055641055,Tamaŋ,Tamaŋ,father
πατήρ,328,unigram,masculine,nominative,plural,muuŋ,1.2334146317719867,muuŋ,muuŋ,father
πατήρ,191,unigram,masculine,nominative,singular,Tamaŋ,9.528584403214255,Tamaŋ,Tamaŋ,father
σύνδουλος,149,unigram,masculine,accusative,plural,ipakpaak,1.258926606682209,,ipakpaak,"fellow-servant, colleague"
σύνδουλος,92,unigram,masculine,accusative,singular,4:32,1.4491312505525238,4:32,4:32,"fellow-servant, colleague"
σύνδουλος,332,unigram,masculine,nominative,plural,,,tipaes,Lolozi,"fellow-servant, colleague"
σύνδουλος,118,unigram,masculine,nominative,singular,,,utatan,nayat,"fellow-servant, colleague"
ἀγρός,342,unigram,masculine,accusative,plural,toŋvetaz,1.0213467256344182,,toŋvetaz,field
ἀγρός,39,unigram,masculine,accusative,singular,,,tighol,uum,field
δάκτυλος,182,unigram,masculine,accusative,singular,kiruuŋ,1.1234154326786403,kiruuŋ,kiruuŋ,finger
ἰχθύς,158,unigram,masculine,accusative,plural,iigh,1.2699539406708176,iigh,iigh,fish
ἰχθύς,196,unigram,masculine,accusative,singular,moot,1.4113228780279479,moot,moot,fish
δίκτυον,111,unigram,neuter,accusative,plural,,,malum,puugh,fishing net
δίκτυον,205,unigram,neuter,accusative,singular,,,malum,puugh,fishing net
δίκτυον,177,unigram,neuter,nominative,plural,tiŋgud,1.0960965115985384,tiŋgud,,fishing net
τροφή,251,unigram,feminine,accusative,plural,itib,1.106282796604272,itib,,food
τροφή,338,unigram,feminine,accusative,singular,,,imbees,ibees,food
πούς,243,unigram,masculine,accusative,plural,,,aghe,aaghe,foot
πούς,115,unigram,masculine,accusative,singular,tipalot,1.09733501025429,,tipalot,foot
