lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1917_translation,english_translation
θεός,374,unigram,masculine,accusative,plural,Naa,1.4847371197823391,Naa,God
θεός,160,unigram,masculine,accusative,singular,Baa,1.7993567108829556,Baa,God
θεός,35,unigram,masculine,nominative,plural,liñgi,1.119780249536036,liñgi,God
θεός,242,unigram,masculine,nominative,singular,Baa,6.004016167759525,Baa,God
κύριος,376,unigram,masculine,nominative,plural,gerheçeçn,1.181869835780783,gerheçeçn,"Lord, lord, master"
κύριος,161,unigram,masculine,nominative,singular,Wañkluu,4.588483770598704,Wañkluu,"Lord, lord, master"
γραφή,155,unigram,feminine,accusative,plural,yergen,1.5467434121069985,yergen,Scripture
γραφή,62,unigram,feminine,accusative,singular,boor,1.1063446289765493,boor,Scripture
γραφή,304,unigram,feminine,nominative,plural,yer,2.083008597340633,yer,Scripture
γραφή,370,unigram,feminine,nominative,singular,yerge,2.053734147129523,yerge,Scripture
ἄγγελος,120,unigram,masculine,accusative,plural,peele,2.3013307069624123,peele,angel
ἄγγελος,101,unigram,masculine,accusative,singular,faagen,1.1490941781765884,faagen,angel
ἄγγελος,58,unigram,masculine,nominative,plural,peele,3.062346008127101,peele,angel
ἄγγελος,131,unigram,masculine,nominative,singular,peele,3.610920813335887,peele,angel
ἀπόστολος,55,unigram,masculine,nominative,plural,peele,2.043823611669447,peele,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,weejoçoç,1.059086305798545,weejoçoç,apostle
ἐξουσία,83,unigram,feminine,accusative,plural,wañren,1.0188334144658446,wañren,authority
ἐξουσία,231,unigram,feminine,accusative,singular,eegre,2.0184346035608094,eegre,authority
βρέφος,20,unigram,neuter,accusative,plural,kloçyre,1.2929325700400602,kloçyre,babies
βρέφος,369,unigram,neuter,accusative,singular,i,1.1734716045638818,i,babies
ἀποθήκη,311,unigram,feminine,accusative,plural,boole,1.8581442371978416,boole,barn
ἀποθήκη,82,unigram,feminine,accusative,singular,boole,1.3861411174714335,boole,barn
φραγμός,271,unigram,masculine,accusative,plural,payren,1.2928973731003992,payren,"barrier, wall"
φραγμός,136,unigram,masculine,accusative,singular,haçë,1.0595319950666118,haçë,"barrier, wall"
ἀρχή,85,unigram,feminine,accusative,plural,wañren,1.0188047854881723,wañren,beginning
ἀρχή,212,unigram,feminine,accusative,singular,wern,1.1796099268067013,wern,beginning
ζώνη,205,unigram,feminine,accusative,plural,siisii,1.0810827684916444,siisii,belt
βλασφημία,39,unigram,feminine,accusative,plural,ëar,1.2027923553295938,ëar,blasphemy
βλασφημία,117,unigram,feminine,accusative,singular,pa.,1.0312677138356052,pa.,blasphemy
βλασφημία,240,unigram,feminine,nominative,plural,wom,1.1062485993005018,wom,blasphemy
βλασφημία,102,unigram,feminine,nominative,singular,loë,1.1062485993005018,loë,blasphemy
πλοῖον,129,unigram,neuter,accusative,plural,daage,2.2212693086052937,daage,boat
πλοῖον,354,unigram,neuter,accusative,singular,daage,2.1860307767547957,daage,boat
πλοῖον,277,unigram,neuter,nominative,plural,Daage,1.2560353802588686,Daage,boat
πλοῖον,262,unigram,neuter,nominative,singular,daagen,2.4685103574818608,daagen,boat
σῶμα,250,unigram,neuter,nominative,plural,kosge,1.127832731335614,kosge,body
σῶμα,73,unigram,neuter,nominative,singular,hoçoçgesee,2.4524043566539637,hoçoçgesee,body
κλῆμα,69,unigram,neuter,nominative,plural,tlalum,1.1195293774006,tlalum,branch
κλῆμα,179,unigram,neuter,nominative,singular,tayge,1.4505370940360118,tayge,branch
ἄρτος,358,unigram,masculine,accusative,plural,hole,3.397692143236387,hole,bread
ἄρτος,385,unigram,masculine,accusative,singular,hole,1.086444776928435,hole,bread
ἄρτος,188,unigram,masculine,nominative,plural,hole,1.8023598766197249,hole,bread
ἄρτος,48,unigram,masculine,nominative,singular,hole,1.162658030667598,hole,bread
ἀδελφός,344,unigram,masculine,accusative,plural,heçeçre,2.929595332393068,heçeçre,brother
ἀδελφός,146,unigram,masculine,accusative,singular,Jag,1.274402684907321,Jag,brother
ἀδελφός,135,unigram,masculine,nominative,plural,heçeçre,2.1917764208388872,heçeçre,brother
ἀδελφός,269,unigram,masculine,nominative,singular,weegeman,2.519971583146936,weegeman,brother
στῆθος,184,unigram,neuter,accusative,plural,Ngaäa,1.1315345316325067,Ngaäa,"chest, breast"
στῆθος,329,unigram,neuter,accusative,singular,jiili,1.2054419031930916,jiili,"chest, breast"
ἀρχιερεύς,282,unigram,masculine,accusative,plural,wañre,1.317809482509221,wañre,chief priest
ἀρχιερεύς,74,unigram,masculine,accusative,singular,sië,1.06558740743492,sië,chief priest
ἀρχιερεύς,145,unigram,masculine,nominative,plural,sië,1.8858863135607025,sië,chief priest
ἀρχιερεύς,287,unigram,masculine,nominative,singular,jagn,1.4242526329349967,jagn,chief priest
παῖς,274,unigram,masculine,accusative,plural,weere,1.3015377301866764,weere,child
παῖς,60,unigram,masculine,accusative,singular,vbal,1.1063428775234152,vbal,child
τέκνον,378,unigram,neuter,accusative,plural,weere,4.7269833271143655,weere,child
τέκνον,210,unigram,neuter,accusative,singular,paçaçre,1.016824143308144,paçaçre,child
τέκνον,21,unigram,neuter,nominative,plural,paçaçre,1.0938597490618351,paçaçre,child
τέκνον,224,unigram,neuter,nominative,singular,na'aç,1.2388509629320423,na'aç,child
παιδίον,19,unigram,neuter,accusative,plural,Men,1.3250500624814143,Men,child
παιδίον,111,unigram,neuter,accusative,singular,weeln,1.164938679880006,weeln,child
παιδίον,204,unigram,neuter,nominative,plural,weere,1.2938531376801514,weere,child
παιδίον,50,unigram,neuter,nominative,singular,weeklee,1.3933596676216715,weeklee,child
πόλις,213,unigram,feminine,accusative,plural,leege,1.086041552067092,leege,city
πόλις,78,unigram,feminine,accusative,singular,leege,1.7734609940766648,leege,city
πύλη,308,unigram,feminine,nominative,plural,Huli,1.0960622061228922,Huli,city gate
πύλη,239,unigram,feminine,nominative,singular,krweñ,1.235752039473346,krweñ,city gate
χιτών,141,unigram,masculine,accusative,plural,oçoçbe,1.5596448417271107,oçoçbe,"clothing, undergarments"
χιτών,36,unigram,masculine,accusative,singular,oçoçbe,1.651656500926146,oçoçbe,"clothing, undergarments"
ἱμάτιον,158,unigram,neuter,accusative,plural,oçoçbe,3.1074374688571877,oçoçbe,coat
ἱμάτιον,157,unigram,neuter,accusative,singular,oçoçbe,4.3487953608461245,oçoçbe,coat
