lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_958_translation,english_translation
θεός,286,unigram,masculine,accusative,plural,kwamatiye,1.2154724280609577,kwamatiye,God
θεός,115,unigram,masculine,accusative,singular,Kwama,3.4664122648148514,Kwama,God
θεός,23,unigram,masculine,nominative,plural,Kwamati,1.1634492944761523,Kwamati,God
θεός,180,unigram,masculine,nominative,singular,Kwama,10.035805060050915,Kwama,God
κύριος,116,unigram,masculine,nominative,singular,Tewuduwe,8.122798596766433,Tewuduwe,"Lord, lord, master"
γραφή,110,unigram,feminine,accusative,plural,Kwamamu,1.0440413488104154,Kwamamu,Scripture
γραφή,40,unigram,feminine,accusative,singular,Kwamam,1.3476183725584896,Kwamam,Scripture
γραφή,227,unigram,feminine,nominative,plural,rii,1.2903023960274267,rii,Scripture
γραφή,280,unigram,feminine,nominative,singular,Kwamam,1.4624754561215594,Kwamam,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,ti̱tumbi̱ri,2.9013785794674143,ti̱tumbi̱ri,angel
ἄγγελος,69,unigram,masculine,accusative,singular,di̱tumbi̱re,1.5151204921323913,di̱tumbi̱re,angel
ἄγγελος,38,unigram,masculine,nominative,plural,ti̱tumbi̱ri,2.3449233650718644,ti̱tumbi̱ri,angel
ἄγγελος,90,unigram,masculine,nominative,singular,di̱tumbi̱re,3.261049007181588,di̱tumbi̱re,angel
ἀπόστολος,35,unigram,masculine,nominative,plural,fandubu,1.399212063981461,fandubu,apostle
ἀπόστολος,3,unigram,masculine,nominative,singular,Fandu,1.1683005890705254,Fandu,apostle
ἐξουσία,170,unigram,feminine,accusative,singular,dukanu,1.0677253455983684,dukanu,authority
βρέφος,11,unigram,neuter,accusative,plural,ki̱ki̱l,1.458175639321354,ki̱ki̱l,babies
βρέφος,279,unigram,neuter,accusative,singular,ti̱u,1.6527209050639204,ti̱u,babies
ἀποθήκη,58,unigram,feminine,accusative,singular,furitu,1.064738751859238,furitu,barn
φραγμός,200,unigram,masculine,accusative,plural,Ki̱latuwe,1.096057314542422,Ki̱latuwe,"barrier, wall"
φραγμός,94,unigram,masculine,accusative,singular,sudu,1.1208528301850944,sudu,"barrier, wall"
ἀρχή,153,unigram,feminine,accusative,singular,di̱Ki̱ne,1.0493379808291403,di̱Ki̱ne,beginning
βλασφημία,26,unigram,feminine,accusative,plural,swa̱ba̱ni̱me,1.2125775833869603,swa̱ba̱ni̱me,blasphemy
βλασφημία,178,unigram,feminine,nominative,plural,swa̱ba,1.6157273957281804,swa̱ba,blasphemy
βλασφημία,70,unigram,feminine,nominative,singular,swa̱ba,1.4605463878099645,swa̱ba,blasphemy
πλοῖον,267,unigram,neuter,accusative,singular,kwa̱mbi̱re,1.4900490637139123,kwa̱mbi̱re,boat
πλοῖον,206,unigram,neuter,nominative,plural,kwa̱mbi̱ri,1.1135622401149463,kwa̱mbi̱ri,boat
πλοῖον,193,unigram,neuter,nominative,singular,kwa̱mbi̱re,1.64325235736442,kwa̱mbi̱re,boat
σῶμα,50,unigram,neuter,nominative,singular,bwiyi,1.4523872506669733,bwiyi,body
κλῆμα,129,unigram,neuter,nominative,singular,ki̱yange,1.2930193050964565,ki̱yange,branch
ἄρτος,294,unigram,masculine,accusative,singular,chabtu,1.0385430542752423,chabtu,bread
ἄρτος,30,unigram,masculine,nominative,singular,nang,1.0447357903699532,nang,bread
ἀδελφός,258,unigram,masculine,accusative,plural,kebu,2.4214778551957226,kebu,brother
ἀδελφός,102,unigram,masculine,accusative,singular,Yakubu,1.1182026972879646,Yakubu,brother
ἀδελφός,93,unigram,masculine,nominative,plural,kebu,3.32161596171947,kebu,brother
ἀδελφός,198,unigram,masculine,nominative,singular,keko,1.1721831033932004,keko,brother
στῆθος,245,unigram,neuter,accusative,singular,kwiye,1.6887832781407046,kwiye,"chest, breast"
ἀρχιερεύς,210,unigram,masculine,accusative,plural,fansetiye,1.9226027574010776,fansetiye,chief priest
ἀρχιερεύς,51,unigram,masculine,accusative,singular,di̱Kayafa,1.1600387384222581,di̱Kayafa,chief priest
ἀρχιερεύς,101,unigram,masculine,nominative,plural,fansetiye,1.1499378653137429,fansetiye,chief priest
ἀρχιερεύς,214,unigram,masculine,nominative,singular,Fanse,1.6446255678494859,Fanse,chief priest
παῖς,203,unigram,masculine,accusative,plural,ni̱r,1.0577264699669882,ni̱r,child
τέκνον,289,unigram,neuter,accusative,plural,bwesi̱m,2.1781400159932605,bwesi̱m,child
τέκνον,150,unigram,neuter,accusative,singular,bwesi̱mu,1.0364084758091217,bwesi̱mu,child
τέκνον,163,unigram,neuter,nominative,singular,Bwemi,1.7822418379480822,Bwemi,child
παιδίον,10,unigram,neuter,accusative,plural,bi̱ti̱ri̱mu,1.0280712738398663,bi̱ti̱ri̱mu,child
παιδίον,77,unigram,neuter,accusative,singular,bwe,2.0436769757905817,bwe,child
παιδίον,32,unigram,neuter,nominative,singular,fwa̱ne,1.5026318760475297,fwa̱ne,child
πόλις,154,unigram,feminine,accusative,plural,bi̱nti̱tu,1.8632887896250196,bi̱nti̱tu,city
πόλις,54,unigram,feminine,accusative,singular,bi̱n,3.1713420173313027,bi̱n,city
