lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1942_translation,version_1943_translation,version_1944_translation,version_1945_translation,english_translation
θεός,118,unigram,masculine,accusative,singular,Tanrı'yı,6.337984523287085,Tanrı'yı,Tanrı'yı,Allaha,Танръ'йъ,God
θεός,27,unigram,masculine,nominative,plural,,,ilahlarsınız,,ilâhlarsınız,,God
θεός,185,unigram,masculine,nominative,singular,Tanrı,6.915612750830025,Tanrı,Tanrı,Allah,Танръ,God
κύριος,119,unigram,masculine,nominative,singular,Rab,21.484894602617736,Rab,Rab,Rab,Раб,"Lord, lord, master"
γραφή,114,unigram,feminine,accusative,plural,Yazılar,1.5940961325331355,Yazılar,Yazılar,kitapları,Язълар,Scripture
γραφή,49,unigram,feminine,accusative,singular,Yazı'yı,3.2863452369435557,Yazı'yı,Yazı'yı,,,Scripture
γραφή,233,unigram,feminine,nominative,plural,yerine,2.003622403486912,yerine,Yazılar,yerine,Язълар,Scripture
γραφή,287,unigram,feminine,nominative,singular,,,Yazı,Kutsal,yerine,Кутсал,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,meleklerini,1.6051141765424712,meleklerini,göğün,meleklerini,гьоюн,angel
ἄγγελος,79,unigram,masculine,accusative,singular,хаберджими,1.0946482093748473,,,,хаберджими,angel
ἄγγελος,45,unigram,masculine,nominative,plural,melekler,6.336984690851703,melekler,Melekler,melekler,мелеклер,angel
ἄγγελος,97,unigram,masculine,nominative,singular,meleği,1.270643485959763,meleği,meleği,,мелеи,angel
ἀπόστολος,42,unigram,masculine,nominative,plural,,,Elçiler,Haberciler,Resuller,Елчилер,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,gönderenden,1.0960817954296525,gönderenden,,,,apostle
ἐξουσία,177,unigram,feminine,accusative,singular,yetki,3.284199587381937,yetki,yetki,hâkimiyet,йетки,authority
βρέφος,15,unigram,neuter,accusative,plural,,,bebekleri,ufacık,dokunsun,бебеклери,babies
βρέφος,285,unigram,neuter,accusative,singular,yatan,3.5629067230682936,yemlikte,yatan,yatan,йемликте,babies
