lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1918_translation,english_translation
θεός,109,unigram,masculine,accusative,singular,Akuj,6.3957757144566605,Akuj,God
θεός,23,unigram,masculine,nominative,plural,ngakujo,1.297245534178382,ngakujo,God
θεός,174,unigram,masculine,nominative,singular,Akuj,5.903728389326378,Akuj,God
κύριος,110,unigram,masculine,nominative,singular,Ekapolon,2.6390640998473187,Ekapolon,"Lord, lord, master"
γραφή,105,unigram,feminine,accusative,plural,ngagiran,2.434074029502925,ngagiran,Scripture
γραφή,40,unigram,feminine,accusative,singular,ngagiran,1.615336190825939,ngagiran,Scripture
γραφή,220,unigram,feminine,nominative,plural,iyookin,1.1313246560260657,iyookin,Scripture
γραφή,270,unigram,feminine,nominative,singular,ngagiran,1.4478580053279484,ngagiran,Scripture
ἄγγελος,79,unigram,masculine,accusative,plural,ngimalaikae,1.9336421672148856,ngimalaikae,angel
ἄγγελος,68,unigram,masculine,accusative,singular,emeanara,1.3227886834592026,emeanara,angel
ἄγγελος,39,unigram,masculine,nominative,plural,ngimalaikae,5.635496706953977,ngimalaikae,angel
ἄγγελος,88,unigram,masculine,nominative,singular,emalaikat,4.637344167886778,emalaikat,angel
ἀπόστολος,36,unigram,masculine,nominative,plural,ngimeanara,2.287723637080074,ngimeanara,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,emearit,1.2930030670565051,emearit,apostle
ἐξουσία,165,unigram,feminine,accusative,singular,agogongu,2.0359096140711084,agogongu,authority
βρέφος,269,unigram,neuter,accusative,singular,anateger,1.4048915795990933,anateger,babies
ἀποθήκη,56,unigram,feminine,accusative,singular,lokeru,1.1133217870504262,lokeru,barn
ἀρχή,152,unigram,feminine,accusative,singular,kalimok,1.106290521332697,kalimok,beginning
ζώνη,145,unigram,feminine,accusative,plural,alochuei,1.212529657217808,alochuei,belt
βλασφημία,26,unigram,feminine,accusative,plural,kingitanaros,1.0441163236891542,kingitanaros,blasphemy
βλασφημία,69,unigram,feminine,nominative,singular,naaronok,1.335223056374207,naaronok,blasphemy
πλοῖον,86,unigram,neuter,accusative,plural,ngatubwae,2.19058022874051,ngatubwae,boat
πλοῖον,258,unigram,neuter,accusative,singular,natubwa,3.2512799922859137,natubwa,boat
πλοῖον,200,unigram,neuter,nominative,plural,Aya,1.0596583563413178,Aya,boat
πλοῖον,189,unigram,neuter,nominative,singular,atubwa,1.4373165063736757,atubwa,boat
σῶμα,48,unigram,neuter,nominative,singular,akwaan,2.2332475081367344,akwaan,body
κλῆμα,44,unigram,neuter,nominative,plural,ngaten,1.0662889959392077,ngaten,branch
κλῆμα,124,unigram,neuter,nominative,singular,ateni,1.887566349315513,ateni,branch
ἄρτος,260,unigram,masculine,accusative,plural,ngamugati,3.2920880914209403,ngamugati,bread
ἄρτος,283,unigram,masculine,accusative,singular,akimuj,1.068329783604323,akimuj,bread
