lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1934_translation,version_1935_translation,version_1936_translation,version_1937_translation,version_1938_translation,english_translation
θεός,369,unigram,masculine,accusative,plural,Jqꞌuexoloxuc,1.5875954368662335,Jqꞌuexoloxuc,,Diosoxuc,Jq'uexoloxuc,Jqꞌuexoloxuc,God
θεός,155,unigram,masculine,accusative,singular,Dios,1.8121057715420161,coliyal,Dios,Dios,Diose,Rioxe,God
θεός,35,unigram,masculine,nominative,plural,jqꞌuexoloxuc,1.2047206633162026,jqꞌuexoloxuc,diosoxuque,,,jqꞌuexoloxuc,God
θεός,238,unigram,masculine,nominative,singular,Diose,28.558990526774778,Diose,Diose,Diose,Diose,Rioxe,God
κύριος,156,unigram,masculine,nominative,singular,Cajvaltique,2.980134125868879,Cajvaltique,Cajvaltique,Cajvaltique,yajvale,Cajvaltic,"Lord, lord, master"
γραφή,149,unigram,feminine,accusative,plural,scꞌop,3.154839313052897,scꞌop,ch'ul,sc'op,―Ch'ayemoxuc,scꞌop,Scripture
γραφή,60,unigram,feminine,accusative,singular,,,,c'op,ts'ibabil,,scꞌop,Scripture
γραφή,296,unigram,feminine,nominative,plural,,,atsaquicune,ch'ul,ts'ibabil,tsts'aqui,atsaquicone,Scripture
γραφή,363,unigram,feminine,nominative,singular,,,tsꞌibabil,ch'ul,ts'ibabil,ts'ibabil,tsꞌibabil,Scripture
ἄγγελος,117,unigram,masculine,accusative,plural,,,cajꞌangeltaque,caj'ánjeltac,stsobic,ch'ul,,angel
ἄγγελος,97,unigram,masculine,accusative,singular,,,cajtacbalale.Jaꞌ,jelavel,abe,chbaej,,angel
ἄγγελος,56,unigram,masculine,nominative,plural,,,yajꞌangeltac,ánjeletic,j'almantaletique,ch'ul,anjeletic,angel
ἄγγελος,127,unigram,masculine,nominative,singular,,,chꞌul,yaj'ánjel,yaj'almantal,xch'ul,anjel,angel
ἀπόστολος,53,unigram,masculine,nominative,plural,jcholc'opetique,1.3578877777102503,yalbeic,jcholc'opetique,yajtacbolaltac,jcholc'opetique,apoxtoletique,apostle
ἀπόστολος,7,unigram,masculine,nominative,singular,,,spasvan,,itacvane,chtacat,ch-abtej,apostle
ἐξουσία,81,unigram,feminine,accusative,plural,,,chaꞌaqꞌueic,xatac'avic,chatac'ovique,,,authority
ἐξουσία,228,unigram,feminine,accusative,singular,,,,cabtel,jvu'el,sp'ijilic,acꞌbil,authority
βρέφος,20,unigram,neuter,accusative,plural,,,Iꞌicꞌbat,tscajan,spajesic,,chiqꞌuic,babies
βρέφος,361,unigram,neuter,accusative,singular,,,veꞌeb,sve'eb,puch'ul,sve'ob,vacax,babies
ἀποθήκη,303,unigram,feminine,accusative,plural,snail,6.310085480487992,snail,,snail,snail,,barn
ἀποθήκη,80,unigram,feminine,accusative,singular,,,snail,trigoe,snail,trigoe,stenal,barn
φραγμός,267,unigram,masculine,accusative,plural,,,chatae,,,chobtic,,"barrier, wall"
ἀρχή,83,unigram,feminine,accusative,plural,,,chaꞌaqꞌueic,xatac'avic,chatac'ovique,,,beginning
ἀρχή,209,unigram,feminine,accusative,singular,,,―¿Buchꞌuot,sliquebal,,calilamboxuque,jmeltsanejcꞌopetique.―Jaꞌ,beginning
ζώνη,200,unigram,feminine,accusative,plural,,,ataqꞌuinic,ataq'uinic,cobre,c'anal,,belt
ζώνη,256,unigram,feminine,accusative,singular,,,xcꞌajben,,Xchucoj,xchucoj,,belt
βλασφημία,39,unigram,feminine,accusative,plural,,,chispasbutic,,,,jmultique,blasphemy
βλασφημία,114,unigram,feminine,accusative,singular,,,―Avaꞌiic,xchopol-c'opta,—¡Ichopolc'opoj,,yaloje.―Icaꞌitic,blasphemy
βλασφημία,236,unigram,feminine,nominative,plural,chopol,1.403530951535918,,chopol,chopol,chopol,,blasphemy
βλασφημία,98,unigram,feminine,nominative,singular,,,tscꞌanbeique,,chopol,chc'opoj,,blasphemy
πλοῖον,125,unigram,neuter,accusative,plural,,,canavae,sbarcoique,scanovaique,barcoe,tiꞌnab,boat
πλοῖον,346,unigram,neuter,accusative,singular,,,canava,barco,canova,barco,canova,boat
πλοῖον,274,unigram,neuter,nominative,plural,,,,,xchi'inojique,barcoetic,,boat
πλοῖον,258,unigram,neuter,nominative,singular,,,nab,barcoe,canova,barcoe,nab,boat
σῶμα,245,unigram,neuter,nominative,plural,ichamique,3.6138858510272622,,,ichamique,,ichamique,body
σῶμα,71,unigram,neuter,nominative,singular,abec'talique,1.6712537612427327,xtil,abec'talique,abec'talique,jbec'tal,,body
κλῆμα,67,unigram,neuter,nominative,plural,,,aqꞌuil,,,sbiq'uitc'ob,,branch
κλῆμα,172,unigram,neuter,nominative,singular,jtojole,2.805922699794539,muqꞌue,jtojole,jtojole,jtojole,,branch
ἄρτος,350,unigram,masculine,accusative,plural,pan,5.495507894284481,pan,pan,pan,caxlan,pan,bread
ἄρτος,380,unigram,masculine,accusative,singular,pan,3.6611489594913413,vaj,pan,pan,vaj,pan,bread
ἄρτος,182,unigram,masculine,nominative,plural,pan,4.534593255715788,pan,xcutcutic,pan,caxlan,pan,bread
ἄρτος,47,unigram,masculine,nominative,singular,vaj,10.68763624072456,vaj,pan,vaj,vaj,pan,bread
ἀδελφός,335,unigram,masculine,accusative,plural,,,snichꞌnab,voq'uele,voq'uel,stot,,brother
ἀδελφός,140,unigram,masculine,accusative,singular,yits'in,2.361398306950853,yitsꞌin,yits'in,yits'in,yits'in,yitsꞌin,brother
ἀδελφός,131,unigram,masculine,nominative,plural,,,amacꞌ,,jme,,tiꞌna,brother
ἀδελφός,265,unigram,masculine,nominative,singular,,,,voq'uel,xcham,yits'in,junuc,brother
στῆθος,178,unigram,neuter,accusative,plural,,,smajulan,smaj,smajilan,tsmajilan,,"chest, breast"
στῆθος,319,unigram,neuter,accusative,singular,,,jacꞌbe,sts'el,junucal,jac'be,tsꞌeelon,"chest, breast"
ἀρχιερεύς,278,unigram,masculine,accusative,plural,paleetique,2.1546173339250854,paleetique,paleetique,paleetique,paleetique,totil,chief priest
ἀρχιερεύς,72,unigram,masculine,accusative,singular,palee,1.797879376936351,palee,Caifase,palee,palee,totil,chief priest
ἀρχιερεύς,139,unigram,masculine,nominative,plural,,,banquilal,paleetique,banquilal,paleetique,totil,chief priest
ἀρχιερεύς,282,unigram,masculine,nominative,singular,,,palee,banquilal,palee,totil,totil,chief priest
παῖς,270,unigram,masculine,accusative,plural,,,bicꞌtal,,,,cꞌoxetique,child
παῖς,58,unigram,masculine,accusative,singular,,,itupꞌbat,Tubbat,,,creme.―Icꞌo,child
τέκνον,372,unigram,neuter,accusative,plural,,,snichꞌnab,voq'uele,xnich'nab,yol,,child
τέκνον,206,unigram,neuter,accusative,singular,,,,nich'nabiletique,xnich'on,snich'on,chaqꞌuic,child
τέκνον,21,unigram,neuter,nominative,plural,,,,nich'nabiletique,voq'uel,chac,chaqꞌuic,child
τέκνον,221,unigram,neuter,nominative,singular,Nich'on,1.6079126454100265,―Jnichꞌon,Nich'on,,Nich'on,syuꞌele.―Jchꞌamal,child
παιδίον,19,unigram,neuter,accusative,plural,,,unetique,ololetic,talicuc,ololetique,cꞌoxetique,child
παιδίον,108,unigram,neuter,accusative,singular,olol,2.991542689290233,unene,olol,olol,olol,unene,child
παιδίον,198,unigram,neuter,nominative,plural,,,unetique,,,,cꞌoxetique,child
παιδίον,49,unigram,neuter,nominative,singular,,,quereme,olole,querem,olol,Cajvaltique,child
πόλις,210,unigram,feminine,accusative,plural,jteclumetic,6.7619782489626274,jteclumetic,jteclumetic,lumetic,jteclumetic,jteclumetic,city
πόλις,76,unigram,feminine,accusative,singular,jteclum,85.65448074652133,jteclum,jteclum,lum,jteclum,jteclum,city
πύλη,235,unigram,feminine,nominative,singular,sbelal,1.5628798553748517,,sbelal,sbelal,ch-oche,,city gate
χιτών,135,unigram,masculine,accusative,plural,cha'lic,4.1333540455990185,chaꞌlic,Jlic,cha'lic,cha'lic,anamteꞌic,"clothing, undergarments"
χιτών,36,unigram,masculine,accusative,singular,,,yichꞌ,xtoque,,,chaspojbe,"clothing, undergarments"
ἱμάτιον,153,unigram,neuter,accusative,plural,sc,5.0149794630296975,scꞌuꞌ,sc,sc,sc,spimilcꞌuꞌic,coat
ἱμάτιον,152,unigram,neuter,accusative,singular,u'ile,1.3427035334425854,,u'ile,u'ile,xchije,,coat
ἐντολή,94,unigram,feminine,accusative,plural,mantaletique,1.9237317826771898,cꞌuxun,mantaletique,jmantaltaque,mantaletique,,commandment
ἐντολή,92,unigram,feminine,accusative,singular,,,,smantal,scoj,antiguo,scostumbreic,commandment
συνέδριον,355,unigram,neuter,accusative,plural,,,chastsitsic,majel,jchapanvanejetic,acial,temploetic,council
συνέδριον,62,unigram,neuter,accusative,singular,paleetique,1.2705866302228583,paleetique,stsob,paleetique,paleetique,istsob,council
χώρα,324,unigram,feminine,accusative,singular,,,yosilalic,jot,yosilal,Gadara,jgadaraetic,"country, countryside"
ὄχλος,68,unigram,masculine,accusative,plural,,,jchiꞌiltactique,sc'oponan,cristianoetique,jchi'iltique,crixchanoetic,crowd
ὄχλος,12,unigram,masculine,accusative,singular,epal,2.196899671758033,epal,jnaclejetique,epal,jchi'iltique,crixchanoetique,crowd
ὄχλος,119,unigram,masculine,nominative,plural,epal,1.763748654174719,epal,sts'acliic,epal,jchi'iltique,Iyetꞌesbe,crowd
ὄχλος,314,unigram,masculine,nominative,singular,,,ep,Yepal,epal,jchi'iltaque,Ep,crowd
θυγάτηρ,349,unigram,feminine,nominative,singular,,,yacal,yantsil,,Jairoe,chloꞌilaj,daughter
ἡμέρα,87,unigram,feminine,accusative,plural,c'ac'al,27.503744168965593,cꞌacꞌal,c'ac'al,c'ac'al,c'ac'al,cꞌacꞌal,day
