lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1976_translation,english_translation
θεός,125,unigram,masculine,accusative,singular,Atua,3.298904430919024,Atua,God
θεός,26,unigram,masculine,nominative,plural,kamirpe,1.2132679101531654,kamirpe,God
θεός,199,unigram,masculine,nominative,singular,Atua,8.53548626533547,Atua,God
κύριος,126,unigram,masculine,nominative,singular,Numal,1.9892864801093417,Numal,"Lord, lord, master"
γραφή,120,unigram,feminine,accusative,plural,Naul,1.0505546162849169,Naul,Scripture
γραφή,45,unigram,feminine,accusative,singular,Naul,1.066749869037526,Naul,Scripture
γραφή,250,unigram,feminine,nominative,plural,Naul,1.1531125847590875,Naul,Scripture
γραφή,309,unigram,feminine,nominative,singular,Naul,1.2256504329271387,Naul,Scripture
ἄγγελος,88,unigram,masculine,accusative,plural,anglo,2.1252442279220234,anglo,angel
ἄγγελος,76,unigram,masculine,accusative,singular,Kapmurrong,1.0341488765000593,Kapmurrong,angel
ἄγγελος,41,unigram,masculine,nominative,plural,anglo,3.9507160863646194,anglo,angel
ἄγγελος,98,unigram,masculine,nominative,singular,anglo,6.434396236720474,anglo,angel
ἀπόστολος,38,unigram,masculine,nominative,plural,aposol,1.5696073603870515,aposol,apostle
ἀπόστολος,5,unigram,masculine,nominative,singular,markoni,1.67200241451733,markoni,apostle
ἐξουσία,63,unigram,feminine,accusative,plural,para-revei,1.357446940664947,para-revei,authority
ἐξουσία,193,unigram,feminine,accusative,singular,derteren,4.311157979555341,derteren,authority
βρέφος,14,unigram,neuter,accusative,plural,arwer,1.1029189165021167,arwer,babies
βρέφος,308,unigram,neuter,accusative,singular,mimatur,1.0258518694404364,mimatur,babies
ἀποθήκη,62,unigram,feminine,accusative,singular,b̃ep̃eim,1.1682581154670333,b̃ep̃eim,barn
φραγμός,222,unigram,masculine,accusative,plural,parsongni,1.0595352057902494,parsongni,"barrier, wall"
ἀρχή,65,unigram,feminine,accusative,plural,para-revei,1.3849230941514608,para-revei,beginning
ἀρχή,176,unigram,feminine,accusative,singular,nomok-werai,1.0662807816552895,nomok-werai,beginning
ζώνη,168,unigram,feminine,accusative,plural,kapsongni,1.255464243734474,kapsongni,belt
ζώνη,213,unigram,feminine,accusative,singular,Ori,1.0960524252565438,Ori,belt
βλασφημία,87,unigram,feminine,accusative,singular,rrampej,1.0960768946513286,rrampej,blasphemy
βλασφημία,77,unigram,feminine,nominative,singular,marsopsop̃e,1.1062485993005018,marsopsop̃e,blasphemy
πλοῖον,96,unigram,neuter,accusative,plural,drrav,1.3228625452661669,drrav,boat
πλοῖον,295,unigram,neuter,accusative,singular,drrav,2.552522187110396,drrav,boat
πλοῖον,227,unigram,neuter,nominative,plural,arengeni,1.096239847813496,arengeni,boat
πλοῖον,215,unigram,neuter,nominative,singular,drrav,1.419345537347481,drrav,boat
σῶμα,54,unigram,neuter,nominative,singular,nibem,1.0746682660020048,nibem,body
κλῆμα,142,unigram,neuter,nominative,singular,seken,1.6682008483789346,seken,branch
ἄρτος,299,unigram,masculine,accusative,plural,niv,4.811286175031709,niv,bread
ἄρτος,323,unigram,masculine,accusative,singular,niv,3.65206322225707,niv,bread
ἄρτος,150,unigram,masculine,nominative,plural,niv,2.242812669368432,niv,bread
ἄρτος,33,unigram,masculine,nominative,singular,niv,3.0207256774289197,niv,bread
ἀδελφός,285,unigram,masculine,accusative,plural,tuwan,1.2412205540800667,tuwan,brother
ἀδελφός,111,unigram,masculine,accusative,singular,tasin,1.3896159068784493,tasin,brother
ἀδελφός,101,unigram,masculine,nominative,plural,tasin,1.1735851703122528,tasin,brother
ἀδελφός,220,unigram,masculine,nominative,singular,tasin,1.5081329846172138,tasin,brother
στῆθος,272,unigram,neuter,accusative,singular,isi,1.0262127646629586,isi,"chest, breast"
ἀρχιερεύς,231,unigram,masculine,accusative,plural,sulsulen,3.402607632505088,sulsulen,chief priest
ἀρχιερεύς,55,unigram,masculine,accusative,singular,sulsulen,1.1591677528665667,sulsulen,chief priest
