lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1979_translation,english_translation
θεός,98,unigram,masculine,accusative,singular,múte,1.5602578480277314,múte,God
θεός,151,unigram,masculine,nominative,singular,Áánûqtu,1.903224090344491,Áánûqtu,God
κύριος,99,unigram,masculine,nominative,singular,uyátárai-nakoma,2.70341554577225,uyátárai-nakoma,"Lord, lord, master"
γραφή,184,unigram,feminine,nominative,plural,Áánûqtuni,1.0325050648337328,Áánûqtuni,Scripture
γραφή,226,unigram,feminine,nominative,singular,Áánûqtuni,2.099916291665382,Áánûqtuni,Scripture
ἄγγελος,69,unigram,masculine,accusative,plural,kaqtó-wayukama,1.757409141236046,kaqtó-wayukama,angel
ἄγγελος,62,unigram,masculine,accusative,singular,kaqtó-nakomma,1.139777651733167,kaqtó-nakomma,angel
ἄγγελος,34,unigram,masculine,nominative,plural,kaqtó-wayukama,3.6893918085392188,kaqtó-wayukama,angel
ἄγγελος,78,unigram,masculine,nominative,singular,kaqtó-nakoma,1.9994976544132284,kaqtó-nakoma,angel
ἀπόστολος,31,unigram,masculine,nominative,plural,yiwíkai-kayukama,1.1402556330530362,yiwíkai-kayukama,apostle
ἐξουσία,145,unigram,feminine,accusative,singular,náápaamma,2.1648870742389392,náápaamma,authority
βρέφος,225,unigram,neuter,accusative,singular,aáwaq-taapepi,1.0441063733306788,aáwaq-taapepi,babies
ἀποθήκη,51,unigram,feminine,accusative,singular,agatuwániye.,1.064738751859238,agatuwániye.,barn
φραγμός,81,unigram,masculine,accusative,singular,kurumá,1.26986979563609,kurumá,"barrier, wall"
ἀρχή,133,unigram,feminine,accusative,singular,ámikaae,1.0710774276751474,ámikaae,beginning
ζώνη,126,unigram,feminine,accusative,plural,áítumaera,1.0960524252565438,áítumaera,belt
πλοῖον,76,unigram,neuter,accusative,plural,únópí-káárémá,1.204173806236,únópí-káárémá,boat
πλοῖον,216,unigram,neuter,accusative,singular,únópí-káárébí,1.4110433415314076,únópí-káárébí,boat
πλοῖον,162,unigram,neuter,nominative,singular,nokaayúkóní,1.6345714911218767,nokaayúkóní,boat
σῶμα,42,unigram,neuter,nominative,singular,kumayuqá,1.0027743897207748,kumayuqá,body
ἄρτος,219,unigram,masculine,accusative,plural,yammá,3.262379067544658,yammá,bread
ἄρτος,237,unigram,masculine,accusative,singular,yammá,1.0689223786777182,yammá,bread
ἄρτος,112,unigram,masculine,nominative,plural,netuq-ááwáqá,1.873632781733254,netuq-ááwáqá,bread
ἄρτος,26,unigram,masculine,nominative,singular,Áánûqtunopake,1.0985930072856072,Áánûqtunopake,bread
ἀδελφός,90,unigram,masculine,accusative,singular,Yêmitiyaa,1.1377882672714428,Yêmitiyaa,brother
ἀδελφός,80,unigram,masculine,nominative,plural,ketinógaraq,1.2943525798210695,ketinógaraq,brother
ἀδελφός,165,unigram,masculine,nominative,singular,ábâkoma,1.9270422983590616,ábâkoma,brother
στῆθος,196,unigram,neuter,accusative,singular,agebaréna,1.6240747197879204,agebaréna,"chest, breast"
ἀρχιερεύς,169,unigram,masculine,accusative,plural,uyátárai-monoq-wayukagaraq,1.2281098242209445,uyátárai-monoq-wayukagaraq,chief priest
ἀρχιερεύς,43,unigram,masculine,accusative,singular,mikákáá,1.1575188036612627,mikákáá,chief priest
ἀρχιερεύς,89,unigram,masculine,nominative,plural,uyátárai-monoq-wayukama,1.0290590639298902,uyátárai-monoq-wayukama,chief priest
ἀρχιερεύς,173,unigram,masculine,nominative,singular,mikákáá,1.03819871974342,mikákáá,chief priest
τέκνον,232,unigram,neuter,accusative,plural,iyápóma,1.0318230383804023,iyápóma,child
τέκνον,131,unigram,neuter,accusative,singular,iyápóma,1.8796674414014491,iyápóma,child
τέκνον,11,unigram,neuter,nominative,plural,iyápóma,1.0443667200157196,iyápóma,child
τέκνον,141,unigram,neuter,nominative,singular,ketáaniko,1.9884789005048131,ketáaniko,child
παιδίον,10,unigram,neuter,accusative,plural,áá,1.1190341193652358,áá,child
παιδίον,66,unigram,neuter,accusative,singular,anóakaraq,1.3497460922205298,anóakaraq,child
παιδίον,28,unigram,neuter,nominative,singular,min-íyápógómá,1.2870878186161732,min-íyápógómá,child
πόλις,134,unigram,feminine,accusative,plural,uréire,1.022936125155722,uréire,city
πόλις,47,unigram,feminine,accusative,singular,márûkaqa,1.1141980079673437,márûkaqa,city
πύλη,149,unigram,feminine,nominative,singular,min-ámmá,1.8875720920615984,min-ámmá,city gate
χιτών,85,unigram,masculine,accusative,plural,éra,1.0534773237391453,éra,"clothing, undergarments"
χιτών,21,unigram,masculine,accusative,singular,kúberai-unamma,1.070453101968302,kúberai-unamma,"clothing, undergarments"
ἱμάτιον,97,unigram,neuter,accusative,plural,unáákáqtôma,2.4357849512028693,unáákáqtôma,coat
ἱμάτιον,96,unigram,neuter,accusative,singular,kúberai-unamma,2.6191023188974976,kúberai-unamma,coat
ἐντολή,60,unigram,feminine,accusative,plural,ítaraane,1.062193579173395,ítaraane,commandment
ἐντολή,58,unigram,feminine,accusative,singular,yáqtoqme,1.6389707603013182,yáqtoqme,commandment
συνέδριον,222,unigram,neuter,accusative,plural,timéta,1.0806428774819614,timéta,council
συνέδριον,36,unigram,neuter,accusative,singular,áíkuteta,1.6156512209777645,áíkuteta,council
χώρα,200,unigram,feminine,accusative,singular,nokaayúkómmá,1.0419221387026496,nokaayúkómmá,"country, countryside"
ὄχλος,40,unigram,masculine,accusative,plural,aarawaamá,2.2799974770844806,aarawaamá,crowd
ὄχλος,6,unigram,masculine,accusative,singular,waabámmá,1.1091563884317066,waabámmá,crowd
ὄχλος,71,unigram,masculine,nominative,plural,aarawaamá,1.3150384403561508,aarawaamá,crowd
ὄχλος,193,unigram,masculine,nominative,singular,waabámmá,1.851239651766176,waabámmá,crowd
θυγάτηρ,218,unigram,feminine,nominative,singular,pukuráiye,1.0643213913442202,pukuráiye,daughter
ἡμέρα,55,unigram,feminine,accusative,plural,kaumo-yúpáámá,1.0059196617640136,kaumo-yúpáámá,day
ἡμέρα,63,unigram,feminine,accusative,singular,anó-monoq-naupaq,1.2221188123470537,anó-monoq-naupaq,day
ἡμέρα,1,unigram,feminine,nominative,plural,móra-kanaama,1.1007693048669285,móra-kanaama,day
ἡμέρα,49,unigram,feminine,nominative,singular,aabaúmá,1.8530647559203195,aabaúmá,day
δαιμόνιον,22,unigram,neuter,accusative,plural,táí-aagomma,2.6690113774591757,táí-aagomma,demon
δαιμόνιον,228,unigram,neuter,accusative,singular,kuti-áágómá,1.9507616871285407,kuti-áágómá,demon
δαιμόνιον,142,unigram,neuter,nominative,plural,táí-aagoma,1.7737186261177382,táí-aagoma,demon
δαιμόνιον,124,unigram,neuter,nominative,singular,mi-táí-áágómá,1.423953968745581,mi-táí-áágómá,demon
δηνάριον,211,unigram,neuter,accusative,plural,móneqa,1.0511098105737104,móneqa,denarius (about a day's wages)
μαθητής,129,unigram,masculine,accusative,plural,iyápó-annama,1.5565828319009356,iyápó-annama,disciple
μαθητής,233,unigram,masculine,accusative,singular,iyápó-annabike,1.0890091595008795,iyápó-annabike,disciple
μαθητής,189,unigram,masculine,nominative,plural,iyápó-annama,3.9472027725727172,iyápó-annama,disciple
μαθητής,231,unigram,masculine,nominative,singular,iyápó-annabi,1.1749848751742753,iyápó-annabi,disciple
νόσος,54,unigram,feminine,accusative,singular,kétima-yimena,1.2651193971288317,kétima-yimena,disease
περιστερά,70,unigram,feminine,accusative,plural,máama,1.3950059866211053,máama,dove
περιστερά,38,unigram,feminine,accusative,singular,máaraa,1.3756706857452616,máaraa,dove
οὖς,107,unigram,neuter,accusative,plural,aáqa,1.2485213261518702,aáqa,ear
οὖς,192,unigram,neuter,accusative,singular,yaákareq,1.1160716799575845,yaákareq,ear
σεισμός,45,unigram,masculine,nominative,singular,máqe-uraiye,1.035005006769123,máqe-uraiye,"earthquakes, storm"
τέλος,187,unigram,neuter,accusative,singular,umátikanoe,1.068668351837189,umátikanoe,end
αἰών,207,unigram,masculine,accusative,singular,matúq-matuq,1.2925323528613937,matúq-matuq,eternity
ὀφθαλμός,15,unigram,masculine,accusative,plural,aúramma,1.4323006297765308,aúramma,eye
ὀφθαλμός,46,unigram,masculine,nominative,plural,yúrakoma,1.4347027989263328,yúrakoma,eye
ὀφθαλμός,206,unigram,masculine,nominative,singular,túrakoma,1.9676771158817512,túrakoma,eye
λιμός,3,unigram,feminine,nominative,plural,yaímma-aukapaqa,1.3692898740361092,yaímma-aukapaqa,famine
γεωργός,174,unigram,masculine,nominative,plural,mayánúnatae.,1.4945854596785524,mayánúnatae.,"farmer, tenant"
πατήρ,210,unigram,masculine,accusative,singular,ketibomá,1.242331695373207,ketibomá,father
πατήρ,217,unigram,masculine,nominative,plural,títaubikoma,1.404943825203397,títaubikoma,father
πατήρ,135,unigram,masculine,nominative,singular,ketibomá,2.2236761604792146,ketibomá,father
σύνδουλος,82,unigram,masculine,nominative,singular,mayáaya-nakoma,1.0960670999999007,mayáaya-nakoma,"fellow-servant, colleague"
ἀγρός,227,unigram,masculine,accusative,plural,naammá,1.0776645315601894,naammá,field
ἀγρός,27,unigram,masculine,accusative,singular,meyánîq,1.4383856560384094,meyánîq,field
δάκτυλος,128,unigram,masculine,accusative,singular,tiyáámma,1.8875548557134734,tiyáámma,finger
ἰχθύς,109,unigram,masculine,accusative,plural,tíkáiye,1.2443778108522427,tíkáiye,fish
ἰχθύς,138,unigram,masculine,accusative,singular,noyááqa,1.2398074465316489,noyááqa,fish
δίκτυον,77,unigram,neuter,accusative,plural,kúqômma,1.8974403585487825,kúqômma,fishing net
πούς,166,unigram,masculine,accusative,plural,tete,1.253411924245402,tete,foot
πούς,79,unigram,masculine,accusative,singular,kétiye.,1.0676319637225458,kétiye.,foot
καρπός,132,unigram,masculine,accusative,plural,íráqôn-aramma,1.406133186601916,íráqôn-aramma,"fruit, crop, harvest"
καρπός,164,unigram,masculine,accusative,singular,arammá,3.557924481321441,arammá,"fruit, crop, harvest"
πλήρωμα,186,unigram,neuter,accusative,plural,títaupake,1.5033526154070178,títaupake,fullness
δῶρον,209,unigram,neuter,accusative,plural,marakéta,1.3874722882841728,marakéta,gift
δῶρον,115,unigram,neuter,accusative,singular,amí-yátááqá,1.0230989635239385,amí-yátááqá,gift
ἡγεμών,123,unigram,masculine,accusative,plural,tiwíqmeta,1.8077706345704816,tiwíqmeta,"governor, ruler"
ἡγεμών,7,unigram,masculine,accusative,singular,anó-kamaani-nakoma,1.1613810574337249,anó-kamaani-nakoma,"governor, ruler"
ἀσπασμός,220,unigram,masculine,accusative,plural,miráó-maarao,1.1230829550459578,miráó-maarao,greeting
ὁδηγός,2,unigram,masculine,nominative,singular,karoparáitaq,1.210068969709598,karoparáitaq,guide
θρίξ,67,unigram,feminine,nominative,plural,tiqnótáuma,1.887537595001228,tiqnótáuma,hair
χείρ,213,unigram,feminine,accusative,plural,ayáámma,1.7671776601738485,ayáámma,hand
χείρ,157,unigram,feminine,accusative,singular,ayáámma,3.7444364713995117,ayáámma,hand
κεφαλή,102,unigram,feminine,accusative,plural,kótayata,1.5278822938424113,kótayata,head
κεφαλή,147,unigram,feminine,accusative,singular,aqnómmá,2.1031242518719675,aqnómmá,head
στάχυς,148,unigram,masculine,accusative,plural,móra-Tabaatiraqa,1.4675836544935406,móra-Tabaatiraqa,head of grain
καρδία,24,unigram,feminine,accusative,plural,mamé,1.1474738944405023,mamé,heart
καρδία,139,unigram,feminine,nominative,singular,tíyako,1.1499811061078111,tíyako,heart
οὐρανός,183,unigram,masculine,accusative,singular,káonena,1.3940767303304296,káonena,"heaven, sky"
ὥρα,18,unigram,feminine,nominative,singular,kanaamá,1.1099792223297549,kanaamá,hour
οἰκία,110,unigram,feminine,accusative,plural,naammá,1.6446907878705284,naammá,house
οἰκία,223,unigram,feminine,accusative,singular,naaúpaq,1.5609822452656426,naaúpaq,house
οἶκος,14,unigram,masculine,accusative,singular,naaópaqa,1.448587381815756,naaópaqa,"house, home"
κριτής,208,unigram,masculine,nominative,plural,miráinata,1.0125664046065326,miráinata,judge
κριτής,117,unigram,masculine,nominative,singular,i-wáyúkátí,1.1219821670568495,i-wáyúkátí,judge
βασιλεύς,75,unigram,masculine,accusative,plural,tiwíqmeta,1.8074635913341224,tiwíqmeta,king
βασιλεύς,41,unigram,masculine,accusative,singular,Pááírati,1.520508489950182,Pááírati,king
βασιλεία,57,unigram,feminine,accusative,plural,uyátárain-anuraq,1.2573691499295176,uyátárain-anuraq,kingdom
βασιλεία,113,unigram,feminine,accusative,singular,Áánûqtuma,1.6984498516212827,Áánûqtuma,kingdom
κόπος,144,unigram,masculine,accusative,plural,itaráq,1.1446438078070422,itaráq,"labour, work, trouble, difficulty"
