lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_1974_translation,english_translation
θεός,311,unigram,masculine,accusative,plural,sukni,1.1529704442997704,sukni,God
θεός,128,unigram,masculine,accusative,singular,Anutu,1.64980321550224,Anutu,God
θεός,27,unigram,masculine,nominative,plural,sukni,1.1294473546681896,sukni,God
θεός,201,unigram,masculine,nominative,singular,Anutu,6.099050388866843,Anutu,God
κύριος,129,unigram,masculine,nominative,singular,girii,1.146445529792626,girii,"Lord, lord, master"
γραφή,123,unigram,feminine,accusative,plural,fe,1.120810542803531,fe,Scripture
γραφή,47,unigram,feminine,accusative,singular,yoking,1.0136202959876732,yoking,Scripture
γραφή,247,unigram,feminine,nominative,plural,yoking,1.3155122216056077,yoking,Scripture
γραφή,306,unigram,feminine,nominative,singular,yoking,1.5106377073993504,yoking,Scripture
ἄγγελος,95,unigram,masculine,accusative,plural,ensel,1.25630797400199,ensel,angel
ἄγγελος,81,unigram,masculine,accusative,singular,ensel,1.1059523912943652,ensel,angel
ἄγγελος,44,unigram,masculine,nominative,plural,ensel,1.5900638329449035,ensel,angel
ἄγγελος,105,unigram,masculine,nominative,singular,ensel,1.9908455806851613,ensel,angel
ἀπόστολος,41,unigram,masculine,nominative,plural,aposel,1.0954540511301587,aposel,apostle
ἐξουσία,66,unigram,feminine,accusative,plural,dimisi'ganang,1.1470936997373598,dimisi'ganang,authority
ἐξουσία,192,unigram,feminine,accusative,singular,tangkunang,1.3865794154460946,tangkunang,authority
βρέφος,14,unigram,neuter,accusative,plural,totangkaim,1.0968494350457272,totangkaim,babies
βρέφος,304,unigram,neuter,accusative,singular,tumura,1.238286960827723,tumura,babies
ἀποθήκη,65,unigram,feminine,accusative,singular,dopma,1.2179199260445075,dopma,barn
φραγμός,108,unigram,masculine,accusative,singular,gigik,1.060045245224082,gigik,"barrier, wall"
ἀρχή,68,unigram,feminine,accusative,plural,dimisi'ganang,1.146890099042102,dimisi'ganang,beginning
ζώνη,169,unigram,feminine,accusative,plural,manggaknganting,1.6169720451509568,manggaknganting,belt
βλασφημία,29,unigram,feminine,accusative,plural,yugukyam,1.0445119543968238,yugukyam,blasphemy
βλασφημία,92,unigram,feminine,accusative,singular,anikigera,1.0968599876265732,anikigera,blasphemy
πλοῖον,103,unigram,neuter,accusative,plural,bot,1.9865566733601752,bot,boat
πλοῖον,289,unigram,neuter,accusative,singular,bot,1.8678787631654072,bot,boat
πλοῖον,227,unigram,neuter,nominative,plural,fiamgu,1.097003486596881,fiamgu,boat
σῶμα,56,unigram,neuter,nominative,singular,gom,1.0290411451001675,gom,body
κλῆμα,52,unigram,neuter,nominative,plural,yorafanga,1.3541361569289057,yorafanga,branch
κλῆμα,144,unigram,neuter,nominative,singular,yorafanga,1.32963362351658,yorafanga,branch
ἄρτος,293,unigram,masculine,accusative,plural,baret,1.4595762459897548,baret,bread
ἄρτος,320,unigram,masculine,accusative,singular,nana,2.8651933538040515,nana,bread
ἄρτος,154,unigram,masculine,nominative,plural,yamtam,1.1386049523745796,yamtam,bread
ἄρτος,34,unigram,masculine,nominative,singular,nana,1.5764433423975568,nana,bread
ἀδελφός,279,unigram,masculine,accusative,plural,kuyane,1.4388358977392723,kuyane,brother
