lemma,extract_reference_id,tokenisation_method_id,gender,noun_case,noun_number,most_common_translation,cumulative_confidence,version_2010_translation,english_translation
θεός,110,unigram,masculine,accusative,singular,Tominkaru,2.0014457413496576,Tominkaru,God
θεός,177,unigram,masculine,nominative,singular,Tominkaru,3.9832169987472006,Tominkaru,God
κύριος,111,unigram,masculine,nominative,singular,Naobanai,1.6261819288574109,Naobanai,"Lord, lord, master"
γραφή,106,unigram,feminine,accusative,plural,saada-kariwaiz,1.2764364778944242,saada-kariwaiz,Scripture
γραφή,38,unigram,feminine,accusative,singular,saada-kariwaiz,1.2407008043529155,saada-kariwaiz,Scripture
γραφή,224,unigram,feminine,nominative,plural,saadanii,1.1253660503043017,saadanii,Scripture
γραφή,279,unigram,feminine,nominative,singular,saada-kariwaiz,1.0262571912045768,saada-kariwaiz,Scripture
ἄγγελος,81,unigram,masculine,accusative,plural,paꞌangelinnao,1.0744295920723466,paꞌangelinnao,angel
ἄγγελος,68,unigram,masculine,accusative,singular,puꞌuaꞌati,1.601863014875741,puꞌuaꞌati,angel
ἄγγελος,35,unigram,masculine,nominative,plural,angelnao,1.4606737806898034,angelnao,angel
ἄγγελος,90,unigram,masculine,nominative,singular,angel,4.337432890218003,angel,angel
ἀπόστολος,32,unigram,masculine,nominative,plural,12,1.035145622973622,12,apostle
ἐξουσία,170,unigram,feminine,accusative,singular,umaꞌozakan,1.0431973267079844,umaꞌozakan,authority
βρέφος,278,unigram,neuter,accusative,singular,uwashatapa-kao,1.1454587468979875,uwashatapa-kao,babies
ἀποθήκη,56,unigram,feminine,accusative,singular,padapunaa,1.5323096753179035,padapunaa,barn
φραγμός,201,unigram,masculine,accusative,plural,pukoraꞌuu,1.096057314542422,pukoraꞌuu,"barrier, wall"
φραγμός,94,unigram,masculine,accusative,singular,ukichadan,1.2633066601546783,ukichadan,"barrier, wall"
ἀρχή,153,unigram,feminine,accusative,singular,mishidapan,1.1062845238338443,mishidapan,beginning
ζώνη,146,unigram,feminine,accusative,plural,unaꞌakapaꞌanaꞌa,1.0960524252565438,unaꞌakapaꞌanaꞌa,belt
ζώνη,192,unigram,feminine,accusative,singular,ukazadawutinpan,1.0960524252565438,ukazadawutinpan,belt
βλασφημία,22,unigram,feminine,accusative,plural,uwazootapaꞌazon,1.2555387914136698,uwazootapaꞌazon,blasphemy
βλασφημία,175,unigram,feminine,nominative,plural,oii,1.4605463878099645,oii,blasphemy
πλοῖον,88,unigram,neuter,accusative,plural,pakanawan,1.3062781815448066,pakanawan,boat
πλοῖον,263,unigram,neuter,accusative,singular,kanawa,1.5954620777439643,kanawa,boat
πλοῖον,207,unigram,neuter,nominative,plural,ĩpaidinan,1.210565177531669,ĩpaidinan,boat
πλοῖον,194,unigram,neuter,nominative,singular,kanawa,1.7453797311835897,kanawa,boat
σῶμα,47,unigram,neuter,nominative,singular,punanaa,1.8993868511162413,punanaa,body
κλῆμα,43,unigram,neuter,nominative,plural,kadunaaz,1.1613200159490844,kadunaaz,branch
κλῆμα,123,unigram,neuter,nominative,singular,waoda,1.6041485770980397,waoda,branch
ἄρτος,267,unigram,masculine,accusative,plural,bread,2.5690224547615466,bread,bread
ἄρτος,290,unigram,masculine,accusative,singular,bread,1.2538751769347902,bread,bread
